ticker,ours,ibkr_close,next_date,ibkr_next_open,diff_pct,status,ib_status,note
ADANIPORTS.NS,1807,,,,,無合約,no_contract,
AEGISLOG.NS,1404,,,,,未抓,missing,
AHCL.NS,29.68,,,,,未抓,missing,
ANDHRSUGAR.NS,95.2,,,,,未抓,missing,
ANGELONE.NS,300,,,,,未抓,missing,
ANTELOPUS.NS,1161,,,,,未抓,missing,
APARINDS.NS,1.788e+04,,,,,未抓,missing,
APOLLO.NS,404.6,,,,,未抓,missing,
APOLLOHOSP.NS,9069,,,,,未抓,missing,
ARFIN.NS,91.42,,,,,未抓,missing,
ARTEMISMED.NS,341.9,,,,,未抓,missing,
ASKAUTOLTD.NS,651.2,,,,,未抓,missing,
ATHERENERG.NS,1499,,,,,未抓,missing,
AZAD.NS,2713,,,,,未抓,missing,
BALAMINES.NS,2271,,,,,未抓,missing,
BBOX.NS,809.9,,,,,未抓,missing,
BELRISE.NS,249.8,,,,,未抓,missing,
BHAGYANGR.NS,444.6,,,,,未抓,missing,
BHEL.NS,423.1,,,,,未抓,missing,
BLUESTONE.NS,855.5,,,,,未抓,missing,
BLUSPRING.NS,132.6,,,,,未抓,missing,
BODALCHEM.NS,199.5,,,,,未抓,missing,
CGCL.NS,268.6,,,,,未抓,missing,
CHENNPETRO.NS,1389,,,,,未抓,missing,
CONFIPET.NS,89.12,,,,,未抓,missing,
CORDSCABLE.NS,369.6,,,,,未抓,missing,
CUPID.NS,273.9,,,,,未抓,missing,
DCBBANK.NS,223.7,,,,,未抓,missing,
DIVGIITTS.NS,1177,,,,,未抓,missing,
EDELWEISS.NS,142,,,,,未抓,missing,
ELGIEQUIP.NS,614.7,,,,,未抓,missing,
EMIL.NS,191.3,,,,,未抓,missing,
ENGINERSIN.NS,306.2,,,,,未抓,missing,
FILATEX.NS,108.7,,,,,未抓,missing,
FINCABLES.NS,1470,,,,,未抓,missing,
GAYAPROJ.NS,24.17,,,,,未抓,missing,
GNA.NS,596.6,,,,,未抓,missing,
GNFC.NS,623,,,,,未抓,missing,
GOODLUCK.NS,537.1,,,,,未抓,missing,
GRAPHITE.NS,821,,,,,未抓,missing,
IBULLSLTD.NS,29.12,,,,,未抓,missing,
IDEA.NS,14.52,,,,,未抓,missing,
INDOBORAX.NS,462.6,,,,,未抓,missing,
INDSWFTLAB.NS,405.1,,,,,未抓,missing,
IPCALAB.NS,1963,,,,,未抓,missing,
JGCHEM.NS,621.5,,,,,未抓,missing,
JINDALSAW.NS,292.6,,,,,未抓,missing,
