Date,Shares
2016-10-31,14651100000
2016-12-31,14651100000
2017-05-31,14651100160
2017-06-30,14652800000
2017-07-31,14654900224
2017-08-31,14657999872
2017-09-30,14664200192
2018-11-13,14664200192
2018-11-14,14664200192
2018-11-15,14664200192
2018-11-19,14664200192
2018-11-21,14664200192
2018-11-22,14664200192
2018-11-26,14664200192
2018-11-28,14664200192
2018-11-29,14664200192
2018-12-02,14664200192
2018-12-03,14664200192
2018-12-04,14664200192
2018-12-06,14664200192
2018-12-07,14664200192
2018-12-09,14664200192
2018-12-10,14664200192
2018-12-11,14664200192
2018-12-12,14664200192
2018-12-14,14664200192
2018-12-16,14664200192
2018-12-17,14664200192
2018-12-19,14664200192
2018-12-21,14664200192
2018-12-30,14664200192
2019-01-05,14664200192
2019-01-07,14664200192
2019-01-08,14664200192
2019-01-09,14664200192
2019-01-10,14664200192
2019-01-12,14664200192
2019-01-14,14664200192
2019-01-16,14664200192
2019-01-17,14664200192
2019-01-18,14664200192
2019-01-22,14664200192
2019-01-24,14664200192
2019-01-25,14664200192
2019-01-26,14664200192
2019-01-28,14664200192
2019-01-30,14664200192
2019-02-04,14664200192
2019-02-07,14664200192
2019-02-10,14664200192
2019-02-11,14664200192
2019-02-13,14664200192
2019-02-14,14664200192
2019-02-15,14664200192
2019-02-17,14664200192
2019-02-18,14664200192
2019-02-20,14664200192
2019-02-28,14664200192
2019-03-01,14664200192
2019-03-07,14664200192
2019-03-09,14664200192
2019-03-10,14664200192
2019-03-11,14664200192
2019-03-14,14664200192
2019-03-15,14664200192
2019-03-17,14664200192
2019-03-18,14664200192
2019-03-26,14664200192
2019-03-27,14664200192
2019-03-29,14664200192
2019-03-30,14664200192
2019-04-01,14664200192
2019-04-02,14664200192
2019-04-05,14664200192
2019-04-11,14664200192
2019-04-14,14664200192
2019-04-15,14664200192
2019-04-17,14664200192
2019-04-19,14664200192
2019-04-21,14664200192
2019-04-29,14675500032
2019-05-01,14675500032
2019-05-02,14675500032
2019-05-03,14675500032
2019-05-05,14675500032
2019-05-07,14675500032
2019-05-09,14675500032
2019-05-12,14675500032
2019-05-13,14675500032
2019-05-20,14675500032
2019-05-22,14675500032
2019-05-23,14675500032
2019-05-28,14675500032
2019-06-01,14675500032
2019-06-03,14675500032
2019-06-04,14675500032
2019-06-05,14675500032
2019-06-06,14675500032
2019-06-10,14675500032
2019-06-11,14675500032
2019-06-12,14675500032
2019-06-17,14675500032
2019-06-21,14675500032
2019-06-23,14675500032
2019-06-24,14675500032
2019-06-26,14675500032
2019-06-29,14209000448
2019-07-01,14675500032
2019-07-04,14927599616
2019-07-06,14279300096
2019-07-10,14081300480
2019-07-11,14830600192
2019-07-12,14982400000
2019-07-13,14562700288
2019-07-14,14675500032
2019-07-27,14747499520
2019-07-29,14675500032
2019-08-07,14927099904
2019-08-08,14423900160
2019-08-09,14846100480
2019-08-10,14675500032
2019-08-30,14537499648
2019-08-31,14698699776
2019-09-04,14675500032
2019-09-06,13619500032
2019-09-07,13306900480
2019-09-10,13500600320
2019-09-11,13659700224
2019-09-12,14675500032
2019-09-14,15122700288
2019-09-16,14675500032
2019-10-04,14510399488
2019-10-08,14675500032
2019-10-21,14907799552
2019-10-22,14675500032
2019-11-07,14420700160
2019-11-08,14658700288
2019-11-09,14675500032
2019-12-05,14806800384
2019-12-06,15400899584
2019-12-07,14675500032
2019-12-11,14546299904
2019-12-12,14675500032
2019-12-14,15006900224
2019-12-16,14405399552
2019-12-17,14840599552
2019-12-19,14675500032
2020-01-04,14873600000
2020-01-08,14837099520
2020-01-09,14998800384
2020-01-12,14675500032
2020-01-13,14625000448
2020-01-14,14675500032
2020-02-06,15154400256
2020-02-08,14675500032
2020-02-14,14532700160
2020-02-15,14675500032
2020-02-25,14554600448
2020-02-26,14675500032
2020-04-22,14720700416
2020-06-06,14829800448
2020-06-08,14720700416
2020-08-28,14720700416
2020-09-05,14987599872
2020-09-06,14720700416
2020-11-26,14720700416
2021-03-17,14720700416
2021-04-24,14786899968
2021-04-26,14786899968
2021-04-27,14745199616
2021-07-08,14745199616
2021-08-26,14793199616
2021-08-27,14745199616
2021-09-10,12830199808
2021-09-21,12830199808
2021-12-03,12883800064
2021-12-05,12830199808
2022-01-03,12961699840
2022-01-05,12830199808
2022-02-11,12830199808
2022-03-15,12855400448
2022-03-17,15077000192
2022-03-19,12830199808
2022-04-05,13264700416
2022-04-07,12830199808
2022-04-11,12905700352
2022-04-12,12830199808
2022-04-23,12830199808
2022-05-04,12853799936
2022-05-05,12830199808
2022-07-12,12896100352
2022-07-13,12830199808
2022-08-05,13080000512
2022-08-06,12830199808
2022-09-02,12830199808
2022-09-20,13072700416
2022-09-21,12830199808
2022-09-26,13130300416
2022-10-01,12830199808
2023-01-28,12830199808
2023-02-07,12994700288
2023-02-08,12830199808
2023-02-28,13139699712
2023-03-01,12830199808
2023-03-25,12916500480
2023-03-29,12858900480
2023-04-01,13196800000
2023-04-04,12857700352
2023-04-05,12830199808
2023-04-20,12913899520
2023-04-22,12830199808
2023-04-27,12830199808
2023-05-04,13007599616
2023-05-06,12830199808
2023-05-14,12982599680
2023-05-16,12830199808
2023-05-25,13198499840
2023-05-26,12830199808
2023-06-09,13143100416
2023-06-13,12830199808
2023-06-20,12921199616
2023-06-22,12830199808
2023-07-06,12923599872
2023-07-07,12830199808
2023-07-08,12862400512
2023-08-22,12830199808
2023-09-21,12893100032
2023-09-22,12830199808
2023-10-19,12830199808
2023-10-21,12830199808
2023-10-23,12830199808
2023-10-25,13125799936
2023-10-26,12830199808
2023-11-03,12912100352
2023-11-04,12830199808
2023-11-08,13134399488
2023-11-09,12830199808
2023-12-05,13198300160
2023-12-06,12830199808
2023-12-22,12830199808
2023-12-27,12881899520
2023-12-28,12830199808
2024-01-18,12830199808
2024-01-22,12966099968
2024-01-23,12830199808
2024-01-31,12941800448
2024-02-01,12830199808
2024-02-19,12939400192
2024-02-20,12830199808
2024-02-28,12910900224
2024-02-29,12966099968
2024-03-01,12830199808
2024-03-15,12830199808
2024-03-19,12904599552
2024-03-20,12830199808
2024-03-22,13029099520
2024-03-23,12830199808
2024-03-25,12930400256
2024-03-26,12830199808
2024-03-27,12830199808
2024-04-12,12830199808
2024-04-15,12830199808
2024-04-16,12830199808
2024-04-17,12830199808
2024-04-18,12853900288
2024-04-19,12877800448
2024-04-22,12830199808
2024-04-24,12830199808
2024-04-25,12830199808
2024-04-26,12830199808
2024-04-30,13077000192
2024-05-01,12830199808
2024-05-02,12830199808
2024-05-04,12830199808
2024-05-07,13098000384
2024-05-10,12830199808
2024-05-14,12830199808
2024-05-17,12830199808
2024-05-18,12830199808
2024-05-20,12853000192
2024-05-24,12830199808
2024-05-27,12830199808
2024-05-28,12830199808
2024-05-29,12830199808
2024-05-30,13044500480
2024-05-31,12830199808
2024-06-05,12830199808
2024-06-07,12830199808
2024-06-12,12830199808
2024-06-13,12830199808
2024-06-17,12830199808
2024-06-18,12830199808
2024-06-19,12854599680
2024-06-20,13002900480
2024-06-21,12830199808
2024-06-25,12929300480
2024-06-26,12830199808
2024-06-27,12830199808
2024-07-02,12830199808
2024-07-03,12830199808
2024-07-08,12830199808
2024-07-10,12830199808
2024-07-15,12830199808
2024-07-16,12830199808
2024-07-19,13222700032
2024-07-22,12830199808
2024-07-24,12830199808
2024-07-25,12830199808
2024-07-30,12830199808
2024-08-01,12830199808
2024-08-05,12830199808
2024-08-06,12830199808
2024-08-07,12830199808
2024-08-13,12854700032
2024-08-14,12830199808
2024-08-19,12991800320
2024-08-20,12830199808
2024-08-26,13064800256
2024-08-27,12830199808
2024-08-28,13065600000
2024-08-29,12830199808
2024-09-03,12967700480
2024-09-04,12830199808
2024-09-06,12875299840
2024-09-07,12830199808
2024-09-27,13184900096
2024-09-28,12830199808
2024-10-03,13076599808
2024-10-04,12830199808
2024-10-18,12872999936
2024-10-19,12830199808
2024-10-31,13507699712
2024-11-01,12830199808
2024-11-14,13082600448
2024-11-15,12830199808
2024-11-30,12913399808
2024-12-02,12830199808
2024-12-14,13007599616
2024-12-16,13030400000
2024-12-17,12830199808
2025-01-06,13048399872
2025-01-07,12830199808
2025-01-13,13073600512
2025-01-14,12830199808
2025-02-06,13038799872
2025-02-07,12830199808
2025-02-08,12830199808
2025-02-14,13131599872
2025-02-15,12830199808
2025-02-26,12891799552
2025-02-27,12830199808
2025-03-21,12868200448
2025-03-22,12830199808
2025-03-25,12984299520
2025-03-26,12830199808
2025-04-01,12830199808
2025-04-07,12830199808
2025-04-08,12830199808
2025-04-09,12830199808
2025-04-14,12830199808
2025-04-15,12830199808
2025-04-16,12830199808
2025-04-17,13228800000
2025-04-18,12830199808
2025-04-23,12830199808
2025-04-25,13017199616
2025-04-28,12830199808
2025-04-30,12830199808
2025-05-02,12830199808
2025-05-06,12830199808
2025-05-07,12830199808
2025-05-09,13466999808
2025-05-10,12830199808
2025-05-12,12830199808
2025-05-13,12830199808
2025-05-15,12830199808
2025-05-19,12830199808
2025-05-21,12830199808
2025-05-23,12830199808
