Date,Dividend,Split,DividendRaw
2000-06-08,0.00537,,0.042119
2001-05-10,0.0054,,0.042354
2002-06-13,0.0081,,0.063532
2003-06-10,0.0093,,0.072944
2004-05-10,0.0113,,0.08863
2005-06-06,0.0114,,0.089415
2006-02-13,0.0107,,0.083924
2006-06-05,0.0125,,0.098043
2007-01-29,0.010703,,0.083924
2007-06-04,0.013801,,0.108239
2008-02-28,0.010699,,0.083924
2008-05-27,0.0162,,0.127063
2009-06-02,0.023298,,0.182751
2010-06-04,0.034306,,0.269029
2011-06-03,0.042703,,0.334913
2012-06-07,0.037504,,0.294128
2013-06-13,0.032204,,0.252557
2014-05-22,0.2829,,
2015-06-01,0.2768,,
2016-06-07,0.1779,,
2017-07-03,0.12325,,
2018-06-07,0.19536,,
2019-06-05,0.50178,,
2020-06-10,0.6572,,
2021-06-09,0.85944,,
2021-11-05,1.0717,,
2022-06-15,0.83206,,
2022-11-04,0.5202,,
2023-06-07,0.51486,,
2024-06-12,0.5953,,
2025-06-11,0.72424,,
2026-06-10,0.92176,,
