Date,Open,High,Low,Close,Volume
2013-01-02,7.916666,8.016666,7.7,7.8,11308086
2013-01-03,7.9,7.9,7.616666,7.75,8597478
2013-01-04,7.683333,7.7,7.533333,7.616666,7227600
2013-01-07,7.6,7.916666,7.6,7.716666,10479495
2013-01-08,7.833333,8,7.716666,7.933333,14135391
2013-01-09,7.966666,8.766666,7.933333,8.666666,32051040
2013-01-10,8.716666,9.033333,8.35,8.45,26355075
2013-01-11,8.666666,8.75,8.383333,8.616666,13607850
2013-01-14,8.566666,8.833333,8.566666,8.833333,9399060
2013-01-15,8.833333,9.166666,8.683333,8.966666,14686533
2013-01-16,8.966666,9.1,8.65,8.966666,12681420
2013-01-17,8.866666,9.016666,8.533333,8.566666,11761224
2013-01-18,8.683333,8.933333,8.666666,8.933333,11835177
2013-01-21,9,9.05,8.85,8.933333,5336505
2013-01-22,8.933333,8.933333,8.8,8.85,4729302
2013-01-23,8.866666,8.933333,8.716666,8.816666,6481866
2013-01-24,8.75,8.966666,8.716666,8.85,8743500
2013-01-25,8.8,8.866666,8.566666,8.65,8075790
2013-01-28,8.633333,8.75,8.483333,8.633333,5826750
2013-01-29,8.516666,8.75,8.433333,8.683333,5694534
2013-01-30,8.583333,8.783333,8.566666,8.683333,6493800
2013-01-31,8.666666,8.75,8.466666,8.65,8244300
2013-02-01,8.633333,8.666666,8.5,8.616666,6711804
2013-02-04,8.633333,8.833333,8.616666,8.783333,8813949
2013-02-05,8.533333,8.683333,8.35,8.633333,10333890
2013-02-06,8.733333,9.15,8.683333,9.083333,16392918
2013-02-07,9.3,9.733333,9.1,9.683333,28243812
2013-02-08,9.6,9.783333,9.533333,9.633333,11812020
2013-02-14,9.566666,10.0333,9.533333,9.983333,12340317
2013-02-15,9.966666,10.75,9.833333,10.7,19401618
2013-02-18,10.7,10.9333,10.4833,10.4833,12887238
2013-02-19,10.4667,10.4667,9.75,9.766666,18621120
2013-02-20,9.866666,10.3333,9.866666,10.3333,13059666
2013-02-21,10.1333,10.2,9.716666,10,12032490
2013-02-22,9.883333,10.4167,9.816666,9.966666,11381982
2013-02-25,10.0833,10.1833,9.766666,9.8,8056272
2013-02-26,9.583333,9.933333,9.416666,9.483333,12257700
2013-02-27,9.416666,9.716666,9.366666,9.566666,13749468
2013-02-28,9.583333,9.8,9.166666,9.166666,22187016
2013-03-01,9,9.55,8.883333,9.283333,14317992
2013-03-04,9.25,9.45,9.066666,9.4,7906500
2013-03-05,9.3,9.75,9.3,9.7,9057990
2013-03-06,9.783333,9.95,9.566666,9.7,8812125
2013-03-07,9.616666,9.65,9.216666,9.433333,8562762
2013-03-08,9.35,9.516666,9.25,9.266666,8275911
2013-03-11,9.166666,9.533333,9.166666,9.216666,7644405
2013-03-12,9.166666,9.416666,9.033333,9.133333,9965910
2013-03-13,9.066666,9.15,8.65,8.816666,11589060
2013-03-14,8.65,8.833333,8.416666,8.766666,16590477
2013-03-15,8.766666,8.816666,8,8.083333,20678328
2013-03-18,7.9,7.983333,7.766666,7.816666,17698200
2013-03-19,7.75,8.05,7.683333,7.85,8231664
2013-03-20,7.85,8.583333,7.733333,8.566666,18606471
2013-03-21,8.416666,8.6,8,8.2,14785050
2013-03-22,8.133333,8.466666,7.983333,8.316666,7764702
2013-03-25,8.433333,8.533333,8.1,8.25,8602500
2013-03-26,8.1,8.4,8.033333,8.366666,7043886
2013-03-27,8.3,8.483333,8.266666,8.383333,7699500
2013-03-28,8.25,8.333333,8.133333,8.25,8142516
2013-04-02,8,8.4,7.966666,8.1,4596840
2013-04-03,8.1,8.233333,7.766666,7.8,5277522
2013-04-05,7.633333,7.633333,7.2,7.216666,17356350
2013-04-08,7.116666,7.733333,7,7.55,12259500
2013-04-09,7.45,7.85,7.45,7.683333,5613168
2013-04-10,7.716666,7.933333,7.6,7.65,6271800
2013-04-11,7.733333,7.85,7.516666,7.533333,3805242
2013-04-12,7.466666,7.666666,7.466666,7.6,2919750
2013-04-15,7.333333,7.533333,7.3,7.366666,4881300
2013-04-16,7.083333,7.666666,7.016666,7.45,10381932
2013-04-17,7.5,7.616666,7.333333,7.333333,4855314
2013-04-18,7.266666,7.533333,7.233333,7.466666,3670233
2013-04-19,7.533333,8.066666,7.433333,8.066666,17359500
2013-04-22,8.116666,8.633333,7.933333,8.6,19668600
2013-04-23,8.5,8.55,8.15,8.45,12901257
2013-04-24,8.483333,8.833333,8.433333,8.75,12617340
2013-04-25,8.75,8.85,8.35,8.366666,10426503
2013-04-26,8.916666,9.466666,8.866666,9.383333,38573664
2013-04-29,9.366666,9.466666,8.966666,9.283333,14367900
2013-04-30,9.333333,9.5,9.133333,9.233333,10277628
2013-05-02,9.033333,9.316666,8.95,9.166666,12015900
2013-05-03,9.166666,9.683333,9.166666,9.5,15313950
