Date,Dividend,Split
2005-05-05,0.04849,
2005-09-15,0.024404,
2006-05-04,0.053053,
2006-09-15,0.04032,
2007-05-04,0.081064,
2007-09-14,0.061116,
2008-05-02,0.096874,
2008-09-11,0.102179,
2008-12-10,0.306642,
2009-05-12,0.1182,
2009-09-15,0.139869,
2010-05-11,0.23916,
2010-09-14,0.235022,
2011-05-09,0.216657,
2011-09-09,0.123259,
2019-06-18,0.102638,
2020-06-16,0.1692,
2021-06-16,0.2486,
2022-06-17,0.5345,
2023-06-16,0.5064,
2023-08-23,0.3955,
2024-06-17,0.2036,
2024-08-29,0.412,
2025-06-16,0.2266,
2025-09-03,0.368,
2026-06-15,0.2686,
2026-09-03,0.4061,
