Date,Dividend,Split
2000-12-26,1.4,
2001-03-27,0.35,
2002-03-26,1.4,
2003-03-26,1.6,
2004-03-26,2,
2005-03-28,2,
2006-03-28,2.4,
2007-03-27,2.4,
2007-06-27,0.6,
2008-03-26,3,
2009-03-26,3,
2010-03-29,2.7,
2011-03-29,3,
2012-03-28,3,
2013-03-27,4,
2014-03-27,4,
2015-03-27,4.8,
2016-03-29,4.8,
2016-09-28,3.2,
2017-03-29,3.6,
2017-09-27,4.4,
2018-03-28,3.4,
2018-09-26,4,
2019-03-27,4.2,
2019-09-27,4.2,
2020-03-30,4.2,
2020-09-29,4.2,
2021-03-30,4.8,
2021-09-29,4.4,
2022-03-30,7.8,
2022-09-29,6,
2023-03-30,9.6,
2023-09-28,6.8,
2024-03-28,14,5
2024-09-27,10,
2025-03-28,15,
2025-09-29,10,
2026-03-30,15,
