Date,Shares
2017-06-29,150908000
2018-11-14,30181300
2018-11-16,30181300
2018-11-19,30181800
2018-11-21,30181800
2018-11-22,30181800
2018-11-28,30181800
2018-11-29,30181800
2018-12-05,30181800
2018-12-06,30181800
2018-12-07,30181800
2018-12-09,30181800
2018-12-11,30181800
2018-12-12,30181800
2018-12-14,30181800
2018-12-16,30181800
2018-12-17,30181800
2018-12-19,30181800
2018-12-21,30181800
2018-12-30,30181800
2019-01-05,30181800
2019-01-07,30181800
2019-01-09,30181800
2019-01-10,30181800
2019-01-12,30181800
2019-01-14,30181800
2019-01-16,30181800
2019-01-17,30181800
2019-01-22,30181800
2019-01-25,30181800
2019-01-28,30181800
2019-01-30,30181800
2019-02-04,30181800
2019-02-07,30181800
2019-02-10,30181800
2019-02-13,30181800
2019-02-15,30181800
2019-02-17,30181800
2019-02-20,30181800
2019-02-28,30181800
2019-03-07,30181800
2019-03-10,30181800
2019-03-14,30181800
2019-03-17,30181800
2019-03-26,30181800
2019-03-29,30181800
2019-04-01,30181800
2019-04-05,30181800
2019-04-09,30181800
2019-04-14,30181800
2019-04-17,30181800
2019-04-21,30181800
2019-04-29,30181800
2019-05-02,30181800
2019-05-05,30181800
2019-05-09,30181800
2019-05-12,30181800
2019-05-19,30176200
2019-05-22,30176200
2019-05-28,30176200
2019-06-03,30176200
2019-06-05,30176200
2019-06-10,30176200
2019-06-11,30176200
2019-06-17,30176200
2019-06-19,30176200
2019-06-21,30176200
2019-06-23,30176200
2019-08-03,30176300
2019-08-07,32503400
2019-08-08,30176300
2019-08-09,30382900
2019-08-10,29546600
2019-08-11,30176300
2019-08-22,29952700
2019-08-23,30176300
2019-08-30,30316800
2019-08-31,29323700
2019-09-02,29700700
2019-09-06,28735300
2019-09-09,28416000
2019-09-12,31095400
2019-09-13,30393600
2019-09-14,30153600
2019-09-16,30176300
2019-09-20,29935000
2019-09-21,30118800
2019-09-22,30176300
2019-09-28,29360100
2019-09-30,30176300
2019-10-03,30016900
2019-10-04,30176300
2019-10-05,30337400
2019-10-08,29959300
2019-10-09,29300200
2019-10-10,30176300
2019-10-24,30491800
2019-10-25,30176300
2019-10-30,30777700
2019-10-31,30176300
2019-11-01,30020400
2019-11-02,30176300
2019-11-08,31095500
2019-11-09,31169700
2019-11-13,30176300
2019-11-14,30035200
2019-11-15,30490300
2019-11-16,30176300
2019-11-23,30197200
2019-12-04,30176300
2019-12-13,30126300
2019-12-14,30176300
2019-12-18,30127000
2019-12-19,30077500
2019-12-20,30176300
2020-01-08,30767800
2020-01-09,30176300
2020-01-10,30103700
2020-01-11,29584800
2020-01-12,30176300
2020-01-13,30977300
2020-01-14,30176300
2020-01-24,29981000
2020-01-26,30176300
2020-02-07,30620100
2020-02-09,30176300
2020-02-13,29907700
2020-02-14,30176300
2020-03-03,29347700
2020-03-04,30505000
2020-03-05,30505000
2020-03-06,30007600
2020-03-07,30176300
2020-03-10,31198500
2020-03-11,30034900
2020-03-13,30034900
2020-04-13,29844800
2020-04-14,29844800
2020-05-18,29611600
2020-06-10,29422800
2020-06-30,29845300
2020-07-07,29422800
2020-07-11,29249900
2020-07-13,29249900
2020-08-15,29024700
2020-08-17,29024700
2020-08-28,29024700
2020-09-05,29024700
2020-09-06,29024700
2020-09-14,28822900
2020-10-12,28675100
2020-10-13,28675100
2020-11-13,28442100
2020-11-26,28442100
2021-02-17,26706600
2021-03-17,26706600
2021-04-10,28222000
2021-04-12,28222000
2021-04-24,28606200
2021-04-27,28222000
2021-05-18,28068500
2021-06-15,27938600
2021-06-16,27938600
2021-07-14,27860900
2022-02-11,27860900
2022-02-17,28345400
2022-02-19,27860900
2022-03-15,28061600
2022-03-17,27860900
2022-07-01,27862700
2022-07-19,27895800
2022-07-20,27862700
2022-09-13,27862700
