Date,Open,High,Low,Close,Volume
2024-01-04,463.8,478.9,456.8,478.2,3000400
2024-01-05,485.6,488.1,483.5,487.2,2440700
2024-01-09,486.3,486.3,486.3,486.3,355100
2024-01-10,488,498.3,487.5,493.6,1966700
2024-01-11,497.8,503.8,495.8,496.8,1679700
2024-01-12,508.9,508.9,497.3,507.7,2611300
2024-01-15,506.5,507.5,499.2,499.8,400900
2024-01-16,502,505.2,498.1,500,1631400
2024-01-17,502.2,510.4,490.3,490.6,2209300
2024-01-18,490.3,498.2,490,490,1253900
2024-01-19,497,498.1,491,494,1152200
2024-01-22,496.2,502.2,493.7,500.5,1632100
2024-01-23,502.8,505.3,497.2,499.7,1538600
2024-01-24,496,502.8,495.2,496.8,1146400
2024-01-25,493,500.6,493,499.6,1044800
2024-01-26,499.6,502.7,494.2,498.9,1450700
2024-01-29,503,521.6,503,516.3,2697600
2024-01-30,511,515.3,505.5,506.3,1726800
2024-01-31,502.6,509.9,501.2,506.5,1387700
2024-02-01,491,493.8,486.2,489.1,2377900
2024-02-02,473.1,485.2,467.6,475.9,4544400
2024-02-05,480,481.9,468.1,477.7,2579400
2024-02-06,464.5,464.5,464.5,464.5,356900
2024-02-07,462,469.4,461,466,1973300
2024-02-08,466.5,467.5,450.6,461,3000200
2024-02-09,463.3,463.8,456.1,456.1,2095400
2024-02-13,461.5,464,452.6,463,2325500
2024-02-14,463,463.6,451.4,452.9,2179000
2024-02-15,457.9,458.8,448.8,453,1762000
2024-02-16,455,464.7,454.2,462.6,2036600
2024-02-19,466.5,474.5,464,472.7,1846700
2024-02-20,471.5,474.8,469.1,473.1,1820800
2024-02-21,474,474.9,464.9,470,1728000
2024-02-22,470,471.9,466.2,470.6,1624900
2024-02-26,474,476.9,470.3,473.2,1607600
2024-02-27,472.5,498.5,471.7,495.1,3095400
2024-02-28,495.5,503.6,491.3,496.6,2319900
2024-02-29,495,501.3,492.1,498,1913900
2024-03-01,482,502.9,481,498.9,3094400
2024-03-04,499,500.6,488.8,490.8,1810800
2024-03-05,490,493.6,482.8,491.4,1980600
2024-03-06,491.7,510.4,491.7,508.2,3294700
2024-03-07,508.2,509,488.7,494.1,2225700
2024-03-08,494.5,496.9,487.7,491.5,1803000
2024-03-11,484,485.4,471.1,479.2,2173000
2024-03-12,477,482.9,466.1,481.5,1482600
2024-03-13,484,487.7,475.4,478.4,1562300
2024-03-14,480,481.7,475.1,481.3,1196500
2024-03-15,481.3,489.4,480.3,488.2,1999200
2024-03-18,496,506,491.3,506,2057100
2024-03-19,505,509.8,498.9,509.5,2040700
2024-03-21,515.1,525.9,515,518.1,2716800
2024-03-22,521.9,533.1,519,530,2134800
2024-03-25,525.3,532.3,520.4,520.5,1731700
2024-03-26,515,518.7,512.1,516,1414600
2024-03-27,522.2,524.4,515.2,518.5,1527100
2024-03-28,518,519,503.5,505.1,1795400
2024-03-29,506.9,511.9,504.1,509.8,615600
2024-04-01,515,516,503.3,508.5,1097200
2024-04-02,508.6,510.6,502.5,505.6,1310900
2024-04-03,504.7,514.5,501.5,506.4,1423300
2024-04-04,514.5,515.9,507.3,515.3,1486900
2024-04-05,511.2,513.1,502.4,507.3,1398300
2024-04-08,514.9,517.4,510,516.2,982200
2024-04-09,518,520.8,514.5,520.1,962100
2024-04-10,519.8,520.1,514.7,515.8,934900
2024-04-11,511.9,515.1,506.6,514.9,1008100
2024-04-12,518.4,518.5,510.8,512.6,1065000
2024-04-15,507,508.4,501.8,506.2,1108000
2024-04-16,504,506,496.7,499.4,1286900
2024-04-17,500.4,505.8,490.9,491.9,1649500
2024-04-18,490,495.5,488.1,490.7,1375000
2024-04-19,490,491.3,469.2,472.2,2686700
2024-04-22,488.2,490.6,483.1,490.4,1490600
2024-04-23,490,492,483.3,485.1,1315300
2024-04-24,490.9,494.8,486.9,491.9,1234100
2024-04-25,482.5,485.4,462.5,462.6,3357200
2024-04-26,458.5,465.6,451.1,452.3,5225600
2024-04-30,458.9,469.6,455.6,460.7,3343200
2024-05-01,458.4,460.4,451.5,452.2,2704300
2024-05-02,452.5,456.3,447.5,450.2,3536100
2024-05-07,453.8,462.4,453.1,462.1,3286300
2024-05-08,460,463.9,458.1,462.6,2017600
2024-05-09,467.8,468,458.4,461.6,1832800
2024-05-10,464.6,468.3,459.7,462.5,1569300
2024-05-13,461.7,462.7,458.1,459.8,1500200
2024-05-14,463.8,471.5,462.1,469.9,1664100
2024-05-15,472.9,478.1,469.3,470,2029700
2024-05-16,466.5,466.5,453.3,463.7,2434600
2024-05-17,456.3,462.6,454.9,455.5,1592400
2024-05-20,455.6,466.9,454.7,462.8,1712700
2024-05-21,461.5,465,448.1,448.1,2679200
2024-05-22,449,452.5,444.1,444.1,2425200
2024-05-23,441.4,444.1,434.5,444,1763000
2024-05-24,435,445.7,433.3,442.9,1379200
2024-05-27,441.9,444.5,440,444.1,884000
2024-05-28,446.4,452.6,444.5,450,1524000
2024-05-29,446.7,449.6,442,442,1332000
2024-05-30,440,443.2,434,438.4,1958100
2024-05-31,439.5,443.1,436.3,438.8,2708300
2024-06-03,441,446,438.8,441.7,1814400
2024-06-04,440,443.1,437.4,439,1789600
2024-06-05,436.6,441,434.2,439.6,2084800
2024-06-06,443,443.7,431.4,435.2,2130600
2024-06-07,433,436,427.1,428.6,1875800
2024-06-10,429.1,435.9,429,434.8,1147900
2024-06-11,435.5,442,433.8,440.5,1457300
2024-06-12,438.6,441.5,438,440,1021900
2024-06-13,440.1,440.9,425.6,426.6,1626500
2024-06-14,424,429,423,423.2,2438400
2024-06-17,420,420,409,415.9,2984700
2024-06-18,419.1,421,417.2,419.8,1519600
2024-06-19,420,427.4,419.2,426,985400
2024-06-20,425,427.6,423.6,426.4,1058000
2024-06-21,430,434.9,429,430.3,2129000
2024-06-24,430.4,432.2,427.1,431.7,1350500
2024-06-25,435.4,442.9,435,441.7,1624700
2024-06-26,439.3,441.6,435.2,438.1,1584200
2024-06-27,436.3,442.8,433.2,442,2092700
2024-06-28,427.5,427.6,416.7,418,6739200
2024-07-01,425.8,427,420.2,422.6,2944300
2024-07-02,423.2,427.3,421.6,426.6,2716700
2024-07-03,426,428.7,422.9,428,2036200
2024-07-04,429.8,437.9,428.6,437.9,2754900
2024-07-05,440,440,425.3,425.3,2013300
2024-07-08,421.4,423.1,420,420.6,2426500
2024-07-09,424,426.9,418.5,424.1,2008400
2024-07-10,421.5,423.2,419.1,419.1,2086100
2024-07-11,424.8,432.5,424.1,430.1,2520000
2024-07-12,429.1,434.9,428.1,434.1,1975100
2024-07-16,435.2,437.8,431.4,433.9,1522300
2024-07-17,436.8,446.9,435.4,443.8,1996000
2024-07-18,438.1,442.1,437.5,437.9,1561100
2024-07-19,438,439.2,434,437,1201600
2024-07-22,435,435.4,430.2,431.2,1121200
2024-07-23,434.1,439.2,431.4,431.7,1214600
2024-07-24,430,430,418.6,419.3,2217600
2024-07-25,412.2,414.9,402.1,402.1,4471100
2024-07-26,442,469.6,435,453.4,16521800
2024-07-29,461.4,477.5,460.3,476.6,7992900
2024-07-30,473,490.3,468.7,486.7,5282500
2024-07-31,486.4,492.4,475.7,490.5,4471300
2024-08-01,474.5,476.6,461.6,467.4,4796000
2024-08-02,451.4,454.3,438.2,442.3,3356400
2024-08-05,418.3,428.8,399,412.2,6522300
