Date,Dividend,Split,DividendRaw
2004-03-26,10,,
2005-03-28,15,,
2006-03-28,25,,
2007-03-27,45,,
2007-09-25,22.5,,
2008-03-26,37.5,,
2008-09-25,30,,
2009-03-26,30,,
2009-09-25,30,,
2010-03-29,30,,
2010-09-28,30,,
2011-03-29,30,,
2011-09-28,25,,
2012-03-28,25,,
2012-09-26,25,,
2013-03-27,25,,
2013-09-26,12.5,,
2014-03-27,12.5,,
2014-09-26,10,,
2015-03-27,10,,
2015-09-28,12.5,,
2016-03-29,12.5,,
2016-09-28,12.5,0.2,
2017-03-29,12.5,,
2017-09-27,17.5,,
2018-03-28,20,,
2018-09-26,25,,
2019-03-27,30,,
2019-09-27,27.5,,
2020-03-30,17.5,,
2020-09-29,17.5,,
2021-03-30,17.5,,
2021-09-29,22.5,,
2022-03-30,34.5,,
2022-09-29,29,,
2023-03-30,29,,
2023-09-28,29,,
2024-03-28,30,,
2024-09-27,38,,
2025-03-28,48,,
2025-09-29,44,,
2026-03-30,48,,
