Date,Open,High,Low,Close,Volume
2020-01-06,3275,3285,3230,3275,576400
2020-01-07,3285,3330,3285,3320,379700
2020-01-08,3220,3255,3175,3230,891500
2020-01-09,3295,3335,3290,3330,509900
2020-01-10,3360,3360,3315,3340,411100
2020-01-14,3340,3355,3315,3330,381400
2020-01-15,3325,3380,3315,3355,593400
2020-01-16,3465,3475,3360,3385,940900
2020-01-17,3480,3585,3480,3575,1791600
2020-01-20,3665,3665,3595,3625,750200
2020-01-21,3625,3650,3600,3605,511100
2020-01-22,3590,3615,3580,3615,486300
2020-01-23,3570,3575,3525,3545,670900
2020-01-24,3490,3505,3390,3505,1491100
2020-01-27,3440,3440,3360,3360,956200
2020-01-28,3325,3335,3270,3285,1063000
2020-01-29,3335,3340,3250,3285,939500
2020-01-30,3250,3275,3145,3185,1044900
2020-01-31,3325,3375,3275,3290,1519000
2020-02-03,3250,3370,3250,3340,1196400
2020-02-04,3360,3410,3335,3380,990200
2020-02-05,3485,3495,3450,3470,1086300
2020-02-06,3515,3630,3510,3600,1283800
2020-02-07,3570,3620,3535,3595,561800
2020-02-10,3530,3575,3525,3545,499500
2020-02-12,3570,3580,3480,3510,866200
2020-02-13,3515,3515,3440,3460,680900
2020-02-14,3420,3465,3410,3455,481200
2020-02-17,3400,3465,3390,3450,328500
2020-02-18,3445,3450,3395,3405,466600
2020-02-19,3390,3425,3340,3415,504700
2020-02-20,3460,3485,3385,3385,573900
2020-02-21,3370,3395,3340,3355,848300
2020-02-25,3200,3240,3190,3200,1078200
2020-02-26,3155,3165,3070,3150,1146600
2020-02-27,3110,3115,3035,3085,1020000
2020-02-28,2979,2992,2901,2963,1516100
2020-03-02,2924,2985,2880,2959,1529400
2020-03-03,3010,3040,2883,2884,1152000
2020-03-04,2835,2887,2831,2871,650400
2020-03-05,2921,2921,2817,2850,956500
2020-03-06,2765,2770,2644,2674,1636300
2020-03-09,2580,2586,2417,2450,1190800
2020-03-10,2409,2554,2348,2536,1417800
2020-03-11,2507,2556,2431,2436,894300
2020-03-12,2358,2398,2226,2243,1655000
2020-03-13,2043,2252,2042,2141,1672600
2020-03-16,2158,2209,2068,2075,1019800
2020-03-17,2027,2131,1960,2065,1238900
2020-03-18,2090,2161,2052,2062,1187400
2020-03-19,2116,2137,2028,2041,1429400
2020-03-23,2010,2058,1967,2025,1158700
2020-03-24,2108,2163,2026,2154,1021600
2020-03-25,2404,2472,2311,2469,1352100
2020-03-26,2466,2513,2407,2467,1435300
2020-03-27,2616,2645,2477,2577,875200
2020-03-30,2450,2476,2325,2429,880400
2020-03-31,2448,2534,2396,2449,1120600
2020-04-01,2401,2484,2319,2345,783400
2020-04-02,2295,2309,2232,2262,870900
2020-04-03,2290,2325,2224,2253,589000
2020-04-06,2225,2354,2197,2328,579900
2020-04-07,2444,2489,2363,2432,712400
2020-04-08,2446,2548,2407,2518,859200
2020-04-09,2515,2550,2441,2479,607500
2020-04-10,2529,2536,2433,2504,463800
2020-04-13,2473,2473,2416,2429,437600
2020-04-14,2419,2542,2408,2527,647500
2020-04-15,2484,2510,2447,2499,611300
2020-04-16,2411,2459,2382,2453,823600
2020-04-17,2519,2540,2454,2497,542100
2020-04-20,2447,2471,2421,2447,651500
2020-04-21,2378,2447,2367,2413,1382800
2020-04-22,2367,2403,2338,2378,1401500
2020-04-23,2365,2447,2365,2447,1237600
2020-04-24,2409,2409,2347,2380,962000
2020-04-27,2402,2484,2382,2484,744600
2020-04-28,2491,2501,2456,2479,482700
2020-04-30,2569,2623,2558,2594,976200
2020-05-01,2564,2580,2519,2580,873200
2020-05-07,2529,2565,2505,2540,851900
2020-05-08,2620,2674,2598,2672,788200
2020-05-11,2722,2774,2702,2758,619200
2020-05-12,2785,2785,2727,2739,686000
2020-05-13,2689,2804,2680,2786,746100
2020-05-14,2741,2747,2628,2641,596900
2020-05-15,2730,2753,2652,2691,495300
2020-05-18,2694,2709,2672,2680,338500
2020-05-19,2812,2838,2762,2764,664700
2020-05-20,2797,2799,2760,2774,397000
2020-05-21,2793,2813,2767,2782,492000
2020-05-22,2770,2774,2711,2727,389400
2020-05-25,2777,2796,2757,2777,354700
2020-05-26,2808,2896,2796,2887,651400
2020-05-27,2937,2988,2911,2975,769900
2020-05-28,3060,3090,2998,3035,788600
2020-05-29,2948,3010,2879,2879,1354000
2020-06-01,2829,2900,2799,2867,1295200
2020-06-02,2901,2992,2888,2956,1013100
