Date,Open,High,Low,Close,Volume
2019-01-04,19655.1309,19692.5801,19241.3691,19561.9609,91600000
2019-01-07,19944.6094,20266.2207,19920.8008,20038.9707,81500000
2019-01-08,20224.6699,20347.9199,20106.3594,20204.0391,86400000
2019-01-09,20366.3008,20494.3496,20331.1992,20427.0605,72800000
2019-01-10,20270.8809,20345.9199,20101.9297,20163.8008,73700000
2019-01-11,20296.4492,20389.8906,20294.7402,20359.6992,77700000
2019-01-15,20264.8203,20571.2793,20204.4297,20555.2891,78300000
2019-01-16,20575.7207,20580.25,20323.3203,20442.75,69500000
2019-01-17,20544.2305,20571.75,20342.4609,20402.2695,63600000
2019-01-18,20472.8105,20682.1191,20454.1309,20666.0703,64700000
2019-01-21,20848.3809,20892.6797,20678.2598,20719.3301,61200000
2019-01-22,20770.0605,20805.9297,20558.3008,20622.9102,57100000
2019-01-23,20453.4395,20686.2891,20438.2207,20593.7207,0
2019-01-24,20506.2402,20620.7207,20467.5898,20574.6309,61400000
2019-01-25,20598.6406,20844.3105,20598.6406,20773.5605,68400000
2019-01-28,20746.2891,20759.4805,20624.5508,20649,56800000
2019-01-29,20555.4395,20673.6602,20406.2207,20664.6406,63100000
2019-01-30,20701.6191,20706.2695,20527.5293,20556.5391,72100000
2019-01-31,20832.9102,20869.4199,20682.9102,20773.4902,75700000
2019-02-01,20797.0293,20929.6309,20741.9805,20788.3906,82200000
2019-02-04,20831.9004,20922.5801,20823.6797,20883.7695,66600000
2019-02-05,20960.4707,20981.2305,20823.1797,20844.4492,65500000
2019-02-06,20928.8691,20971.6602,20860.9902,20874.0605,68900000
2019-02-07,20812.2207,20844.7695,20665.5098,20751.2793,70600000
2019-02-08,20510.5,20562.3906,20315.3105,20333.1699,86200000
2019-02-12,20442.5508,20885.8809,20428.5703,20864.2109,84100000
2019-02-13,21029.9297,21213.7402,20992.8809,21144.4805,78600000
2019-02-14,21147.8906,21235.6191,21102.1602,21139.7109,64500000
2019-02-15,21051.5098,21051.5098,20853.3301,20900.6309,65600000
2019-02-18,21217.3203,21306.3594,21189.9707,21281.8496,61800000
2019-02-19,21256.5801,21344.1699,21217.1602,21302.6504,53600000
2019-02-20,21346.0391,21494.8496,21315.3906,21431.4902,59700000
2019-02-21,21422.3105,21553.3496,21318.7402,21464.2305,68400000
2019-02-22,21376.3594,21451.2305,21348.6699,21425.5098,52400000
2019-02-25,21567.6602,21590.0293,21505.0703,21528.2305,51800000
2019-02-26,21556.0195,21610.8809,21405.8398,21449.3906,56400000
2019-02-27,21504.6094,21578.8105,21492.6504,21556.5098,67700000
2019-02-28,21536.5508,21536.5508,21364.0898,21385.1602,71500000
2019-03-01,21490.0195,21641.5801,21490.0195,21602.6895,62600000
2019-03-04,21812.8105,21860.3906,21740.9199,21822.0391,59100000
2019-03-05,21712.8008,21798.3809,21659.0391,21726.2793,59200000
2019-03-06,21659.0293,21684.5996,21550.4492,21596.8105,57100000
2019-03-07,21456.8809,21472.1602,21402.1191,21456.0098,75200000
2019-03-08,21339.1699,21359.3203,20993.0703,21025.5605,99800000
2019-03-11,21062.75,21145.9395,20938,21125.0898,55600000
2019-03-12,21361.6094,21568.4805,21348.8105,21503.6895,67800000
2019-03-13,21425.7695,21474.1699,21198.9902,21290.2402,66200000
2019-03-14,21474.5801,21522.75,21287.0195,21287.0195,64100000
2019-03-15,21376.7305,21521.6797,21374.8496,21450.8496,83200000
2019-03-18,21576.3594,21612.6699,21500.3203,21584.5,55200000
2019-03-19,21558.4297,21585.5508,21425.7891,21566.8496,59900000
2019-03-20,21548.6504,21614.1699,21499.1602,21608.9199,65300000
2019-03-22,21713.2598,21713.2598,21542.0293,21627.3398,78900000
2019-03-25,21267.4102,21275.4297,20911.5703,20977.1094,77700000
2019-03-26,21174.3398,21460.9902,21174.3398,21428.3906,101300000
2019-03-27,21353.6094,21388.5898,21242.5195,21378.7305,76000000
2019-03-28,21191.3203,21191.3203,20974.1895,21033.7598,71100000
2019-03-29,21228.5098,21267.25,21149.4199,21205.8105,61600000
2019-04-01,21500.8906,21682.9395,21471.1191,21509.0293,77400000
2019-04-02,21744.6406,21744.6406,21490.5605,21505.3105,71000000
