Date,Open,High,Low,Close,Volume
2005-01-03,4.277778,4.288889,4.222222,4.233333,1130400
2005-01-04,4.23,4.234444,4.176667,4.177778,1253700
2005-01-05,4.17,4.17,4.144444,4.153333,1952100
2005-01-06,4.148889,4.183333,4.138889,4.147778,2870100
2005-01-07,4.157778,4.201111,4.138889,4.191111,771300
2005-01-10,4.22,4.22,4.193333,4.212222,678600
2005-01-11,4.207778,4.218889,4.174444,4.183333,642600
2005-01-12,4.177778,4.211111,4.162222,4.177778,675900
2005-01-13,4.167778,4.202222,4.151111,4.163333,486900
2005-01-14,4.158889,4.163333,4.115556,4.14,977400
2005-01-18,4.166667,4.266667,4.134444,4.207778,949500
2005-01-19,4.207778,4.248889,4.207778,4.221111,747900
2005-01-20,4.21,4.21,4.166667,4.166667,1070100
2005-01-21,4.177778,4.194444,4.161111,4.171111,540900
2005-01-24,4.16,4.181111,4.145556,4.154444,568800
2005-01-25,4.144444,4.17,4.13,4.136667,711900
2005-01-26,4.137778,4.143333,4.111111,4.118889,822600
2005-01-27,4.103333,4.138889,4.093333,4.098889,729000
2005-01-28,4.1,4.104444,4.062222,4.078889,930600
2005-01-31,4.11,4.114444,4.072222,4.081111,559800
2005-02-01,4.098889,4.12,4.091111,4.105556,781200
2005-02-02,4.1,4.143333,4.087778,4.138889,470700
2005-02-03,4.138889,4.246667,4.128889,4.236667,1663200
2005-02-04,4.258889,4.35,4.24,4.333333,1057500
2005-02-07,4.333333,4.421111,4.332222,4.403333,1195200
2005-02-08,4.422222,4.422222,4.365556,4.4,992700
2005-02-09,4.392222,4.427778,4.363333,4.418889,696600
2005-02-10,4.405556,4.46,4.397778,4.456667,502200
2005-02-11,4.453333,4.51,4.45,4.487778,586800
2005-02-14,4.505556,4.555556,4.461111,4.546667,1458000
2005-02-15,4.57,4.618889,4.541111,4.598889,1409400
2005-02-16,4.544444,4.621111,4.457778,4.604444,2224800
2005-02-17,4.612222,4.625556,4.532222,4.541111,977400
2005-02-18,4.538889,4.613333,4.532222,4.598889,896400
2005-02-22,4.613333,4.613333,4.443333,4.45,999000
2005-02-23,4.468889,4.501111,4.45,4.485556,517500
2005-02-24,4.474444,4.524444,4.457778,4.516667,711900
2005-02-25,4.527778,4.564444,4.476667,4.564444,468900
2005-02-28,4.565556,4.608889,4.513333,4.608889,1112400
2005-03-01,4.593333,4.637778,4.573333,4.586667,674100
2005-03-02,4.572222,4.607778,4.555556,4.603333,859500
2005-03-03,4.594444,4.594444,4.528889,4.543333,582300
2005-03-04,4.566667,4.634444,4.54,4.634444,1170000
2005-03-07,4.638889,4.684444,4.632222,4.662222,892800
2005-03-08,4.662222,4.688889,4.624444,4.63,295200
2005-03-09,4.643333,4.653333,4.604444,4.605556,528300
2005-03-10,4.584444,4.605556,4.578889,4.594444,911700
2005-03-11,4.605556,4.605556,4.54,4.548889,316800
2005-03-14,4.533333,4.55,4.526667,4.538889,806400
2005-03-15,4.547778,4.561111,4.547778,4.555556,914400
2005-03-16,4.561111,4.561111,4.505556,4.514444,886500
2005-03-17,4.527778,4.54,4.514444,4.515556,920700
2005-03-18,4.508889,4.518889,4.431111,4.438889,590400
2005-03-21,4.428889,4.462222,4.428889,4.44,349200
2005-03-22,4.444444,4.467778,4.39,4.397778,1001700
2005-03-23,4.39,4.454444,4.39,4.407778,440100
2005-03-24,4.445556,4.455556,4.393333,4.406667,556200
2005-03-28,4.423333,4.423333,4.313333,4.393333,957600
2005-03-29,4.406667,4.473333,4.4,4.461111,993600
2005-03-30,4.444444,4.473333,4.438889,4.465556,598500
2005-03-31,4.482222,4.482222,4.442222,4.448889,783900
2005-04-01,4.455556,4.488889,4.434444,4.455556,1818000
2005-04-04,4.473333,4.486667,4.447778,4.478889,885600
2005-04-05,4.492222,4.495556,4.473333,4.495556,650700
2005-04-06,4.498889,4.541111,4.485556,4.532222,1258200
2005-04-07,4.548889,4.577778,4.522222,4.577778,2245500
2005-04-08,4.583333,4.588889,4.538889,4.551111,696600
2005-04-11,4.561111,4.561111,4.496667,4.513333,1206000
2005-04-12,4.524444,4.568889,4.524444,4.568889,727200
2005-04-13,4.567778,4.604444,4.535556,4.583333,1050300
2005-04-14,4.583333,4.583333,4.493333,4.505556,709200
2005-04-15,4.516667,4.531111,4.475556,4.478889,1096200
2005-04-18,4.477778,4.501111,4.44,4.45,681300
2005-04-19,4.45,4.477778,4.441111,4.441111,443700
2005-04-20,4.453333,4.467778,4.438889,4.45,777600
2005-04-21,4.478889,4.492222,4.454444,4.467778,665100
2005-04-22,4.487778,4.512222,4.465556,4.495556,412200
2005-04-25,4.495556,4.515556,4.493333,4.5,408600
2005-04-26,4.5,4.561111,4.486667,4.53,397800
2005-04-27,4.494444,4.5,4.394444,4.468889,1769400
2005-04-28,4.484444,4.484444,4.41,4.444444,792000
2005-04-29,4.452222,4.5,4.44,4.443333,1137600
2005-05-02,4.447778,4.5,4.436667,4.493333,1517400
