Date,Open,High,Low,Close,Volume
2019-01-02,219.91,226.17,219,224.57,2784100
2019-01-03,220.88,223.63,215.15,215.7,3663500
2019-01-04,219.84,227.65,217.48,226.19,4043400
2019-01-07,229.95,232.6,227.29,229.26,3638500
2019-01-08,232.65,233.77,228.33,232.68,3685900
2019-01-09,234.01,238.59,232,235.43,3594200
2019-01-10,233.77,238.04,231.71,237.77,2704600
2019-01-11,235.71,239.32,235.23,237.55,3179500
2019-01-14,235.33,236.26,231.96,234.56,2606800
2019-01-15,237.9,243.93,237.26,242.36,3656500
2019-01-16,243.6,244,239.68,241.95,2885200
2019-01-17,240.13,245.04,238.78,244.4,2836200
2019-01-18,247.45,250.68,244.45,247.51,3711300
2019-01-22,245.13,245.61,241.19,243.85,4155500
2019-01-23,244.91,248.16,240.6,245.14,2031400
2019-01-24,245.62,245.98,241.18,242.56,3643000
2019-01-25,244.99,247.1,243.43,244.95,3822300
2019-01-28,241,243.22,239.35,241.85,2110400
2019-01-29,241.81,242.87,237.27,238.27,1937100
2019-01-30,240.16,243,238.87,242.67,2482900
2019-01-31,243,249,243,247.82,5007200
2019-02-01,247.82,251.04,246.1,247.38,3033300
2019-02-04,248.56,256.99,248.06,254.74,3705100
2019-02-05,256.74,258.56,254.01,254.82,3042000
2019-02-06,255.06,255.93,250.71,254.35,2539100
2019-02-07,251.33,254.31,250.28,253.74,2099300
2019-02-08,251.39,257.05,250.64,257,2756800
2019-02-11,258.89,259.9,256.19,258.39,3538100
2019-02-12,260.15,262.25,258.67,261.37,2518400
2019-02-13,263.13,263.36,259.37,260.23,1899700
2019-02-14,259.4,261.71,258.01,260.14,1885000
2019-02-15,260.34,260.97,258.07,259.45,2999200
2019-02-19,258.98,260.06,256.45,257.81,3475600
2019-02-20,258.13,260.99,255.92,258.1,2484800
2019-02-21,257.3,259.35,255.12,257.76,2607400
2019-02-22,257.61,260.24,257.61,258.9,2006000
2019-02-25,261.5,262.98,258.18,258.62,1815800
2019-02-26,258,262.58,256.37,261.22,2538900
2019-02-27,259.77,263.08,256.52,262.9,2266800
2019-02-28,262.4,266.24,261.76,262.5,3810300
2019-03-01,265.75,266.24,261.5,264.01,2594000
2019-03-04,266.7,267,254.08,258.16,2994900
2019-03-05,259,259.87,256.37,257.38,2101800
2019-03-06,257.4,259.49,253.84,256.4,1950500
2019-03-07,255.77,257.49,253.29,255.46,3185200
