Date,Open,High,Low,Close,Volume
2003-01-02,31.1753,32.2381,31.1674,32.2143,2104496
2003-01-03,32.0319,32.2143,31.7067,32.0319,1666952
2003-01-06,31.564,32.3649,31.564,32.1191,2938728
2003-01-07,31.9208,32.1905,31.7226,31.8177,2448478
2003-01-08,31.6274,31.905,31.2071,31.5481,1632024
2003-01-09,31.7226,32.1984,31.5402,32.0557,1763288
2003-01-10,31.7226,32.1667,31.564,31.7146,2169938
2003-01-13,31.8415,31.9446,31.4053,31.4371,2166029
2003-01-14,31.3657,31.6433,31.2388,31.3102,2306623
2003-01-15,30.0571,30.0651,27.9555,28.7962,15386524
2003-01-16,28.7882,29.2244,28.5107,28.7486,6274020
2003-01-17,28.7406,28.7486,28.36,28.6296,3266571
2003-01-21,28.6296,28.931,28.1696,28.3124,4577688
2003-01-22,28.3203,28.5265,28.2093,28.3203,6803359
2003-01-23,28.3203,28.5503,27.8524,28.2727,5336013
2003-01-24,27.9159,28.1062,27.559,27.7572,5181801
2003-01-27,27.559,27.8365,27.2021,27.3607,4164102
2003-01-28,27.3686,27.9952,27.218,27.9159,3305786
2003-01-29,27.7414,27.9952,27.3369,27.8841,2471931
2003-01-30,27.8921,27.8921,26.8928,26.8928,4682976
2003-01-31,26.7263,27.5669,26.7263,27.4955,5582651
2003-02-03,27.5114,27.6383,26.7976,26.9642,4089707
2003-02-04,26.6866,26.7263,26.2028,26.5914,4241271
2003-02-05,26.5994,26.9087,26.3218,26.7501,3335166
2003-02-06,26.4487,26.7025,26.2504,26.3297,2885139
2003-02-07,26.4408,26.6707,26.1473,26.1711,2281278
2003-02-10,26.3297,26.4725,26.0839,26.3932,2123536
2003-02-11,26.3932,26.528,26.0522,26.528,3187889
2003-02-12,26.3377,26.6628,26.0046,26.0839,2532330
2003-02-13,26.0125,26.2504,25.2987,25.608,3272119
2003-02-14,25.4574,26.0363,25.2194,26.0204,2897496
2003-02-18,26.8056,27.0593,26.7025,26.9959,2469031
2003-02-19,26.8452,27.1545,26.5439,26.7738,1705159
2003-02-20,27.0356,27.1624,26.6866,26.7501,1549812
2003-02-21,27.0038,27.1545,26.7342,26.9404,2852859
2003-02-24,26.6073,26.647,25.6556,25.6556,2893461
2003-02-25,25.5763,26.1156,24.8943,25.9649,2856516
2003-02-26,25.8935,25.9491,25.386,25.5605,2085708
2003-02-27,25.5922,26.1077,25.267,25.7667,2362356
2003-02-28,26.0522,26.1473,25.6477,25.7746,2313558
2003-03-03,25.8618,26.1711,25.6715,25.6794,1805907
2003-03-04,25.4177,25.5763,25.0767,25.1481,2575202
2003-03-05,25.0212,25.2591,24.8229,25.2115,2435869
2003-03-06,24.8229,24.8626,24.4422,24.6246,3242235
2003-03-07,24.1091,24.5215,24.1012,24.4026,5953869
2003-03-10,24.3867,24.3867,23.9109,23.9505,5185205
2003-03-11,23.8712,24.2598,23.8712,24.0616,4943863
2003-03-12,24.0378,24.1805,23.3954,24.1488,6880907
2003-03-13,23.9267,23.9267,21.6031,21.611,31330885
2003-03-14,21.6189,23.0782,21.611,22.634,12024123
2003-03-17,22.3644,23.3161,22.3644,23.2526,5585929
2003-03-18,23.3716,23.5857,23.3161,23.3557,4945250
2003-03-19,23.4113,24.0774,23.4033,24.0616,5620101
2003-03-20,24.0695,24.5374,24.0298,24.4264,4444155
2003-03-21,24.5771,25.9015,24.4977,25.7032,4729883
2003-03-24,24.8626,24.9498,24.3867,24.4502,3264175
2003-03-25,24.2678,24.8388,24.1885,24.5215,2739627
2003-03-26,23.5937,24.7436,23.5937,24.5533,3072766
2003-03-27,24.466,24.9339,24.2281,24.7436,3565286
2003-03-28,24.585,24.7277,24.5215,24.5929,2393375
2003-03-31,24.4105,24.696,24.2043,24.4184,2276991
2003-04-01,24.4819,24.7833,24.4264,24.6881,3017789
2003-04-02,25.727,25.727,24.7753,24.9895,2581632
2003-04-03,24.9657,25.0608,24.5612,24.7674,3427087
2003-04-04,24.9974,25.037,24.5929,24.9339,2331337
2003-04-07,25.616,25.7984,25.1719,25.1798,3454450
2003-04-08,25.1005,25.5446,25.0212,25.1481,2725631
2003-04-09,25.1481,25.7825,24.8626,24.9419,2709239
2003-04-10,24.9419,25.1322,24.6088,25.0053,2100839
2003-04-11,25.4574,25.8063,24.7436,25.0688,2170947
2003-04-14,25.0053,25.497,24.5215,25.4336,2119501
2003-04-15,25.4336,25.6398,25.1401,25.3067,2399806
2003-04-16,25.5129,25.5684,25.0132,25.0767,2700412
2003-04-17,25.0767,26.0918,24.8229,25.9966,3741312
2003-04-21,25.1401,25.5367,24.8467,25.3781,4169650
2003-04-22,25.3781,26.4883,25.3781,26.2901,4019599
2003-04-23,26.5676,26.8611,26.3218,26.8531,2499041
2003-04-24,26.3932,26.9642,26.3694,26.7104,3143630
2003-04-25,26.7263,26.9562,26.2346,26.2504,2778338
2003-04-28,26.2901,27.1228,26.2425,27.0911,2409137
2003-04-29,27.0593,27.099,26.4487,26.7501,3332013
2003-04-30,26.4328,26.7025,26.3456,26.6707,3920364
2003-05-01,26.4725,26.9166,26.2108,26.8928,3046538
2003-05-02,26.9959,27.2021,26.6549,27.0831,2442804
2003-05-05,27.0831,27.0831,26.6073,26.7501,3355593
2003-05-06,26.8056,27.3607,26.7659,27.0752,3497195
2003-05-07,27.099,27.3607,26.8056,27.329,2818814
2003-05-08,27.1307,27.4559,26.9007,27.0276,2382531
2003-05-09,27.0197,27.44,26.8452,27.44,2449235
2003-05-12,27.1624,27.8524,27.0276,27.7572,2647957
2003-05-13,27.559,27.6066,26.8452,26.869,3882410
2003-05-14,26.9642,27.1307,26.7263,26.9642,2905188
2003-05-15,27.0435,27.2814,26.8849,27.1466,3415109
2003-05-16,26.9007,27.1942,26.4963,26.7738,4125013
2003-05-19,26.6152,26.6152,26.2901,26.417,3100632
2003-05-20,26.528,26.7738,26.1711,26.3456,2501185
2003-05-21,26.1315,26.6311,26.0442,26.4011,3417378
2003-05-22,26.5914,26.6073,26.1711,26.3139,2782247
2003-05-23,26.4804,26.4883,26.2425,26.3615,2771024
2003-05-27,26.2504,26.6866,26.1711,26.5756,3367950
2003-05-28,26.5201,27.0673,26.4408,26.9245,2573815
2003-05-29,26.8531,26.9007,26.5439,26.8214,2902161
2003-05-30,27.0911,27.6779,26.9721,27.6779,3418891
2003-06-02,27.7572,28.6138,27.7255,28.2489,5045998
2003-06-03,28.1538,28.352,27.9159,28.1855,4902630
2003-06-04,28.1617,28.1696,27.7572,27.9952,3641950
2003-06-05,27.9952,27.9952,27.4479,27.5431,4719795
2003-06-06,27.7097,28.241,27.6859,27.8524,4646787
2003-06-09,27.6462,27.7335,27.0593,27.2418,2572049
2003-06-10,27.2497,27.6224,26.9404,27.6224,1946375
2003-06-11,27.5273,27.6779,26.8452,27.44,3366311
2003-06-12,27.6383,27.6383,27.0276,27.2338,3686966
2003-06-13,27.2814,27.2814,26.8056,27.0514,3143882
2003-06-16,27.1069,27.8841,26.988,27.7731,3074279
2003-06-17,27.8524,28.13,27.6779,28.0665,3120050
2003-06-18,27.7652,28.5424,27.6859,28.13,2686794
2003-06-19,27.7652,27.9555,27.559,27.789,3937008
2003-06-20,27.9714,28.2648,27.7572,28.019,3156996
2003-06-23,27.7731,27.9079,27.4479,27.6938,3709158
2003-06-24,27.7493,27.9634,27.5431,27.5431,2284935
