Date,Open,High,Low,Close,Volume
2023-01-03,71.98,72.34,71.18,71.58,3314300
2023-01-04,72.22,72.44,71.67,71.92,3503700
2023-01-05,71.8,72.11,71.2,71.5,2819100
2023-01-06,72.15,74.02,71.5,73.84,3174600
2023-01-09,73.5,73.65,71.43,71.45,3401400
2023-01-10,71.74,72.25,71.35,72,2109900
2023-01-11,71.98,72.29,71.4,71.91,2491800
2023-01-12,72.13,72.41,71.55,71.8,2054800
2023-01-13,71.32,72.91,70.72,72.85,1981000
2023-01-17,72.91,73.08,72.13,72.44,3291900
2023-01-18,72.39,72.94,71.78,71.88,2548600
2023-01-19,71.6,71.8,70.67,70.68,2393700
2023-01-20,70.98,71.11,70.03,71.05,8969500
2023-01-23,71.04,72.04,70.78,71.54,2487600
2023-01-24,72.12,72.82,70.8,72.8,2339600
2023-01-25,72.45,73.11,72.19,73.09,2451200
2023-01-26,73.2,73.37,72.02,72.96,2882000
2023-01-27,72.98,73.27,72.56,72.91,2350800
2023-01-30,72.65,73.6,72.11,73.04,1777000
2023-01-31,73.03,73.57,72.29,73.5,4730100
2023-02-01,73.35,73.75,72.64,73.28,3162800
2023-02-02,73.56,73.56,68.36,68.9,5568800
2023-02-03,68.61,69.86,68.59,69.39,3333400
2023-02-06,69.19,69.73,68.65,69.58,2183100
2023-02-07,69.07,70.26,69.04,69.95,2203500
2023-02-08,69.61,70.89,69.26,70.46,2220100
2023-02-09,70.91,71.14,69.55,69.63,1900700
2023-02-10,69.64,69.94,69.43,69.88,1674700
2023-02-13,69.81,71.13,69.6,71.01,2268700
2023-02-14,70.36,70.59,69.17,69.21,2497700
2023-02-15,68.84,69.32,68.61,69.27,1621400
2023-02-16,68.66,69.73,68.52,69.13,1699600
2023-02-17,69,69.55,68.95,69.37,1770600
2023-02-21,68.96,69.13,67.83,68.13,1859200
2023-02-22,68.11,68.61,67.82,68.36,2030700
2023-02-23,68.63,69.12,67.6,68,1997900
2023-02-24,67.59,68.79,67.52,68.57,1814700
2023-02-27,68.68,69.14,68.11,68.23,1764700
2023-02-28,68.43,68.75,68.02,68.15,3066800
2023-03-01,68.19,69.22,67.93,68.12,2466500
2023-03-02,67.8,67.99,66.75,67.56,1984200
2023-03-03,67.29,68.6,67.2,68.44,1850400
2023-03-06,68.37,68.79,68.14,68.22,2146800
2023-03-07,68.34,68.38,66.76,67.06,1876500
2023-03-08,67.16,67.21,65.54,66.12,2332200
2023-03-09,66.23,66.5,64.53,64.84,3232300
2023-03-10,64.35,65.06,63.74,64.03,3614900
2023-03-13,62.65,63.66,61.7,62.16,5132800
2023-03-14,63.43,64.08,62.58,63.12,3372700
2023-03-15,61.36,61.66,60.2,61.24,3520700
2023-03-16,60.65,62.85,60.32,62.48,3083900
2023-03-17,62.22,62.22,60.69,61.29,7354500
2023-03-20,61.76,63.79,61.17,63.38,3125300
2023-03-21,64.68,65.16,64.47,64.7,2911600
2023-03-22,64.81,64.97,63.12,63.13,2015900
2023-03-23,62.82,63.52,62.17,62.53,2193900
2023-03-24,61.76,63,61.3,62.88,2163600
2023-03-27,63.76,64.1,62.93,63.11,2321100
2023-03-28,63.27,63.63,62.95,63.56,1667400
2023-03-29,64.34,64.48,63.72,64.29,1682800
2023-03-30,64.67,64.79,63.91,64.29,1905000
2023-03-31,64.51,64.67,64,64.52,2709800
2023-04-03,64.45,65.18,64.08,64.66,2457300
2023-04-04,65.1,65.1,63.46,63.91,1915400
2023-04-05,63.48,64.74,63.08,64.46,2229900
2023-04-06,64.61,64.8,64.12,64.56,2355700
2023-04-10,64.31,64.98,64.06,64.97,1784900
2023-04-11,65,65.99,64.88,65.71,1888800
2023-04-12,65.98,66.51,65.53,65.98,2309200
2023-04-13,65.78,66.46,65.61,66.3,2643000
2023-04-14,66.55,66.9,65.82,66.21,2078700
2023-04-17,65.94,66.59,65.31,66.57,2283600
2023-04-18,66.65,67.15,66.39,66.89,2100400
2023-04-19,67.11,67.3,66.66,66.94,1862100
2023-04-20,66.9,67.08,66.19,66.48,1621800
2023-04-21,66.44,66.49,65.04,65.98,2276100
2023-04-24,65.91,66.34,65.8,66.08,1868900
2023-04-25,65.81,66.19,65.28,65.77,2350900
2023-04-26,65.28,65.93,64.89,65.39,2768900
2023-04-27,65.6,69.57,64.94,69.47,3767000
2023-04-28,69.43,70.37,68.53,69.85,4197900
2023-05-01,69.85,70.69,69.22,70.36,2877100
2023-05-02,69.57,69.62,68.12,68.64,3025700
2023-05-03,68.84,69.16,67.33,67.36,2025800
2023-05-04,66.89,66.9,65.17,66.82,3509700
2023-05-05,67.69,68.27,67.01,67.59,2460800
2023-05-08,68.06,68.28,67.57,67.64,1620500
2023-05-09,67.53,67.89,67.04,67.42,1440000
2023-05-10,67.57,67.79,66.14,66.72,2187900
2023-05-11,66.11,66.77,65.81,66.67,2324000
2023-05-12,66.8,67.09,65.59,66.11,1688600
2023-05-15,66.13,66.4,65.8,66.09,2010900
2023-05-16,65.62,65.79,65.01,65.16,1751300
2023-05-17,65.54,66.69,65.42,66.19,2030400
2023-05-18,66.19,67.06,65.92,66.91,1755900
2023-05-19,67.45,67.58,66.61,66.88,2024000
2023-05-22,66.84,67.21,66.22,66.58,1995200
2023-05-23,66.7,66.93,66.02,66.04,1924100
2023-05-24,65.5,65.76,64.49,64.56,2457100
2023-05-25,64.54,65.08,64.34,64.61,1835700
2023-05-26,64.55,65.19,64.47,64.49,2149900
2023-05-30,64.52,65.3,64.17,65.24,2855500
2023-05-31,64.99,65.16,64.1,64.21,4414000
2023-06-01,64.67,64.91,64.3,64.69,2786000
2023-06-02,65.42,66.8,65.31,66.6,2642200
2023-06-05,66.9,67.6,66.86,67.13,1950900
2023-06-06,67.45,67.79,67.09,67.67,1865800
2023-06-07,67.73,68.62,67.44,68.4,1906800
2023-06-08,68.24,68.38,67.51,68.21,1925300
2023-06-09,68.31,69.08,68.04,68.97,1741300
2023-06-12,68.75,69.1,68.14,68.74,1569600
2023-06-13,68.72,69.86,68.13,69.4,3324000
2023-06-14,69.65,70.22,68.57,68.76,2470700
2023-06-15,68.67,69.83,68.5,69.76,2095600
2023-06-16,69.88,70.28,69.32,69.43,5587600
2023-06-20,68.92,69,67.72,67.8,2914900
2023-06-21,67.2,67.97,66.58,67.53,2960500
2023-06-22,67.52,67.71,67.1,67.54,1807300
2023-06-23,67.23,67.66,66.91,67.14,2967700
2023-06-26,67.16,67.96,67.02,67.58,1627000
2023-06-27,67.78,68.71,67.12,68.5,1491000
2023-06-28,68.16,68.53,67.67,68.38,2125600
2023-06-29,68.45,69.22,68.34,69.12,1489300
2023-06-30,69.44,70,69.26,69.8,1890400
2023-07-03,69.6,70.56,69.46,70.19,952900
2023-07-05,69.46,70.16,69.21,69.91,2407700
2023-07-06,69.46,69.74,69.09,69.64,2383000
2023-07-07,69.51,70.65,69.02,70.04,2608400
2023-07-10,70.04,70.22,69.32,69.57,2174700
2023-07-11,69.62,70.56,69.58,70.5,2255200
2023-07-12,70.99,71.05,70.01,70.25,2404500
2023-07-13,69.91,70.25,69.59,69.95,1826800
2023-07-14,70.09,70.2,69.11,69.58,1686100
2023-07-17,69.39,70.81,69,70.38,1525200
2023-07-18,70.48,71.15,69.92,70.94,1643000
2023-07-19,70.72,71.45,70.44,71.32,1883900
2023-07-20,71.66,72.42,71.35,72.39,1799300
2023-07-21,72.58,72.82,72.01,72.41,2199000
2023-07-24,72.47,73.05,72.28,72.46,1590100
2023-07-25,72.27,72.61,72.03,72.5,2013400
2023-07-26,72.58,73.26,72.14,72.77,1873900
2023-07-27,72.96,73.07,72.05,72.06,2160100
2023-07-28,72.46,72.7,71.97,72.39,1800100
2023-07-31,72.44,72.8,71.97,72.34,2987200
2023-08-01,72.44,72.68,72.09,72.11,2210100
2023-08-02,74.4,77.33,73,76.24,5006700
2023-08-03,76.57,77.33,75.68,77.05,2800600
2023-08-04,77.36,78.22,76.53,76.85,2607800
2023-08-07,77.11,78.43,77.06,77.95,2302500
2023-08-08,77.29,77.55,76.53,77.06,3302700
2023-08-09,77.3,77.3,75.57,75.67,2995800
2023-08-10,76.08,76.79,75.47,75.71,1850100
2023-08-11,75.58,76.53,75.42,76.45,1676400
2023-08-14,76.47,76.83,76.12,76.64,1817700
2023-08-15,76.1,76.2,75.63,75.73,1934500
2023-08-16,75.51,76.41,75.51,75.83,1608000
2023-08-17,76.18,76.7,75.55,75.61,1664700
2023-08-18,74.94,75.69,74.47,74.85,2864400
2023-08-21,74.91,75.01,74.18,74.45,2053300
2023-08-22,74.03,74.32,73.36,73.39,1522000
2023-08-23,73.58,73.58,72.78,73.17,2482700
2023-08-24,73,74.57,72.95,74.31,2029700
2023-08-25,74.53,74.7,73.73,74.25,1550100
2023-08-28,74.18,74.91,73.8,74.58,1419200
2023-08-29,74.8,74.85,73.95,74.66,1476400
2023-08-30,74.99,75.53,74.65,74.68,1918100
2023-08-31,74.84,75.42,74.47,74.57,2774400
2023-09-01,74.83,75.21,74.64,74.77,1758300
2023-09-05,74.61,75.48,74.17,74.2,2680200
2023-09-06,74.03,74.44,73.62,74.23,2240900
2023-09-07,73.79,75.29,73.79,74.65,3171100
2023-09-08,74.74,74.94,74.27,74.83,2035400
2023-09-11,75.13,75.93,75.01,75.59,1880600
2023-09-12,75.67,76.72,75.6,76.27,1894300
2023-09-13,76.52,76.6,76.1,76.39,2334700
2023-09-14,77,77.42,76.53,77.31,2855000
2023-09-15,76.8,77.09,76.15,76.51,5220700
2023-09-18,76.49,77,75.64,76.92,2089000
2023-09-19,77.1,77.53,76.42,77.37,2100300
2023-09-20,77.53,78,77.03,77.15,1668400
2023-09-21,76.99,77.14,76.02,76.16,2337000
2023-09-22,76.14,76.75,75.66,76.31,1456800
2023-09-25,76.1,76.99,76.02,76.79,1559200
2023-09-26,77.23,77.39,76.25,76.44,1793800
2023-09-27,76.57,77.17,75.93,77.03,2345900
2023-09-28,77.12,77.77,76.51,77.67,2008900
2023-09-29,77.7,77.7,76.34,76.75,2916900
2023-10-02,76.63,76.84,75.72,76.47,2333300
2023-10-03,75.65,76.43,75.15,75.43,2157600
2023-10-04,75.36,76.14,74.89,76.07,2019500
2023-10-05,75.94,76.94,75.66,76.44,1946200
2023-10-06,76.44,77.72,76.1,77.6,2842600
2023-10-09,77.6,78.27,77.41,78.19,1845000
2023-10-10,78.19,79.03,78.07,78.82,3145500
2023-10-11,79.01,79.85,78.7,79.8,3089800
2023-10-12,80,80.5,79.32,79.86,2704700
2023-10-13,80.26,81.01,79.97,80.25,1937900
2023-10-16,80.57,81.75,80.25,81.09,2096300
2023-10-17,80.89,82.03,80.71,81.4,1910600
2023-10-18,81.26,81.63,80.28,80.35,2047300
2023-10-19,80.2,80.74,79.42,79.55,2173000
2023-10-20,79.31,79.32,76.78,77.58,3527100
2023-10-23,77.75,77.94,77.15,77.16,1963700
2023-10-24,77.67,78.23,77.4,77.76,1636500
2023-10-25,77.97,78.93,77.47,78.26,2306800
2023-10-26,78.49,79.24,77.46,77.52,2494600
2023-10-27,77.32,77.57,75.93,76.49,2508100
2023-10-30,77,77.73,76.89,77.4,2081400
2023-10-31,77.56,78.35,77.09,78.11,6776100
2023-11-01,78.3,79.29,77.72,79.05,3770100
2023-11-02,79.05,81.75,78.68,81.73,3220400
2023-11-03,81.97,82.72,81.22,82.23,2707000
2023-11-06,82.23,82.48,80.68,81.4,2404400
2023-11-07,81.36,81.36,80.51,80.98,2258100
