Date,Open,High,Low,Close,Volume
1995-01-03,2.3163,2.3163,2.2997,2.3163,71260
1995-01-04,2.3163,2.3163,2.2997,2.2997,108765
1995-01-05,2.3163,2.3163,2.2997,2.3163,35255
1995-01-06,2.3163,2.3163,2.2997,2.2997,82512
1995-01-09,2.3163,2.333,2.2997,2.3163,75011
1995-01-10,2.3163,2.3497,2.2997,2.3497,393056
1995-01-11,2.3497,2.3497,2.3163,2.333,71260
1995-01-12,2.333,2.3663,2.3163,2.3163,139520
1995-01-13,2.333,2.333,2.283,2.2997,78761
1995-01-16,2.3163,2.333,2.2997,2.333,39756
1995-01-17,2.3163,2.333,2.2997,2.3163,158272
1995-01-18,2.3163,2.333,2.2997,2.3163,274539
1995-01-19,2.3163,2.333,2.3163,2.333,60759
1995-01-20,2.333,2.333,2.2997,2.3163,153772
1995-01-23,2.2997,2.2997,2.283,2.283,51757
1995-01-24,2.2997,2.2997,2.283,2.2997,87762
1995-01-25,2.283,2.2997,2.283,2.2997,30754
1995-01-26,2.2997,2.2997,2.283,2.2997,56258
1995-01-27,2.2997,2.333,2.2997,2.333,435062
1995-01-30,2.3497,2.383,2.333,2.383,150021
1995-01-31,2.3997,2.4163,2.383,2.383,1306686
1995-02-01,2.3497,2.3663,2.333,2.3497,196528
1995-02-02,2.333,2.3497,2.333,2.3497,57758
1995-02-03,2.3497,2.3663,2.333,2.3663,456815
1995-02-06,2.3497,2.383,2.3497,2.3663,106515
1995-02-07,2.3997,2.433,2.383,2.4163,353300
1995-02-08,2.433,2.4663,2.433,2.4497,503321
1995-02-09,2.4497,2.4497,2.4163,2.433,147021
1995-02-10,2.4497,2.4497,2.383,2.3997,237784
1995-02-13,2.3997,2.3997,2.383,2.383,105015
1995-02-14,2.3997,2.433,2.3997,2.4163,74261
1995-02-15,2.4163,2.433,2.383,2.3997,163523
1995-02-16,2.3997,2.3997,2.3663,2.3663,151522
1995-02-17,2.3663,2.383,2.3663,2.383,165774
1995-02-21,2.383,2.3997,2.3497,2.3663,214530
1995-02-22,2.3997,2.3997,2.383,2.383,115516
1995-02-23,2.3997,2.4163,2.3663,2.383,170274
1995-02-24,2.3663,2.4163,2.3663,2.4163,264037
1995-02-27,2.3997,2.4163,2.3997,2.3997,90013
1995-02-28,2.4163,2.4163,2.3997,2.3997,102765
1995-03-01,2.433,2.433,2.4163,2.4163,176275
1995-03-02,2.4163,2.433,2.3997,2.3997,126018
1995-03-03,2.3997,2.433,2.3997,2.3997,209280
1995-03-06,2.4163,2.433,2.3997,2.4163,72010
1995-03-07,2.3997,2.3997,2.383,2.3997,69010
1995-03-08,2.4163,2.4163,2.3663,2.383,318795
1995-03-09,2.3997,2.4163,2.3997,2.3997,436562
1995-03-10,2.3997,2.433,2.3997,2.3997,385555
1995-03-13,2.4163,2.433,2.3997,2.4163,195778
1995-03-14,2.4163,2.4497,2.4163,2.433,288791
1995-03-15,2.4497,2.4996,2.433,2.433,290291
1995-03-16,2.433,2.4497,2.433,2.433,183026
1995-03-17,2.4497,2.4663,2.433,2.4497,98264
1995-03-20,2.4497,2.4663,2.4497,2.4497,165774
1995-03-21,2.4663,2.4663,2.433,2.433,313545
1995-03-22,2.4497,2.4497,2.4163,2.4163,172524
1995-03-23,2.4497,2.4497,2.433,2.433,168024
1995-03-24,2.433,2.4663,2.3997,2.433,216781
1995-03-27,2.433,2.4497,2.4163,2.433,119267
1995-03-28,2.4497,2.4663,2.433,2.4663,196528
