Date,Open,High,Low,Close,Volume
2019-01-02,32.04,33.79,32,33.48,11106300
2019-01-03,32.73,33.25,31.48,31.54,21580700
2019-01-04,32.26,33.85,32.21,33.7,15631800
2019-01-07,33.8,34.8,33.64,34.3,13868800
2019-01-08,34.72,34.72,32.67,32.91,12485300
2019-01-09,33.32,34.84,33.29,34.3,11757100
2019-01-10,34.08,34.82,33.89,34.76,7573600
2019-01-11,34.42,35.32,34.19,34.78,6449600
2019-01-14,34.19,34.3,33.41,33.86,9552400
2019-01-15,34.09,34.33,33.4,33.75,6593600
2019-01-16,33.92,34.27,33.56,33.64,6778900
2019-01-17,33.5,34.71,33.25,34.54,10260700
2019-01-18,34.96,36.32,34.63,35.71,11332700
2019-01-22,35.32,35.37,34.12,34.44,10047400
2019-01-23,34.71,34.94,33.71,34.31,9560200
2019-01-24,36.18,37.92,36.01,37.82,21529900
2019-01-25,38.53,39.48,38.31,39.19,17553400
2019-01-28,37.62,38.95,37.52,38.7,12459600
2019-01-29,39.27,39.35,37.84,38.2,8754600
2019-01-30,38.61,40,38.49,39.6,12546200
2019-01-31,39.28,39.75,38.72,39.08,11588900
2019-02-01,39.08,39.97,39.08,39.31,11091000
2019-02-04,39.16,39.31,38.45,38.9,12458400
2019-02-05,38.88,39.29,38.6,39.12,13240200
2019-02-06,39.29,40.71,39.2,40.28,21058100
2019-02-07,39.73,40.33,39.56,39.92,13395500
2019-02-08,39.3,39.8,38.73,39.78,9891300
2019-02-11,39.97,40.19,39.33,39.9,9969500
2019-02-12,40.38,40.89,40.28,40.69,8911900
2019-02-13,40.96,41.24,40.72,40.85,10134200
2019-02-14,40.7,41.22,40.51,40.71,13938400
2019-02-15,40,40.2,38.59,39.1,22396300
2019-02-19,39,39.71,39,39.3,12353100
2019-02-20,39.15,39.36,38.88,39,9575900
2019-02-21,39,39.26,38.53,38.83,7178800
2019-02-22,38.89,39.44,38.8,39.43,8149300
2019-02-25,39.92,40.08,39.62,39.66,8064800
2019-02-26,39.53,39.87,39.48,39.58,6159300
2019-02-27,39.3,39.32,38.3,38.78,14038500
2019-02-28,38.48,38.61,37.92,38.34,9785100
2019-03-01,38.66,38.94,38.06,38.56,7852900
2019-03-04,38.97,40.18,38.41,39.08,20810700
2019-03-05,39.18,39.25,38.76,38.93,12449100
2019-03-06,38.88,38.94,37.66,38.07,12557800
