Date,Open,High,Low,Close,Volume
2001-01-02,3.694444,3.703704,3.509259,3.657407,1503225
2001-01-03,3.62963,3.842593,3.62963,3.805556,969975
2001-01-04,3.787037,3.851852,3.75,3.824074,449550
2001-01-05,3.814815,3.814815,3.777778,3.796296,674325
2001-01-08,3.759259,4.064815,3.759259,4.064815,1111050
2001-01-09,4.009259,4.037037,3.888889,3.916667,1095525
2001-01-10,3.898148,4.101852,3.898148,4.101852,768825
2001-01-11,4.064815,4.064815,3.990741,4.009259,523800
2001-01-12,3.962963,4,3.888889,3.990741,1441125
2001-01-16,3.990741,3.990741,3.833333,3.87037,762750
2001-01-17,3.87037,4.092593,3.861111,4.064815,729675
2001-01-18,4.064815,4.064815,3.898148,3.925926,635175
2001-01-19,3.907407,4.009259,3.888889,3.990741,417825
2001-01-22,3.990741,3.990741,3.925926,3.944444,503550
2001-01-23,3.944444,3.944444,3.916667,3.944444,473175
2001-01-24,3.944444,3.972222,3.935185,3.953704,274050
2001-01-25,3.935185,3.935185,3.898148,3.935185,535950
2001-01-26,3.935185,3.935185,3.851852,3.907407,248400
2001-01-29,3.896296,3.917037,3.866667,3.911111,301725
2001-01-30,3.881481,3.925926,3.877037,3.917037,528525
2001-01-31,3.918519,3.992593,3.914074,3.946667,960525
2001-02-01,3.946667,3.954074,3.911111,3.954074,742500
2001-02-02,3.97037,3.97037,3.872593,3.887407,287550
2001-02-05,3.896296,3.918519,3.888889,3.911111,193725
2001-02-06,3.918519,3.954074,3.896296,3.911111,678375
2001-02-07,3.911111,3.92,3.891852,3.918519,270000
2001-02-08,3.918519,3.925926,3.88,3.899259,312525
2001-02-09,3.899259,3.925926,3.896296,3.90963,273375
2001-02-12,3.90963,4.014815,3.90963,4.007407,555525
2001-02-13,4.044444,4.128889,4.044444,4.059259,479925
2001-02-14,4.074074,4.148148,4.059259,4.142222,370575
2001-02-15,4.148148,4.195556,4.111111,4.157037,340200
2001-02-16,4.148148,4.148148,4,4.002963,585225
2001-02-20,3.888889,4,3.822222,3.964444,459675
2001-02-21,3.992593,4.074074,3.962963,4.022222,444825
2001-02-22,4.007407,4.020741,3.985185,4.01037,221400
2001-02-23,4.01037,4.016296,3.955556,4.016296,233550
2001-02-26,4.001481,4.137778,4.001481,4.103704,361800
2001-02-27,4.133333,4.216296,4.111111,4.115556,287550
2001-02-28,4.103704,4.103704,4.042963,4.088889,410400
2001-03-01,4.088889,4.09037,4.041481,4.081481,278100
2001-03-02,4.074074,4.162963,4.074074,4.128889,542025
2001-03-05,4.125926,4.24,4.122963,4.207407,307125
2001-03-06,4.192593,4.225185,4.192593,4.2,205875
2001-03-07,4.185185,4.257778,4.155556,4.164444,398250
2001-03-08,4.17037,4.177778,4.140741,4.157037,193725
2001-03-09,4.133333,4.148148,4.081481,4.145185,498150
2001-03-12,4.133333,4.133333,4.102222,4.103704,339525
2001-03-13,4.118519,4.118519,3.911111,4.007407,338175
2001-03-14,3.97037,4.062222,3.97037,4.014815,297000
2001-03-15,3.977778,4,3.92,4,453600
2001-03-16,3.985185,3.986667,3.776296,3.788148,538650
2001-03-19,3.751111,3.89037,3.718519,3.878519,518400
2001-03-20,3.875556,3.881481,3.795556,3.795556,288900
2001-03-21,3.780741,3.780741,3.66963,3.685926,218700
2001-03-22,3.682963,3.725926,3.503704,3.718519,697950
2001-03-23,3.74963,3.851852,3.702222,3.85037,627750
2001-03-26,3.853333,4.02963,3.853333,3.965926,820800
2001-03-27,3.955556,4,3.928889,3.964444,579825
2001-03-28,3.96,3.992593,3.925926,3.97037,1782675
2001-03-29,3.962963,4.014815,3.958519,3.998519,487350
2001-03-30,3.992593,4.088889,3.992593,4.088889,826200
2001-04-02,4.088889,4.118519,3.992593,3.995556,450225
2001-04-03,4.007407,4.008889,3.896296,3.962963,759375
2001-04-04,3.97037,3.998519,3.955556,3.992593,955125
2001-04-05,4,4.059259,4,4.044444,525150
2001-04-06,4.044444,4.044444,3.985185,3.991111,629100
2001-04-09,4.007407,4.087407,4.001481,4.072593,459675
2001-04-10,4.081481,4.10963,4.007407,4.02963,504225
2001-04-11,4.059259,4.131852,4.007407,4.037037,519075
2001-04-12,4.037037,4.065185,4.014815,4.060741,352350
2001-04-16,4.023704,4.023704,3.977778,3.994074,525150
2001-04-17,4.007407,4.134815,4,4.134815,527175
2001-04-18,4.118519,4.155556,4.096296,4.133333,695250
2001-04-19,4.137778,4.222222,4.125926,4.222222,425250
2001-04-20,4.185185,4.2,3.992593,4,1297350
2001-04-23,4,4.022222,3.977778,4.013333,535950
2001-04-24,4.013333,4.02963,3.998519,4.007407,377325
2001-04-25,4.011852,4.074074,4,4.02963,888975
2001-04-26,4.02963,4.072593,4.02963,4.071111,854550
2001-04-27,4.085926,4.085926,4.016296,4.06963,425250
2001-04-30,4.075556,4.162963,4.066667,4.09037,909900
2001-05-01,4.074074,4.134815,4.007407,4.096296,491400
2001-05-02,4.074074,4.087407,4.01037,4.01037,322650
2001-05-03,4.014815,4.031111,4.004444,4.014815,244350
2001-05-04,4,4.146667,3.992593,4.146667,535275
2001-05-07,4.133333,4.162963,4.088889,4.09037,342225
2001-05-08,4.09037,4.099259,3.979259,4.01037,1444500
2001-05-09,4,4.04,3.962963,3.964444,701325
2001-05-10,3.964444,3.964444,3.814815,3.838519,936225
2001-05-11,3.82963,3.82963,3.755556,3.825185,761400
2001-05-14,3.825185,3.82963,3.795556,3.814815,346950
2001-05-15,3.837037,3.837037,3.792593,3.804444,416475
2001-05-16,3.807407,3.848889,3.792593,3.822222,614250
2001-05-17,3.814815,3.933333,3.811852,3.885926,1223100
2001-05-18,3.885926,3.887407,3.814815,3.822222,703350
2001-05-21,3.82963,3.866667,3.807407,3.866667,1310175
2001-05-22,3.86963,3.918519,3.86963,3.896296,818100
2001-05-23,3.881481,3.977778,3.807407,3.965926,832950
2001-05-24,3.980741,3.980741,3.785185,3.822222,911250
2001-05-25,3.837037,3.854815,3.828148,3.848889,654075
2001-05-29,3.85037,3.918519,3.842963,3.897778,825525
2001-05-30,3.899259,3.991111,3.896296,3.897778,1459350
2001-05-31,3.934815,3.998519,3.925926,3.948148,716175
2001-06-01,3.94963,3.998519,3.925926,3.974815,585225
2001-06-04,3.940741,4.051852,3.912593,3.992593,702000
2001-06-05,3.994074,4.137778,3.992593,4.112593,664875
2001-06-06,4.111111,4.155556,4.074074,4.140741,1347300
2001-06-07,4.125926,4.22963,4.115556,4.207407,681750
2001-06-08,4.207407,4.37037,4.207407,4.306667,1358775
2001-06-11,4.306667,4.50963,4.207407,4.447407,2110050
2001-06-12,4.444444,4.444444,4.355556,4.426667,1143450
2001-06-13,4.417778,4.533333,4.416296,4.447407,891675
2001-06-14,4.447407,4.459259,4.414815,4.431111,724950
2001-06-15,4.414815,4.511111,4.414815,4.477037,1041525
2001-06-18,4.466667,4.562963,4.42963,4.42963,845100
2001-06-19,4.466667,4.475556,4.377778,4.397037,683775
