Date,Open,High,Low,Close,Volume
2023-01-03,160.94,162.3,158.79,160.56,218900
2023-01-04,162.49,164.78,161.46,162.98,296100
2023-01-05,161.35,162.54,160.05,161.21,327100
2023-01-06,163.11,165.26,162.09,164.86,192000
2023-01-09,165.39,169.25,165.38,168.99,351000
2023-01-10,168.56,170.13,168.46,169.9,204000
2023-01-11,169.9,172.01,169.9,170.06,499000
2023-01-12,170.19,171.91,167.93,169.7,292500
2023-01-13,168.52,169.9,168.12,168.42,207200
2023-01-17,168.42,169.13,167.13,167.22,199300
2023-01-18,167.07,169.27,164.92,165.39,208200
2023-01-19,163.8,164.69,161.67,162.43,491500
2023-01-20,163.3,165.65,162.21,165.42,212400
2023-01-23,165.74,166.24,164.32,165.88,290000
2023-01-24,164.96,166.29,163.95,164.79,368900
2023-01-25,163.67,165.09,162.42,164.32,251700
2023-01-26,165.11,167.47,164.46,167.36,272200
2023-01-27,166.45,168.78,165.75,167.81,174200
2023-01-30,166.48,169.77,166.12,167.24,221500
2023-01-31,168.03,172.74,167.68,172.74,324700
2023-02-01,172.23,177.27,171.16,176.39,295900
2023-02-02,177.93,180.63,175.41,176.79,331200
2023-02-03,174.75,178.65,174.75,177.04,351200
2023-02-06,170.69,173.14,167.51,170.63,500200
2023-02-07,171.63,172.56,168.36,170.4,404900
2023-02-08,168.64,170.28,167,167.7,349100
2023-02-09,168.72,170.2,164.41,164.65,212100
2023-02-10,163.85,166.61,163.24,166.35,213700
2023-02-13,166.47,167.57,165.36,167.32,198500
2023-02-14,166.55,168.89,163.86,165.75,206800
2023-02-15,164.34,165.85,164.19,164.52,172000
2023-02-16,163.44,165.68,162.44,164.47,229100
2023-02-17,163.91,167.12,162.97,167.03,268900
2023-02-21,164.04,164.94,160.62,160.78,230900
2023-02-22,160.75,162.79,159.69,160.68,509300
2023-02-23,162.05,162.92,159.43,159.86,161300
2023-02-24,157.99,159.52,157.18,158.78,219900
2023-02-27,160.94,161.46,157.59,158.14,395600
2023-02-28,159.07,162.14,158.35,159.41,474200
2023-03-01,158.62,161.48,158.62,161.02,288000
2023-03-02,159.65,160.51,158.56,160.2,271600
2023-03-03,161.07,161.16,159.47,160.76,226100
2023-03-06,160.49,161.61,157.6,158.22,337800
2023-03-07,158.62,159.25,156.1,156.86,270600
2023-03-08,157.22,158.46,156.18,157.49,329600
2023-03-09,157.14,157.79,151.84,152.24,265600
2023-03-10,151.25,151.41,143.46,144.49,476900
2023-03-13,141.01,141.99,137.18,137.39,490300
2023-03-14,141.96,144.34,139.89,141.33,463700
2023-03-15,136.7,138.46,133.88,135.94,510600
2023-03-16,134.58,139.32,134.37,136.61,474600
2023-03-17,134.59,135.29,132.4,133.32,731200
2023-03-20,135.08,136.91,133.88,134.3,293700
2023-03-21,137.44,139.42,136.93,138.49,353000
2023-03-22,137.95,140.37,135.35,135.47,411900
2023-03-23,136.64,139.69,135.49,136.58,374700
2023-03-24,134.84,136.72,133.06,136.69,380100
2023-03-27,139.28,139.67,137.25,137.28,431400
2023-03-28,137.23,138.6,136.67,137.34,139400
2023-03-29,138.88,139.15,137.24,138.02,215200
2023-03-30,139.62,140.82,138.2,139,197000
2023-03-31,139.8,142.55,139.33,142.42,314000
2023-04-03,141.52,142.36,139.45,140.27,221700
2023-04-04,141.19,141.19,135.9,137.46,416000
2023-04-05,136.43,137.31,135.48,137.14,247900
2023-04-06,137.13,138.54,137.09,137.7,135800
2023-04-10,137.02,139.24,137.02,137.94,190400
2023-04-11,138.42,140.31,138.21,138.61,180300
2023-04-12,139.99,140.25,137.74,139.11,204900
