Date,Open,High,Low,Close,Volume
2002-01-02,56.9,56.94,55.1,56.4,10571300
2002-01-03,56.55,56.82,53.75,54.34,19074400
2002-01-04,54.91,56.24,53.28,55.62,18595900
2002-01-07,57.24,57.24,55.68,55.69,13657300
2002-01-08,56.51,56.65,55.03,56.54,9275800
2002-01-09,57.32,57.7,55.76,55.77,12493000
2002-01-10,55.9,56.94,55.36,56.49,8100500
2002-01-11,56.8,57.74,56.58,57.1,9662200
2002-01-14,57.13,57.35,55.5,55.5,8124100
2002-01-15,55.95,56.49,55.41,56.26,7696000
2002-01-16,56.5,57.4,55.59,55.69,10046500
2002-01-17,56.35,56.39,54.5,55.8,11104000
2002-01-18,54.96,56.13,53.74,54.33,13029700
2002-01-22,55.31,56.24,54.13,56.06,12419600
2002-01-23,57.26,58.85,56.44,58.46,16704600
2002-01-24,57.1,58,56.8,57.21,15523900
2002-01-25,57,58.25,56.65,57.06,7856300
2002-01-28,57.39,57.4,56,56.3,7728400
2002-01-29,56.31,57.15,54,54.5,11779500
2002-01-30,54.5,55.09,53.35,55.04,13339900
2002-01-31,55.25,55.74,54.35,55.5,10058400
2002-02-01,57.6,58.08,56.94,57.88,17901100
2002-02-04,57.51,57.66,56.01,56.37,9394900
2002-02-05,56.79,58.23,56.14,56.68,13967500
2002-02-06,56.96,57.35,56,56.44,11302200
2002-02-07,56.65,57.62,55.8,56.01,9009800
2002-02-08,56.17,57.9,56,57.9,10209600
2002-02-11,57.58,58.19,57.4,57.64,8532200
2002-02-12,57.2,59.25,57.05,59,11649900
2002-02-13,59.06,59.55,58.55,58.92,7756800
2002-02-14,58.73,59.8,57.47,58,8977000
2002-02-15,57.91,58.8,56.8,58.19,11526800
2002-02-19,57.8,57.95,56.65,56.9,7038500
2002-02-20,57.68,58.96,57.1,58.95,9055500
2002-02-21,58.44,59.95,57.53,57.59,13086400
2002-02-22,56.78,57.75,56.2,57.55,22726500
2002-02-25,57.56,59,57.37,58.97,10041800
2002-02-26,58.99,59.25,57.92,58.62,7985200
2002-02-27,59.19,59.45,57.5,57.87,10489900
2002-02-28,58.17,59.03,57.88,57.98,9439600
2002-03-01,58.17,58.7,57.01,58.53,9436000
2002-03-04,59,59.9,58.89,59.88,13094400
2002-03-05,59.44,60.25,58.52,58.94,8645400
2002-03-06,59.19,60.61,58.9,60.59,12320100
2002-03-07,59.97,60.59,59.21,59.8,9259100
2002-03-08,60.24,60.25,58.73,59.72,8827700
2002-03-11,59.42,59.87,58.91,59.4,8292600
2002-03-12,58.92,59.7,58.5,59.59,5797400
2002-03-13,60.09,60.49,59.07,59.86,8094000
2002-03-14,59.75,60.98,59.74,60.25,8174100
2002-03-15,60.11,61.47,60,61.41,9986400
2002-03-18,61.79,62.62,61.6,62.48,10299700
