Date,Open,High,Low,Close,Volume
2014-06-06,3.453125,3.75,3.4375,3.4375,116081600
2014-06-09,3.515625,3.5625,3.4375,3.45,11470400
2014-06-10,3.453125,3.75,3.453125,3.75,15788800
2014-06-11,3.75,3.96875,3.66625,3.96875,10568000
2014-06-12,3.978125,4.239375,3.941875,4.125,11668800
2014-06-13,4.279375,4.5,4.1875,4.34875,17051200
2014-06-16,4.45125,4.46875,4.227188,4.46875,6672000
2014-06-17,4.493125,4.539375,4.3125,4.356875,4457600
2014-06-18,4.379375,4.4375,4.2425,4.31,3340800
2014-06-19,4.251875,4.300625,4.031875,4.104375,10425600
2014-06-20,4.065625,4.28125,4.03125,4.071875,4704000
2014-06-23,4.06375,4.218125,4.06375,4.106875,1864000
2014-06-24,4.146875,4.171875,3.991875,4.0175,3084800
2014-06-25,3.988125,4.084875,3.875,4.030625,2979200
2014-06-26,4.050625,4.050625,3.90625,3.988125,1553600
2014-06-27,3.994375,3.994375,3.890625,3.909375,3915200
2014-06-30,3.879375,4.075,3.879375,3.899375,3712000
2014-07-01,4.185625,4.801875,4.13125,4.75,26531200
2014-07-02,4.92125,5.033125,4.575,4.709375,18024000
2014-07-03,4.7775,4.851688,4.63125,4.775625,3902400
2014-07-07,4.6975,4.830625,4.501875,4.510625,5065600
2014-07-08,4.495625,4.503125,3.94625,4.339375,18859200
2014-07-09,4.33125,4.55625,4.125625,4.49375,5952000
2014-07-10,4.22,4.38375,4.19525,4.23375,4748800
2014-07-11,4.3,4.40625,4.271875,4.351875,3067200
2014-07-14,4.4625,4.5,4.283125,4.309375,2096000
2014-07-15,4.340625,4.41,4.125,4.168125,3617600
2014-07-16,4.191875,4.25,3.975625,4.033125,3963200
2014-07-17,3.993125,4.10125,3.944375,3.985,2083200
2014-07-18,4.001875,4.05625,3.959375,4,1979200
2014-07-21,4.008125,4.045625,3.938125,3.951875,2299200
2014-07-22,3.985,4.185,3.96625,4.094375,3774400
2014-07-23,4.118125,4.1675,4.025,4.05125,2366400
2014-07-24,4.069375,4.135,3.985625,4.015625,2921600
2014-07-25,4.009375,4.04875,3.906875,3.9775,1849600
