Date,Shares
2015-11-06,67756400
2016-02-25,68273900
2016-04-25,68586400
2016-05-06,68629300
2016-08-05,69243800
2016-09-02,69679400
2016-11-04,71011300
2017-02-21,71011300
2017-04-20,71958000
2017-05-08,72007904
2017-08-04,74362096
2018-11-14,75427296
2018-11-15,75427296
2018-11-19,75427296
2018-11-21,75427296
2018-11-22,75427296
2018-11-26,75427296
2018-11-28,75427296
2018-11-29,75427296
2018-12-02,75427296
2018-12-03,75427296
2018-12-04,75427296
2018-12-06,75427296
2018-12-07,75427296
2018-12-09,75427296
2018-12-11,75427296
2018-12-12,75427296
2018-12-14,75427296
2018-12-16,75427296
2018-12-17,75427296
2018-12-19,75427296
2018-12-21,75427296
2018-12-30,75427296
2019-01-05,75427296
2019-01-07,75427296
2019-01-09,75427296
2019-01-10,75427296
2019-01-12,75427296
2019-01-14,75427296
2019-01-16,75427296
2019-01-17,75427296
2019-01-22,75427296
2019-01-25,75427296
2019-01-26,75427296
2019-01-28,75427296
2019-01-30,75427296
2019-02-04,75427296
2019-02-07,75427296
2019-02-10,75427296
2019-02-13,75427296
2019-02-15,75427296
2019-02-17,75427296
2019-02-20,75730896
2019-02-28,75730896
2019-03-01,75730896
2019-03-07,75730896
2019-03-08,75730896
2019-03-10,75730896
2019-03-11,75730896
2019-03-14,75730896
2019-03-17,75730896
2019-03-26,75730896
2019-03-29,75730896
2019-04-01,75730896
2019-04-05,75730896
2019-04-10,75730896
2019-04-14,75730896
2019-04-16,75730896
2019-04-17,75730896
2019-04-18,75730896
2019-04-21,76506496
2019-04-22,76506496
2019-04-29,76506496
2019-04-30,76506496
2019-05-02,76506496
2019-05-05,76600000
2019-05-09,76622496
2019-05-10,76622496
2019-05-12,76622496
2019-05-20,76622496
2019-05-22,76622496
2019-05-23,76622496
2019-05-28,76622496
2019-05-29,76622496
2019-06-03,76622600
2019-06-04,76622600
2019-06-05,76622496
2019-06-06,76622496
2019-06-10,76622496
2019-06-11,76622496
2019-06-12,76622496
2019-06-17,76622496
2019-06-19,76622496
2019-06-21,76622496
2019-06-23,76622496
2019-06-24,76622496
2019-06-26,78398304
2019-06-27,76622496
2019-07-03,77339696
2019-07-04,76622496
2019-07-05,75608000
