Date,Open,High,Low,Close,Volume
1996-01-02,12.7706,12.7706,12.4459,12.5541,412797
1996-01-03,12.5541,12.5541,12.013,12.013,1033032
1996-01-04,12.2294,12.3918,11.9589,12.013,1156848
1996-01-05,12.1212,12.2294,11.9589,12.013,565950
1996-01-08,12.1212,12.5,12.1212,12.5,738045
1996-01-09,12.4459,12.6623,12.3918,12.5,1273734
1996-01-10,12.3377,12.4459,11.7965,11.8506,1554861
1996-01-11,12.013,12.013,11.5801,11.7965,1446522
1996-01-12,11.7965,11.8506,11.5801,11.5801,1188726
1996-01-15,11.4719,11.5801,11.4177,11.4719,932316
1996-01-16,11.526,11.6342,11.4719,11.5801,680988
1996-01-17,11.5801,11.6883,11.4177,11.4719,349734
1996-01-18,11.5801,11.6883,11.2013,11.3095,874566
1996-01-19,11.2013,11.4177,11.2013,11.3636,701778
1996-01-22,11.5801,11.5801,11.4177,11.526,996996
1996-01-23,11.526,11.5801,11.3636,11.3636,360822
1996-01-24,11.4177,11.5801,11.3095,11.3636,474243
1996-01-25,11.3095,11.4177,11.2013,11.2554,532224
1996-01-26,11.0931,11.2554,11.0931,11.2554,838068
1996-01-29,11.3095,11.526,11.2013,11.4719,826287
1996-01-30,11.4719,11.6883,11.4719,11.6883,767844
1996-01-31,11.5801,11.6883,11.4719,11.6342,548625
1996-02-01,11.3095,12.013,11.3095,12.013,1431969
1996-02-02,11.9589,11.9589,11.7424,11.7965,464079
1996-02-05,11.8506,11.9048,11.7424,11.7965,798105
1996-02-06,11.7965,11.7965,11.5801,11.6342,1276968
1996-02-07,11.5801,11.6342,11.3095,11.3095,2308152
1996-02-08,11.4177,11.4719,11.3636,11.4177,944790
1996-02-09,11.4177,11.6883,11.4177,11.6342,1264032
1996-02-12,11.9048,11.9048,11.5801,11.8506,2499651
1996-02-13,11.6883,12.0671,11.6883,11.9589,1479786
1996-02-14,11.8506,11.9048,11.6883,11.8506,522522
1996-02-15,11.8506,12.1212,11.7965,12.1212,1006236
1996-02-16,12.1212,12.1212,11.9048,12.013,515823
1996-02-20,11.7965,11.8506,11.6342,11.7424,1103256
1996-02-21,11.7424,11.7424,11.6342,11.7424,2366595
1996-02-22,11.8506,11.9048,11.6342,11.7424,1880109
1996-02-23,11.7424,11.7424,11.6883,11.6883,974127
1996-02-26,11.6883,11.6883,11.6342,11.6342,820974
1996-02-27,11.6883,11.6883,11.526,11.526,390852
1996-02-28,11.6342,11.6342,11.4719,11.4719,104643
1996-02-29,11.4177,11.5801,11.2554,11.2554,563640
1996-03-01,11.3636,11.3636,11.039,11.0931,1433586
1996-03-04,11.0931,11.2013,10.9307,10.9307,926310
1996-03-05,11.039,11.039,10.7143,10.7684,1148301
1996-03-06,10.8225,11.1472,10.7684,11.1472,1823052
1996-03-07,11.1472,11.3095,10.9848,11.039,1134903
1996-03-08,10.8225,10.9307,10.5519,10.6602,1144836
1996-03-11,10.6602,10.8225,10.6061,10.8225,649110
1996-03-12,10.7684,10.8225,10.6602,10.7143,422037
1996-03-13,10.7143,10.8766,10.6602,10.7143,1105104
1996-03-14,10.8225,11.2554,10.8225,11.1472,1760451
1996-03-15,11.1472,11.1472,10.9307,11.0931,922614
1996-03-18,11.0931,11.3636,11.039,11.3636,505197
1996-03-19,11.3636,11.4177,11.3095,11.3636,733425
1996-03-20,11.3636,11.3636,11.2554,11.3636,393624
1996-03-21,11.4177,11.5801,11.3636,11.4719,607299
1996-03-22,11.4719,11.526,11.2554,11.4719,436590
1996-03-25,11.4719,11.5801,11.3636,11.4177,292908
1996-03-26,11.4719,11.7424,11.4177,11.6342,729036
1996-03-27,11.6883,12.3377,11.6342,12.3377,4799256
1996-03-28,12.2294,12.2294,11.5801,11.9048,4455528
1996-03-29,11.9589,12.013,11.5801,11.6342,1209978
1996-04-01,11.6342,11.7424,11.5801,11.6883,745206
1996-04-02,11.6883,11.6883,11.4719,11.5801,666435
1996-04-03,11.6342,11.6342,11.4719,11.5801,710325
1996-04-04,11.7965,12.1212,11.7424,11.9589,1810578
1996-04-08,11.7965,11.8506,11.6883,11.7424,335412
1996-04-09,11.7965,12.0671,11.7965,12.0671,769923
1996-04-10,11.9048,12.2836,11.9048,12.2836,2237004
1996-04-11,12.2294,12.2836,12.013,12.2294,1674288
1996-04-12,12.2836,12.2836,12.1212,12.1753,533610
1996-04-15,12.1212,12.2294,12.0671,12.2294,1160544
1996-04-16,12.2294,12.6082,12.2294,12.6082,2415336
1996-04-17,12.5541,12.8788,12.5541,12.6082,4549776
1996-04-18,12.5541,12.6623,12.5,12.5,1902747
1996-04-19,12.2836,12.4459,12.2836,12.4459,1132362
1996-04-22,12.3918,12.5,12.2294,12.2836,903210
1996-04-23,12.2836,12.6082,12.2836,12.6082,1162392
1996-04-24,12.6082,12.6082,12.3918,12.3918,721875
1996-04-25,12.5,12.6082,12.3377,12.5541,2089857
1996-04-26,12.5541,12.5541,12.3918,12.5,572187
1996-04-29,12.5,12.7706,12.5,12.7706,1525293
1996-04-30,12.7164,12.7164,12.5,12.6082,1987293
1996-05-01,12.5,12.6623,12.4459,12.5541,1608684
1996-05-02,12.5541,12.5541,12.1212,12.1212,728112
1996-05-03,12.2294,12.2836,12.0671,12.1212,471933
1996-05-06,12.1212,12.2836,11.9048,11.9589,249480
1996-05-07,11.9589,12.013,11.7965,11.8506,373758
1996-05-08,11.7965,11.8506,11.4177,11.6342,931161
1996-05-09,11.6883,11.9048,11.526,11.5801,911064
1996-05-10,11.6342,11.7424,11.526,11.6883,1230768
1996-05-13,11.7965,11.9589,11.7424,11.9048,733887
1996-05-14,11.9048,12.1753,11.9048,12.1212,1622082
1996-05-15,12.1212,12.1212,11.9048,11.9589,497805
1996-05-16,11.8506,11.9048,11.7424,11.7424,447909
1996-05-17,11.6342,11.9589,11.6342,11.9048,373758
1996-05-20,11.9048,12.3377,11.7424,12.1753,1647030
1996-05-21,12.4459,12.6082,12.3377,12.6082,2551395
1996-05-22,12.5541,12.987,12.2836,12.987,3667356
1996-05-23,13.1494,13.1494,12.987,13.0411,2950332
1996-05-24,12.987,13.0411,12.8247,12.8788,1376529
1996-05-28,12.9329,12.9329,12.6082,12.6082,682374
1996-05-29,12.6623,12.7706,12.6623,12.7164,693462
1996-05-30,12.6623,12.7164,12.5,12.7164,948717
1996-05-31,12.6082,12.6082,12.3918,12.3918,912450
1996-06-03,12.4459,12.5,12.3918,12.4459,253176
1996-06-04,12.3918,12.7164,12.3918,12.6082,761838
1996-06-05,12.5541,12.6082,12.4459,12.5541,828828
1996-06-06,12.6082,12.6082,12.3377,12.3918,455070
1996-06-07,12.2836,12.6623,12.1212,12.6082,629244
1996-06-10,12.5,12.5541,12.4459,12.4459,336105
1996-06-11,12.3377,12.6623,12.3377,12.5,625086
1996-06-12,12.6082,12.6623,12.4459,12.5,404250
1996-06-13,12.5541,12.7164,12.5,12.7164,886809
1996-06-14,12.8247,13.0411,12.7706,12.987,2710785
1996-06-17,12.9329,13.1494,12.9329,13.0952,1107414
1996-06-18,13.0952,13.3117,13.0411,13.2576,1400091
1996-06-19,13.2576,13.474,13.2035,13.3658,1671285
1996-06-20,13.4199,13.4199,13.2576,13.3117,970431
1996-06-21,13.3658,13.5281,13.2576,13.4199,1075305
1996-06-24,13.3117,13.474,13.2576,13.4199,913836
1996-06-25,13.474,13.6364,13.4199,13.5823,649341
1996-06-26,13.5281,13.7987,13.5281,13.5281,811041
1996-06-27,13.6364,14.0152,13.5281,14.0152,1646106
1996-06-28,14.3939,14.5022,14.1775,14.2316,1969044
1996-07-01,14.2316,14.3398,14.1234,14.2316,1218294
1996-07-02,14.1775,14.2857,13.961,14.0693,1497111
1996-07-03,14.1234,14.4481,14.0693,14.4481,1466850
1996-07-05,14.3398,14.3398,14.1775,14.3398,313236
1996-07-08,14.1775,14.6104,14.1775,14.4481,765765
1996-07-09,14.3398,14.7727,14.3398,14.7186,1336566
1996-07-10,14.7186,14.9892,14.6104,14.9351,1594824
1996-07-11,14.8268,14.9892,14.5022,14.7186,1228458
1996-07-12,14.7186,14.7186,14.4481,14.5563,1148532
1996-07-15,14.6104,14.6104,14.2316,14.2316,1162392
1996-07-16,14.2857,14.3398,13.5281,13.961,1438668
1996-07-17,13.8528,14.0693,13.5823,13.961,911064
1996-07-18,13.961,14.2316,13.961,14.0693,662508
1996-07-19,13.961,14.0152,13.7446,13.8528,464310
1996-07-22,13.8528,13.8528,13.5823,13.5823,1043427
1996-07-23,13.5281,13.6364,13.2035,13.2576,803649
1996-07-24,12.8788,13.1494,12.7706,12.9329,1450449
1996-07-25,13.0952,13.2035,12.7164,12.8788,1138137
1996-07-26,12.987,13.0411,12.7706,12.8247,646338
1996-07-29,12.987,13.0952,12.8788,12.9329,377685
1996-07-30,12.5541,12.8247,12.4459,12.4459,1531992
1996-07-31,12.4459,12.4459,12.013,12.3377,1895124
1996-08-01,12.3377,12.7164,12.2836,12.5541,902979
1996-08-02,12.7164,12.7706,12.3918,12.7164,921459
1996-08-05,12.6623,12.987,12.6623,12.9329,1212288
1996-08-06,13.0952,13.0952,12.8788,13.0411,907368
1996-08-07,12.9329,13.3117,12.9329,13.2576,1213674
1996-08-08,13.2035,13.3117,13.1494,13.2576,705243
1996-08-09,13.3117,13.3658,13.1494,13.2035,711249
1996-08-12,13.2035,13.2576,13.0952,13.0952,710094
1996-08-13,12.987,13.0411,12.8247,12.8788,1112958
1996-08-14,12.8788,13.0411,12.8247,12.9329,668052
1996-08-15,12.7706,13.1494,12.7706,13.0411,518133
1996-08-16,13.1494,13.2576,13.0952,13.2576,579348
1996-08-19,13.3117,13.5823,13.2576,13.5823,784707
1996-08-20,13.5823,13.5823,13.4199,13.4199,605682
1996-08-21,13.3658,13.4199,13.2035,13.3117,793716
1996-08-22,12.6623,13.1494,12.6623,12.987,1529220
1996-08-23,13.0411,13.0411,12.9329,12.987,598521
1996-08-26,13.0411,13.0952,12.7706,12.8788,526449
1996-08-27,12.987,13.0952,12.9329,12.987,539616
1996-08-28,12.987,13.0411,12.9329,12.9329,846846
1996-08-29,12.9329,12.987,12.8247,12.8788,515592
1996-08-30,12.8247,12.8788,12.7164,12.7164,620235
1996-09-03,13.0952,13.2576,13.0411,13.0952,755832
1996-09-04,13.1494,13.1494,12.8247,12.8247,980595
1996-09-05,12.987,13.0411,12.8788,12.987,1026795
1996-09-06,12.987,13.0952,12.8788,13.0952,555786
1996-09-09,13.2576,13.3658,13.2035,13.3117,843150
1996-09-10,13.3117,13.3658,13.1494,13.1494,359898
1996-09-11,13.2576,13.5281,13.2035,13.5281,1344651
1996-09-12,13.4199,13.4199,13.0411,13.0952,1487409
1996-09-13,13.1494,13.2035,12.9329,12.987,912681
1996-09-16,12.987,13.0952,12.8788,13.0952,1250403
1996-09-17,13.2035,13.2035,12.987,13.0952,1034187
1996-09-18,13.0952,13.0952,12.8788,12.8788,399861
1996-09-19,12.8788,13.0411,12.7706,12.8247,1348809
1996-09-20,12.7164,12.9329,12.7164,12.9329,934626
1996-09-23,12.987,13.0952,12.8247,12.987,1160313
1996-09-24,12.987,13.0952,12.8788,13.0411,1410717
1996-09-25,13.0411,13.3117,13.0411,13.3117,1123122
1996-09-26,13.1494,13.2576,13.0952,13.2035,1145991
1996-09-27,13.2035,13.2035,12.987,12.987,1004157
1996-09-30,13.0411,13.0411,12.8247,12.8247,1767150
1996-10-01,12.8247,13.0952,12.7706,12.9329,2203971
1996-10-02,13.0411,13.2035,12.8247,13.1494,1104411
1996-10-03,13.2035,13.5281,13.1494,13.5281,1202355
1996-10-04,13.5823,13.9069,13.5281,13.6905,1030953
1996-10-07,13.7987,14.0152,13.6905,13.961,479556
1996-10-08,14.0693,14.1775,13.8528,14.0693,1614690
1996-10-09,14.1234,14.1775,14.0152,14.0693,1389003
1996-10-10,14.1234,14.1775,13.8528,13.8528,1180641
1996-10-11,13.9069,13.961,13.7987,13.961,577500
1996-10-14,14.0152,14.4481,14.0152,14.4481,575883
1996-10-15,14.6645,14.6645,14.2316,14.2316,814506
1996-10-16,14.3398,14.3398,13.8528,13.961,1042734
1996-10-17,14.0152,14.5022,13.961,14.3398,791637
1996-10-18,14.8268,14.8268,14.4481,14.6104,1027488
1996-10-21,14.5563,14.8268,14.3939,14.3939,777315
1996-10-22,14.5022,14.6104,14.4481,14.6104,467313
1996-10-23,14.6645,14.7727,14.5563,14.6645,345345
1996-10-24,14.8268,14.8268,14.3398,14.4481,699006
1996-10-25,14.3398,14.4481,14.0693,14.2857,778008
1996-10-28,14.2857,14.6104,14.2316,14.5022,698313
1996-10-29,14.4481,14.6645,14.4481,14.6104,1119426
1996-10-30,14.5022,15.0974,14.5022,15.0433,2624853
1996-10-31,15.1515,15.4762,15.1515,15.368,2325939
1996-11-01,15.368,15.368,14.8268,14.9351,970662
1996-11-04,14.8268,14.9892,14.8268,14.9892,281127
1996-11-05,14.9892,15.0974,14.8268,14.8268,431277
1996-11-06,14.9351,15.2056,14.881,15.0974,441672
1996-11-07,15.1515,15.3139,15.0433,15.1515,685146
1996-11-08,15.1515,15.368,14.9892,15.0974,404712
1996-11-11,15.0974,15.4762,15.0433,15.4762,369831
1996-11-12,15.4221,15.4221,15.2056,15.2597,378840
1996-11-13,15.2597,15.368,15.2056,15.2597,308154
1996-11-14,15.3139,15.5844,15.3139,15.5844,466158
1996-11-15,15.368,15.6926,15.368,15.5303,768999
1996-11-18,15.5844,15.7468,15.5844,15.6926,510972
1996-11-19,15.6385,16.0173,15.5844,15.6926,1526448
1996-11-20,15.5303,16.1797,15.5303,16.0173,1026564
1996-11-21,16.0173,16.2338,15.7468,15.8009,1532454
1996-11-22,15.8009,16.2338,15.8009,16.1797,1954491
1996-11-25,16.342,16.3961,16.2338,16.342,840609
1996-11-26,16.3961,16.3961,16.0714,16.2879,657888
1996-11-27,16.2879,16.342,15.9091,15.9632,297759
1996-11-29,15.6926,15.9632,15.6926,15.7468,257103
1996-12-02,15.4762,15.855,15.4762,15.7468,445830
1996-12-03,15.8009,15.9091,15.5844,15.8009,431046
1996-12-04,15.6385,15.6926,15.368,15.4762,571032
1996-12-05,15.6926,15.855,15.6385,15.8009,394086
1996-12-06,15.5844,15.9091,15.4762,15.855,809886
1996-12-09,15.9091,16.1255,15.8009,15.9632,934857
1996-12-10,16.0714,16.0714,15.4221,15.4762,504273
1996-12-11,15.368,15.4762,15.0433,15.0974,492030
1996-12-12,14.9892,15.2056,14.7727,14.7727,647031
1996-12-13,14.7727,14.8268,14.6645,14.6645,1203510
1996-12-16,14.7186,15.1515,14.7186,14.881,1798104
1996-12-17,14.881,15.0974,14.881,15.0433,2018016
1996-12-18,15.2056,15.7468,15.2056,15.6926,1072071
1996-12-19,15.6926,16.1797,15.5303,16.1797,861861
1996-12-20,16.2338,16.342,16.1255,16.2338,1221066
1996-12-23,16.1255,16.1797,15.7468,15.8009,586509
1996-12-24,15.855,15.9632,15.8009,15.9632,261030
1996-12-26,15.855,15.9632,15.6926,15.8009,203742
1996-12-27,15.8009,15.855,15.6385,15.6385,189651
1996-12-30,15.6926,15.6926,15.4762,15.5303,387618
1996-12-31,15.1515,15.3139,14.7727,15.2056,1309308
