Date,Open,High,Low,Close,Volume
2020-01-02,235.25,236.8,230.84,231.14,1320500
2020-01-03,228.65,230.27,225.98,226,1710400
2020-01-06,225.15,228.15,224.94,225.9,1737400
2020-01-07,225.41,228.83,224.91,226.86,1518900
2020-01-08,227.71,228.95,225.86,228.09,965700
2020-01-09,230.07,233.73,229.28,233.5,1320900
2020-01-10,234.5,235.29,231.25,232,949000
2020-01-13,232.36,237.27,232.28,236.86,1376800
2020-01-14,236.03,236.99,233.89,234.52,944200
2020-01-15,235.08,236.73,233.76,235.46,779500
2020-01-16,236.87,237.23,235.48,235.77,756600
2020-01-17,236.05,237.35,235.17,237,1857000
2020-01-21,236.46,239.12,235.34,237.18,1699900
2020-01-22,238.61,239.14,236.92,238.04,927800
2020-01-23,235.82,237.72,233.64,237.29,1072300
2020-01-24,237.54,244.61,237.54,243.95,1763500
2020-01-27,240.4,240.87,233.36,233.47,1368900
2020-01-28,234.09,237.42,233.74,236.45,1338500
2020-01-29,237.93,237.93,235.56,237.27,709000
2020-01-30,236.32,241.74,236.14,241.41,1074100
2020-01-31,240.34,240.65,237.81,238.71,1596400
2020-02-03,239.89,243.67,238.37,243.01,1639600
2020-02-04,244.91,248,243.28,247.09,1447300
2020-02-05,248.72,250.59,243.14,250.28,1590800
2020-02-06,250.73,251.62,248.82,251.06,1517600
2020-02-07,250.4,251.37,249.13,249.92,730800
2020-02-10,251.5,252,250.32,251.71,861600
2020-02-11,253.28,254.31,252.22,252.41,965400
2020-02-12,252.8,254.71,252.61,254.1,690000
2020-02-13,253.89,256.32,253.26,254.88,666200
2020-02-14,255.22,256.05,254.65,256.01,650800
2020-02-18,255.91,256.59,254.97,255.74,857900
2020-02-19,256.41,257.01,255.01,255.82,931000
2020-02-20,254.9,256.01,252.11,255.4,922900
2020-02-21,255.24,255.59,253.7,254.97,1587000
2020-02-24,249.76,251.09,244.68,245.53,1330700
2020-02-25,245.54,246.39,234.82,235.49,1423700
2020-02-26,235.95,240.17,235.11,235.52,1310200
2020-02-27,231.88,233.28,223.99,224.09,1410300
2020-02-28,217.39,222.78,213.81,219.61,2353600
2020-03-02,221.09,230.84,220.63,230.65,1625400
2020-03-03,231.09,237.22,224.55,227.36,1607800
2020-03-04,231.42,237.44,229.79,237.2,1213900
2020-03-05,230.5,234.73,229.16,234,1548200
2020-03-06,226.23,231.53,225.44,229.71,2175000
2020-03-09,214.99,214.99,204.74,205.15,2393700
2020-03-10,210.93,214.58,204.62,214.58,1962500
2020-03-11,210,213.13,203.45,207.8,1470600
2020-03-12,197.9,206.17,178.48,187.73,2288700
2020-03-13,197.15,206.52,188.67,206.36,2180400
2020-03-16,170.15,191.2,167.43,180.35,1809000
2020-03-17,185.35,205.76,181.59,205.1,2284700
2020-03-18,190.71,211.53,182.83,201.57,2582200
2020-03-19,199.5,204.86,188.58,191.04,1818200
2020-03-20,190.97,193.85,182.29,189.15,2155600
2020-03-23,186.41,194.61,173.91,176.73,2162800
2020-03-24,185.56,200.72,179.27,194.42,2161600
2020-03-25,193.36,204.62,189.72,191.15,2165300
2020-03-26,192.98,202.8,189.98,201.34,1512800
2020-03-27,195.31,199.15,191.34,193.17,1173100
2020-03-30,198.47,208.59,197.1,206.53,1281800
2020-03-31,202.7,205.88,197.47,199.61,2372800
2020-04-01,192,197.4,188.54,189.28,1566500
2020-04-02,187.63,199.24,186.45,194.5,1963500
2020-04-03,193.39,194.99,185.25,186.6,1943700
2020-04-06,194.62,198.2,190.61,193.86,2090400
2020-04-07,198.61,205.74,198.25,202.03,1383800
2020-04-08,203.47,217.58,201.07,215.76,1804000
2020-04-09,215.13,222.6,215.13,219.32,1744000
2020-04-13,218.2,219.99,213.51,216.19,1096700
2020-04-14,221.64,224.28,218.49,220.79,965400
2020-04-15,219.27,219.27,212.03,213.82,1042400
2020-04-16,214.44,215.27,211.55,212.88,974400
2020-04-17,217.46,223.84,214.61,221.5,1755600
2020-04-20,219.49,221.18,213.22,214.37,800500
2020-04-21,209.96,210.12,205.41,207.39,1498500
2020-04-22,213.65,215.39,210.78,214.44,1318100
2020-04-23,218.22,219.79,209.67,211.27,1113900
2020-04-24,213.3,217.33,212.23,216.78,811900
2020-04-27,216.45,222.45,215.51,222.26,1194300
2020-04-28,225.42,227.2,221.12,223.62,1093400
2020-04-29,225.98,231.88,225.04,230.67,1323800
2020-04-30,225.91,228.5,224.15,225.58,1284000
2020-05-01,220.39,222.9,218.87,222.25,827200
2020-05-04,221.55,224.51,219.52,223.35,1345100
2020-05-05,225,227.81,223.53,224.3,1106400
2020-05-06,223.73,226.5,222.93,223.38,1314400
2020-05-07,226.15,228.43,223.16,226.8,761700
2020-05-08,231.08,233.56,229.19,233.48,808700
2020-05-11,229,233.53,227.89,232.67,852300
2020-05-12,232.64,234.15,230.07,230.26,1062800
2020-05-13,229.85,232.85,223.29,225.84,1128400
2020-05-14,221.71,225.77,219.52,225.62,958900
2020-05-15,224.72,228.12,222.52,228.04,1441300
2020-05-18,235.93,241.32,235.85,238.95,1159300
2020-05-19,237.69,239.22,235.79,236.03,720400
2020-05-20,239.66,242.27,238.53,239.8,781700
2020-05-21,238.98,240.25,235.19,235.54,736200
2020-05-22,234.46,235.89,233.17,234.35,775100
2020-05-26,238.94,240.52,237.24,237.8,1043100
2020-05-27,240.25,240.65,232.41,235.16,1025700
2020-05-28,239.09,242.86,236.67,240.68,930100
2020-05-29,241.3,242.97,239.55,241.65,1241800
2020-06-01,242.11,244.61,239.43,242.6,711700
2020-06-02,242.54,245.43,241.81,245.3,933700
2020-06-03,246.95,250.61,245.38,248.46,849100
2020-06-04,247.35,248.82,243.11,243.97,1210300
2020-06-05,249.83,250.34,247.43,248.58,1243100
2020-06-08,246.93,249.82,245.99,249.58,889400
2020-06-09,247.38,251.3,245.83,250.87,1014400
2020-06-10,251.95,252.54,247.49,247.86,625900
2020-06-11,243.38,244.47,232.63,233.08,1370100
2020-06-12,238.88,240.01,230.63,235.04,854300
2020-06-15,230,238.4,229.17,237.01,709300
2020-06-16,241.22,242.71,236.61,238.04,961600
2020-06-17,240.13,240.54,236.75,237.45,513900
2020-06-18,237.57,239.56,236.24,238.11,678400
2020-06-19,241.95,241.95,235.39,235.51,1386600
2020-06-22,235.1,237.63,233.6,236.47,667200
2020-06-23,239.39,240.32,236.51,239.09,975900
2020-06-24,236.98,238.99,230,233.14,1164400
2020-06-25,232.94,237.65,230.73,237.3,860400
2020-06-26,236.56,238.03,234.43,236.02,1243700
2020-06-29,238.61,239.93,235.8,238.61,993300
2020-06-30,236.16,243.05,236,241.46,1544500
2020-07-01,241.9,244.85,239.36,243.75,1049100
2020-07-02,245.17,247.76,244.92,247.42,1333000
2020-07-06,250.33,250.98,244.86,248.91,1131600
2020-07-07,251.85,265.27,251.67,265.13,2682600
2020-07-08,266.4,276.86,265.98,269.79,2793000
2020-07-09,271.02,272.01,265.94,271.6,1504300
2020-07-10,272.41,273.84,269.84,273.19,951600
2020-07-13,276.07,280.7,273.54,274.35,1180900
2020-07-14,274,281.55,273.03,280.99,1990300
2020-07-15,282.75,285.3,281.1,281.97,1327100
2020-07-16,283.18,288,282.76,287.19,2252300
2020-07-17,289,295.37,287.62,294,1961500
2020-07-20,293.46,295.9,288,290.87,1037600
2020-07-21,291,292.67,289.91,290.39,1057500
2020-07-22,290.43,296.28,289.66,295.51,820600
2020-07-23,289.44,299.82,289.44,293.25,1318700
2020-07-24,291.97,293.35,289.35,291.52,1064000
2020-07-27,293.65,297.09,292.26,294.71,1077300
2020-07-28,294.49,294.72,289.14,289.27,775400
2020-07-29,289.21,292.73,288.43,288.85,1131200
2020-07-30,286.02,287.41,283.18,284.81,1042200
2020-07-31,285.62,286.74,281.06,286.63,1546200
2020-08-03,288.08,288.63,278.33,278.41,1731000
2020-08-04,276.33,280.96,274.56,279.58,2065300
2020-08-05,281.15,288.04,281.08,284.62,1624700
2020-08-06,283.66,284.97,281.06,282.99,1293700
2020-08-07,283.33,283.33,279.2,281.69,861700
2020-08-10,280.78,281.79,278.9,281.24,980600
2020-08-11,282.11,284.69,280.85,281.6,967000
2020-08-12,284,287.36,282.61,285.4,755400
2020-08-13,284.28,288.49,284.17,288.31,758200
2020-08-14,288.42,292.05,287.68,289.82,1017200
2020-08-17,291.78,293.31,289.09,289.56,846100
2020-08-18,290.56,291.48,285.94,286.35,763900
2020-08-19,289.21,289.21,286.42,286.95,482800
2020-08-20,284.08,286.39,283.49,286.07,430400
2020-08-21,285.44,286.99,282.85,286.44,583500
2020-08-24,289.59,289.75,287.19,287.65,466100
2020-08-25,289.18,291.14,287.85,289.42,485400
2020-08-26,288.43,295.53,287.88,293.96,578000
2020-08-27,294.9,295.16,292.05,292.75,426400
2020-08-28,293.38,297.11,293.16,296.76,502700
2020-08-31,295.35,299.46,292.09,292.26,601900
2020-09-01,291,303.17,290.69,302.73,1071700
2020-09-02,302.49,310.74,301.82,310.31,1296600
2020-09-03,307.98,308.94,292.91,297.18,1320600
2020-09-04,298.91,300.71,291.06,298.43,1375400
2020-09-08,294.89,298.31,292,294.52,1109400
2020-09-09,298.18,306.83,297.95,303.27,1025400
2020-09-10,302.7,306.04,294.1,295.23,1181300
2020-09-11,297.81,302.13,297.1,300.32,625800
2020-09-14,303.58,306.8,301.27,303.97,611000
2020-09-15,305.88,307.93,303.96,304.04,700700
2020-09-16,304.26,306.76,302.29,302.46,810000
2020-09-17,298.7,302.84,297.17,301.98,739700
2020-09-18,299.8,303.3,294.84,295.81,1150800
2020-09-21,291.37,291.6,284.64,290.78,762600
