Date,Open,High,Low,Close,Volume
2026-01-02,145.01,146.95,144.16,146.61,2047300
2026-01-05,145.89,151.98,145.89,149.76,3019800
2026-01-06,149.49,153.29,149.35,152.7,2757200
2026-01-07,152.6,152.6,144.12,144.28,5090400
2026-01-08,143.44,148.68,142.61,146.19,2279600
2026-01-09,147.33,148.08,142.71,145.82,2348000
2026-01-12,143.02,144.74,142,143.91,2429000
2026-01-13,142.32,143.52,139.94,143.24,3439500
2026-01-14,143,144.45,140.26,144.06,2234500
2026-01-15,144.8,146.25,143.63,144.15,2048200
2026-01-16,143.23,146.2,143.23,143.88,2295600
2026-01-20,141.01,143.68,138.15,138.64,3554400
2026-01-21,140.49,141.37,139.1,139.53,3553800
2026-01-22,140.56,141.67,139.42,139.73,2651100
2026-01-23,138.97,139.69,135.77,136.31,3502800
2026-01-26,135.84,137,130.44,131.56,5559900
2026-01-27,131.56,132.5,128.88,131.72,4015800
2026-01-28,131.9,133.13,130.16,132.89,3082400
2026-01-29,134.58,135.57,133.07,134.49,3348800
2026-01-30,134.16,136,133.62,134.54,2347700
2026-02-02,134.25,136.58,131.13,133.19,2821300
2026-02-03,131.58,132.59,122.06,126.85,9421700
2026-02-04,127.85,134.32,126.85,132.8,6485500
2026-02-05,131.26,131.77,125.01,126.08,5662400
2026-02-06,129.4,134.01,128.22,133.03,6113600
2026-02-09,134.34,140.17,133.65,133.95,6152100
2026-02-10,134.79,137.97,132.35,132.43,4099100
2026-02-11,131.91,133.29,126.35,126.95,6313700
2026-02-12,127.16,129.83,122.73,125.37,7363400
2026-02-13,125.07,126.08,123.83,125.07,3707200
2026-02-17,125.58,126.31,123.47,125.15,4219100
2026-02-18,124.5,126.73,123.8,125.36,3322700
2026-02-19,122.5,122.95,116.53,118.34,9488300
2026-02-20,116.9,120.82,115.59,119.72,6301800
2026-02-23,118.1,118.24,111.34,113.73,9437300
2026-02-24,113,116.7,112.15,114.13,7220700
2026-02-25,115,118.92,114.7,117.21,6266600
2026-02-26,118.65,118.65,111.73,114.4,6780800
2026-02-27,111.22,111.34,104,104.6,15136000
2026-03-02,102.5,107.82,101.56,106.45,7837600
