Date,Open,High,Low,Close,Volume
2014-01-02,45.34,45.52,44.45,44.67,422000
2014-01-03,44.62,45,44.4,44.74,647300
2014-01-06,44.71,44.74,44.16,44.19,298700
2014-01-07,44.4,45.51,44.3,45.18,460500
2014-01-08,45.27,45.51,44.92,45.42,568600
2014-01-09,45.57,45.8,45.32,45.65,300600
2014-01-10,45.78,46.21,45.66,45.81,374200
2014-01-13,45.79,45.84,45.04,45.24,232800
2014-01-14,45.34,45.63,45.08,45.62,188600
2014-01-15,45.72,45.72,45.46,45.7,220100
2014-01-16,45.59,45.94,45.43,45.84,278400
2014-01-17,45.89,46.39,45.77,46.23,458900
2014-01-21,46.51,47.12,46.29,47.08,284000
2014-01-22,47.23,47.45,47.01,47.26,238800
2014-01-23,47.09,47.59,46.97,47.54,350600
2014-01-24,47.41,47.51,46.89,46.89,322100
2014-01-27,47.01,47.14,46.56,46.57,528400
2014-01-28,46.66,46.82,46.48,46.77,257300
2014-01-29,46.43,47.13,46.17,46.6,233700
2014-01-30,46.84,47.61,46.61,47.54,208600
2014-01-31,47.18,48.38,47.06,48.01,335400
2014-02-03,47.99,48.06,46.51,46.71,1095800
2014-02-04,46.8,46.89,46.13,46.8,698300
2014-02-05,46.05,46.59,45.63,46.28,509500
2014-02-06,46.43,47.11,46.32,47.08,332900
2014-02-07,47.24,47.76,46.92,47.19,412500
2014-02-10,47.19,47.62,46.87,47.41,599400
2014-02-11,46.61,46.61,45.26,45.47,2298200
2014-02-12,44.5,45.37,44.26,45.08,7730000
2014-02-13,45.09,46,45.08,45.86,1019000
2014-02-14,45.87,45.88,45.3,45.53,567700
2014-02-18,45.52,45.8,45.38,45.66,554600
2014-02-19,45.53,45.72,44.91,44.94,518500
2014-02-20,44.56,45.3,44.51,45.3,569200
2014-02-21,45.25,45.63,45.14,45.56,657300
2014-02-24,45.72,46.16,45.59,45.66,940300
2014-02-25,45.8,45.93,45.4,45.83,1221600
2014-02-26,45.95,46.06,45.36,45.46,606700
2014-02-27,45.38,45.82,45.24,45.71,668600
2014-02-28,45.77,46.42,45.55,46.1,749000
