Date,Shares
2015-10-28,984246000
2016-02-19,964045000
2016-03-22,958345000
2016-04-21,951000000
2016-04-27,951033000
2016-07-26,923781000
2016-10-25,915255000
2017-02-17,901271000
2017-03-21,899917000
2017-04-20,893779008
2017-04-27,893779008
2017-07-20,885000000
2017-07-25,861054016
2018-11-13,854262016
2018-11-14,854262016
2018-11-16,854262016
2018-11-19,854262016
2018-11-21,854262016
2018-11-22,854262016
2018-11-26,854262016
2018-11-28,854262016
2018-11-29,854262016
2018-12-05,854262016
2018-12-06,854262016
2018-12-07,854262016
2018-12-09,854262016
2018-12-10,854262016
2018-12-11,854262016
2018-12-12,854262016
2018-12-14,854262016
2018-12-16,854262016
2018-12-17,854262016
2018-12-19,854262016
2018-12-21,854262016
2018-12-30,854262016
2019-01-05,854262016
2019-01-07,854262016
2019-01-09,854262016
2019-01-10,854262016
2019-01-12,854262016
2019-01-14,854262016
2019-01-16,854262016
2019-01-17,854262016
2019-01-20,854262016
2019-01-22,847000000
2019-01-25,847000000
2019-01-28,847000000
2019-01-30,847000000
2019-02-04,847000000
2019-02-07,847000000
2019-02-15,847000000
2019-02-17,843369024
2019-02-18,843369024
2019-02-20,843369024
2019-02-28,843369024
2019-03-01,843369024
2019-03-07,843369024
2019-03-09,843369024
2019-03-10,843369024
2019-03-11,843369024
2019-03-14,843369024
2019-03-15,843369024
2019-03-17,838748032
2019-03-18,838748032
2019-03-26,838748032
2019-03-27,838748032
2019-03-29,838748032
2019-03-30,838748032
2019-04-01,838748032
2019-04-02,838748032
2019-04-05,838748032
2019-04-09,838748032
2019-04-11,838748032
2019-04-14,838748032
2019-04-15,838748032
2019-04-17,838748032
2019-04-19,838748032
2019-04-21,837000000
2019-04-29,835081024
2019-05-01,835081024
2019-05-02,835080000
2019-05-05,835080000
2019-05-07,835080000
2019-05-09,835081024
2019-05-11,835081024
2019-05-12,835081024
2019-05-13,835081024
2019-05-19,835081024
2019-05-20,835081024
2019-05-22,835081024
2019-05-23,835081024
2019-05-28,835081024
2019-06-01,835081024
2019-06-03,835081024
2019-06-04,835081024
2019-06-05,835081024
2019-06-06,835081024
2019-06-10,835081024
2019-06-11,835081024
2019-06-12,835081024
2019-06-17,835081024
2019-06-19,835081024
2019-06-21,835081024
2019-06-23,835081024
2019-06-24,835081024
2019-06-26,835081024
2019-07-05,830038016
2019-07-06,835081024
2019-07-10,828379008
2019-07-11,841646976
2019-07-12,837646976
2019-07-13,835081024
2019-07-23,832000000
2019-07-25,829673984
2019-08-07,854347008
2019-08-08,849054976
2019-08-09,841425984
2019-08-10,829673984
2019-08-30,818336000
2019-09-02,820851008
2019-09-04,829673984
2019-09-06,827611008
2019-09-09,830915968
2019-09-11,851315968
2019-09-12,829673984
2019-09-20,823036032
2019-09-21,829673984
2019-10-04,831958976
2019-10-08,829673984
2019-10-21,813372992
2019-10-22,821000000
2019-10-23,818270976
2019-11-05,805496000
2019-11-06,802264000
2019-11-07,818270976
2019-11-08,829625984
2019-11-09,818270976
2019-11-14,814006976
2019-11-15,822830016
2019-11-16,818270976
2019-11-20,818270976
2019-12-18,826673024
2019-12-19,818270976
2020-01-07,826480000
2020-01-08,830076992
2020-01-09,828033024
2020-01-11,832393984
2020-01-12,818270976
2020-01-28,810000000
2020-02-07,807878016
2020-02-08,810000000
2020-02-12,812388992
2020-02-13,810000000
2020-02-18,810000000
2020-02-20,808041024
2020-03-09,788374976
2020-03-10,808041024
2020-03-26,805777984
2020-04-28,804972032
2020-07-28,805161024
2020-08-04,807059008
2020-08-28,805161024
2020-09-05,804699008
2020-09-06,805161024
2020-09-21,814657024
2020-09-22,805161024
2020-10-05,805161024
2020-10-24,805201984
2020-10-26,805201984
2020-11-26,805201984
2021-02-17,805588992
2021-03-17,835046976
2021-03-23,803420992
2021-04-23,803529984
2021-04-24,819286016
2021-04-26,819286016
2021-04-27,803302976
2021-07-27,794433024
2021-08-04,794433024
2021-10-26,774556032
2021-11-03,779206976
2021-11-05,774915008
2021-11-06,774556032
2021-11-17,784017024
2021-11-19,789500992
2021-11-20,786473024
2021-11-23,786521024
2022-01-27,761000000
2022-02-04,761496000
2022-02-05,761000000
2022-02-11,761000000
2022-02-15,759355008
2022-03-04,761128000
2022-03-05,759355008
2022-03-22,757289024
2022-04-26,753059968
2022-05-10,781729024
2022-05-11,753059968
2022-05-21,753059968
2022-07-26,749747968
2022-08-20,749747968
2022-09-02,749747968
2022-10-26,747233024
2022-11-04,747233024
2022-12-16,766582976
2023-01-29,743000000
2023-02-14,744193024
2023-03-18,764209984
2023-03-21,744065984
2023-03-25,744065984
2023-03-30,764536000
2023-04-01,744065984
2023-04-04,749380992
2023-04-05,744065984
2023-04-06,750902016
2023-04-07,744065984
2023-04-21,743000000
2023-04-24,743241024
2023-05-03,743241024
2023-05-04,748318976
2023-05-06,743241024
2023-05-11,766736000
2023-05-12,746705984
2023-05-13,747009024
2023-05-16,743241024
2023-06-27,743241024
2023-07-19,754470016
2023-07-20,743241024
2023-07-27,736459008
2023-08-22,736459008
2023-08-23,744792000
2023-08-24,736459008
2023-09-21,746388992
2023-10-10,736459008
2023-10-11,736459008
2023-10-13,736459008
2023-10-14,737336000
2023-10-15,736459008
2023-10-17,736459008
2023-10-18,736459008
2023-10-19,750358976
2023-10-22,736459008
2023-10-23,736459008
2023-10-24,728745984
2023-10-25,729603008
2023-10-28,728745984
2023-11-01,728745984
2023-11-02,728745984
2023-11-03,728745984
2023-11-04,728745984
2023-11-07,728745984
2023-11-08,728793024
2023-11-09,728745984
2023-11-10,728745984
2023-11-17,728745984
2023-11-18,728745984
2023-11-23,728745984
2023-11-25,728745984
2023-11-29,728745984
2023-11-30,728745984
2023-12-02,728745984
2023-12-05,728745984
2023-12-06,739718976
2023-12-08,728745984
2023-12-09,728745984
2023-12-19,728745984
2023-12-21,728745984
2023-12-22,728745984
2023-12-23,728745984
2023-12-26,728745984
2023-12-30,728745984
2024-01-03,728745984
2024-01-05,728745984
2024-01-06,736222016
2024-01-09,728745984
2024-01-11,728745984
2024-01-12,728745984
2024-01-17,728745984
2024-01-18,728745984
2024-01-19,728745984
2024-01-20,728745984
2024-01-23,728745984
2024-01-24,728745984
2024-01-27,723000000
2024-02-01,723000000
2024-02-07,723000000
2024-02-13,723870016
2024-02-14,723870016
2024-02-17,723870016
2024-02-22,723870016
2024-02-24,723870016
2024-02-28,723870016
2024-02-29,723870016
2024-03-02,723870016
2024-03-05,726350016
