Date,Open,High,Low,Close,Volume
2020-01-02,29.7,29.7,29.16,29.47,45200
2020-01-03,29.11,29.81,29.11,29.69,48000
2020-01-06,29.5,29.7,29.41,29.51,58600
2020-01-07,29.44,29.76,29.32,29.58,40100
2020-01-08,29.47,29.64,29.06,29.17,130800
2020-01-09,29.19,29.285,28.83,28.91,106300
2020-01-10,28.84,29.04,28.44,28.62,134400
2020-01-13,28.53,29.63,28.53,29.62,64800
2020-01-14,29.47,29.77,29.29,29.45,66400
2020-01-15,29.32,29.56,29.21,29.45,44700
2020-01-16,29.63,29.76,29.344,29.59,95800
2020-01-17,29.78,29.78,29.29,29.33,47200
2020-01-21,29.24,29.7,29.11,29.46,95000
2020-01-22,29.49,29.52,28.95,28.95,76700
2020-01-23,29,29.51,28.77,29.28,94700
2020-01-24,29.4,29.4,28.813,29.1,78200
2020-01-27,28.82,29.56,28.82,29.49,115500
2020-01-28,29.68,29.77,29.39,29.4,57900
2020-01-29,29.33,29.64,29.11,29.32,50600
2020-01-30,28.97,29.55,28.97,29.55,44700
2020-01-31,29.44,29.565,29.03,29.15,69500
2020-02-03,29.23,29.64,29.1,29.15,68000
2020-02-04,29.44,29.55,29.245,29.3,57700
2020-02-05,29.49,29.86,29.265,29.84,100000
2020-02-06,29.99,29.99,29.28,29.4,33300
2020-02-07,29.41,29.41,29.01,29.195,97700
2020-02-10,29.14,29.33,29,29.25,63600
2020-02-11,29.38,29.38,28.94,29.01,36400
2020-02-12,29.06,29.13,28.8,28.89,60300
2020-02-13,28.75,28.93,28.55,28.6,77500
2020-02-14,28.72,29.07,28.66,28.81,80400
2020-02-18,28.82,28.88,28.74,28.83,28700
2020-02-19,28.82,28.945,28.7,28.75,57800
2020-02-20,28.61,28.78,28.41,28.63,39800
2020-02-21,28.71,28.71,28.19,28.31,67000
2020-02-24,27.71,27.96,27.61,27.67,63400
2020-02-25,27.73,27.9,27.22,27.53,169100
2020-02-26,27.78,27.78,26.94,27.14,124300
2020-02-27,26.67,27.49,26.32,26.64,141400
2020-02-28,26.13,26.53,25.4,25.98,240000
2020-03-02,26.09,26.31,25.26,26.22,173300
2020-03-03,26.15,26.61,25.77,26.17,122500
2020-03-04,26.36,26.36,25.36,26.17,100000
2020-03-05,25.78,25.9,24.39,24.75,261700
2020-03-06,24.21,24.73,23.83,24.36,96600
2020-03-09,22.98,23.77,22.34,22.43,202100
2020-03-10,22.77,23.052,21.38,22.51,201200
2020-03-11,22.11,22.16,19.86,20.07,285100
2020-03-12,19.13,19.13,16.53,17.34,602700
2020-03-13,17.73,19.12,17.73,18.38,257600
2020-03-16,16.76,18.17,16.26,16.64,255200
2020-03-17,16.8,17.04,15.735,16.79,347200
2020-03-18,15.98,16.402,13.33,13.47,328600
2020-03-19,13.44,16.095,13.2,15.76,338500
2020-03-20,15.67,17.04,14.53,16,543900
2020-03-23,16.34,16.34,14.635,15.54,503000
2020-03-24,16.61,17.23,16,17.09,258600
2020-03-25,17.11,19.54,16.28,19.18,404600
2020-03-26,19.38,19.94,18.06,19.03,341300
2020-03-27,18.25,18.65,17.03,18.08,145800
2020-03-30,18.04,18.47,17.45,18.19,149300
2020-03-31,18.19,19.17,18.19,19.06,266100
2020-04-01,18.55,18.595,17.4,18.08,297500
2020-04-02,17.89,18.91,17.54,18.07,178100
2020-04-03,17.99,18.26,16.07,16.44,167100
2020-04-06,17.15,17.74,16.5,17.43,210000
2020-04-07,16,17,15.02,16.06,886600
2020-04-08,16.32,17.549,16.2,17.26,354800
2020-04-09,17.86,18,17.155,17.9,352900
2020-04-13,17.69,18.19,17.2,17.74,150700
2020-04-14,18.23,18.54,17.89,18.17,152500
2020-04-15,17.34,17.72,17,17.4,245600
2020-04-16,17.38,17.85,17.04,17.7,307600
2020-04-17,18.43,18.57,17.76,18.04,328500
2020-04-20,17.6,17.932,17.23,17.64,194000
2020-04-21,17.07,18.11,17,17.79,316100
2020-04-22,18.28,18.567,17.31,17.62,292800
2020-04-23,17.76,18.116,17.56,17.74,301300
2020-04-24,17.96,19.12,17.73,19,252300
2020-04-27,19.17,19.57,19.1,19.27,293000
2020-04-28,20.01,20.33,19.475,19.8,191600
2020-04-29,20.51,22.28,19.95,21.94,344200
2020-04-30,22.18,22.18,19.4,20.09,234100
