Date,Open,High,Low,Close,Volume
2025-01-02,29.41,29.75,29.03,29.26,4014400
2025-01-03,29.28,29.6,29.08,29.5,2821200
2025-01-06,29.47,30.25,29.39,29.66,4164200
2025-01-07,29.72,29.99,29.44,29.58,4538700
2025-01-08,29.55,29.9,29.29,29.59,4035700
2025-01-10,29.28,29.5,29.05,29.42,5954500
2025-01-13,29.48,30.93,29.24,30.5,7315200
2025-01-14,30.65,30.82,30.28,30.62,4608100
2025-01-15,30.81,31.04,30.17,30.21,4328600
2025-01-16,30.19,31.2,30.12,30.95,6862500
2025-01-17,31.01,31.02,30.51,30.98,3877700
2025-01-21,31.17,31.6,31.11,31.48,6291100
2025-01-22,31.29,32.27,31.09,31.83,7346900
2025-01-23,31.92,32.58,31.79,32.45,4224400
2025-01-24,32.31,32.53,32.07,32.45,3244500
2025-01-27,32.75,33.58,32.72,33.46,4216900
2025-01-28,33.24,33.56,32.48,32.69,4277100
2025-01-29,32.69,32.98,32.64,32.78,3844300
2025-01-30,32.95,33.32,32.87,33.1,3816000
2025-01-31,32.92,33.24,32.5,32.56,3828100
2025-02-03,31.76,32.02,30.63,31.64,7195000
2025-02-04,31.51,31.59,31.22,31.42,4198200
2025-02-05,31.68,31.71,31.35,31.47,2708700
2025-02-06,31.33,31.62,30.79,30.81,2958500
2025-02-07,30.96,30.98,30.51,30.62,2894300
2025-02-10,30.86,30.91,30.51,30.81,5195800
2025-02-11,30.81,30.88,30.56,30.6,4715400
2025-02-12,30.53,30.53,29.89,30.29,2908600
2025-02-13,30.48,30.62,30.12,30.62,5124900
2025-02-14,30.96,31.09,30.61,30.82,3855400
2025-02-18,30.72,31.24,30.57,31.2,4416700
2025-02-19,31.07,31.25,30.56,30.82,9790800
2025-02-20,33.28,33.68,32.34,33.44,10688000
2025-02-21,33.51,34.02,33.25,33.82,7264400
2025-02-24,34.02,35.13,33.44,35.08,7796500
2025-02-25,34.99,36.05,34.95,35.94,8927400
2025-02-26,35.94,36.26,35.01,35.26,6660600
2025-02-27,35.05,35.56,34.75,35.1,3729300
2025-02-28,34.95,35.17,34,34.51,4783300
2025-03-03,34.87,35.24,34.3,34.86,3896600
2025-03-04,34.87,35.31,34.59,34.79,4423200
2025-03-05,34.85,35.45,34.76,35.16,3354600
2025-03-06,35.25,35.47,34.72,35.44,2745900
2025-03-07,35.34,36.64,35.06,36.57,4549800
2025-03-10,36.69,37.74,36.36,36.56,5310600
2025-03-11,36.44,36.57,35.68,35.85,4151500
2025-03-12,35.49,35.77,34.21,34.41,6203700
2025-03-13,34.22,34.84,34.05,34.55,4771200
2025-03-14,34.63,35.02,34.21,34.59,2992100
2025-03-17,34.51,35.03,34.4,34.85,3691500
2025-03-18,34.9,34.92,34.41,34.51,3361800
2025-03-19,34.38,34.55,33.84,34.09,5109400
2025-03-20,34.08,34.16,33.37,33.44,5791700
2025-03-21,33.22,33.64,33,33.19,8139300
2025-03-24,33.3,33.88,33.3,33.6,3543800
2025-03-25,33.76,33.85,32.8,32.94,3684000
2025-03-26,32.96,33.53,32.8,33.36,2719500
2025-03-27,33.68,33.91,33.31,33.7,2761500
