Date,Open,High,Low,Close,Volume
2010-01-04,20.86,20.99,19.97,20.48,22700
2010-01-05,20.39,20.47,19.03,19.42,132300
2010-01-06,19.47,19.61,18.77,18.77,112100
2010-01-07,18.75,19.19,18.65,18.98,118600
2010-01-08,18.97,19.61,18.83,19.18,27400
2010-01-11,19.22,19.51,18.56,18.71,64000
2010-01-12,18.6,18.9,18.51,18.51,33400
2010-01-13,18.63,18.84,18.51,18.52,34300
2010-01-14,18.52,18.68,18.5,18.65,68300
2010-01-15,18.76,18.76,18.45,18.5,51600
2010-01-19,18.5,19.07,18.5,18.85,92100
2010-01-20,18.76,19.05,18.48,18.79,129900
2010-01-21,18.86,18.9,18.45,18.5,82300
2010-01-22,18.5,18.65,18.1,18.16,23600
2010-01-25,18.3,18.78,18.15,18.28,20100
2010-01-26,18.25,18.42,18.18,18.25,19300
2010-01-27,18.25,18.7,18.23,18.63,28800
2010-01-28,18.72,18.83,18.15,18.25,31000
2010-01-29,17.47,17.47,16.2,16.55,606100
2010-02-01,16.66,16.94,16.52,16.79,78300
2010-02-02,16.75,17.5,16.6,16.7,311100
2010-02-03,16.88,17.09,16.63,16.69,58500
2010-02-04,16.62,16.78,16.45,16.48,52100
2010-02-05,16.56,17.19,16.54,17.03,44800
2010-02-08,16.94,16.99,16.55,16.55,44500
2010-02-09,16.74,17.33,16.48,17.14,47600
2010-02-10,17.16,17.16,16.97,17.16,29300
2010-02-11,17.07,17.98,16.79,17.94,44400
2010-02-12,17.75,17.77,17.25,17.68,53200
2010-02-16,17.7,18.11,17.5,17.85,40900
2010-02-17,17.96,18.16,17.39,18.11,69900
2010-02-18,18.04,18.56,17.73,18.52,14500
2010-02-19,18.53,18.56,18.27,18.36,37200
2010-02-22,18.47,18.5,18.32,18.47,18500
2010-02-23,18.4,18.63,18.4,18.5,17100
2010-02-24,18.5,18.51,18.36,18.45,21500
2010-02-25,18.22,18.36,17.81,18.35,17400
2010-02-26,18.39,18.39,17.82,17.88,35400
2010-03-01,17.96,18.45,17.89,18.44,43600
2010-03-02,18.41,18.57,18.28,18.45,34000
2010-03-03,17.81,18.47,17.78,18.21,39600
