Date,Open,High,Low,Close,Volume
2020-01-02,60.47,60.66,59.38,60,548000
2020-01-03,59.1,59.26,58.59,59,400500
2020-01-06,58.37,58.81,57.62,58.16,790100
2020-01-07,57.86,58.43,57.2,57.29,617400
2020-01-08,57.26,58.07,57.26,57.77,369500
2020-01-09,58.07,58.09,57.49,57.73,361400
2020-01-10,57.83,57.92,56.64,56.81,523700
2020-01-13,56.81,58.09,56.65,58.08,653800
2020-01-14,58,59.53,57.94,59.1,467900
2020-01-15,58.96,59.54,58.93,59.34,411800
2020-01-16,60,60.59,59.07,59.29,479900
2020-01-17,59.5,59.53,58.73,58.75,414100
2020-01-21,58.61,59.16,58.5,58.82,417400
2020-01-22,58.92,60.19,58.41,60.08,866700
2020-01-23,60.6,62.92,60.55,62.81,1161400
2020-01-24,62.82,63.36,61.84,62.44,710500
2020-01-27,61,61.66,60.5,61.28,1081100
2020-01-28,61.56,62.76,61.55,62.64,453700
2020-01-29,62.9,63.36,62.33,62.94,793700
2020-01-30,64.26,64.83,61.78,62.93,1426000
2020-01-31,63.03,64.89,62.39,62.85,1291200
2020-02-03,63.33,64.25,61.94,62.24,745600
2020-02-04,63.26,63.35,61.16,61.21,965800
2020-02-05,62.04,63.05,61.99,62.93,421300
2020-02-06,63.09,63.42,62.06,62.44,582100
2020-02-07,61.93,62.37,61.08,61.56,615600
2020-02-10,61.4,63.03,61.11,63.01,499500
2020-02-11,63.48,64.21,63.23,63.98,832300
2020-02-12,65,66.32,64.85,65.49,607300
2020-02-13,65,65.31,64.52,64.72,503500
2020-02-14,64.92,65.18,64.52,64.93,330400
2020-02-18,65.35,65.35,64.5,64.91,395100
2020-02-19,65,65.08,64.54,64.77,440100
2020-02-20,64.73,65.86,64.73,65.76,563300
2020-02-21,65.37,65.37,63.7,63.71,465700
2020-02-24,61.25,61.65,60.34,60.63,691000
2020-02-25,60.71,60.75,58.4,58.71,725000
2020-02-26,59.12,59.75,58.06,58.13,765200
2020-02-27,56.55,57.49,54.26,54.28,721500
2020-02-28,51.74,53.87,51.15,53.2,997500
2020-03-02,53.39,54.16,52.41,54.03,988700
2020-03-03,55.31,56.27,52.52,53.67,1212600
2020-03-04,54.51,55.13,52.99,55.06,559400
2020-03-05,53.38,53.41,49.45,49.79,1017700
2020-03-06,48.01,50,47.82,48.82,1076400
2020-03-09,43.75,45.44,42.01,42.1,1109100
2020-03-10,43.92,44.71,40.96,44.51,1256300
2020-03-11,42.98,44.09,41.23,41.76,764700
2020-03-12,37.95,38.37,35.17,36.67,965300
2020-03-13,39.15,41.68,36.01,41.61,1052300
2020-03-16,36.22,38.31,32.52,32.9,1086100
2020-03-17,33.74,33.75,29.35,30,1522700
2020-03-18,27.79,30.14,26.37,28.2,1440400
2020-03-19,27.98,32.22,26.18,31.28,1512300
2020-03-20,32,33.06,27.18,27.42,1944600
2020-03-23,27.28,28.57,25.22,26.95,1578700
2020-03-24,29.11,31.55,28.11,31.14,1714300
2020-03-25,31.89,37.33,30.83,35.15,1583000
2020-03-26,35.8,38.38,35.59,37.5,1062100
2020-03-27,35.66,37.17,34.27,35.63,864900
2020-03-30,35.63,36.31,34.96,35.94,766700
2020-03-31,35.48,35.87,33.69,35.37,1109300
2020-04-01,33.52,34.11,30.99,31.26,1971400
2020-04-02,30.15,31.52,28.81,29.55,1376700
2020-04-03,29.29,29.92,25.61,26.71,1147300
2020-04-06,28.24,30.12,28.23,29.34,1530800
2020-04-07,31.51,33,30.11,30.29,1532100
2020-04-08,30.65,35.34,30.07,34.37,1119200
2020-04-09,35.23,39.48,34.5,38.24,1826500
2020-04-13,37.9,38.01,34.72,35.35,638600
2020-04-14,36.35,38.46,35.91,37.97,1004700
2020-04-15,35.86,36.33,34.41,35.52,668300
2020-04-16,35.53,35.82,34.09,35.71,674400
2020-04-17,37.49,39.09,36.78,38.86,858400
2020-04-20,37.78,38.87,36.85,37.88,836400
2020-04-21,37,37.46,36.23,37.16,603100
2020-04-22,37.26,38.29,36.54,37.96,628100
2020-04-23,38.65,43.47,37.92,42.18,3076500
2020-04-24,43.32,44.51,41.19,43.23,1418500
2020-04-27,43.77,46.48,43.42,46.06,1045900
2020-04-28,47.37,48.12,45.19,46.38,839900
2020-04-29,47.92,50.29,47.48,48.72,1370800
2020-04-30,48.75,49.28,47.1,47.72,1343500
2020-05-01,46.47,46.48,43.09,44.16,950200
2020-05-04,43.78,45.81,42.84,44.09,801900
2020-05-05,45.3,47.11,45,45.59,881500
2020-05-06,46.14,46.22,44.92,45.1,651200
2020-05-07,46.06,46.96,45.22,45.68,596600
2020-05-08,47.15,50.38,46.32,50.04,1281600
2020-05-11,49.02,50.64,47.07,50.14,1152400
2020-05-12,50.36,50.89,46.73,46.73,775400
2020-05-13,46.35,46.77,44.16,45.16,938800
2020-05-14,43.7,45.98,42.78,45.96,1432300
2020-05-15,45.49,51.22,44.96,50.58,2379700
2020-05-18,53.63,54.99,52.39,53.68,1638400
2020-05-19,53.02,55.18,52.57,53.1,952500
2020-05-20,53.5,54.91,52.62,53.76,665700
2020-05-21,53.76,54.86,53.29,53.58,987800
2020-05-22,53.51,53.89,52.56,53.19,681000
2020-05-26,56.38,57.51,54.94,57.08,1571800
2020-05-27,59.36,59.52,56.88,58.28,1293500
2020-05-28,59.53,59.53,57,57.41,996700
2020-05-29,57.12,57.26,54.27,55.01,1128300
2020-06-01,55.35,57.47,54.78,56.93,633600
2020-06-02,57.98,58.75,57.46,57.52,631200
2020-06-03,58.82,62.2,58.77,61.97,1391300
2020-06-04,61.64,63.61,60.25,63.52,1027000
2020-06-05,66.53,67.39,61.09,61.56,1093000
2020-06-08,63.01,64.91,62.33,63.25,990300
2020-06-09,61.75,63.4,59.7,62.63,1060000
2020-06-10,62.66,62.68,59,59.58,1083400
2020-06-11,56.46,57.04,54.7,54.99,1079300
2020-06-12,57.48,58.61,54.66,56.99,804500
2020-06-15,54.89,58.04,53.73,58.03,729400
2020-06-16,60.91,61.31,58.89,60.35,810900
2020-06-17,60.87,61.93,59.88,60.89,1305500
2020-06-18,60.07,60.95,59.82,59.98,959600
2020-06-19,61.01,61.4,59.48,60.08,1617300
2020-06-22,60.25,63,59.2,62.91,929800
2020-06-23,63.77,64.48,62.73,63.66,1325200
2020-06-24,63,63.19,60.47,62.14,1184200
2020-06-25,61.84,64.02,61.54,63.97,1196900
2020-06-26,63.25,63.93,62.06,62.36,1477000
2020-06-29,62.32,64.68,60.8,63.4,987700
2020-06-30,62.87,64.69,62.68,64.01,807400
2020-07-01,64.21,65.18,63.61,64.52,830400
2020-07-02,65.61,66.48,63.89,64.81,670300
2020-07-06,66.9,66.98,65.27,65.81,720600
2020-07-07,65.35,65.63,64.09,64.09,569500
2020-07-08,64.05,64.76,63.57,64.71,603800
2020-07-09,64.48,64.99,62.27,62.65,533500
2020-07-10,62.6,64.82,62.2,64.27,618600
2020-07-13,65,66.03,63.45,63.78,786100
2020-07-14,63.47,65.99,61.82,65.89,677300
2020-07-15,67.86,68.37,66.89,67.46,779800
2020-07-16,67.02,67.4,66.12,66.83,364300
2020-07-17,67.33,67.5,66.02,66.44,424700
2020-07-20,66.5,67.05,65.1,66.24,612500
2020-07-21,67.05,67.95,66.45,66.87,806700
2020-07-22,66.42,68.35,66.42,68.06,650800
2020-07-23,69.42,71.27,66.38,67.43,1557000
2020-07-24,67.14,67.3,66.01,67.07,600400
2020-07-27,67.22,70.16,66.79,70.08,757500
2020-07-28,70,71.12,69.23,69.3,824300
2020-07-29,71.02,72.47,70.87,72.37,1221100
2020-07-30,71.31,73.99,68.65,69.17,2357400
2020-07-31,69.4,69.48,65.71,66.98,1449700
2020-08-03,67.43,70.03,66.88,69.4,1093600
2020-08-04,69,69.6,67.33,68.41,820100
2020-08-05,68.28,69.37,67.79,68.55,521400
2020-08-06,68.35,68.6,64.64,64.89,1002200
2020-08-07,64.73,65.55,62.42,63.86,1260400
2020-08-10,64.37,65.93,63.67,64.19,911600
2020-08-11,65.05,65.43,63.43,63.9,1415600
2020-08-12,64.66,64.66,63.08,63.4,789700
2020-08-13,63.26,65.69,63,64.81,781500
2020-08-14,64.37,65.38,64,64.68,473900
2020-08-17,64.93,66.09,64.36,65.84,640100
2020-08-18,65.46,65.84,64.71,64.85,642300
2020-08-19,64.79,65.34,64.41,64.7,716500
2020-08-20,63.83,64.36,62.92,62.97,494000
2020-08-21,62.62,63.37,61.86,62.37,919000
2020-08-24,63.06,64.02,62.64,63.22,537500
2020-08-25,63.38,63.6,60.65,61.69,1240200
2020-08-26,61.49,62.77,61.29,61.6,586100
2020-08-27,61.74,62.61,60.91,61.29,892400
2020-08-28,61.91,62.76,61.33,62.1,496600
2020-08-31,62.32,62.32,61.32,61.89,782600
2020-09-01,61.64,63.91,61.25,63.85,744800
2020-09-02,64.45,64.57,62.38,63.7,654400
2020-09-03,63.72,64.02,59.61,60.26,824700
2020-09-04,61.37,61.48,56.79,59.18,823900
2020-09-08,58.41,61.47,57.1,59.72,860800
2020-09-09,60.22,60.57,58.28,60.13,1049700
2020-09-10,60.61,62.95,60.31,62.26,1225900
2020-09-11,62.52,62.67,60.25,60.88,919600
2020-09-14,61.32,63.29,60.88,62.97,647400
2020-09-15,63.45,64.39,60.79,60.87,689300
2020-09-16,61.04,63.06,60.49,62.05,1141500
2020-09-17,60.87,61.95,60.24,61.26,655600
2020-09-18,61.76,61.76,58.85,59.92,1155100
2020-09-21,58.21,58.64,56.5,58.4,846300
2020-09-22,59,61.92,58.7,61.51,1137000
2020-09-23,61.88,62.8,58.55,58.59,1162400
2020-09-24,58.16,59.99,57.66,58.56,868800
2020-09-25,58.58,60.37,58.13,58.81,708500
2020-09-28,59.91,60.77,58.77,59.35,720200
2020-09-29,59.72,60.13,58.08,58.57,670700
2020-09-30,58.77,60.37,58.37,58.91,1205600
2020-10-01,59.53,60.43,58.74,60.29,700900
2020-10-02,59,63.69,58.98,62.13,769700
2020-10-05,62.86,64.89,62.85,64.36,549900
2020-10-06,64.68,65.58,62.65,62.87,807500
2020-10-07,63.75,65.71,63.49,64.7,508000
2020-10-08,65.33,65.96,62.59,63.38,662300
2020-10-09,63.93,64.83,62.63,62.87,625800
2020-10-12,63.82,63.82,61.49,61.6,540500
2020-10-13,61.05,63.9,61.05,63.64,478000
2020-10-14,63.99,65.18,63.34,63.45,555200
2020-10-15,62.6,64.86,61.94,64.69,481700
2020-10-16,64.63,64.91,63.22,63.84,859700
2020-10-19,64.25,64.55,62.47,62.77,791800
2020-10-20,64.8,66.72,64.39,65.12,655000
2020-10-21,65.3,65.65,61.5,62.11,1061800
2020-10-22,62.47,63.92,61.08,62.52,570500
2020-10-23,63.09,63.71,60.51,62.62,708200
2020-10-26,61.26,62.27,60.47,61.82,698900
2020-10-27,62.23,64.58,61.55,63.22,730600
2020-10-28,62,64.9,61,64.43,1219700
2020-10-29,66.5,68.44,63.12,63.62,1798100
2020-10-30,62.97,65.7,62.34,63.71,1168500
2020-11-02,64.31,65.65,63.18,64.35,1073300
2020-11-03,65.51,68.61,64.81,68.11,1434600
2020-11-04,67.34,69.24,66.14,68.19,799500
2020-11-05,69.22,71.71,68.51,70.46,1005800
2020-11-06,70.7,71.22,69.02,69.37,937200
2020-11-09,70.68,71.95,63.51,64.18,2044400
2020-11-10,64.34,69.33,63.6,68.66,1218200
2020-11-11,68.8,71.36,67.76,70.51,938700
2020-11-12,69.77,70.74,68.35,69.23,715200
2020-11-13,69.98,71.61,69.9,70.47,587800
2020-11-16,71.26,71.54,70.51,71.27,718500
2020-11-17,70.63,73.57,69.83,72.43,595000
2020-11-18,71.82,73.54,70.77,70.86,538900
2020-11-19,70.95,72.33,70.41,72.26,437400
2020-11-20,72.38,74.92,72.38,74.04,936600
2020-11-23,73.35,78.08,73.35,77.24,825900
2020-11-24,78.38,78.92,75.88,76.43,657300
2020-11-25,76.25,76.76,73.82,76.07,671100
2020-11-27,76.07,76.95,75.58,76.2,257900
2020-11-30,76.44,76.71,73.73,74.64,898600
2020-12-01,75.49,75.96,73.66,75.75,676600
2020-12-02,74.77,75.67,73.88,74.13,657500
2020-12-03,74.69,76.02,73.83,75.24,724500
2020-12-04,75.75,76.87,74.3,75.21,843100
2020-12-07,75.25,75.84,73.24,74.51,738200
2020-12-08,73.89,75.78,73.72,75.54,539300
2020-12-09,75.98,76.57,73.92,74.53,500400
2020-12-10,73.75,75.14,73.38,74.52,386200
2020-12-11,74.29,75.18,73.08,73.76,624200
2020-12-14,74.74,75.62,73.66,73.76,536800
2020-12-15,74.54,76.72,73.67,76.7,713200
2020-12-16,77.2,77.3,75.25,76.33,575300
2020-12-17,76.75,78.72,76.08,78.58,939500
2020-12-18,79,82,78.98,81.39,1947700
2020-12-21,79.75,81.75,78.92,81.36,852000
