Date,Open,High,Low,Close,Volume
2021-01-04,192.5142,193.0587,189.2545,192.2841,1460256
2021-01-05,192.7059,193.8181,189.7684,192.5372,1539657
2021-01-06,191.9696,195.2907,191.7472,194.539,1920628
2021-01-07,195.168,196.2494,192.6753,194.4317,1600154
2021-01-08,195.2447,196.863,194.5314,195.6282,1899897
2021-01-11,196.0654,197.7297,195.5821,197.2005,1134436
2021-01-12,200.7516,205.0698,199.1103,201.7794,2830550
2021-01-13,201.2885,204.1647,200.9511,201.7257,1423489
2021-01-14,201.4189,201.7104,197.4383,197.7067,1785554
2021-01-15,197.7757,201.0048,197.561,200.7516,1906025
2021-01-19,202.4697,203.4284,198.8802,200.0077,1592592
2021-01-20,199.5398,202.1629,198.6501,201.9482,1550349
2021-01-21,201.1735,202.485,199.5475,200.8744,1661172
2021-01-22,200.6289,201.2272,198.4123,198.4584,2072651
2021-01-25,198.2666,200.3681,197.3769,199.6012,1099886
2021-01-26,199.4171,199.5935,195.9426,198.1516,1549697
2021-01-27,196.5409,197.63,192.1307,192.4298,1725058
2021-01-28,193.7951,198.6424,193.1508,196.5102,2065219
2021-01-29,196.6943,202.9376,195.5208,200.79,2638630
2021-02-01,201.2962,203.2674,200.069,200.4679,1453998
2021-02-02,201.2885,202.5311,197.9598,198.0672,2028061
2021-02-03,198.2589,202.2013,197.1698,200.1304,2154790
2021-02-04,199.3481,200.8897,193.657,195.4978,3301091
2021-02-05,195.8046,198.0288,193.3885,195.3367,1982167
2021-02-08,195.6051,198.1669,195.6051,196.9781,1749048
2021-02-09,196.6789,197.3002,194.0788,194.9455,1615147
2021-02-10,196.5255,196.9627,193.3425,193.9715,1227919
2021-02-11,195.0146,195.0146,192.2994,194.3473,1604717
2021-02-12,194.6311,197.1315,193.5726,196.5946,1482029
2021-02-16,196.6866,197.7374,195.6358,197.3769,1338742
2021-02-17,196.8937,197.3539,195.0299,196.9781,1429617
2021-02-18,196.8937,197.8678,194.8152,196.2111,1847876
2021-02-19,196.2801,196.3952,190.0445,190.1595,2691434
2021-02-22,190.3129,190.4126,185.4962,188.6946,1734576
2021-02-23,189.3465,190.8728,186.5777,189.9831,2231845
2021-02-24,189.753,190.3206,187.6668,189.2238,2042272
2021-02-25,189.2468,191.9006,188.2191,189.5613,1595721
2021-02-26,188.7636,189.8297,184.852,184.9594,2009025
2021-03-01,186.1559,188.7866,185.4962,188.7253,1716322
2021-03-02,189.5383,189.5383,186.6621,187.7052,1081893
2021-03-03,187.1376,187.5518,185.0207,185.3505,1790509
2021-03-04,185.4732,187.0532,182.8961,184.7523,1818149
2021-03-05,185.4886,189.9141,184.806,189.0244,1441481
2021-03-08,188.5335,191.4711,187.1606,188.756,1273943
2021-03-09,189.5229,190.2823,186.1559,186.2632,1588941
2021-03-10,188.0426,188.0426,181.6383,182.459,2752713
2021-03-11,182.5433,183.8702,181.0324,182.6967,3233033
2021-03-12,183.5941,184.1694,181.2471,182.7274,1566125
2021-03-15,182.8425,184.8443,182.482,184.6602,1432876
2021-03-16,185.0284,185.2431,183.0495,183.7322,1207058
2021-03-17,183.5021,184.8213,183.0265,183.5864,1516189
2021-03-18,183.0189,184.8366,182.5663,183.4637,1124006
2021-03-19,184.0313,185.0974,182.4436,183.3257,3343074
2021-03-22,182.9268,185.3735,182.5433,185.3198,1312014
2021-03-23,185.5806,185.6036,183.6631,184.2767,1183590
2021-03-24,183.5634,185.8567,183.1339,185.4349,1258428
2021-03-25,186.8768,186.8768,182.9729,185.4042,1567950
