Date,Open,High,Low,Close,Volume
2021-01-04,81.64,84.01,76.62,83.14,994500
2021-01-05,80.21,86.6,80,84.07,703700
2021-01-06,81.85,88.71,79.21,85,691400
2021-01-07,86.36,98.87,86.36,98.63,981000
2021-01-08,98.5,117,98.076,101.67,1768800
2021-01-11,101.77,101.99,90.46,94.08,790700
2021-01-12,96.44,97.88,92.778,97.06,588300
2021-01-13,97.1,101.31,96.74,97.94,660600
2021-01-14,97.55,111.42,97.27,111.32,926200
2021-01-15,114.44,122.81,105.85,113.04,1203100
2021-01-19,117.45,119.1,105.6,108.89,1449900
2021-01-20,109.99,111.99,100.295,102.27,1094000
2021-01-21,101.31,102.88,91,92.63,2226800
2021-01-22,96,100,92.68,99.51,970900
2021-01-25,101.27,105.36,98.75,102.5,789600
2021-01-26,102.36,103.29,89,89.77,1400200
2021-01-27,90,97.51,78.3,92.01,1764400
2021-01-28,92.78,101.65,92.663,99.89,1218700
2021-01-29,95.24,99.2,93.02,96.43,849700
2021-02-01,99.71,100.01,94.02,98.35,713900
2021-02-02,100,100.96,96.38,99,757300
2021-02-03,102.73,109.38,98.02,99.5,1280300
2021-02-04,100.19,105,97.07,104.32,659700
2021-02-05,105.77,120.64,100.62,116.16,1470900
2021-02-08,118.5,126.9,116.33,120.75,1187200
2021-02-09,120.29,122.625,114.11,115.4,826300
2021-02-10,115.83,118.12,103.08,108.56,811900
2021-02-11,113.25,113.653,103.17,104.66,536000
2021-02-12,103.83,105.417,100.35,105,544400
2021-02-16,107.6,109.25,101.93,105.25,789900
2021-02-17,104.5,106.96,99,106.45,1021200
2021-02-18,102.18,105.01,99.01,103.3,1009200
2021-02-19,102.86,113.95,102.24,106.91,1235600
2021-02-22,104.36,119.23,103,110.41,1020600
2021-02-23,102.31,103.32,82.59,96.48,2695400
2021-02-24,96.3,101.85,92.21,97.03,1315700
2021-02-25,97.4,99.45,86.94,88.52,1659400
2021-02-26,90,92.98,84.13,89.13,1247700
2021-03-01,92.536,97.33,89.75,95.58,662900
2021-03-02,95.58,98,92.25,92.3,720900
2021-03-03,89.92,92,83.52,83.76,1476900
2021-03-04,83,85.63,69.09,73.49,2384600
2021-03-05,74.9,75.49,62.87,72.6,2270600
2021-03-08,72.01,79.3,70.59,71.28,1425000
2021-03-09,75.31,86.75,75.31,84.02,1364900
2021-03-10,87.68,90.39,82.65,84.32,1172400
2021-03-11,88.21,95.62,88.21,94.66,1167100
2021-03-12,91.13,98.65,89.416,98.42,936200
2021-03-15,98.26,100,93.38,94.82,756600
2021-03-16,95.11,97.49,90.37,94.13,747400
2021-03-17,90.16,98.58,87.66,97.8,739200
2021-03-18,93.85,95.59,88.57,88.86,1118900
2021-03-19,88.48,94.49,88.48,92.89,1228300
2021-03-22,94.66,97.14,91.76,94.76,688600
2021-03-23,93.03,93.81,87.52,88.37,869900
2021-03-24,89.15,90.781,80.51,80.85,857800
2021-03-25,79,85.94,78.11,83.34,1065500
2021-03-26,84.167,85.49,77.675,81.33,789600
2021-03-29,80.5,81.463,73.53,74.59,1223000
2021-03-30,73.44,76.15,70.76,75.76,1748600
2021-03-31,79.6,82.67,77.64,80.04,1778100
2021-04-01,81.71,86.74,79.33,79.74,832000
2021-04-05,81.41,83.745,78.88,80.6,659300
2021-04-06,80,82.11,76.1,76.84,936300
2021-04-07,76.35,79.31,73.59,74.37,695200
2021-04-08,75.66,78.27,73.44,74.82,679200
2021-04-09,73.46,73.61,68.6,70.23,1144300
2021-04-12,70.28,70.32,66.27,68.82,1401700
2021-04-13,69.26,74.96,69.191,74.8,1097600
2021-04-14,72.48,79.98,72.48,76.45,1060400
2021-04-15,79.28,79.3,72.78,73.78,787600
