Date,Open,High,Low,Close,Volume
2009-01-02,21.2867,22.4167,20.6333,22.2,3931800
2009-01-05,21.8533,22.5233,21.5833,22.2833,4899000
2009-01-06,22.5733,23.6067,22.1667,23.3367,4869300
2009-01-07,22.7367,22.98,21.3667,21.5167,6019500
2009-01-08,21.2867,21.6767,20.6667,21.5867,4111800
2009-01-09,21.72,21.7533,20.6033,20.7,4535700
2009-01-12,20.6333,20.6967,19.6767,19.8467,4543200
2009-01-13,19.5833,20.7,19.57,20.2133,4953900
2009-01-14,19.72,19.9133,18.2333,18.4867,10110600
2009-01-15,18.6433,18.6433,17.3067,17.6567,10665900
2009-01-16,18.1567,18.47,17.1367,18.2667,10809300
2009-01-20,17.98,18.1867,16.6933,16.8033,11468100
2009-01-21,17.17,18.1233,16.5967,17.9867,11784600
2009-01-22,17.39,17.9633,16.7267,17.2,6380100
2009-01-23,16.7633,17.68,16.4333,17.4467,7580100
2009-01-26,17.8667,17.8767,16.7033,16.95,6540000
2009-01-27,17.15,17.6633,16.9967,17.6,7773600
2009-01-28,16.78,18.3967,16.7667,18.1333,12002100
2009-01-29,17.7367,18.02,16.4167,16.43,7364700
2009-01-30,16.81,16.87,15.92,16.14,8898600
2009-02-02,15.7867,16.6333,15.67,16.5233,7318800
2009-02-03,16.65,17.0767,16.3433,16.9633,8914800
2009-02-04,17.0567,17.5767,16.8833,17.29,7960800
2009-02-05,17.17,18.2533,16.9733,17.92,5215500
2009-02-06,17.9667,18.9633,17.9667,18.8267,6067800
2009-02-09,18.6933,18.8433,18.1233,18.6267,3945900
2009-02-10,18.4067,18.6267,17.0933,17.28,9367500
2009-02-11,17.3,17.9267,17.15,17.9,6002700
2009-02-12,17.4,18.23,17.2233,18.1467,7192800
2009-02-13,18.0833,18.75,17.9767,18.44,7679400
2009-02-17,17.7267,17.83,16.82,16.85,11375700
2009-02-18,17.08,17.4933,16.4567,16.8933,7044600
2009-02-19,17.4,18.0833,16.5,16.6233,7423800
2009-02-20,16.3067,17.34,16.2033,16.9267,10450200
2009-02-23,16.9867,17.08,15.49,15.53,9459000
2009-02-24,15.5033,17.0133,15.5033,17,8748000
2009-02-25,16.8033,17.25,16.1567,16.73,7578000
2009-02-26,17.1133,17.1733,16.14,16.3367,7306500
2009-02-27,16.3333,16.3333,15.2433,15.2667,10995300
2009-03-02,14.8067,15.2567,14.15,14.3767,10373400
2009-03-03,14.6633,15.09,14.2567,14.5533,10464900
2009-03-04,14.7767,15.2167,14.31,14.83,9401700
2009-03-05,14.06,14.29,12.9167,13.1367,12598500
2009-03-06,13.3,13.4833,12.43,12.8867,12270900
2009-03-09,12.6967,13.3333,12.37,13.1633,10282800
2009-03-10,13.5,14.7567,13.46,14.7167,13198200
2009-03-11,14.6033,15.2133,14.1233,14.9167,12883800
2009-03-12,14.8433,16.4067,14.5,16.2933,14342700
2009-03-13,16.2933,16.43,15.7867,16.3467,11152200
2009-03-16,16.3267,16.6667,15.43,15.4567,10970700
2009-03-17,15.4433,15.8333,14.9067,15.8167,11628000
2009-03-18,15.6233,16.71,15.2567,16.6667,13135800
2009-03-19,16.8167,16.9967,15.6167,15.7267,9763800
2009-03-20,15.8233,16.24,15.4867,15.6967,10214400
2009-03-23,16.1367,18.0067,15.1367,18.0033,11295900
2009-03-24,17.4767,18.24,16.9633,16.9633,9787500
2009-03-25,17.21,18.1,16.8467,17.9467,10745100
2009-03-26,18.07,18.7033,17.7467,18.5933,9391500
2009-03-27,18.4967,18.66,17.8767,18.0667,7314000
2009-03-30,17.3167,17.7767,16.95,17.05,7388100
2009-03-31,17.2733,18.18,17.11,17.9567,7966800
2009-04-01,17.6533,18.55,17.6433,18.2,8087100
2009-04-02,18.64,19.9167,18.6367,19.7167,11500800
2009-04-03,19.6333,20.0567,19.15,20.0433,7709100
2009-04-06,19.64,19.8667,19.4167,19.7267,5660100
2009-04-07,19.25,19.3733,18.8567,18.86,5375400
2009-04-08,18.4267,19.09,18.4167,19,6978900
2009-04-09,19.9033,20.5933,19.4067,20.5733,11157900
2009-04-13,20.22,20.75,19.9633,20.5,7205700
2009-04-14,20.05,20.5633,19.73,19.7433,9511500
2009-04-15,19.2433,20.6333,19.1867,20.5233,6849000
2009-04-16,20.3567,20.7167,19.9567,20.3467,8137800
2009-04-17,20.3633,20.57,19.9833,20.3133,6875700
2009-04-20,19.6067,19.9067,19.12,19.2333,8435700
2009-04-21,18.6467,20.4333,18.58,20.4033,9807300
2009-04-22,19.9933,21.1533,19.67,20.2467,9149700
2009-04-23,20.4033,20.91,19.94,20.7067,9830100
2009-04-24,20.5067,20.8833,20,20.5533,9087000
2009-04-27,20.13,20.55,20.03,20.1867,8398800
2009-04-28,19.7967,20.07,19.1867,19.44,8421900
2009-04-29,19.67,20.13,19.5,20.0133,7178100
2009-04-30,20.2233,20.6667,19.98,20.16,5853900
2009-05-01,20.08,20.3867,19.9067,20.3533,4020000
2009-05-04,20.59,21.2933,20.2,21.21,7656300
2009-05-05,20.99,21.1633,20.5533,20.5967,5430900
2009-05-06,20.5967,20.9867,20.2067,20.86,9116100
2009-05-07,21.1767,21.2467,20.12,20.2533,6240300
2009-05-08,20.5567,21.74,20.32,21.7167,7427100
2009-05-11,21.38,21.4733,20.56,20.6433,8503800
2009-05-12,20.77,21.2433,20.52,20.8133,7947600
2009-05-13,20.73,21.0567,19.85,19.9633,7653300
2009-05-14,19.92,20.4133,19.6867,20.1833,6519000
2009-05-15,20.12,20.3733,19.7833,20.0333,5890500
2009-05-18,20.4633,21.7133,20.3533,21.6067,7287900
2009-05-19,21.2833,21.65,20.9867,21.0633,4499700
2009-05-20,21.43,21.6233,20.45,20.5633,5676600
2009-05-21,20.24,20.49,19.99,20.3433,4225200
2009-05-22,20.3933,20.9633,20.2867,20.64,4168200
2009-05-26,20.4733,21.5267,20.4333,21.4733,6564600
2009-05-27,21.4733,21.5267,20.6067,20.6767,5835000
2009-05-28,21.0033,21.4867,20.99,21.48,7072500
2009-05-29,21.6333,22.31,21.3,22.2833,5164500
2009-06-01,22.6467,23.9933,22.3767,23.7267,10611000
2009-06-02,23.6267,24.3967,23.4733,24.0867,6561000
2009-06-03,23.9233,24.31,23.58,23.7933,5840400
2009-06-04,24.1133,24.4933,23.9867,24.43,7906200
2009-06-05,24.74,25.2,24.4633,24.8633,6908100
2009-06-08,24.53,24.99,24.4033,24.77,3996300
2009-06-09,24.9633,25.62,24.84,25.5667,5524500
2009-06-10,25.6633,25.8733,25.1767,25.5767,5502000
2009-06-11,25.4467,25.82,25.3633,25.46,4947300
2009-06-12,25.5333,25.63,24.88,25.33,3181800
2009-06-15,25.0867,25.2467,24.47,24.7833,4000800
2009-06-16,24.9033,24.9033,23.8167,23.9533,5479800
2009-06-17,23.7033,24.2233,23.63,23.7767,5328000
2009-06-18,23.9333,24.2267,23.7933,24.02,4672500
2009-06-19,24.2333,24.53,24.1033,24.4567,4654800
2009-06-22,24.1067,24.3067,22.9733,22.99,5861100
2009-06-23,23.0833,23.66,22.9967,23.35,4545300
2009-06-24,22.7767,24.2367,22.7767,23.8733,5714400
2009-06-25,23.69,24.08,23.5233,23.67,6126000
2009-06-26,23.6567,24.0367,23.6567,23.95,3668100
2009-06-29,24.0633,24.08,23.7333,24.02,2217300
2009-06-30,23.9633,24.13,23.7633,24.0033,3921000
2009-07-01,24.09,24.3133,23.99,24.05,2991900
2009-07-02,23.6967,24.05,23.2467,23.2467,4236900
2009-07-06,23.5167,23.57,22.8333,23.1133,6444900
2009-07-07,22.9833,23.2433,22.3333,22.3533,4250700
2009-07-08,22.4233,22.6533,21.8267,22.0867,5433000
2009-07-09,22.3567,22.51,21.9067,22.0267,5564700
2009-07-10,21.9167,22.23,21.8933,22.0633,3079800
2009-07-13,22.4033,23.0533,22.0133,23.0533,6088200
2009-07-14,23.1,23.4,22.8733,23.3233,4853700
2009-07-15,23.3967,24.16,23.37,23.98,5742300
2009-07-16,23.86,24.2733,23.5833,24.15,3177000
2009-07-17,24.1233,24.2933,23.7133,24.19,2727600
2009-07-20,24.28,24.6933,24.2633,24.6267,4298100
2009-07-21,24.85,26.08,24.85,25.27,8406600
2009-07-22,24.93,25.6433,24.73,25.55,4892700
2009-07-23,25.82,27.1633,25.3467,26.9833,7375800
2009-07-24,26.74,26.9967,26.13,26.8567,3088200
2009-07-27,26.8067,27.18,26.6133,27.1733,6301200
