Date,Open,High,Low,Close,Volume
2003-01-02,24,24.35,23.8,23.9,325300
2003-01-03,23.9,24,23.78,23.92,244900
2003-01-06,24.3,24.76,24.09,24.61,375100
2003-01-07,24.98,25.77,24.95,25.46,1194900
2003-01-08,25.47,25.65,25.1,25.55,897000
2003-01-09,25.75,26.26,25.75,26.03,675500
2003-01-10,25.98,26.71,25.9,26.31,415400
2003-01-13,26.47,26.5,26,26.12,520000
2003-01-14,26.18,26.91,26,26.75,925200
2003-01-15,26.9,27.3,26.5,27.11,355600
2003-01-16,27.11,27.4,26.88,27.1,421900
2003-01-17,26.9,27.46,26.9,27.3,378200
2003-01-21,27.35,27.45,26.9,27.01,442600
2003-01-22,26.9,27.06,26.65,26.65,354900
2003-01-23,26.75,27.08,26.66,26.92,542400
2003-01-24,26.95,26.99,26.44,26.7,306500
2003-01-27,26.5,26.5,25.5,25.8,643100
2003-01-28,25.9,26,25.43,25.83,234800
2003-01-29,25.55,25.64,25.15,25.59,250600
2003-01-30,25.75,26.05,25.47,25.6,101600
2003-01-31,25.6,26.22,25.56,26,200600
2003-02-03,25.98,26.22,25.57,25.85,396900
2003-02-04,25.84,26.04,25.44,25.78,291000
2003-02-05,25.75,25.99,25.5,25.76,130500
2003-02-06,25.7,25.72,25.3,25.39,174100
2003-02-07,25.44,25.51,25.1,25.33,186100
2003-02-10,25.4,25.48,25,25.06,270400
2003-02-11,25.06,25.69,25.06,25.51,95400
2003-02-12,25.45,25.6,25.11,25.26,89600
2003-02-13,25.4,25.72,25.18,25.36,341500
2003-02-14,25.46,26.5,25.3,26.19,181500
2003-02-18,26.3,26.42,26.02,26.21,243600
2003-02-19,26.21,26.25,25.95,26.04,165400
2003-02-20,25.85,25.96,25.81,25.89,213800
2003-02-21,25.89,26.04,25.81,26,204300
2003-02-24,26,26,25.3,25.45,191800
2003-02-25,26,26.25,25.2,25.97,462400
2003-02-26,25.46,25.93,24.81,25.82,700800
2003-02-27,25.95,25.95,25.51,25.67,425200
2003-02-28,25.7,25.92,25.7,25.9,199800
2003-03-03,25.8,26.2,25.47,25.55,218800
2003-03-04,25.55,25.65,25.27,25.31,286100
2003-03-05,25.4,25.4,25,25.28,114400
2003-03-06,25.36,25.36,24.5,24.74,519900
2003-03-07,24.74,25.28,24.39,25,260100
2003-03-10,24.8,24.81,24.41,24.41,324200
2003-03-11,24.5,24.79,24.48,24.55,87200
2003-03-12,24.5,24.76,24.48,24.7,87200
2003-03-13,24.95,24.99,24.77,24.91,153200
2003-03-14,25.05,25.56,24.87,25.35,300800
2003-03-17,25.35,25.5,25.01,25.5,295800
2003-03-18,25.5,25.5,25.07,25.2,237600
2003-03-19,25.3,25.35,24.99,25.05,272500
2003-03-20,24.51,24.83,24.5,24.55,384300
2003-03-21,24.55,25.12,24.55,24.91,340200
2003-03-24,24.92,24.99,24.61,24.92,261000
2003-03-25,24.86,25.09,24.78,24.94,92700
2003-03-26,24.71,24.89,24.35,24.42,300500
2003-03-27,24.4,24.73,24.35,24.48,278400
2003-03-28,24.48,25,24.4,24.99,270600
2003-03-31,24.9,25.51,24.81,25.16,344100
2003-04-01,25.22,25.29,24.6,24.73,275700
2003-04-02,24.85,25,24.6,24.83,605700
2003-04-03,25,25,24.6,24.75,268600
2003-04-04,24.75,24.87,24.65,24.78,194700
2003-04-07,25.45,25.95,25.21,25.7,848100
2003-04-08,25.76,26.3,25.76,26.25,598000
2003-04-09,26.2,27.2,26.2,27,756100
2003-04-10,27,27.34,26.89,27.3,500500
2003-04-11,27.5,27.5,26.9,27.1,213400
2003-04-14,27.11,27.32,26.97,27.2,524700
2003-04-15,27.13,27.41,27.1,27.36,461800
2003-04-16,27.24,27.4,27.02,27.15,424600
2003-04-17,27.15,27.49,27.15,27.35,283200
2003-04-21,27.35,27.39,26.85,27.08,338600
2003-04-22,26.95,27,26.75,27,283100
2003-04-23,27,27.22,26.8,26.93,595600
2003-04-24,26.6,27.15,26.6,26.92,339100
2003-04-25,26.92,26.99,26.5,26.68,105100
2003-04-28,26.68,27.6,26.68,27.49,693200
2003-04-29,28,29.7,27.84,28.66,1244300
2003-04-30,28.59,28.64,27.91,28.01,295400
2003-05-01,27.75,28.16,27.65,27.94,566800
2003-05-02,27.94,28.1,27.8,27.99,189200
2003-05-05,28.05,28.05,27.4,27.4,476900
2003-05-06,27.41,28.52,27.25,28.35,623900
2003-05-07,28.2,28.2,27.41,27.55,718700
2003-05-08,27.45,27.54,27.25,27.4,418800
2003-05-09,27.65,27.7,27.25,27.41,570300
2003-05-12,27.65,27.8,27.5,27.58,269200
2003-05-13,27.4,27.55,27.25,27.55,446100
2003-05-14,27.54,28,27.54,27.9,214800
2003-05-15,28,28.07,27.67,27.77,225900
2003-05-16,27.76,28.03,27.5,27.84,227200
2003-05-19,27.9,27.99,27.45,27.48,394000
2003-05-20,27.51,27.55,26.95,27.08,255100
2003-05-21,27.1,27.1,26.83,26.9,258000
2003-05-22,27.15,28.07,27,27.91,291600
2003-05-23,27.94,27.99,27.66,27.92,180400
2003-05-27,27.76,28.03,27.76,27.95,410600
2003-05-28,27.96,28.44,27.95,28.29,262200
