Date,Open,High,Low,Close,Volume
2010-01-04,53.97,53.97,53.6,53.64,2469700
2010-01-05,54.72,55,53,53.38,4899400
2010-01-06,53.1,53.7,52.8,53.43,5555800
2010-01-07,53.23,53.5,52.46,52.99,3659900
2010-01-08,53,54.33,52.81,54.08,2996300
2010-01-11,54.1,54.35,53.53,53.9,1813300
2010-01-12,53.66,54.03,52.94,53.25,3242900
2010-01-13,53.33,54.33,52.96,54.08,2130600
2010-01-14,53.81,54.36,53.59,54.36,1769900
2010-01-15,54.06,54.85,53.78,54.18,2997200
2010-01-19,54.29,55.31,54.29,55.23,2941500
2010-01-20,55.04,55.37,54.01,54.72,2634100
2010-01-21,54.53,54.53,52.67,53.21,4731200
2010-01-22,53.19,53.71,52.6,53.06,3167800
2010-01-25,53.22,53.5,52.17,52.67,2265300
2010-01-26,52.52,53.11,52.16,53,2346700
2010-01-27,52.47,53.62,52.37,53.58,2963800
2010-01-28,54.28,54.51,52.6,53.27,3314100
2010-01-29,53.31,53.91,53.01,53.74,3127900
2010-02-01,53.41,53.93,52.98,53.91,2481700
2010-02-02,53.76,54.95,53.24,54.94,2178500
2010-02-03,54.52,54.81,54.03,54.6,2155700
2010-02-04,54.17,54.46,52.99,53.1,2799600
2010-02-05,53.14,53.7,52.23,53.53,3638700
2010-02-08,53.54,53.56,52.47,52.84,2852400
2010-02-09,53.88,54.88,53.33,54.09,2965000
2010-02-10,54.2,54.91,54.07,54.39,2562700
2010-02-11,54.12,55.92,53.92,55.69,2824200
2010-02-12,55.08,55.8,54.72,55.21,2954300
2010-02-16,55.55,55.77,54.92,55.12,3277000
2010-02-17,55.31,56.26,55.31,56.23,2497800
2010-02-18,56.03,56.37,55.8,55.98,2593500
2010-02-19,55.88,56.99,55.49,56.61,3057000
2010-02-22,56.53,56.66,55.53,55.67,2170300
2010-02-23,55.63,56.12,54.85,55.25,2910600
2010-02-24,55.3,55.95,54.74,55.29,5288000
2010-02-25,54.3,54.97,54.03,54.89,2826200
2010-02-26,54.81,55.19,54.54,55.01,2847100
2010-03-01,55.48,56.9,55.34,56.78,2567900
2010-03-02,56.54,57.47,56.52,57.31,2530800
2010-03-03,57.26,57.59,56.71,56.79,1990500
2010-03-04,56.79,56.9,56.34,56.66,1377900
2010-03-05,56.67,57.21,56.61,57.21,1526500
2010-03-08,56.99,58.48,56.91,57.67,3064900
2010-03-09,57.64,58.31,57.53,57.84,2195300
2010-03-10,57.91,58.96,57.9,58.71,2248600
2010-03-11,58.55,58.86,57.72,58.78,1865700
2010-03-12,58.81,58.93,58.08,58.76,1468700
2010-03-15,58.86,58.99,58.31,58.9,1407400
2010-03-16,59.23,59.85,58.64,59.73,3238200
2010-03-17,59.54,59.73,59.23,59.36,1982700
2010-03-18,59.12,59.35,58.32,59.2,2512000
2010-03-19,59.82,60.17,58.59,59.63,5024800
2010-03-22,59.78,60.28,59.57,59.82,2156500
2010-03-23,59.67,59.94,59.41,59.84,1232300
2010-03-24,59.76,59.8,58.72,58.85,1809200
2010-03-25,59.27,59.27,58.27,58.27,2407000
2010-03-26,58.57,58.76,57.82,58.15,1347000
2010-03-29,57.92,58.7,57.89,58.42,1800700
2010-03-30,58.22,58.45,57.5,57.71,2030100
2010-03-31,57.5,57.94,57.24,57.39,1620500
2010-04-01,57.8,57.99,57.03,57.52,1564700
2010-04-05,57.56,57.96,57.13,57.53,1142200
2010-04-06,57.42,57.89,57.27,57.5,1422600
2010-04-07,57.75,57.77,56.99,57.27,1869100
2010-04-08,57.3,57.3,56.19,56.43,2395400
2010-04-09,56.34,56.9,56.3,56.52,2716000
2010-04-12,56.52,56.52,55.69,56,2397400
2010-04-13,55.78,56.07,54.9,55.07,4166100
2010-04-14,54.81,55.23,54.05,54.96,4327000
