Date,Open,High,Low,Close,Volume
2016-01-04,136.59,137.92,134.52,136.19,135800
2016-01-05,136.19,136.95,135.13,136.18,139700
2016-01-06,134.68,136.72,134.12,134.81,106500
2016-01-07,132.38,132.84,131.28,131.99,190400
2016-01-08,132.83,134.01,130.1,130.51,99100
2016-01-11,131.5,134.39,128.1,130.49,178500
2016-01-12,131.17,132.81,127.59,130.45,115900
2016-01-13,130.79,130.99,125.55,126,81400
2016-01-14,126.32,128.37,125.21,127.17,148800
2016-01-15,126.09,126.35,123.02,124.63,190900
2016-01-19,125.49,126.39,123.22,125.34,211600
2016-01-20,124.06,128.02,122.03,126.26,92000
2016-01-21,126.4,127.57,124.81,124.83,121800
2016-01-22,127.12,127.73,125.52,127.07,77600
2016-01-25,126.66,127.98,125.26,126.01,50500
2016-01-26,125.94,128.77,125.07,127.85,71300
2016-01-27,127.41,128.26,124.95,125.64,52800
2016-01-28,126.68,126.68,122.71,123.93,77400
2016-01-29,124.34,127.71,123.87,127.61,110800
2016-02-01,126.95,128.42,124.87,126.83,97500
2016-02-02,126.83,128.87,125.39,127.86,109300
2016-02-03,128.38,128.76,125.02,127.39,101600
2016-02-04,126.74,127.93,125.57,127.45,106700
2016-02-05,127.06,128.55,124.89,125.54,126900
2016-02-08,124.18,125.47,122.98,124.43,115900
2016-02-09,123.01,126.05,122.96,124.66,122100
2016-02-10,125.8,127.8,124.61,124.77,82800
2016-02-11,123.14,126.46,123.07,125.15,128300
2016-02-12,126.22,127.86,124.75,126.4,96100
2016-02-16,127.36,128.02,123.68,127.36,157600
2016-02-17,128.5,131.89,127.51,130.33,192300
2016-02-18,130.25,131.79,128.93,129.5,105700
2016-02-19,128.55,131.36,128.12,131.17,142300
2016-02-22,131.87,132.98,131,132.33,94200
2016-02-23,132.44,132.91,130.16,131.47,58500
2016-02-24,130.03,131.68,129.07,130.79,111600
2016-02-25,131.26,132.54,130.12,132.05,130400
2016-02-26,134.82,137.48,131.49,137.06,168300
2016-02-29,136.67,137.18,134.53,134.64,155400
