Date,Open,High,Low,Close,Volume
2019-01-02,21.19,21.63,20.84,21.05,7150000
2019-01-03,21.09,21.35,20.54,20.91,6672900
2019-01-04,21.34,22.12,21.27,21.96,5040400
2019-01-07,21.94,22.75,21.82,22.55,4740000
2019-01-08,22.83,23.27,22.64,23.21,4959100
2019-01-09,23.5,23.78,23.17,23.17,5217000
2019-01-10,23.02,23.77,22.93,23.35,5316500
2019-01-11,23.14,23.25,22.7,23.1,4876100
2019-01-14,22.86,23.36,22.69,23.24,4804100
2019-01-15,23.36,23.65,22.95,23.02,3370700
2019-01-16,22.93,23.28,22.78,23.15,4029200
2019-01-17,22.91,23.71,22.77,23.65,3884300
2019-01-18,23.98,24.36,23.73,24.12,4566700
2019-01-22,23.87,24.02,23.49,23.77,5088900
2019-01-23,23.76,23.9,22.94,22.98,4654900
2019-01-24,22.84,23.36,22.79,23.04,4706600
2019-01-25,23.31,23.66,22.98,23.49,6687200
2019-01-28,23.28,23.28,22.62,22.98,4181100
2019-01-29,23.21,23.36,23.02,23.16,3365200
2019-01-30,23.28,24.16,23.18,23.94,4274900
2019-01-31,24.07,24.96,23.44,23.57,9064600
2019-02-01,23.52,24.59,23.38,24.35,4559400
2019-02-04,24.27,25.01,23.96,24.58,6067000
2019-02-05,24.56,25.2,24.55,25.03,6189200
2019-02-06,25.02,25.37,24.86,24.88,4800900
2019-02-07,24.69,25.04,23.86,24.39,5052300
2019-02-08,24.28,24.69,24.18,24.61,4403700
2019-02-11,24.42,24.94,24.33,24.82,3831100
2019-02-12,25.12,25.3,24.58,24.74,6388400
2019-02-13,24.76,25.57,24.71,25.13,4004400
2019-02-14,25,25.75,24.98,25.64,6223600
2019-02-15,25.89,26.03,25.68,25.83,4119200
2019-02-19,25.69,26.14,25.55,26.09,2939700
2019-02-20,26.13,26.98,26.13,26.58,4672700
2019-02-21,26.67,26.67,26.12,26.27,4052300
2019-02-22,26.49,26.56,26.21,26.35,3507200
2019-02-25,26.26,26.92,26.18,26.75,3393000
2019-02-26,26.78,27.09,26.44,26.75,4086700
2019-02-27,26.8,26.89,26.53,26.67,2526600
2019-02-28,26.76,26.8,26.16,26.38,4311600
2019-03-01,26.58,27.13,26.53,27.1,4128500
2019-03-04,27.28,27.51,26.73,27.09,4308300
2019-03-05,27.15,27.18,26.76,27.11,4287700
2019-03-06,27.03,27.03,26.18,26.31,4412400
2019-03-07,26.29,26.36,25.75,26.05,3988700
2019-03-08,25.64,25.79,25.22,25.73,3554700
2019-03-11,26.08,26.78,26.03,26.5,4563000
2019-03-12,26.65,26.91,26.57,26.82,3879400
2019-03-13,27.08,27.37,26.96,27.25,3097600
2019-03-14,27.28,27.79,27.25,27.71,5624200
2019-03-15,27.56,28.03,27.56,27.85,9978700
2019-03-18,28.01,28.41,28.01,28.18,4398000
2019-03-19,28.46,28.61,27.66,27.82,4848400
2019-03-20,27.84,28.48,27.63,28.25,4939700
2019-03-21,28.17,28.65,27.96,28.46,3163700
2019-03-22,28.27,28.32,27.15,27.16,4306300
2019-03-25,26.95,27.47,26.89,27.43,2448300
2019-03-26,27.68,28.11,27.34,27.68,2738100
2019-03-27,27.69,27.88,27.11,27.28,2487800
2019-03-28,27.16,27.45,26.87,27.16,3084900
2019-03-29,27.48,27.82,27.32,27.72,7450800
2019-04-01,27.92,28.15,27.64,27.84,4567200
2019-04-02,27.86,27.93,26.84,26.99,5730000
2019-04-03,27.18,27.44,26.25,26.47,5338000
2019-04-04,26.56,26.78,26.18,26.77,4255900
2019-04-05,26.83,27.14,26.65,26.78,3982600
2019-04-08,26.85,27.27,26.49,26.82,4881700
2019-04-09,26.69,26.83,26.38,26.68,4457700
2019-04-10,26.81,26.98,26.68,26.87,3018900
2019-04-11,26.84,26.99,26.39,26.66,2695500
2019-04-12,27.07,27.13,26.33,26.38,4508600
2019-04-15,26.25,26.44,25.92,25.95,2892500
2019-04-16,26.05,26.14,25.61,25.84,4412300
2019-04-17,25.98,26.28,25.57,25.78,3486900
2019-04-18,25.87,26.05,25.44,25.6,2879400
2019-04-22,25.81,26.68,25.65,26.6,4087700
2019-04-23,26.6,26.93,25.81,25.97,7332300
2019-04-24,26.08,26.24,25.58,25.61,3725300
2019-04-25,25.6,25.91,25.44,25.57,4365800
2019-04-26,25.32,25.78,25.15,25.58,3062900
2019-04-29,25.48,26.05,25.46,25.97,3722000
2019-04-30,25.64,25.81,23.75,24.02,10785700
2019-05-01,23.95,24.34,23.42,23.55,7400400
2019-05-02,23.41,23.82,23.18,23.52,4682400
2019-05-03,23.8,24.28,23.76,24.13,4917100
2019-05-06,23.81,24.24,23.7,23.94,3463100
2019-05-07,23.6,23.64,23.01,23.21,2857100
2019-05-08,23.25,23.4,22.88,22.95,3673900
2019-05-09,22.76,22.77,22.17,22.61,6478600
2019-05-10,22.52,22.57,22.04,22.32,3950600
2019-05-13,22.01,22.09,21.31,21.74,4444100
2019-05-14,21.97,22.46,21.97,22.28,3404000
2019-05-15,22.02,22.82,21.92,22.74,2678900
2019-05-16,22.8,23,22.59,22.98,3052500
2019-05-17,22.7,23.27,22.66,22.91,4270100
2019-05-20,22.66,23.36,22.63,23.29,4750600
2019-05-21,23.29,23.83,23.27,23.61,3882600
2019-05-22,23.35,23.54,23.23,23.36,5351200
2019-05-23,22.86,23.08,22.44,23.06,6555600
2019-05-24,23.22,23.36,22.14,22.21,5048200
2019-05-28,22.25,22.38,21.89,22.17,4250300
2019-05-29,21.84,21.84,21.35,21.7,4033000
2019-05-30,21.64,21.77,21,21.17,3345400
2019-05-31,20.76,21.47,20.6,21.41,5449900
2019-06-03,21.5,22.14,21.47,21.84,5017400
2019-06-04,22.13,22.29,21.51,22.04,4720500
2019-06-05,22.05,22.28,21.45,22.23,3905700
2019-06-06,22.27,23.08,22.21,22.95,5709900
2019-06-07,23.08,23.54,22.82,23.32,4241000
2019-06-10,23.48,23.77,23.26,23.41,3219600
2019-06-11,23.6,23.72,23.14,23.16,3697500
2019-06-12,22.92,22.99,22.28,22.3,3622500
2019-06-13,22.62,22.79,22.35,22.78,3088800
2019-06-14,22.75,22.75,21.77,22.15,4031700
2019-06-17,22.12,22.83,21.91,22.4,3804700
2019-06-18,22.47,23.16,22.44,23.09,5238100
2019-06-19,23.16,23.37,22.93,23.32,3187400
2019-06-20,23.68,24.44,23.68,24.36,4282400
2019-06-21,24.43,25.2,24.43,25.17,7018100
2019-06-24,25.2,25.35,24.63,24.72,3145700
2019-06-25,24.65,24.81,24.35,24.62,2885700
2019-06-26,24.78,25.32,24.63,24.75,3669700
2019-06-27,24.74,25.01,24.56,24.69,3301900
2019-06-28,24.76,25.07,24.42,24.63,9899300
2019-07-01,24.99,25.5,24.93,25.18,4256600
2019-07-02,25.16,25.36,24.23,24.52,6348600
2019-07-03,24.65,24.65,24.02,24.51,1584500
2019-07-05,24.36,24.55,24.17,24.55,1951800
2019-07-08,24.49,25.2,24.33,25.19,3622900
2019-07-09,25.06,25.13,24.84,25,3473200
2019-07-10,25.25,25.45,25.03,25.38,2234200
2019-07-11,25.32,25.36,25,25.24,3322800
2019-07-12,25.34,25.44,24.98,25.01,2563700
2019-07-15,25.03,25.06,24.62,24.69,3081300
2019-07-16,24.63,24.65,24.04,24.09,5331900
2019-07-17,24.1,24.27,23.19,23.19,8302000
2019-07-18,23.13,23.33,22.59,23.31,11212900
2019-07-19,23.3,23.77,23.03,23.56,5471900
2019-07-22,23.7,24.15,23.7,23.96,4344400
2019-07-23,23.96,24.52,23.94,24.31,4163300
2019-07-24,24.3,25,24.3,24.86,2889200
2019-07-25,25,25.02,24.4,24.62,3396000
2019-07-26,24.49,24.91,24.49,24.84,3898300
2019-07-29,24.79,24.83,23.87,24.09,2924700
2019-07-30,23.92,24.57,23.64,24.51,6000100
2019-07-31,24.9,25.95,24.61,25.39,7307200
2019-08-01,24.94,25.79,24.75,25.27,6346400
2019-08-02,25.37,25.37,23.93,24.08,5043200
2019-08-05,23.59,23.95,23.4,23.81,4401200
2019-08-06,24.01,24.18,23.16,23.69,3429900
2019-08-07,23.08,23.46,22.74,23.36,4421600
2019-08-08,23.4,24.16,23.07,24.14,4279500
2019-08-09,24.1,24.11,23.39,23.68,3147200
2019-08-12,23.5,23.93,23.29,23.42,4479000
2019-08-13,23.31,23.97,23.23,23.57,3328000
2019-08-14,22.93,23.01,21.76,22.01,5437400
2019-08-15,21.77,21.86,20.43,20.71,7326700
2019-08-16,20.87,21.3,20.62,21.06,6012700
2019-08-19,21.5,21.7,21.24,21.42,4087000
2019-08-20,21.28,21.29,20.73,21.11,4000000
2019-08-21,21.29,21.4,21.1,21.24,2906000
2019-08-22,21.28,21.96,21.28,21.43,4029700
2019-08-23,21.04,21.85,20.79,20.88,5048700
2019-08-26,21.2,21.48,20.95,21.3,4018400
2019-08-27,21.56,21.82,21.25,21.29,3887400
2019-08-28,21.35,21.99,21.17,21.64,4271400
2019-08-29,21.86,22.27,21.76,21.88,3308500
2019-08-30,22.03,22.2,21.59,21.69,4984700
