Date,Open,High,Low,Close,Volume
2010-01-04,3.93,3.93,3.75,3.77,494400
2010-01-05,3.77,3.79,3.57,3.59,284700
2010-01-06,3.57,3.61,3.57,3.6,271000
2010-01-07,3.61,3.62,3.56,3.57,351400
2010-01-08,3.56,3.63,3.5,3.54,391400
2010-01-11,3.58,3.6,3.54,3.59,686800
2010-01-12,3.58,4.07,3.58,3.75,567300
2010-01-13,3.78,3.95,3.7,3.73,396300
2010-01-14,3.75,3.83,3.64,3.68,385900
2010-01-15,3.68,3.8,3.53,3.6,349700
2010-01-19,3.79,3.89,3.64,3.89,392900
2010-01-20,3.85,3.87,3.62,3.64,72000
2010-01-21,3.66,3.72,3.5,3.5,201300
2010-01-22,3.5,3.5,3.32,3.36,527400
2010-01-25,3.41,3.42,3.32,3.38,222400
2010-01-26,3.38,3.45,3.34,3.39,243800
2010-01-27,3.42,3.43,3.32,3.39,150500
2010-01-28,3.41,3.47,3.34,3.35,280500
2010-01-29,3.38,3.41,3.31,3.35,1074100
2010-02-01,3.37,3.4,3.29,3.34,313600
2010-02-02,3.35,3.42,3.31,3.33,434700
2010-02-03,3.35,3.38,3.18,3.19,386300
2010-02-04,3.17,3.19,2.97,3,499800
2010-02-05,3,3.04,2.86,3.03,398700
2010-02-08,3.02,3.02,2.95,2.96,353700
2010-02-09,3.01,3.05,2.88,2.9,152800
2010-02-10,2.87,2.99,2.81,2.97,174000
2010-02-11,2.95,3,2.9,3,120100
2010-02-12,2.96,3.02,2.92,2.99,81700
2010-02-16,3.01,3.01,2.9,3,373800
2010-02-17,3.01,3.05,2.98,3.02,289900
2010-02-18,3.01,3.01,2.94,3,281600
2010-02-19,3,3.05,2.97,3.01,610100
2010-02-22,3.01,3.14,2.96,3.11,640200
2010-02-23,3.11,3.16,2.95,2.97,555500
2010-02-24,2.98,2.98,2.91,2.97,136300
2010-02-25,2.92,3.03,2.92,3,409500
2010-02-26,2.99,3.01,2.96,3,411600
2010-03-01,3.01,3.08,3,3.03,245700
2010-03-02,3.04,3.06,3.02,3.04,148100
2010-03-03,3.05,3.09,3.02,3.04,204800
2010-03-04,3.05,3.08,3,3.04,90500
2010-03-05,3.06,3.11,3.01,3.11,200700
2010-03-08,3.11,3.15,3.06,3.11,78000
2010-03-09,3.1,3.16,3.07,3.12,51700
2010-03-10,3.13,3.25,3.08,3.18,117200
2010-03-11,3.15,3.19,3.1,3.19,88200
2010-03-12,3.16,3.17,3.09,3.14,155700
2010-03-15,3.14,3.15,3.03,3.1,120700
2010-03-16,3.11,3.14,3.03,3.11,743500
2010-03-17,3.11,3.17,3.08,3.1,246000
2010-03-18,3.09,3.29,3.05,3.27,524400
2010-03-19,3.16,3.3,3.05,3.16,639800
2010-03-22,3.13,3.32,3.07,3.28,134600
2010-03-23,3.29,3.31,3.16,3.29,105900
2010-03-24,3.28,3.29,3.1,3.14,109200
2010-03-25,3.16,3.26,3.05,3.05,130600
2010-03-26,3.07,3.11,3.03,3.07,222200
2010-03-29,3.07,3.15,3.07,3.11,107000
2010-03-30,3.12,3.2,3.12,3.14,157100
2010-03-31,3.11,3.15,3.11,3.15,270200
2010-04-01,3.18,3.18,3.12,3.16,164500
2010-04-05,3.17,3.4,3.15,3.39,278500
2010-04-06,3.39,3.42,3.32,3.41,246100
2010-04-07,3.39,3.49,3.37,3.48,339200
2010-04-08,3.49,3.55,3.45,3.5,239100
2010-04-09,3.49,3.55,3.42,3.49,173800
2010-04-12,3.5,3.5,3.37,3.42,194800
2010-04-13,3.42,3.61,3.42,3.56,297200
2010-04-14,3.6,3.69,3.52,3.65,371100
2010-04-15,3.63,3.76,3.62,3.71,238300
2010-04-16,3.71,3.77,3.54,3.64,741300
2010-04-19,3.59,3.7,3.59,3.63,322300
2010-04-20,3.65,3.75,3.55,3.72,139700
2010-04-21,3.74,3.94,3.74,3.94,311800
2010-04-22,3.86,4.19,3.83,4.08,782900
2010-04-23,4.04,4.07,3.72,4,720500
2010-04-26,4.03,4.3,3.88,4.02,317800
2010-04-27,4,4.09,3.8,3.81,248400
2010-04-28,3.84,3.95,3.76,3.86,171100
2010-04-29,3.91,4.15,3.85,4.09,173100
2010-04-30,4.08,4.08,3.8,3.84,229100
2010-05-03,3.85,4.05,3.81,4.01,171000
2010-05-04,3.93,3.93,3.67,3.83,219000
2010-05-05,3.76,3.86,3.7,3.74,212600
2010-05-06,3.7,4,3.55,3.62,273800
2010-05-07,3.65,3.78,3.38,3.44,276300
2010-05-10,3.64,3.76,3.54,3.76,206900
2010-05-11,3.6,3.99,3.6,3.87,115900
2010-05-12,3.87,4.13,3.85,4.1,175300
2010-05-13,4.07,4.1,3.85,3.9,80200
2010-05-14,3.83,3.83,3.66,3.74,80900
2010-05-17,3.79,3.84,3.56,3.81,110800
2010-05-18,3.9,3.99,3.55,3.6,120200
2010-05-19,3.6,3.78,3.45,3.49,180200
2010-05-20,3.37,3.56,3.23,3.26,193100
2010-05-21,3.2,3.55,3.13,3.37,156800
2010-05-24,3.36,3.54,3.3,3.33,72900
2010-05-25,3.17,3.32,3.12,3.31,133400
2010-05-26,3.35,3.68,3.29,3.32,116200
2010-05-27,3.45,3.6,3.33,3.6,145200
2010-05-28,3.52,3.61,3.33,3.37,166000
2010-06-01,3.33,3.42,3.15,3.16,128100
2010-06-02,3.17,3.4,3.14,3.39,89800
2010-06-03,3.4,3.47,3.32,3.4,115900
2010-06-04,3.32,3.32,3.05,3.12,423500
2010-06-07,3.14,3.27,2.91,2.96,270600
2010-06-08,2.99,3.26,2.76,2.88,210700
2010-06-09,2.91,3.18,2.79,2.84,233600
2010-06-10,2.92,3.09,2.9,3.05,114800
2010-06-11,2.98,3.27,2.95,3.24,96400
2010-06-14,3.29,3.36,3.1,3.13,66400
2010-06-15,3.18,3.22,3.03,3.17,146400
2010-06-16,3.12,3.13,3.04,3.06,116500
