Date,Open,High,Low,Close,Volume
2016-01-04,333.04,333.46,329.01,333.1,958900
2016-01-05,334.19,336.1,329.12,333.96,803200
2016-01-06,327.28,331.9,327,330.16,1138500
2016-01-07,320.6,325.65,312.61,315.73,1285300
2016-01-08,317.56,319.76,307.03,307.78,1500200
2016-01-11,309.07,310,304.37,308.32,1258400
2016-01-12,312.42,314.6,307.59,313.59,1096800
2016-01-13,315.21,318.43,303.62,304.61,1200000
2016-01-14,305.26,315.45,299.31,310,1373700
2016-01-15,298.96,299.95,290.46,296.58,1972600
2016-01-19,300.4,301.76,290.48,294,1070400
2016-01-20,288.67,294.15,280.55,292,1685900
2016-01-21,292.79,296.89,289.48,289.9,1100300
2016-01-22,295.84,301.89,294.99,300.56,780600
2016-01-25,300.06,300.94,289.2,289.72,1010500
2016-01-26,292.46,300.43,291.27,299.26,1066100
2016-01-27,299,311,297.38,302.12,1147300
2016-01-28,302.61,307.81,298.04,299.17,1023800
2016-01-29,303.37,314.34,301.9,314.26,986500
2016-02-01,311.91,314.5,306.68,312.25,754900
2016-02-02,305.82,305.82,298.02,301.21,1061300
2016-02-03,301.7,306.91,290.07,304.06,1372000
2016-02-04,302.25,316,302.25,313.7,1037600
2016-02-05,312.03,315.17,306.35,307.75,1057600
2016-02-08,301.36,301.36,289.37,293.46,1162100
2016-02-09,287,297.61,286.52,294.53,878800
2016-02-10,299.29,305.73,297.13,298.56,711700
2016-02-11,289.47,297.23,289,294.21,1266300
2016-02-12,300.18,307.5,297.04,306.8,941700
2016-02-16,312.03,315.65,309.33,314.47,764600
2016-02-17,318.84,321.27,316.99,319.88,888100
2016-02-18,319.52,320.05,314.14,315.97,660800
2016-02-19,313.07,314.55,307.59,314.29,835300
2016-02-22,314.29,321.72,312.25,316.45,817400
2016-02-23,315,317.42,306.41,309.86,758700
2016-02-24,304.49,311.87,297.89,307.98,845000
2016-02-25,309.59,313.75,303.87,313.62,608600
2016-02-26,316.6,318.57,311.92,313.92,678200
2016-02-29,312.6,315.63,311.09,311.96,870100
2016-03-01,315.27,323.03,314.13,322.57,832300
2016-03-02,320.1,327.23,318.4,326.73,1051400
2016-03-03,323.46,324.97,320.43,323.14,837700
2016-03-04,323.28,325.87,320.7,323.76,671700
2016-03-07,320.52,327.86,317.83,326.73,682400
2016-03-08,323.3,325,316.75,320.4,674500
2016-03-09,323.91,328.35,321,328.31,1179000
2016-03-10,329.77,330,320,324.99,688300
2016-03-11,330,340.19,326.65,339.65,905900
2016-03-14,337.46,338.91,334.21,337.82,631300
2016-03-15,333.13,334.33,330.39,334.13,627100
2016-03-16,333.15,335.5,329.59,334.07,674500
2016-03-17,334.23,344.73,332.67,341.94,864400
2016-03-18,344.21,346.96,339.63,342.56,763600
2016-03-21,342.77,345.82,339.04,341.98,684600
2016-03-22,337.17,342.83,337.17,340.22,490100
2016-03-23,340.98,341.86,337.3,339.23,466500
2016-03-24,336.47,337.87,331.73,334.28,662300
2016-03-28,336,338.64,334.21,336.91,444600
2016-03-29,336.24,340.43,332,339.91,635000
2016-03-30,343.63,344.91,340.81,341.37,463100
2016-03-31,340.34,344.2,339.93,340.57,511500
2016-04-01,337.27,344.56,335.07,342.53,717200
2016-04-04,342,343.29,336.24,338.52,553100
2016-04-05,335.92,336.66,331.45,334.8,523900
2016-04-06,334.4,338.73,334.09,337.2,463500
2016-04-07,334.37,335.87,326.93,328.37,529800
2016-04-08,332.74,335.24,330.8,331.6,360500
2016-04-11,334.91,337.16,332.78,332.96,434400
2016-04-12,334.04,339.87,332.33,339.31,559600
2016-04-13,343,348.62,341.42,348.29,959400
2016-04-14,343,356.2,342,354.91,833300
2016-04-15,354.42,358.31,353.59,357.74,1108100
2016-04-18,353,359.45,351.05,358,842000
2016-04-19,361.54,366.31,361.2,364.66,834200
2016-04-20,365.94,368.91,364.45,366.92,610100
2016-04-21,364.36,367.88,362.24,364.09,607900
2016-04-22,365.16,369.21,363.83,365.47,512100
2016-04-25,364.01,365,360.47,363.66,482700
2016-04-26,363.74,366,362.31,365.96,413400
2016-04-27,366,369.33,363.81,367.47,451200
2016-04-28,363.2,365.88,357.68,358.83,509400
2016-04-29,356.63,358.04,353.15,356.33,586700
2016-05-02,358.77,362.68,355.12,361.5,739000
2016-05-03,356,356.63,352.08,355.69,485300
2016-05-04,352.59,355.53,350.73,352.17,599400
2016-05-05,352.42,354.5,351.17,352.08,521600
2016-05-06,350.56,357.09,350.23,356.01,509500
2016-05-09,355.95,357.75,353.29,355.01,410700
2016-05-10,358,360.3,355.77,360.18,456600
2016-05-11,358.4,359.78,353.42,353.82,482900
2016-05-12,356.56,357.71,352.68,355.6,393800
2016-05-13,354.72,357.85,346.27,347.29,559100
2016-05-16,347.61,354.15,347.61,351.83,489000
2016-05-17,350.78,352.86,347.62,348.82,647200
2016-05-18,347.05,356.71,347.05,353.49,625500
2016-05-19,350.38,353.22,345.69,350.57,554900
2016-05-20,353.61,357.33,352.17,354.01,516000
2016-05-23,354,356.53,353.17,353.9,341100
2016-05-24,358,361.71,356.4,361.18,611400
2016-05-25,363.44,365.47,363.13,364.09,485700
2016-05-26,364.1,364.85,361.44,363.1,342700
2016-05-27,363.34,366.05,363.34,365.09,314400
2016-05-31,366.3,366.3,361.99,363.85,625700
2016-06-01,361.56,365.92,358.85,364.59,447500
2016-06-02,360.88,363.16,356.71,361.11,518900
2016-06-03,358.49,359.88,351.88,359.37,473900
2016-06-06,358.88,364.48,358.88,362.06,435600
2016-06-07,363.26,363.64,358.81,359.06,484500
2016-06-08,358.56,361.67,358.4,360.35,335700
2016-06-09,356.65,359,355.39,357.96,331400
2016-06-10,351.5,352.37,345.64,346.97,768400
2016-06-13,346.16,350.57,344.47,344.59,532800
2016-06-14,343.08,344.59,339.49,339.79,748600
2016-06-15,342.33,344.08,339.01,339.55,747400
2016-06-16,336.88,339.9,332.01,339.46,660600
2016-06-17,340.33,343.27,339.58,341.88,596900
2016-06-20,349.51,351.97,347.84,348.43,677600
2016-06-21,349.11,350.59,346.51,348,343200
2016-06-22,348.5,351.74,346.74,347.67,442300
2016-06-23,352.81,356.93,351.91,356.85,421200
2016-06-24,337.13,343.88,331.01,332.51,1480700
2016-06-27,326.48,326.63,317.6,319.54,1230200
2016-06-28,324.33,326.97,318,323.96,648600
2016-06-29,329,336.92,327.25,336.74,852800
2016-06-30,337.96,342.67,334.23,342.53,753600
2016-07-01,342.03,346.3,339.6,341.28,475700
2016-07-05,338.66,339.17,332.53,336.08,513800
2016-07-06,332.5,338.2,329.58,336.11,708100
2016-07-07,335,337.55,331.21,335.11,776600
2016-07-08,341.58,345.39,339.04,345.2,533900
2016-07-11,348.04,349.44,345.14,347.5,403800
2016-07-12,350.01,357.84,349.55,357.37,874800
2016-07-13,357.58,358.89,354.01,357.5,569300
2016-07-14,354.5,362,352.99,355.19,799400
2016-07-15,355.94,357.59,351.13,356.85,654400
2016-07-18,357.56,359.69,356.8,357.78,448400
2016-07-19,355.46,357.48,355.4,356.58,353200
2016-07-20,358.66,360.73,355.58,359.78,433400
2016-07-21,359.28,360.3,357.66,359.5,589400
2016-07-22,360.4,363.21,359.27,363.05,503900
2016-07-25,363,363.78,360.08,361.42,419400
2016-07-26,360.75,362.74,358.67,361.93,358300
2016-07-27,362.19,365.67,361.21,363.31,458400
2016-07-28,362.64,364.98,360.69,363.37,407300
2016-07-29,362.87,367.22,362.8,366.25,648500
2016-08-01,366.66,368.45,365.52,368.32,806300
2016-08-02,366.1,367.92,364.98,367.08,745200
2016-08-03,367.08,369,366.37,368.16,821800
2016-08-04,367.67,369.16,365.65,366.25,452400
2016-08-05,370.28,375.26,369.01,374.75,675500
2016-08-08,374.54,375.95,370.93,371.69,550600
2016-08-09,372.5,372.5,368.24,368.65,534600
2016-08-10,369.52,369.52,365.51,366.44,489000
2016-08-11,366.29,368.81,366.29,367.39,495600
