Date,Open,High,Low,Close,Volume
2022-01-03,62.07,62.24,61.34,61.88,12359400
2022-01-04,61.5,62.31,61.07,62.13,11415200
2022-01-05,62.44,63.27,62.12,62.16,11074100
2022-01-06,61.72,61.79,60.86,61.48,8048900
2022-01-07,61.49,63.01,61.21,62.83,16670000
2022-01-10,62.8,65.32,62.76,65.1,27534100
2022-01-11,64.71,65.85,64.31,65.48,12999500
2022-01-12,64.86,65.36,64.38,64.82,10148200
2022-01-13,64.65,64.96,63.86,64.6,8201800
2022-01-14,64.28,64.99,64.25,64.93,10302000
2022-01-18,64.68,65.03,63.81,64.89,13301400
2022-01-19,64.86,65.33,64.42,64.72,12569200
2022-01-20,64.52,65.35,64.13,64.58,8523100
2022-01-21,64.74,64.92,63.29,63.54,13273200
2022-01-24,63.18,63.42,61.19,62.61,17667200
2022-01-25,62.24,62.81,61.45,62.46,16752800
2022-01-26,62.16,63.41,61.86,62.24,13664200
2022-01-27,62.51,64.52,62.35,63.86,16567900
2022-01-28,63.68,64.92,63.24,64.91,10848400
2022-01-31,64.58,65,64.39,64.89,12036600
2022-02-01,65.01,65.26,64.68,65.19,12055500
2022-02-02,64.85,64.98,64.03,64.8,12312300
2022-02-03,64.8,65.08,63.6,64.07,13946700
2022-02-04,63.15,65.45,62.9,64.99,13193700
2022-02-07,65.38,66.45,65,66.19,17538000
2022-02-08,66.25,66.29,65.6,65.89,13613900
2022-02-09,65.74,67.27,65.62,67.14,17159900
2022-02-10,66.87,67.1,66.17,66.51,21184400
2022-02-11,66.42,67.36,66.39,66.88,15613400
2022-02-14,66.87,67.02,65.82,66.81,14939400
2022-02-15,66.73,68.06,66.73,67.77,24972100
2022-02-16,67.77,68.39,67.45,67.6,14253300
2022-02-17,67.5,67.78,66.79,67.39,13456500
2022-02-18,67.38,67.92,67.18,67.55,12278900
2022-02-22,67.67,68.27,67.05,67.45,15771200
2022-02-23,67.9,68.29,67.46,67.93,15957700
2022-02-24,66.49,67.17,66.19,67.1,18055400
2022-02-25,67.69,69.32,67.63,68.8,15719800
2022-02-28,67.69,68.7,67.29,68.67,22480200
2022-03-01,68.12,69.01,68.02,68.63,12418300
2022-03-02,68.76,69.25,68.51,68.85,13004700
2022-03-03,68.85,69.65,68.61,69.11,15730900
2022-03-04,68.26,69.54,68.24,69.36,13076200
2022-03-07,69.21,69.23,68.17,68.77,15714900
2022-03-08,67.93,68.41,67.33,67.74,19223500
2022-03-09,68.38,68.62,67.96,68.13,12430800
2022-03-10,67.77,68.73,67.71,68.42,12817400
2022-03-11,68.09,69.49,67.94,68.87,14023800
2022-03-14,68.93,69.94,68.75,69.24,17475600
2022-03-15,69.67,70.19,69.28,69.75,15977200
2022-03-16,69.93,70.15,69.02,69.66,15734300
2022-03-17,69.69,70.71,69.28,70.52,17191500
2022-03-18,70.39,71.02,69.92,71.02,33020100
2022-03-21,71.48,72.06,70.6,71.05,18289000
2022-03-22,71.21,71.4,70.27,70.82,14242400
2022-03-23,70.99,71.51,70.64,71.38,13438700
2022-03-24,71.62,72.6,71.49,72.41,12981700
2022-03-25,72.5,73.46,72.45,73.28,12153100
2022-03-28,73.2,73.74,72.71,73.11,10629100
2022-03-29,72.96,73.34,72.66,73.23,14833300
2022-03-30,73.52,74.07,73.22,73.72,12146600
2022-03-31,73.46,73.61,72.98,73.03,17143100
2022-04-01,73.19,73.93,73,73.82,12528600
2022-04-04,74,74.89,73.54,73.79,13542100
2022-04-05,73.76,74.99,73.56,74.43,12224900
2022-04-06,74.18,75.48,73.97,75.34,15420100
2022-04-07,75.38,77.28,75.3,77.26,20655600
2022-04-08,76.82,78.06,76.76,77.77,22333100
2022-04-11,77.7,78.13,76.47,76.5,15560700
2022-04-12,76.22,77.02,75.57,76.55,12596400
2022-04-13,76.73,77.14,76.45,76.87,9961000
2022-04-14,77.04,78.12,76.79,77.51,16730400
2022-04-18,77.15,77.23,76.36,76.75,13841900
2022-04-19,76.88,76.89,75.98,76.4,12875700
2022-04-20,76.21,77.69,76.04,77.28,9721100
2022-04-21,77.28,78.17,76.61,77.56,11110200
2022-04-22,76.91,77.29,75.68,75.75,15110700
2022-04-25,75.74,76.24,74.71,76.05,14944800
2022-04-26,75.98,76.94,75.56,75.59,11525600
2022-04-27,75.8,76.3,75.09,75.81,12603600
2022-04-28,76.77,77.75,76.22,77.2,21438800
2022-04-29,73.78,76.01,73.35,75.27,26446500
2022-05-02,75.37,75.97,74.33,75.08,20533700
2022-05-03,75.78,75.99,74.21,75.05,14951500
2022-05-04,75.01,76.64,74.8,76.31,17112500
2022-05-05,76.39,77.03,75.53,76.25,14788100
2022-05-06,76.12,76.85,75.76,76.67,15177800
2022-05-09,75.69,77.25,74.86,76.27,19130700
2022-05-10,76.82,77,75.63,76.29,15343400
2022-05-11,76.26,77.33,76.07,76.15,13678100
2022-05-12,76.08,76.34,74.86,76.3,16224500
2022-05-13,76.44,76.59,75.52,75.8,13773100
2022-05-16,76.29,77.25,76.08,76.91,13441100
2022-05-17,76.94,78.43,76.8,78.22,14509400
2022-05-18,78.27,78.47,76.84,77.02,15026200
2022-05-19,76.09,76.79,75.69,75.96,14858600
2022-05-20,76.5,77.15,75.34,76.19,17329700
2022-05-23,76.51,77.48,76.46,76.7,13539200
2022-05-24,76.7,77.72,76.41,77.13,13242500
2022-05-25,77.13,77.87,76.66,77.24,12508400
2022-05-26,78.11,78.61,77.32,77.59,12028800
