Date,Open,High,Low,Close,Volume
1995-01-03,7.8837,7.8837,7.7512,7.8175,1870951
1995-01-04,7.8506,7.8837,7.8175,7.8837,1251326
1995-01-05,7.8506,7.95,7.8506,7.8837,860381
1995-01-06,7.9168,8.0162,7.9168,7.9168,569814
1995-01-09,7.8837,7.9831,7.8837,7.9168,687927
1995-01-10,7.9168,8.0162,7.8837,7.8837,975098
1995-01-11,7.8837,7.95,7.7512,7.8837,1196986
1995-01-12,7.8175,7.8506,7.7181,7.7843,628304
1995-01-13,7.8175,8.1156,7.8175,8.0825,1613591
1995-01-16,8.0825,8.3475,8.0825,8.3143,2093593
1995-01-17,8.2812,8.3143,8.0162,8.1156,1502648
1995-01-18,8.0825,8.1156,7.7512,7.8175,3155862
1995-01-19,7.8175,7.8175,7.7181,7.7512,1094344
1995-01-20,7.7512,7.7512,7.6518,7.685,1425289
1995-01-23,7.6518,7.7512,7.5525,7.7512,1344534
1995-01-24,7.7512,7.9168,7.7512,7.7843,2422651
1995-01-25,7.7512,8.0493,7.7181,7.8837,1701516
1995-01-26,7.9168,8.0493,7.9168,8.0493,1032457
1995-01-27,8.0825,8.215,8.0493,8.1818,952457
1995-01-30,8.1818,8.215,8.0162,8.0162,841513
1995-01-31,7.9831,8.0493,7.9168,7.95,1212835
1995-02-01,8.0162,8.0825,7.95,7.9831,1287930
1995-02-02,7.9831,8.1487,7.9168,8.1487,695852
1995-02-03,8.1818,8.5462,8.1818,8.3806,3988695
1995-02-06,8.3475,8.5462,8.3475,8.5462,1946423
1995-02-07,8.6125,8.6787,8.48,8.48,2860011
1995-02-08,8.5462,8.6125,8.3143,8.3806,2870578
1995-02-09,8.3475,8.48,8.3475,8.4468,1608686
1995-02-10,8.3806,8.5462,8.3806,8.5462,824909
1995-02-13,8.48,8.5793,8.48,8.5462,1205665
1995-02-14,8.6125,8.6456,8.48,8.5793,2678501
1995-02-15,8.6125,8.745,8.6125,8.7118,1174344
1995-02-16,8.745,8.7615,8.5793,8.6125,1503402
1995-02-17,8.6125,8.6456,8.5131,8.5462,1593214
1995-02-21,8.5793,8.5793,8.48,8.48,1168684
1995-02-22,8.48,8.5131,8.4468,8.48,1898498
1995-02-23,8.5462,8.745,8.5462,8.7118,1573214
1995-02-24,8.6787,8.745,8.6125,8.745,1576233
1995-02-27,8.6787,8.7118,8.6456,8.7118,1087174
1995-02-28,8.6787,8.8775,8.6787,8.8775,1488685
1995-03-01,8.8112,8.8443,8.7118,8.745,2133971
1995-03-02,8.745,8.8112,8.7118,8.8112,1576987
1995-03-03,8.7118,8.745,8.6787,8.6787,1489817
1995-03-06,8.5131,8.5462,8.4137,8.4137,2501142
1995-03-07,8.3806,8.4468,8.3475,8.3475,2526425
1995-03-08,8.3806,8.4468,8.1487,8.1487,3026427
1995-03-09,8.1487,8.2812,8.0825,8.1156,2007178
1995-03-10,8.1487,8.3143,8.1156,8.2812,4436244
1995-03-13,8.215,8.2481,8.1156,8.1818,2409444
1995-03-14,8.215,8.3806,8.1818,8.3475,1643403
1995-03-15,8.3475,8.4137,8.2481,8.4137,1752082
1995-03-16,8.3806,8.48,8.3806,8.48,758494
1995-03-17,8.48,8.48,8.2812,8.2812,3035484
1995-03-20,8.2481,8.3143,8.1818,8.215,1246797
1995-03-21,8.215,8.2481,8.0825,8.0825,3547939
1995-03-22,8.1156,8.1156,7.95,8.0825,2821898
1995-03-23,8.0493,8.1156,7.9831,8.0162,2171707
1995-03-24,8.3806,8.48,8.3475,8.48,4726811
1995-03-27,8.48,8.5462,8.3806,8.5462,4707189
1995-03-28,8.5462,8.5793,8.4468,8.5462,3123031
1995-03-29,8.5462,8.6125,8.3475,8.4468,4492848
1995-03-30,8.5793,8.8775,8.5131,8.8775,27572186
1995-03-31,8.7781,8.7781,8.6787,8.745,8475506
1995-04-03,8.7118,8.8443,8.6787,8.7118,2489444
1995-04-04,8.7781,8.8443,8.7118,8.8112,1520761
1995-04-05,8.8112,8.8775,8.745,8.8775,1742271
1995-04-06,8.8775,9.01,8.8112,8.8775,2602652
1995-04-07,8.9768,8.9768,8.7781,8.8775,3464920
1995-04-10,8.8775,8.8775,8.7781,8.8775,2188311
1995-04-11,8.9106,8.9106,8.7118,8.7118,1472081
1995-04-12,8.745,8.7781,8.6456,8.745,1824158
1995-04-13,8.745,8.745,8.5462,8.6456,1836988
1995-04-17,8.7118,8.7781,8.6125,8.6125,2598501
1995-04-18,8.6787,8.7781,8.5793,8.6787,1495100
