Date,Open,High,Low,Close,Volume
2012-01-03,22.75,22.78,22.63,22.67,719000
2012-01-04,22.65,22.69,22.5,22.61,712400
2012-01-05,22.49,22.69,22.28,22.69,766500
2012-01-06,22.65,22.81,22.44,22.57,432000
2012-01-09,22.62,22.87,22.52,22.74,281500
2012-01-10,22.89,23.1,22.83,23.1,445000
2012-01-11,23,23.33,22.98,23.33,399900
2012-01-12,23.34,23.36,23.03,23.25,484000
2012-01-13,23.11,23.14,22.86,22.94,300100
2012-01-17,23.07,23.3,23.06,23.21,560800
2012-01-18,23.24,23.7,23.19,23.65,417400
2012-01-19,23.6,23.81,23.21,23.73,450700
2012-01-20,23.71,24,23.67,23.99,439000
2012-01-23,23.94,24.19,23.83,24.08,588900
2012-01-24,23.86,23.96,23.76,23.91,405100
2012-01-25,23.91,24.07,23.74,24.01,340900
2012-01-26,24.07,24.19,23.62,23.98,460700
2012-01-27,23.87,24.19,23.87,24.01,324600
2012-01-30,23.78,24.1,23.68,24.02,351300
2012-01-31,24.15,24.2,23.79,23.97,365700
2012-02-01,24.2,24.58,24.13,24.56,1116500
2012-02-02,24.55,24.71,24.21,24.29,520500
2012-02-03,24.5,24.7,24.37,24.49,629200
2012-02-06,24.33,24.6,24.33,24.46,434000
2012-02-07,23.95,24.63,22.5,24.13,792600
2012-02-08,24.27,24.43,24.1,24.12,316900
2012-02-09,24.15,24.29,23.97,24.25,315300
2012-02-10,24,24.24,23.91,24.09,380400
2012-02-13,24.24,24.43,23.98,24.15,362200
2012-02-14,24.09,24.29,24.07,24.21,262700
2012-02-15,24.28,24.37,24.02,24.14,281600
2012-02-16,24.11,24.49,24.11,24.44,359900
2012-02-17,24.47,24.49,24.21,24.33,257900
2012-02-21,24.33,24.46,24.12,24.33,505600
2012-02-22,24.33,24.59,24.25,24.4,486600
2012-02-23,24.45,24.75,24.38,24.74,369400
2012-02-24,24.71,24.87,24.61,24.83,410800
2012-02-27,24.69,24.94,24.53,24.85,342900
2012-02-28,24.82,24.87,24.46,24.69,432000
2012-02-29,24.8,24.91,24.34,24.34,527300
2012-03-01,24.4,24.55,24.22,24.33,502600
2012-03-02,24.26,24.48,23.96,24.06,402800
2012-03-05,23.99,24.11,23.8,24.03,492200
2012-03-06,23.84,24.02,23.72,23.77,386400
2012-03-07,23.83,23.94,23.63,23.81,726600
2012-03-08,23.95,24.21,23.77,23.99,574100
2012-03-09,24.06,24.44,24.03,24.36,529400
2012-03-12,24.08,24.24,23.81,24.21,280600
2012-03-13,24.38,24.57,24.17,24.57,455400
2012-03-14,24.53,24.55,24.25,24.41,335800
2012-03-15,24.33,24.64,24.27,24.59,336900
2012-03-16,24.05,24.58,24.05,24.42,457500
2012-03-19,24.35,24.62,24.14,24.37,328300
2012-03-20,24.26,24.3,24.14,24.25,189400
2012-03-21,24.23,24.3,24.08,24.24,290300
2012-03-22,24.1,24.28,23.89,24.19,292000
2012-03-23,24.25,24.43,24.07,24.43,223000
2012-03-26,24.54,24.69,24.5,24.65,417600
2012-03-27,24.6,24.65,24.47,24.47,261100
2012-03-28,24.43,24.48,23.96,24.08,560500
2012-03-29,23.85,24.06,23.85,23.98,418900
2012-03-30,24.15,24.2,23.9,23.91,553700
2012-04-02,23.84,24.46,23.78,24.19,768000
2012-04-03,24.23,24.34,23.94,24.04,634100
2012-04-04,23.79,23.94,23.64,23.64,614500
2012-04-05,23.55,23.67,23.51,23.55,374700
2012-04-09,23.14,23.23,23.01,23.18,642800
2012-04-10,23.12,23.23,23.01,23.06,808900
2012-04-11,23.19,23.45,23.15,23.45,386100
2012-04-12,23.39,23.44,23.22,23.41,391400
2012-04-13,23.31,23.39,23.03,23.1,411200
2012-04-16,23.15,23.2,23,23.01,346000
2012-04-17,23.05,23.11,23,23.01,1018600
2012-04-18,22.87,23.02,22.82,22.84,907200
