Date,Open,High,Low,Close,Volume
2024-01-02,356.32,362.57,355.94,362.46,4737000
2024-01-03,362.08,367.85,361.07,366.75,4321800
2024-01-04,367.41,369.37,363.41,363.68,4142800
2024-01-05,364.83,366.3,364.19,365.59,2965200
2024-01-08,366.01,368.3,364.2,368.18,3445700
2024-01-09,368,368,364.77,366.9,2998800
2024-01-10,366.26,368.83,365.75,367.92,2448100
2024-01-11,367.81,367.89,362.13,363.34,3577800
2024-01-12,366.51,366.85,362.57,363.62,2623100
2024-01-16,362.94,363.6,359.89,361.1,3046500
2024-01-17,359.01,362.53,357.98,359.29,2550300
2024-01-18,359.25,362.64,358.3,362.38,3007800
2024-01-19,362.25,368.31,361.02,366.99,4063700
2024-01-22,368.05,369.27,366.53,368.06,3552500
2024-01-23,368.02,372.42,367.71,372.14,2896300
2024-01-24,372.53,377.79,372.03,376.59,4589300
2024-01-25,379.24,380.99,377.89,380.85,4055800
2024-01-26,381.05,385.73,380,385.4,3621400
2024-01-29,385.49,385.7,379.17,383.18,3797400
2024-01-30,383.24,387.64,380.08,387.15,3090900
2024-01-31,386.53,387.92,383.55,383.74,3856400
2024-02-01,384,386.55,381.48,386.44,2947100
2024-02-02,386.68,392.07,386.44,390.75,3806800
2024-02-05,389.95,393.37,389.29,390.76,3651900
2024-02-06,390.29,393.93,390,393.74,2573400
2024-02-07,394.6,399.15,394.36,397.66,3426800
2024-02-08,397.22,398.65,394.85,397.49,3357700
2024-02-09,397.31,398.36,395.82,398.36,2509800
2024-02-12,398.65,399.48,396.19,397.71,2817900
2024-02-13,397.18,399.71,392.1,394.8,3458500
2024-02-14,395.15,398.86,393.55,398.68,2669200
2024-02-15,399.14,404.27,398.3,403.45,3076000
2024-02-16,404.44,406.74,402.59,405.99,3532200
2024-02-20,406.47,411.11,406.06,407.15,3530700
2024-02-21,408.26,409.48,406.7,409.25,2717600
2024-02-22,411.3,416.26,411,415.16,3687600
2024-02-23,417.68,420.56,416.52,417.22,4015600
2024-02-26,422,430,408.85,409.14,7432300
2024-02-27,409.21,409.96,401.71,408.91,4609100
2024-02-28,408.5,414.67,407.71,412.14,4067400
2024-02-29,413.1,413.79,408.38,409.4,4845200
2024-03-01,409.48,410.39,405.45,407.11,3282100
2024-03-04,405,405.95,401.43,403.39,4179400
2024-03-05,402.55,403.33,398.78,400.74,4711700
2024-03-06,402.18,407.44,401.7,403.96,3839100
2024-03-07,406.11,406.4,399.57,402.39,4181300
2024-03-08,401.08,403.36,400.01,403.15,3410600
2024-03-11,403.3,405.01,402.74,404.76,2431700
2024-03-12,406.78,407.2,404.1,404.98,2616700
2024-03-13,405.3,409,404.15,408.13,3584600
2024-03-14,409.08,409.08,403.34,406.73,3734700
2024-03-15,404.27,408.46,402.5,408.13,7548800
2024-03-18,408.7,410.6,406,408.41,3775700
2024-03-19,409.08,412.19,408.09,411.76,2795800
2024-03-20,412.02,416.31,411.55,416.11,2932900
2024-03-21,416.7,417.83,413.51,413.78,3401600
2024-03-22,413,414.35,411.4,411.6,2999600
2024-03-25,410.67,411.07,408.92,409.92,2804200
2024-03-26,410,412.66,408.6,411.57,2935100
2024-03-27,413.65,417.21,413.4,416.93,2926000
2024-03-28,417.8,421.44,415.85,420.52,4377400
2024-04-01,421.49,421.66,417.81,420.2,2716100
2024-04-02,419.75,421.01,418.09,418.92,3174900
2024-04-03,419,421.91,418.52,420.24,2740800
2024-04-04,423.84,424.52,414.55,415.32,3800600
2024-04-05,416.56,419.27,415.41,418.62,2738300
2024-04-08,418.32,418.57,415.63,415.97,2485700
2024-04-09,416.58,417.32,412.12,414.69,2233100
2024-04-10,412.74,413.56,407.53,409.11,3121300
2024-04-11,408.4,411.15,404.05,407.61,2889900
2024-04-12,405,407.21,401.44,403.26,3467300
2024-04-15,406.99,409.06,399.86,400.26,3002300
2024-04-16,400.97,401.25,396.5,396.92,3435500
2024-04-17,398.94,399.28,395.66,397.74,2465600
2024-04-18,399.7,402.99,399.1,399.89,2669500
2024-04-19,401.04,405.57,400.17,405.08,3996100
2024-04-22,406.84,411.35,406.25,408.78,2980600
2024-04-23,410.25,410.72,405.64,408.74,2287600
2024-04-24,407.1,407.62,403.88,405.95,2506900
2024-04-25,404.85,406.14,400.35,404.91,2670200
2024-04-26,403.92,404.75,401.41,402.1,3023100
2024-04-29,402.66,404.87,400.08,400.96,2363600
2024-04-30,400.58,400.6,396.37,396.73,3070500
2024-05-01,396.61,402.32,396.35,398.58,2605000
2024-05-02,401,401.56,397.88,400.6,2672200
2024-05-03,404.5,404.5,399.21,400.87,4119100
2024-05-06,403.96,405.15,399.26,404.92,3918900
