Date,Open,High,Low,Close,Volume
2024-01-02,57.46,57.99,57.11,57.84,6775400
2024-01-03,57.9,58.14,57.33,57.6,6594000
2024-01-04,57.66,58.52,57.58,58.17,6083500
2024-01-05,57.99,58.48,57.79,58.16,6020500
2024-01-08,58.4,58.57,57.77,58.42,4699300
2024-01-09,58.2,59.4,58.09,59.23,8180700
2024-01-10,59.34,59.63,59.08,59.51,4853600
2024-01-11,59.61,59.95,59.39,59.61,4995900
2024-01-12,59.94,60.64,59.86,59.94,6386200
2024-01-16,59.81,60.49,59.61,60.25,5780000
2024-01-17,60.04,61.01,60.01,60.96,9442400
2024-01-18,60.94,61.46,60.35,61.05,8712200
2024-01-19,61.08,61.16,60.61,60.94,6584100
2024-01-22,61.3,61.4,60.55,60.74,6417800
2024-01-23,60.8,60.95,60.14,60.62,5119200
2024-01-24,60.51,60.81,59.85,59.92,11290500
2024-01-25,60.27,60.86,59.97,60.83,6908100
2024-01-26,61.08,61.31,60.72,61.13,5748400
2024-01-29,60.91,61.34,60.78,61.31,5560100
2024-01-30,61.32,61.47,61.09,61.42,7257100
2024-01-31,64,64.49,62.64,63.26,13910800
2024-02-01,64.47,64.91,63.39,64.82,10527000
2024-02-02,65,65,64.11,64.37,10866000
2024-02-05,64.43,65,64.14,64.46,7197500
2024-02-06,64.68,64.83,64.08,64.79,5522100
2024-02-07,64.85,65.43,64.79,65.23,6807900
2024-02-08,65.05,65.14,64.39,65.02,6823600
2024-02-09,65.06,65.61,64.85,65.5,7161800
2024-02-12,65.39,65.44,64.56,64.99,4659200
2024-02-13,64.81,65.41,64.55,64.97,6911500
2024-02-14,65.29,66,65.01,65.95,5498100
2024-02-15,66.12,66.23,65.49,66.09,5718500
2024-02-16,66.35,66.86,65.76,65.82,7300300
2024-02-20,65.86,66.66,65.79,66.22,7580300
2024-02-21,66.15,66.35,65.33,65.75,6759800
2024-02-22,65.76,66.91,65.75,66.74,4872300
2024-02-23,66.89,67.32,66.65,67,4599900
2024-02-26,67.07,67.32,66.64,66.67,4368700
2024-02-27,66.26,66.71,66.15,66.43,4021000
2024-02-28,66.46,67,66.3,66.99,4740500
2024-02-29,66.83,66.83,66,66.21,9710700
2024-03-01,66.35,67.4,66.3,67.13,5664200
2024-03-04,67.11,67.45,66.8,67.43,7853500
2024-03-05,67.6,67.67,66.77,67.02,7039200
2024-03-06,67.1,67.44,66.84,67.42,6400900
2024-03-07,67.7,68,67.42,67.82,5283000
2024-03-08,67.78,68.07,67.33,67.66,6257600
2024-03-11,67.53,67.69,66.04,66.12,7995800
2024-03-12,66.05,67.68,66.04,67.49,6462500
2024-03-13,67.6,67.6,65.98,66.04,9236100
2024-03-14,65.94,66.91,65.52,66.86,7327600
2024-03-15,66.06,66.91,65.87,66.23,8850800
2024-03-18,66.19,67.43,66.16,67.24,5833700
2024-03-19,67.44,67.84,67.03,67.79,5417100
2024-03-20,67.72,67.83,67.04,67.44,3882400
2024-03-21,67.43,67.84,67.31,67.56,4165700
2024-03-22,67.21,67.86,66.91,67.62,4463400
2024-03-25,67.65,67.85,67.28,67.29,3321800
2024-03-26,67.37,68.13,67.37,67.94,5308800
2024-03-27,68.26,68.66,67.9,68.62,4069700
2024-03-28,68.72,68.92,68.33,68.49,6533500
2024-04-01,68.42,68.54,67.9,68.1,2970100
2024-04-02,67.69,67.92,67.09,67.45,4895400
2024-04-03,67.7,68.57,67.57,68.13,6590900
2024-04-04,68.7,69.2,67.69,67.75,5834100
2024-04-05,67.98,68.79,67.83,68.56,5342300
2024-04-08,68.52,68.8,68.03,68.69,4912600
2024-04-09,68.94,68.94,67.95,68.66,4917400
2024-04-10,68.02,68.8,67.94,68.65,5199800
2024-04-11,68.93,69.21,68.54,68.84,6439200
2024-04-12,68.27,68.53,67.76,68.07,4995100
2024-04-15,68.73,68.96,67.4,67.44,6527000
2024-04-16,67.71,68.67,67.37,68.12,6622900
2024-04-17,68.17,68.33,67.46,67.96,6177600
2024-04-18,68.05,68.2,67.22,67.42,5946600
2024-04-19,67.87,68.08,66.91,67.33,6966300
2024-04-22,67.63,68.61,66.8,68.02,7659800
2024-04-23,68.32,69,67.8,68.99,9075700
2024-04-24,73.14,74.39,72.55,72.91,15276500
2024-04-25,73.13,73.64,72.91,73.26,8172200
2024-04-26,72.88,73.61,72.64,73.17,8786200
2024-04-29,73.08,73.13,71.75,72.5,9463900
2024-04-30,72.34,72.79,71.74,71.87,8718100
2024-05-01,71.61,72.99,71.14,72.21,6021100
2024-05-02,72.47,72.56,70.97,72.03,7610500
2024-05-03,72.22,73.08,71.82,72.85,7452100
2024-05-06,73.04,73.27,72.42,72.55,4922800
2024-05-07,72.7,73.5,72.62,73.43,4151500
2024-05-08,73.51,73.66,72.61,72.72,5054000
2024-05-09,72.74,74.15,72.74,74.1,6134800
2024-05-10,74.2,74.3,73.54,73.69,3790500
2024-05-13,73.68,73.83,72.66,72.81,6182000
2024-05-14,72.6,73.64,72.31,73.49,5848500
2024-05-15,73.86,74.67,73.86,74.45,4492500
2024-05-16,74.43,74.77,74.18,74.55,5636700
2024-05-17,74.94,74.94,74.06,74.65,6978200
2024-05-20,74.81,76.07,74.81,75.36,6534100
2024-05-21,75.56,76.11,75.45,75.67,5801500
2024-05-22,75.95,76.25,75.15,75.37,6390200
2024-05-23,75.47,75.52,74.29,74.38,5581300
2024-05-24,74.54,76.13,74.54,75.63,4786600
2024-05-28,75.59,75.82,74.86,75.17,4252400
2024-05-29,74.78,75.38,74.78,74.98,6809400
2024-05-30,75.11,75.5,74.62,75,5150700
2024-05-31,75.18,75.68,74.43,75.57,8825200
2024-06-03,75.36,75.92,74.84,75.5,3217200
2024-06-04,75.38,76.11,75.16,75.92,3245800
2024-06-05,76,76.04,75.48,75.89,5193800
2024-06-06,75.75,76.31,75.35,76.12,5979000
2024-06-07,76.6,77.56,76.35,77.11,6918900
2024-06-10,76.95,77.53,76.7,77.42,3471600
2024-06-11,77.44,77.47,76.75,77.15,3754700
2024-06-12,77.2,77.64,76.68,77.41,3219700
2024-06-13,77.11,77.3,76.25,76.96,4054200
2024-06-14,76.85,77.03,76.43,76.76,3540300
2024-06-17,76.38,76.72,75.96,76.19,6443600
2024-06-18,76.13,76.49,75.38,76.31,5365900
2024-06-20,76.6,77.26,76.4,77,8725700
2024-06-21,77.1,77.81,76.9,77.71,9933900
2024-06-24,77.7,77.99,76.54,76.71,5594600
2024-06-25,76.9,77.6,76.64,77.51,6231800
2024-06-26,77.17,77.43,76.76,77.1,6013200
2024-06-27,77.15,77.5,76.65,77,4196100
2024-06-28,77.01,77.44,76.7,77.01,7714800
2024-07-01,77.3,77.95,76.24,76.41,4234500
2024-07-02,76.39,76.73,75.91,76.55,3321800
2024-07-03,76.8,77,75.71,76.11,2144400
2024-07-05,76.56,76.68,75.77,76.4,4641100
2024-07-08,76.37,76.43,75.99,76.11,4537500
2024-07-09,76.45,76.75,76.07,76.51,3954700
2024-07-10,76.55,77.15,76.03,77.11,3334900
2024-07-11,77.08,77.24,76.61,76.89,5818300
2024-07-12,76.88,77.88,76.67,77.69,4430800
2024-07-15,78,78.98,77.71,78.02,6481600
2024-07-16,78.01,78.46,77.64,78.14,4243300
2024-07-17,78.07,78.39,77.08,77.41,5215200
2024-07-18,77.2,77.65,74.15,75.55,9579800
2024-07-19,76.9,77.69,76.22,77.56,7913000
2024-07-22,77.67,78.64,77.47,78.27,6471000
2024-07-23,78.56,79.43,78.19,78.59,6719000
