Date,Open,High,Low,Close,Volume
2004-01-02,9.369498,9.443222,9.369498,9.395907,1345024
2004-01-05,9.394806,9.46963,9.394806,9.461928,1728538
2004-01-06,9.489437,9.6875,9.486136,9.675396,1979366
2004-01-07,9.694102,9.722711,9.676496,9.690801,2497382
2004-01-08,9.743618,9.871259,9.743618,9.859155,2235648
2004-01-09,9.848151,9.924076,9.805238,9.864657,2076608
2004-01-12,9.864657,9.935079,9.859155,9.933979,1212339
2004-01-13,9.944982,10.0352,9.944982,10.0132,2535552
2004-01-14,10.0352,10.1573,10.0132,10.1552,1327757
2004-01-15,10.1827,10.3081,10.1232,10.2751,1712179
2004-01-16,10.3048,10.3532,10.2498,10.3389,1704000
2004-01-20,10.4423,10.4423,10.3455,10.4291,1603123
2004-01-21,10.4291,10.5282,10.3631,10.5282,1476800
2004-01-22,10.6074,10.7625,10.5634,10.7515,2341069
2004-01-23,10.7284,10.7548,10.6283,10.7504,3624294
2004-01-26,10.7515,10.8539,10.6459,10.8396,2556454
2004-01-27,10.8286,10.8297,10.7075,10.7372,2890893
2004-01-28,10.7812,10.7835,10.5876,10.6019,2805466
2004-01-29,10.5854,10.5942,10.3873,10.4104,3518874
2004-01-30,10.2553,10.2608,10.2113,10.2245,3887846
2004-02-02,10.2245,10.2498,10.0462,10.1155,3675187
2004-02-03,10.1122,10.1254,10.0605,10.1023,2067520
2004-02-04,10.1012,10.1342,10.0132,10.0572,2259277
2004-02-05,10.2333,10.3048,10.1342,10.1651,4335885
2004-02-06,10.2113,10.4104,10.1529,10.3356,3440717
2004-02-09,10.4423,10.4776,10.3763,10.4313,2216563
2004-02-10,10.4038,10.4412,10.3411,10.4225,2445581
2004-02-11,10.4335,10.6503,10.4335,10.6019,2542822
2004-02-12,10.5744,10.5997,10.5095,10.5095,1826688
2004-02-13,10.482,10.5194,10.2542,10.2872,4025075
2004-02-17,10.2883,10.3829,10.2663,10.3543,4113229
2004-02-18,10.3433,10.3433,10.2399,10.2553,2771840
2004-02-19,10.2773,10.3664,10.2333,10.2476,2137498
2004-02-20,10.2476,10.2652,10.0605,10.1265,2430131
2004-02-23,10.154,10.2058,10.0814,10.0891,3398003
2004-02-24,10.0792,10.0792,9.959287,10.0022,2330163
2004-02-25,9.985695,10.1034,9.985695,10.0748,1813056
2004-02-26,10.0748,10.0748,9.974692,10.0077,2005722
2004-02-27,10.0077,10.0792,9.919674,9.925176,2335616
2004-03-01,9.996699,10.1926,9.991197,10.1827,1710362
2004-03-02,10.1673,10.1783,10.0121,10.0209,1584038
2004-03-03,10.0209,10.0429,9.858055,9.957086,1413184
2004-03-04,9.930678,9.960387,9.807438,9.858055,2356518
2004-03-05,9.830546,10.022,9.778829,9.984595,1687642
2004-03-08,9.984595,9.984595,9.815141,9.818442,986048
2004-03-09,9.817342,9.84265,9.602773,9.617077,2192026
2004-03-10,9.672095,9.710607,9.452025,9.46963,3033574
2004-03-11,9.466329,9.536752,9.446523,9.463028,1934835
2004-03-12,9.507042,9.597271,9.50154,9.554357,1383194
2004-03-15,9.555458,9.555458,9.363996,9.391505,2309261
2004-03-16,9.419014,9.512544,9.413512,9.459727,1609485
2004-03-17,9.470731,9.659991,9.470731,9.643486,1853952
2004-03-18,9.615977,9.615977,9.422315,9.490537,1841229
2004-03-19,9.567562,9.567562,9.288072,9.288072,3847859
2004-03-22,9.226452,9.226452,8.946963,9.022887,5262861
2004-03-23,9.033891,9.064701,8.893046,8.945863,2752755
2004-03-24,8.868838,8.932658,8.778609,8.778609,2688230
2004-03-25,8.806118,8.93596,8.766505,8.90625,4883891
2004-03-26,8.995379,9.229754,8.989877,9.153829,3230784
2004-03-29,9.193442,9.321083,9.193442,9.226452,1600397
2004-03-30,9.242958,9.315581,9.226452,9.304577,1340480
2004-03-31,9.286972,9.352993,9.24846,9.334287,1097830
2004-04-01,9.319982,9.449824,9.260563,9.296875,2184755
2004-04-02,9.408011,9.408011,9.314481,9.363996,2328346
2004-04-05,9.391505,9.493838,9.388204,9.493838,1395008
2004-04-06,9.466329,9.635783,9.435519,9.620379,2273818
2004-04-07,9.639085,9.651188,9.441021,9.441021,2456486
2004-04-08,9.512544,9.512544,9.326585,9.369498,2038438
2004-04-12,9.380502,9.573063,9.380502,9.514745,2212019
2004-04-13,9.542254,9.544454,9.242958,9.279269,2651878
2004-04-14,9.279269,9.28037,9.123019,9.130722,3023578
