Date,Open,High,Low,Close,Volume
2023-01-03,68.15,69.1,66.36,66.62,1746100
2023-01-04,66.21,67.92,66.21,66.71,1769200
2023-01-05,66.09,66.19,64.18,64.18,1680600
2023-01-06,64.49,67.23,64.03,67.05,1458900
2023-01-09,66.98,67.7,65.71,65.72,1285100
2023-01-10,65.41,67.41,65.24,67.39,1076900
2023-01-11,68.07,69.79,68.06,69.76,1044600
2023-01-12,70.37,71.54,70.03,71.22,1236600
2023-01-13,70.27,72.05,70,71.2,931600
2023-01-17,71.5,72.11,70.85,71.8,908500
2023-01-18,71.77,72.91,70.22,71.13,1233200
2023-01-19,70.57,71.25,69.99,70.43,796800
2023-01-20,70.38,71.25,69.78,71.2,861500
2023-01-23,71.54,72.18,70.92,71.17,943700
2023-01-24,70.79,71.4,70.43,70.85,898200
2023-01-25,70.29,71.32,69.85,71.09,1045200
2023-01-26,71.37,71.75,69.83,70.04,1386700
2023-01-27,69.78,74,69.78,73.7,1215300
2023-01-30,72.92,73.62,72.13,72.19,1403900
2023-01-31,72.23,74.59,71.75,74.54,3884400
2023-02-01,71.85,75.22,71.79,74.39,2694100
2023-02-02,76.5,79.42,74.79,78.37,2166900
2023-02-03,76.99,77.07,74.71,75.48,1691900
2023-02-06,74.23,74.51,72.48,73.36,1655600
2023-02-07,72.64,74.08,72.12,73.5,1215900
2023-02-08,73.18,73.67,72.59,73.04,889400
2023-02-09,73.47,73.99,71.32,71.78,797200
2023-02-10,71.51,72.69,71.33,72.54,968100
2023-02-13,72.6,73.27,72.12,73.23,988000
2023-02-14,73,73.57,72.25,72.34,848000
2023-02-15,71.8,73.2,71.56,73.19,618600
2023-02-16,72.33,72.33,71.28,71.37,1035400
2023-02-17,71.28,71.28,69.73,70.44,1116100
2023-02-21,70.16,70.38,68.17,68.44,860600
2023-02-22,68.78,69.36,67.77,68.16,859700
2023-02-23,68.57,69.14,67.63,68.57,760000
2023-02-24,68.13,68.2,66.23,66.72,942700
2023-02-27,67.45,67.64,65.68,66.06,1144500
2023-02-28,66.29,66.82,65.43,65.48,1610200
2023-03-01,64.99,65.33,64.24,64.81,1214200
2023-03-02,64.49,65.33,63.39,65.13,1155700
2023-03-03,65.53,65.77,64.79,65.66,1187300
2023-03-06,66.27,67.09,65.81,66.15,1027100
2023-03-07,66,66.31,63.24,63.29,1202600
2023-03-08,63.23,64.62,63.11,64.17,794100
2023-03-09,63.56,63.87,61.84,61.94,1572100
2023-03-10,61.75,62.02,57.35,57.44,2771100
2023-03-13,56.52,56.88,55.31,55.84,3551000
2023-03-14,57.53,57.81,52.92,53.43,3524400
2023-03-15,52.02,55.08,51.6,54.93,3635300
2023-03-16,55.19,55.19,52.29,53.51,3755100
2023-03-17,53.09,53.2,50.18,51.1,4518300
2023-03-20,50,53.2,49.98,51.72,2388500
2023-03-21,52.91,54.65,52.51,53.59,2584600
2023-03-22,53.18,53.18,49.91,49.95,2091900
2023-03-23,49.35,50.57,47.15,47.37,4108000
2023-03-24,46.66,49.81,46.18,49.42,3704300
2023-03-27,50.77,51.29,49.8,50.34,2403200
2023-03-28,49.72,51.41,49.44,50.9,2341200
2023-03-29,51.9,53.51,51.65,53.15,2905100
2023-03-30,53.05,54.21,52.53,53.3,3289500
2023-03-31,53.65,54.15,52.58,54.12,2803700
2023-04-03,54.39,55.3,53.15,53.63,1895700
2023-04-04,54.13,54.24,52.26,52.83,1920000
2023-04-05,52.36,52.88,51.75,52.53,2041200
2023-04-06,52.99,53.33,52.33,53.1,1351900
2023-04-10,52.75,53.65,51.41,52.79,1885300
2023-04-11,53.24,54.71,52.95,54.01,1954100
2023-04-12,54.69,54.84,51.43,51.58,1650100
2023-04-13,51.59,52.13,51.1,51.68,1450600
2023-04-14,52.35,52.99,50.69,50.96,1337600
2023-04-17,51.17,53.33,50.92,53.07,1702400
2023-04-18,53.02,53.05,51.65,52.65,1345100
2023-04-19,52.12,54.23,51.8,53.9,1231600
2023-04-20,52.97,53.65,51.84,52.28,1945900
2023-04-21,52.48,52.61,51.46,52.12,1473600
2023-04-24,52.14,52.5,51.17,52.03,1257200
2023-04-25,51.5,51.74,49.73,50.3,2399200
2023-04-26,52.02,53,50.34,51.18,2749200
2023-04-27,50.85,53.07,50.33,52.82,1997800
2023-04-28,52.64,54.47,52.5,53.36,1485800
2023-05-01,53.21,53.91,52.5,52.81,1648400
2023-05-02,52.15,52.6,49.92,51.21,1574400
2023-05-03,51.46,51.92,50.03,50.27,1866700
2023-05-04,49.74,50.94,49.16,50.66,1659700
2023-05-05,51.5,52.17,50.79,51.93,1191900
2023-05-08,52.02,52.08,50.8,50.92,1004800
2023-05-09,50.11,51.36,49.56,50.99,1526200
2023-05-10,51.73,51.88,49.93,50.61,1385200
2023-05-11,49.81,50.32,49.22,49.43,1586900
2023-05-12,49.63,49.88,47.96,48.42,1688100
2023-05-15,48.95,49.38,48.08,49.11,1349400
2023-05-16,48.91,49.1,47.01,47.06,1509800
2023-05-17,47.43,49.38,47,49.16,1503500
2023-05-18,48.69,49.41,48.15,49.35,1386900
2023-05-19,49.76,50.69,49.06,49.08,1426000
2023-05-22,49.35,50.33,48.73,50.06,1377700
2023-05-23,50.22,52.2,50.18,50.86,2184400
2023-05-24,50.48,50.61,48.33,48.35,1546800
2023-05-25,48,48.13,47.07,47.6,1115300
2023-05-26,47.71,47.88,46.8,47.74,1334600
2023-05-30,48.04,49.07,47.7,48.98,1617400
2023-05-31,48.74,49.25,48.21,48.67,2858900
2023-06-01,48.67,49.05,47.59,48.05,1492000
2023-06-02,49.48,50.9,48.97,50.64,1653300
2023-06-05,50.56,50.82,49.68,49.69,1083500
2023-06-06,50.03,52.69,49.69,52.04,1672800
2023-06-07,52.79,55.05,52.04,54.48,2628300
2023-06-08,54.08,54.36,52.4,53.88,1855400
2023-06-09,54.11,54.63,53.53,54.11,1705100
2023-06-12,54.03,55.43,53.75,54.38,1833900
2023-06-13,54.67,56.12,54.05,54.93,1719700
2023-06-14,55.51,56.41,53.81,54.23,1541600
2023-06-15,53.77,55.32,53.47,55.23,1509000
2023-06-16,55.35,55.49,54.4,55.04,1989500
2023-06-20,54.55,54.6,53.18,54.11,1491600
2023-06-21,53.82,54.67,52.88,54.18,966100
2023-06-22,54.33,54.33,51.75,52.3,1303100
2023-06-23,51.93,52.38,51.17,51.5,2638800
2023-06-26,51.91,56.72,51.87,56.59,3046400
2023-06-27,56.3,58.14,55.42,57.75,2890400
2023-06-28,57.74,57.85,56.35,56.81,2681300
2023-06-29,56,57.22,55.15,57.1,1972800
2023-06-30,57.76,58.49,56.19,57.59,2123000
2023-07-03,57.48,58.91,57.36,58.44,1011300
2023-07-05,58,59.19,57.05,58.07,1469700
2023-07-06,56.89,57.5,55.44,57.42,1407400
2023-07-07,57.23,60.09,57.22,59.08,2586800
2023-07-10,58.46,59.38,57.95,59.35,1262200
2023-07-11,59.99,61.1,59.26,60.95,1185900
2023-07-12,62.37,63.28,61.02,61.02,2663100
2023-07-13,61.09,62.3,60.68,62.11,1108900
2023-07-14,61.97,62.24,61.12,61.46,1194300
2023-07-17,61.22,61.6,60.55,60.91,1238200
2023-07-18,61.24,62.73,60.93,62.18,1287200
2023-07-19,62.97,64.58,62.79,64.42,1800400
2023-07-20,63.97,64.11,62.5,63.39,2086000
2023-07-21,63.78,64.14,62.47,63.39,1443300
2023-07-24,63.49,65.13,63.44,64.46,1664900
2023-07-25,64.21,64.61,63.25,63.32,1429800
2023-07-26,63.23,65.59,63.23,65.57,1426800
2023-07-27,65.97,66.85,64.54,64.62,1994500
2023-07-28,66.17,66.45,65.36,65.95,1109600
2023-07-31,66.05,67.36,66.04,66.63,4553000
2023-08-01,66.5,66.55,64.42,64.71,2398500
2023-08-02,64.13,67.38,63.55,67.04,2415700
2023-08-03,67.25,67.28,65.49,67.1,1460300
2023-08-04,66.67,69.13,66.5,68.53,1784000
2023-08-07,68.61,69.95,68.61,69.75,1594600
2023-08-08,68.15,68.75,67.24,68.62,1222700
2023-08-09,68.46,68.53,66.58,67.07,1558300
2023-08-10,67.78,68.7,66.95,67.29,1052800
2023-08-11,66.61,68.38,66.21,68.12,812100
2023-08-14,67.17,67.35,66.32,66.68,1051700
2023-08-15,65.46,65.53,64.24,64.48,1842300
2023-08-16,64.1,64.52,63.65,63.86,1178900
2023-08-17,63.97,64.13,63.06,63.06,1419300
2023-08-18,62.37,63.6,61.87,63.3,851200
2023-08-21,63.2,63.2,61.9,62.82,960000
2023-08-22,63.25,63.32,62.44,62.53,994500
2023-08-23,62.84,65.07,62.36,64.6,1320100
2023-08-24,64.5,66.03,64.5,64.76,802300
2023-08-25,65.09,65.49,63.54,64.01,929000
2023-08-28,64.45,66.05,64.45,65.38,1345900
2023-08-29,65.56,67.34,65.02,67.12,1577400
2023-08-30,67,67.69,66.63,67.3,740500
2023-08-31,67.43,67.71,66.53,66.77,2250800
2023-09-01,67.28,67.75,66.51,66.68,1690500
2023-09-05,66.55,67.67,66.36,66.9,1730300
2023-09-06,66.42,67.14,65.1,66.11,1609100
2023-09-07,65.7,66.31,65.07,65.94,1728200
2023-09-08,66.32,66.67,65.44,66.58,992500
2023-09-11,66.7,66.9,65.71,66.16,833700
2023-09-12,65.79,66.24,65.25,65.95,648700
2023-09-13,65.85,66,63.06,63.8,1472500
2023-09-14,64.78,66.53,64.78,66.24,1043300
2023-09-15,66.25,66.75,65.57,66.28,2257500
2023-09-18,66.13,66.23,64.89,65.34,860700
2023-09-19,65.26,66.51,65.26,65.55,865500
2023-09-20,66.49,67.25,65.34,65.56,979100
2023-09-21,64.72,64.82,60.82,60.88,2026600
2023-09-22,60.95,61.28,59.57,60.31,1610400
2023-09-25,59.89,60.48,58.82,59.64,1152900
2023-09-26,58.78,59.46,57.35,57.72,1509900
2023-09-27,57.94,59.35,57.83,58.87,2291900
2023-09-28,58.08,60.08,58.08,59.2,2052000
2023-09-29,60.11,60.43,58.98,59.48,1384700
2023-10-02,59.45,59.79,56.88,57.46,1656900
2023-10-03,57.01,57.22,53.92,54.45,2316000
2023-10-04,54.84,55.19,54.11,54.93,2778500
2023-10-05,54.8,55.13,53.69,54.63,2439600
2023-10-06,53.48,53.92,51.29,53.23,3312400
2023-10-09,52.37,54.56,52.37,54.2,2037800
2023-10-10,54.3,56.04,54.23,55,1835300
2023-10-11,55.64,57.09,55.47,56.99,1475100
2023-10-12,56.69,56.69,55.23,56.2,1061500
2023-10-13,56.62,57.02,55.03,55.44,1168900
2023-10-16,56.18,57.47,55.36,56.76,1327200
2023-10-17,56.06,58.61,56.03,58.16,1250500
2023-10-18,57.2,57.51,56.51,56.59,1016900
2023-10-19,56,56.78,54.53,54.55,1195000
2023-10-20,54.68,55.32,53.82,53.9,1285600
2023-10-23,53.25,53.93,52.84,52.99,923500
2023-10-24,53.44,54.35,53.06,53.82,606100
2023-10-25,53.38,53.78,51.82,52.16,1287100
2023-10-26,52.43,54.05,52.43,53.61,1473500
2023-10-27,54.14,54.14,52.14,52.42,1075000
2023-10-30,53.35,54.52,52.38,53.31,1480600
2023-10-31,54.03,54.19,52.63,53.57,1472400
2023-11-01,53.54,54.11,52.54,53.5,1687200
2023-11-02,54.88,56.65,54.29,55.84,1971800
2023-11-03,57.44,59.91,57.44,58.91,2229300
2023-11-06,58.36,58.87,57.32,57.38,1627100
2023-11-07,57.07,57.22,55.4,55.5,1077900
2023-11-08,55.84,55.91,54.44,54.96,995300
2023-11-09,55.37,55.55,52.11,52.19,1519200
2023-11-10,52.71,52.71,51.69,52.44,2002500
2023-11-13,51.72,52.31,50.64,51.21,1211700
2023-11-14,54.8,57.92,54.67,56.69,3141900
2023-11-15,56.5,59.05,56.5,57.02,2230200
2023-11-16,56.85,57.02,54.91,55.23,1177800
2023-11-17,56.15,56.27,54.85,55.08,1930700
2023-11-20,55.43,55.43,54.37,55.09,1978100
2023-11-21,54.39,54.9,53.26,53.62,1420400
2023-11-22,54.43,54.43,53.69,53.98,1279000
2023-11-24,53.89,54.2,53.35,53.71,520600
2023-11-27,53.31,53.83,52.61,53.46,1235600
2023-11-28,53.3,55.36,52.69,55.26,2258600
2023-11-29,55.82,59.12,55.55,57,2579600
2023-11-30,57.07,57.53,56.28,56.93,2216100
2023-12-01,57.02,63.5,56.47,63.28,3318800
2023-12-04,63.07,64.56,62.57,63.72,1683800
2023-12-05,63.04,63.24,61.12,61.98,1401700
2023-12-06,63,64.65,62.81,63.27,1367700
2023-12-07,63.29,65,63.24,64.61,1130800
2023-12-08,64.14,64.47,63.05,64.08,3591400
2023-12-11,64,64.93,63.34,64.08,2493400
2023-12-12,63.96,63.96,62.5,62.75,1266100
2023-12-13,62.35,68.28,61.87,68.09,2432300
2023-12-14,71.12,73.97,71.12,72.98,3093200
2023-12-15,72.67,72.91,69.73,71.42,2625200
2023-12-18,71.96,71.96,70.13,70.3,1130300
2023-12-19,71,71.74,70.59,71.4,1472800
2023-12-20,71.4,73.37,70.61,70.73,1250700
2023-12-21,71.96,71.96,70.15,71.25,895800
2023-12-22,71.87,72.82,70.16,70.87,807100
2023-12-26,71.13,72.51,70.75,72.06,584400
2023-12-27,72.1,72.14,71.08,71.73,839900
2023-12-28,70.51,71.96,69.96,71.95,844400
2023-12-29,71.64,71.73,70.13,70.17,915400
