Date,Open,High,Low,Close,Volume
2006-01-03,68.76,70.01,68.76,69.93,1860300
2006-01-04,69.72,70.42,69.46,70.02,1692100
2006-01-05,70,70.34,69.59,69.65,1994500
2006-01-06,70.03,70.23,69.24,69.29,1374200
2006-01-09,69.04,71.61,68.97,71.44,2271200
2006-01-10,71.05,71.19,70.33,70.46,1941000
2006-01-11,70.7,70.9,69.91,70.18,1937300
2006-01-12,70.1,70.29,69.81,70.06,824200
2006-01-13,69.8,69.86,69.14,69.67,1406000
2006-01-17,69,69.64,68.4,68.5,1643000
2006-01-18,68.46,69.4,68.4,69.13,1824300
2006-01-19,69.12,69.4,68.02,68.53,1654400
2006-01-20,68.32,68.48,67.75,67.91,1933500
2006-01-23,68.4,69.65,68.36,69.45,2653400
2006-01-24,69.23,70,69.22,69.71,1266400
2006-01-25,69.96,70.71,69.78,70.6,2138600
2006-01-26,70.78,72.2,70.6,71.33,2865900
2006-01-27,75.5,75.5,71.69,73.45,2895800
2006-01-30,73.14,73.2,72.3,72.52,1576000
2006-01-31,72.4,72.47,71.61,72.04,1692200
2006-02-01,71.95,72.68,71.62,72.06,1454300
2006-02-02,72,72,71.05,71.17,1155500
2006-02-03,70.93,71.87,70.84,71.35,1353700
2006-02-06,70.9,70.95,69.46,69.77,1233300
2006-02-07,69.53,70.29,69.36,70.03,1755400
2006-02-08,70.02,70.02,69.37,69.94,1421000
2006-02-09,69.77,69.88,69.15,69.25,1642000
2006-02-10,68.9,69.96,68.84,69.76,1530400
2006-02-13,69.46,70.32,69.42,70.24,798200
2006-02-14,70.42,71.26,69.84,71.13,1420500
2006-02-15,71.15,72.1,70.78,71.93,1146600
2006-02-16,71.4,71.88,70.81,71.88,1064500
2006-02-17,71.5,71.84,70.96,71.75,1447400
2006-02-21,71.56,72.28,71.49,71.82,1192000
2006-02-22,72.15,72.49,72.09,72.25,1213200
2006-02-23,72.25,72.31,71.91,72,946900
2006-02-24,72.05,72.53,71.92,72.39,747700
2006-02-27,72.3,73.64,72.04,73.22,1501700
2006-02-28,72.88,72.88,72.29,72.6,1344200
2006-03-01,72.58,73.17,72.56,73,1168100
2006-03-02,72.6,72.89,72.25,72.61,1258000
2006-03-03,72.21,72.52,71.87,72.1,1241000
2006-03-06,71.92,72,71.25,71.55,1417600
2006-03-07,71.35,72.26,71.2,71.79,1760400
2006-03-08,71.54,71.9,71.19,71.72,1479100
2006-03-09,71.94,72.4,71.69,72.03,1251300
2006-03-10,71.93,72.7,71.9,72.53,1498100
2006-03-13,72.5,72.92,72.1,72.72,1097800
2006-03-14,72.49,73.5,72.35,73.44,1226700
2006-03-15,73.5,74.95,73.5,74.67,2054000
2006-03-16,74.59,75.44,74.21,75.26,1978000
2006-03-17,75.2,75.25,74.74,74.95,2162800
2006-03-20,75.2,75.74,74.76,75.02,1262100
2006-03-21,75.02,75.17,74.29,74.3,1070200
2006-03-22,74.4,74.75,74.11,74.61,1039200
2006-03-23,74.45,74.51,73.67,74.42,1190400
2006-03-24,74.2,74.78,73.94,74.49,862100
2006-03-27,74.39,75,74.05,74.82,1278900
2006-03-28,74.82,75.72,74.58,75.34,1584800
2006-03-29,75.21,75.67,74.73,75.16,1825000
2006-03-30,74.91,75.62,74.5,74.81,1265200
2006-03-31,74.71,75.08,74.27,74.52,1066300
2006-04-03,75,75.4,74.55,74.58,1265000
2006-04-04,74.5,75.05,74.15,74.85,1068700
2006-04-05,74.72,75.19,74.33,74.91,1227900
2006-04-06,74.65,74.65,72.82,73.52,1513500
2006-04-07,73.44,73.77,71.4,71.62,1881600
2006-04-10,71.62,71.79,71.02,71.48,1020900
2006-04-11,71.56,71.81,69.76,70.08,2213700
2006-04-12,70.52,70.9,69.68,70.07,1680700
2006-04-13,69.87,70.53,69.73,70,807800
2006-04-17,69.75,69.99,69.12,69.85,1863500
