Date,Open,High,Low,Close,Volume
2022-01-03,197.27,199.16,195.45,197.28,166200
2022-01-04,197,197.85,194.84,195,215100
2022-01-05,195.65,199.54,193.53,193.55,236800
2022-01-06,193.65,199.31,193.55,197.14,279500
2022-01-07,197.32,198.51,194.83,196.53,183600
2022-01-10,197.09,197.28,194.38,196.78,184800
2022-01-11,196.9,196.99,193.53,196.58,255900
2022-01-12,196.07,197.33,194.31,194.85,244000
2022-01-13,196.42,198.22,194.87,196.1,170800
2022-01-14,196.1,196.1,189.39,191.16,371900
2022-01-18,189.75,190.4,187.04,188.89,158200
2022-01-19,189,190.36,187.82,188.71,242800
2022-01-20,189.7,190.45,184.28,184.75,364900
2022-01-21,183.82,185.68,180.78,181.17,238300
2022-01-24,180.39,190.3,180.39,189.22,270000
2022-01-25,188.93,188.93,183.71,185.01,228700
2022-01-26,185.44,187,181.53,183.56,215400
2022-01-27,184.12,188.22,183.92,185.46,206100
2022-01-28,184.62,187.52,182.61,187.38,320400
2022-01-31,186.11,187.99,183.62,187.81,254700
2022-02-01,187.3,188.7,185,188.52,319000
2022-02-02,188.65,190.46,186.93,189.47,319400
2022-02-03,189.2,191.23,186.66,187.41,147800
2022-02-04,187.18,188.04,182.73,185.79,138600
2022-02-07,186.31,186.61,183.9,184.21,172800
2022-02-08,184.22,187.59,184.05,186.82,144500
2022-02-09,187.11,189.28,186.1,186.77,209200
2022-02-10,185.44,187.96,182.54,182.97,193900
2022-02-11,180.43,185.22,180.43,181.73,277100
2022-02-14,182.01,183.67,180.87,182.62,235100
2022-02-15,183.95,186.47,183.88,185.2,252200
2022-02-16,184.41,185.31,182.1,184.37,145700
2022-02-17,183.86,185.09,182.19,182.23,119600
2022-02-18,182.52,184.92,181.92,184.68,144900
2022-02-22,185.11,185.11,180.89,181.46,165900
2022-02-23,183,185.7,181.73,182.99,233300
2022-02-24,180.41,182.1,176.95,181.43,345400
2022-02-25,181.72,188.12,181.47,186.93,185000
2022-02-28,185.35,188.61,184.87,188.08,357400
2022-03-01,187.82,188.94,185.23,185.51,408400
2022-03-02,185.16,190,184,189.12,299400
2022-03-03,190,192.12,187.76,188.84,209100
2022-03-04,189.28,191.49,186.03,190.41,710700
2022-03-07,189.72,190.67,176.51,177.58,422100
2022-03-08,177.22,179.56,170.82,171.83,689100
2022-03-09,175,187.35,172.5,185.21,585000
2022-03-10,185.09,185.09,178.52,179.15,314300
2022-03-11,181.05,181.05,174.11,174.25,349900
2022-03-14,174.94,180.9,174.05,180.18,520000
2022-03-15,184.02,186.37,180.71,185.35,379200
2022-03-16,187.69,190.33,182.81,186.9,255500
