Date,Shares
2015-12-07,39006600
2016-03-11,39050000
2016-06-27,39135400
2016-06-30,39140000
2016-08-05,39195900
2016-08-10,39200000
2016-09-06,39180100
2016-09-10,39180000
2016-12-10,39190000
2017-03-09,39200000
2017-06-29,38547300
2017-08-04,38237900
2017-09-05,37536100
2018-11-14,36595400
2018-11-15,36595400
2018-11-19,36595400
2018-11-21,36595400
2018-11-22,36595400
2018-11-26,36595400
2018-11-28,36595400
2018-11-29,36595400
2018-12-02,36595400
2018-12-03,36595400
2018-12-04,36595400
2018-12-06,36595400
2018-12-07,36595400
2018-12-10,36595400
2018-12-11,36595400
2018-12-12,36595400
2018-12-14,36595400
2018-12-16,36595400
2018-12-17,36605500
2018-12-19,36605500
2018-12-21,36605500
2018-12-31,36605500
2019-01-05,36605500
2019-01-07,36605500
2019-01-09,36605500
2019-01-10,36605500
2019-01-12,36605500
2019-01-14,36605500
2019-01-16,36605500
2019-01-17,36605500
2019-01-20,36605500
2019-01-22,36605500
2019-01-24,36605500
2019-01-25,36605500
2019-01-26,36605500
2019-01-29,36605500
2019-01-30,36605500
2019-02-04,36605500
2019-02-07,36605500
2019-02-10,36605500
2019-02-11,36605500
2019-02-13,36605500
2019-02-14,36605500
2019-02-15,36605500
2019-02-16,36605500
2019-02-17,36605500
2019-02-19,36605500
2019-02-20,36605500
2019-02-26,36605500
2019-02-28,36605500
2019-03-02,36605500
2019-03-07,36605500
2019-03-08,36605500
2019-03-10,36605500
2019-03-12,36605500
2019-03-14,36630700
2019-03-15,36630700
2019-03-17,36630700
2019-03-18,36630700
2019-03-26,36630700
2019-03-27,36630700
2019-03-29,36630700
2019-03-30,36630700
2019-04-01,36630700
2019-04-05,36630700
2019-04-06,36630700
2019-04-09,36630700
2019-04-14,36630700
2019-04-15,36630700
2019-04-17,36630700
2019-04-19,36630700
2019-04-21,36630700
2019-04-29,36630700
2019-05-02,36630700
2019-05-03,36630700
2019-05-05,36630700
2019-05-06,36630700
2019-05-09,36630700
2019-05-10,36630700
2019-05-12,36630700
2019-05-13,36630700
2019-05-19,36630700
2019-05-21,36630700
2019-05-22,36630700
2019-05-24,36630700
2019-05-28,36630700
2019-06-01,36630700
2019-06-03,36630700
2019-06-05,36630700
2019-06-07,36630700
2019-06-10,36630700
2019-06-11,36630700
2019-06-17,36630700
2019-06-18,36630700
2019-06-19,36630700
2019-06-20,36630700
2019-06-21,36630700
2019-06-22,36630700
2019-06-23,36630700
2019-06-24,36630700
2019-06-27,36630700
2019-07-02,36763600
2019-07-04,36334400
2019-07-06,36763600
2019-07-29,36767600
2019-08-09,37231900
2019-08-10,36767600
2019-08-21,36682100
2019-08-22,36840500
2019-08-23,36767600
2019-08-30,36523500
2019-09-02,37361300
2019-09-03,36767600
2019-09-07,36262100
2019-09-09,36446300
2019-09-11,36192200
2019-09-12,36767600
2019-09-13,37478400
2019-09-14,36767600
2019-09-20,37140800
2019-09-21,36767600
2019-09-25,36429900
2019-09-26,36767600
2019-09-27,36042800
2019-09-28,36767600
2019-10-05,36583000
2019-10-09,36767600
2019-10-23,36767600
2019-11-05,36390500
2019-11-07,36767600
2019-11-08,35617800
2019-11-09,36767600
2019-11-14,36989500
2019-11-15,36964400
2019-11-16,36767600
2019-11-21,36767600
2019-12-06,36719000
2019-12-07,36767600
2019-12-12,36791600
2019-12-18,37216500
2019-12-19,36791600
2020-01-08,36382200
2020-01-09,36052000
2020-01-10,36542800
2020-01-13,37057900
2020-02-07,36836700
2020-02-08,36791600
