Date,Open,High,Low,Close,Volume
2025-01-02,132.02,132.2,128.78,129.9,1229800
2025-01-03,130.19,131.88,129.47,131.5,1155800
2025-01-06,131.55,133.92,131.38,132.39,1546000
2025-01-07,132.56,133.57,128.34,128.64,1658900
2025-01-08,128.65,130,127.44,129.78,1593900
2025-01-10,127,127.37,120.26,123.67,2800700
2025-01-13,123,123.65,121.24,123.56,1930100
2025-01-14,126.69,127.14,124.19,124.91,1527800
2025-01-15,131.88,132.8,130.29,131.3,2118200
2025-01-16,131,135.44,130.76,134.75,1660700
2025-01-17,135.71,137.25,134.41,136.91,2146100
2025-01-21,138.83,141.13,138.5,140.94,2028000
2025-01-22,140.46,141.25,138.92,139.44,2219900
2025-01-23,139.21,141.35,138.74,141.02,1668300
2025-01-24,139.95,141.77,138.31,141.13,1554900
2025-01-27,140.55,143.57,140.28,143.12,1522300
2025-01-28,142.87,143.69,142.03,142.6,1960200
2025-01-29,143.09,143.73,141.36,141.64,2568900
2025-01-30,144.08,146.83,142.64,144.65,2046500
2025-01-31,144.67,147.1,144.38,144.74,2540600
2025-02-03,142.19,143.69,139.83,142.57,1848100
2025-02-04,142.31,144.32,141.77,143.87,1517700
2025-02-05,145.35,147.44,144,147.13,1675000
2025-02-06,147.4,147.75,143.21,144.58,1982000
2025-02-07,144.22,145.27,142.74,142.77,1227700
2025-02-10,143.56,145.35,142.15,143.86,2164900
2025-02-11,142.5,143.37,141,141.79,1321200
2025-02-12,138.65,141.24,137.51,140.65,1963400
2025-02-13,136.04,144.31,136.04,143.13,3002600
2025-02-14,142.6,145.59,140.77,143.73,2078200
2025-02-18,143.4,144.49,141.19,143.8,1750800
2025-02-19,143.43,143.9,140.54,143.68,1470400
2025-02-20,143.79,143.79,140.52,141.67,1514400
2025-02-21,141.59,141.87,135.19,135.78,1481100
2025-02-24,137.16,139.21,136.15,137.89,1915600
2025-02-25,139,140.21,137.7,138.7,2710300
2025-02-26,139.13,141.33,138.42,140.68,1714700
2025-02-27,140.64,142.5,139.08,139.78,1589000
2025-02-28,141.17,141.95,139.59,141.94,1968700
2025-03-03,141.5,142.83,139.49,140.62,1357300
2025-03-04,139.81,141.29,136.21,139.59,2386900
2025-03-05,138.58,142.92,138.07,142.3,2144400
2025-03-06,140.3,140.67,133.25,133.66,1955700
2025-03-07,134,134.14,127,130.46,2611300
2025-03-10,128.87,129.24,124.53,125.92,2640300
2025-03-11,126.31,128.02,124.16,125.83,2811500
2025-03-12,128.74,129.29,127,127.24,2288000
2025-03-13,126.56,127.64,121,121.79,2063100
2025-03-14,123.47,125.63,121.85,125.58,2107700
2025-03-17,125.69,129.49,125.28,128.7,1521800
2025-03-18,127.11,128.73,125.83,126.31,1734000
2025-03-19,126.98,129.66,126.12,128.73,2341100
2025-03-20,127.88,131.59,127.31,130.13,1428600
2025-03-21,128.74,129.94,126.87,129.78,3452500
2025-03-24,132.25,134.48,131.11,133.87,1269000
2025-03-25,133.82,135.33,132.47,133.77,1362400
2025-03-26,134.19,135.17,132.2,132.62,1063400
2025-03-27,132.26,133.58,130.61,131.52,1779000
2025-03-28,131.66,133.22,128.59,129.46,1218800
2025-03-31,127.7,131.46,127.08,130.78,2424200
2025-04-01,131.25,131.72,128.29,131.01,1445100
2025-04-02,128.94,133.71,128.94,133.29,1176900
2025-04-03,129.09,130.86,123.6,123.84,2680100
2025-04-04,118.3,120.88,114.46,118.08,2543400
2025-04-07,116.02,121.79,112.52,117.15,2881400
2025-04-08,121.45,123.03,111.59,113.94,2687100
2025-04-09,110.49,122.24,108.45,121.27,4838900
2025-04-10,118.14,119,113.25,116.65,2613300
2025-04-11,115.72,117.17,112.54,115.95,2605800
2025-04-14,118.49,119.67,116.49,119.01,1838900
2025-04-15,119.37,120.64,118.43,118.68,1662800
2025-04-16,117.76,119.56,115.54,117.21,1902300
2025-04-17,116.82,119.33,116.48,117.62,1963000
2025-04-21,116.63,117.15,113.74,115.56,2845700
2025-04-22,117.3,118.69,116.52,118.19,1634300
