Date,Open,High,Low,Close,Volume
2022-01-03,55.91,56.43,55.73,56.33,764800
2022-01-04,56.52,56.89,56.28,56.33,1029400
2022-01-05,56.29,58.02,56.28,57.46,1235700
2022-01-06,57.57,58.3,57.49,57.8,1015100
2022-01-07,57.5,58.16,57.28,57.83,936600
2022-01-10,57.77,58.14,57.3,57.84,919900
2022-01-11,57.77,58.73,57.43,58.57,733100
2022-01-12,58.57,59,58.28,58.59,1278700
2022-01-13,58.49,59.86,58.45,59.65,1049800
2022-01-14,58.87,59.76,58.75,59.66,659900
2022-01-18,58.73,59.59,58.28,58.45,1102500
2022-01-19,58.58,58.95,57.82,58.26,653800
2022-01-20,58.27,58.93,58.02,58.18,1118900
2022-01-21,58.05,58.46,56.55,56.7,766300
2022-01-24,55.66,57.01,54.62,56.86,1029800
2022-01-25,56.03,56.8,54.81,56.34,1272300
2022-01-26,56.76,57.98,56.47,56.95,1549800
2022-01-27,57.41,58.18,55.67,55.7,1157300
2022-01-28,55.93,56.73,55.21,56.73,1062400
2022-01-31,56.33,57.38,56.28,57.15,898700
2022-02-01,57.72,58.46,56.73,58.31,1378400
2022-02-02,58.59,59.19,58.15,58.27,1055400
2022-02-03,58.31,58.43,57.74,57.95,582700
2022-02-04,57.55,57.81,56.56,57.12,609800
2022-02-07,57.32,57.86,56.81,57.53,1259000
2022-02-08,58.01,58.13,57.31,57.72,722500
2022-02-09,58.08,59,57.93,58.96,1032600
2022-02-10,58.49,59.72,58.05,58.44,1492200
2022-02-11,58.15,58.78,56.96,57.09,1100700
2022-02-14,56.82,57.6,56.53,56.98,1167700
2022-02-15,57.62,58.08,56.97,57.24,2272800
2022-02-16,55.48,57.49,55.48,56.44,2397500
2022-02-17,56.09,56.21,55.23,55.76,998800
2022-02-18,55.5,56.01,55.27,55.4,829900
2022-02-22,54.61,54.93,54.01,54.16,1159800
2022-02-23,54.46,54.54,52.85,52.97,1081300
2022-02-24,50.67,51.66,50.09,51.6,1826300
2022-02-25,51.81,53.64,51.8,53.54,953200
2022-02-28,52.07,52.45,50.62,51.21,1557700
2022-03-01,50.87,50.87,48.25,48.47,1615300
2022-03-02,48.71,50.68,48.32,50.26,1620500
2022-03-03,50.25,51.05,50.01,51.01,2268600
2022-03-04,49.03,49.16,44.63,46.02,4052500
2022-03-07,46.52,46.59,42.33,42.86,3307800
2022-03-08,44.3,45.47,42.69,44.06,3760900
2022-03-09,46.49,47.54,45.98,47.27,1969900
2022-03-10,46.01,46.71,44.91,45.42,1385100
2022-03-11,45.94,46.41,45.28,45.61,1218500
2022-03-14,46.21,47.96,46.2,46.54,1406600
2022-03-15,47.23,47.87,46.66,47.03,1114600
2022-03-16,48.12,49.96,47.99,49.23,2135000
2022-03-17,49.55,50.03,48.81,49.19,1092400
2022-03-18,48.97,50,48.78,49.71,1419800
2022-03-21,49.68,50.01,49.2,49.59,764600
2022-03-22,49.7,50.21,49.35,49.71,814700
2022-03-23,49.11,49.62,48.05,48.09,993700
2022-03-24,48.21,48.88,47.64,48.55,1473400
2022-03-25,48.55,48.94,48.33,48.47,988700
2022-03-28,48.64,48.8,47.93,48.7,1321000
2022-03-29,50.72,51.28,50.21,50.51,1118800
2022-03-30,50.31,50.32,48.66,48.86,1217700
2022-03-31,49.05,49.58,48.6,48.61,1072500
2022-04-01,49.05,50,48.92,49.84,935400
2022-04-04,49.26,49.26,48.03,48.97,1011200
2022-04-05,49.01,49.46,48.69,48.8,895800
2022-04-06,48.33,48.76,47.4,48.54,907400
2022-04-07,48.42,48.42,47.64,48.06,988300
2022-04-08,48,48.55,47.58,48.07,1469900
2022-04-11,47.89,48.66,47.45,47.58,821600
2022-04-12,47.62,48.45,47.44,47.94,1012400
