Date,Shares
2018-11-12,474540992
2018-11-14,474540992
2018-11-15,474540992
2018-11-19,475372992
2018-11-21,475372992
2018-11-22,475372992
2018-11-26,478616000
2018-11-28,478616000
2018-11-29,478616000
2018-12-02,478616000
2018-12-03,472800992
2018-12-04,472800992
2018-12-06,472800992
2018-12-07,472800992
2018-12-09,483520000
2018-12-10,483520000
2018-12-11,483520000
2018-12-12,483520000
2018-12-14,483520000
2018-12-16,483520000
2018-12-17,480723008
2018-12-19,480723008
2018-12-21,476380992
2018-12-30,477523008
2019-01-05,477523008
2019-01-07,474779008
2019-01-09,474779008
2019-01-10,471016992
2019-01-12,471016992
2019-01-14,468062016
2019-01-16,468062016
2019-01-17,466376992
2019-01-20,466376992
2019-01-22,476712992
2019-01-24,476712992
2019-01-25,476712992
2019-01-26,476712992
2019-01-28,478686016
2019-01-30,478686016
2019-02-04,472112992
2019-02-07,472112992
2019-02-10,477222016
2019-02-11,477222016
2019-02-13,482855008
2019-02-14,482855008
2019-02-15,475948000
2019-02-18,483566016
2019-02-20,485232000
2019-03-01,475283008
2019-03-07,470428000
2019-03-09,470428000
2019-03-11,475764000
2019-03-15,474267008
2019-03-18,475222016
2019-03-26,474455008
2019-03-27,474455008
2019-03-29,475008992
2019-03-30,475008992
2019-04-01,469667008
2019-04-05,469935008
2019-04-06,469935008
2019-04-09,470468000
2019-04-14,466575008
2019-04-15,466575008
2019-04-17,468447008
2019-04-19,468447008
2019-04-21,468148992
2019-04-29,474838016
2019-05-02,470540992
2019-05-05,469980992
2019-05-06,469980992
2019-05-09,471542016
2019-05-10,471542016
2019-05-12,461280992
2019-05-13,461280992
2019-05-20,473222016
2019-05-21,473222016
2019-05-22,473775008
2019-05-24,473775008
2019-06-01,467140000
2019-06-03,471832000
2019-06-05,465328992
2019-06-07,465328992
2019-06-10,466535008
2019-06-11,462008000
2019-06-17,466612992
2019-06-18,466612992
2019-06-19,472564992
2019-06-20,472564992
2019-06-21,467560000
2019-06-22,467560000
2019-06-23,443598016
2019-06-24,443598016
2019-06-27,477816992
2019-06-28,466335008
2019-07-01,458868000
2019-07-02,457411008
2019-07-03,463136992
2019-07-04,456976992
2019-07-06,465571008
2019-07-11,469550016
2019-07-12,468825984
2019-07-15,464064000
2019-07-16,465424992
2019-07-17,470792000
2019-07-18,472161984
2019-07-19,465392992
2019-07-22,472732000
2019-07-23,463660000
2019-07-24,467411008
2019-07-25,471571008
2019-07-26,467438016
2019-07-29,465854016
2019-07-30,465016992
2019-07-31,471068000
2019-08-01,473601984
2019-08-02,474841984
2019-08-09,466299008
2019-08-10,459880000
2019-08-12,469604992
2019-08-13,467652992
2019-08-15,473868000
2019-08-16,469912992
2019-08-19,464552000
2019-08-21,468881984
2019-08-22,466547008
2019-08-23,464537984
2019-08-24,468780000
2019-08-26,470212000
2019-08-27,465148000
2019-08-28,464086016
2019-08-29,464488000
2019-08-30,461835008
2019-09-02,459376000
2019-09-03,462950016
2019-09-07,468100992
2019-09-09,468606016
2019-09-11,462843008
2019-09-12,464336000
2019-09-13,456744000
2019-09-14,458350016
2019-09-16,467636992
2019-09-17,471264992
2019-09-18,464351008
2019-09-19,464416000
2019-09-20,469744000
2019-09-21,466476992
2019-09-23,468233984
2019-09-25,463222016
2019-09-26,467736992
2019-09-27,463999008
2019-09-28,463283008
2019-09-30,465676992
2019-10-01,464407008
2019-10-02,457817984
2019-10-03,463664000
2019-10-05,460737984
2019-10-09,465233984
2019-10-10,464691008
2019-10-11,458022016
2019-10-14,458251008
2019-10-15,455751008
2019-10-16,460535008
2019-10-17,458732992
2019-10-21,456564000
2019-10-23,464056000
2019-10-24,461347008
2019-10-25,469984992
2019-10-28,460404992
2019-10-29,464129984
2019-10-30,461316000
2019-10-31,459880992
2019-11-01,460863008
2019-11-05,457952992
2019-11-06,479502016
2019-11-07,467339008
2019-11-08,459380000
2019-11-09,461984992
2019-11-11,460387008
2019-11-12,453368000
2019-11-13,458856000
2019-11-14,461092000
2019-11-15,458468992
2019-11-16,456620992
2019-11-18,458912000
2019-11-20,460494016
