Date,Open,High,Low,Close,Volume
2020-01-02,142.33,142.66,141.13,141.68,1795500
2020-01-03,140.85,142.7,140.1,142.46,1254500
2020-01-06,142.14,142.68,141.25,141.26,1631100
2020-01-07,141,141.42,138.16,138.87,1667200
2020-01-08,139.01,139.91,138.59,139.45,2644600
2020-01-09,139.2,140.77,139.17,140.25,1534400
2020-01-10,140.4,142.56,140.2,142.4,2760400
2020-01-13,142.92,143.85,142.65,143.29,1743200
2020-01-14,142.95,143.48,141.05,141.95,1667100
2020-01-15,142.16,144.44,142.12,144.05,1431600
2020-01-16,144.4,145.25,143.77,145.23,1505500
2020-01-17,145.51,146.21,144.42,145.25,2070000
2020-01-21,145.32,148.34,145.12,148.21,1650500
2020-01-22,149.01,149.2,147.98,148.69,1920100
2020-01-23,149.13,150.21,148,149.78,1246800
2020-01-24,150,150.71,149.26,149.9,868100
2020-01-27,149.33,150.41,148.59,150.3,1363900
2020-01-28,150.15,151.78,149.73,151.73,1539100
2020-01-29,151.8,151.97,148.91,149.05,1519400
2020-01-30,148.63,151.24,148.58,151.13,968300
2020-01-31,151.06,151.79,148.72,149.84,1293900
2020-02-03,150.68,150.93,148.94,149.19,1225000
2020-02-04,149.63,151.86,148.9,150.45,1264700
2020-02-05,150.27,150.76,149.31,149.96,1257900
2020-02-06,150.13,151.21,149.41,150.5,1005100
2020-02-07,151.06,151.06,150.43,150.49,1119300
2020-02-10,151.06,153,150.89,152.92,1583600
2020-02-11,154.34,163.51,153.37,161.03,3488200
2020-02-12,160.83,163.44,158.8,163.21,1969900
2020-02-13,163.06,164.22,162.33,163.92,1202800
2020-02-14,164.47,166.4,164.01,165.97,1424600
2020-02-18,166.05,166.26,164.88,166.21,1275300
2020-02-19,166.27,166.85,164.52,165.6,1211500
2020-02-20,165.87,167.94,165.41,166.99,2180300
2020-02-21,166.66,168.75,165.91,168.06,3006000
2020-02-24,165.35,168.49,163.5,166.36,2092400
2020-02-25,167.05,167.92,162.43,163.02,2038500
2020-02-26,163.74,165.17,162.33,162.69,2293700
2020-02-27,148.74,156.25,147,148.4,5822200
2020-02-28,145.13,147.97,140.71,143.29,6204100
2020-03-02,143.93,156.52,143.82,156.24,4077800
2020-03-03,156.83,162.49,155.67,158.13,4248500
2020-03-04,160.62,164.22,158.45,163.56,2384700
2020-03-05,160.81,164.12,160.1,162.24,2513900
2020-03-06,159.26,161.59,154.73,160.82,3109400
2020-03-09,152.98,155.26,148.82,150.28,3291300
2020-03-10,153.61,159.43,148.64,159.35,2944400
2020-03-11,155.08,156.11,151.29,153.85,3287100
2020-03-12,143.19,150.35,132.69,142.51,3854100
2020-03-13,149.63,158,143.17,155.09,3769000
2020-03-16,138.93,147.36,135.03,135.82,3833900
2020-03-17,138.7,153.26,138.21,146.87,4441300
2020-03-18,141.16,148.68,131.11,138.31,4357000
2020-03-19,137.91,138.12,127.25,130.75,4548200
2020-03-20,129.31,136.5,125.6,128.06,5346100
2020-03-23,126.8,128.69,115.65,116.98,4029300
2020-03-24,121.83,124.4,114.18,123.71,4397100
2020-03-25,122.97,134.98,121.67,127.96,3121700
2020-03-26,128,143.74,128,142.47,4092400
2020-03-27,139.42,141.8,135.17,136.89,3220000
2020-03-30,140.5,148.66,139.3,148.06,2934600
2020-03-31,145.95,147.81,141.79,144.4,3078400
2020-04-01,137.67,140.23,133.8,137.59,2519000
2020-04-02,137.5,146.97,136.06,146.37,3240000
2020-04-03,144.85,147.53,142.61,145.62,2117600
2020-04-06,148.39,150,144.74,148.75,3275700
2020-04-07,153.55,154.48,146.3,146.54,2645600
2020-04-08,148,158.03,146.79,157.36,2153800
2020-04-09,158.26,164.77,157.82,164.14,4349400
2020-04-13,163.19,163.57,156.32,157.05,1725500
2020-04-14,160.29,165.9,159.14,165.78,2460700
2020-04-15,166.02,166.31,161.48,162.46,2697900
2020-04-16,164.44,165.03,160.95,161.8,2038600
2020-04-17,165.23,167.83,163.77,167.05,2058900
2020-04-20,165.26,166.52,162.4,162.42,1883500
2020-04-21,160.17,160.9,158.15,159.67,2103500
2020-04-22,161.86,165.19,161.55,163.17,1649400
2020-04-23,162.74,163.78,159.73,160.55,1537200
2020-04-24,161.61,162.25,158.53,161.61,1475000
2020-04-27,163,164.72,161.97,163.8,1626500
2020-04-28,163.03,166,160.95,161.26,2059900
2020-04-29,163.41,163.48,155.06,155.44,3280000
2020-04-30,150.6,159.9,150.6,159.43,3669500
2020-05-01,156.98,158,155.08,156.41,1553200
2020-05-04,157.15,157.8,152.29,157.73,1803800
2020-05-05,157.59,159.98,157.39,158.68,1174900
2020-05-06,159.19,159.94,154.98,154.99,1581600
2020-05-07,156.32,157.93,154.44,154.69,2337300
2020-05-08,157.32,158.24,155.84,157.7,1370000
2020-05-11,155.83,160.83,155.57,159.79,2017700
2020-05-12,159.98,160.25,151.71,154.22,1961200
2020-05-13,154.16,158.56,152.56,153.19,2143700
2020-05-14,152.76,152.81,149.52,152.04,1718500
2020-05-15,151.43,152.7,147.56,150.14,2593900
2020-05-18,153.25,157.45,152.97,156.4,2565900
2020-05-19,155.7,156.02,152.5,152.56,1349800
2020-05-20,153.52,154.19,151.36,152.36,1816900
2020-05-21,152.2,152.76,148.38,150.83,2254200
2020-05-22,151.55,156.88,149.95,156.2,1874000
2020-05-26,160.82,161.17,156.8,159.59,2657200
2020-05-27,159.84,163.07,158.09,163.06,1690800
2020-05-28,165.03,169.2,163.96,168.79,2437000
2020-05-29,168.12,172.54,166.56,172.16,3286300
2020-06-01,171.74,175.62,169.6,173.77,2907100
2020-06-02,174.92,175.95,172.15,174.55,3183300
2020-06-03,176.56,176.85,173.93,174.56,1917600
2020-06-04,173.53,174.28,166.11,167.65,1941800
2020-06-05,169.74,170.55,166.51,168.6,3265800
2020-06-08,168,173.17,168,172.83,1958300
2020-06-09,172.36,176.61,172.08,174.34,1717800
2020-06-10,174.22,175.74,171.68,174.09,1858300
2020-06-11,170.05,171.62,160.47,160.72,3072000
2020-06-12,164.79,165.7,162.5,164.37,1941300
2020-06-15,161.34,167.83,161.2,167.57,3733600
2020-06-16,172,172,166.65,169.59,2053000
2020-06-17,171.36,172.24,169.37,169.45,2422700
2020-06-18,168.17,168.88,164.33,165.25,1982300
2020-06-19,167.36,170.79,165.32,170.45,5207000
2020-06-22,169.48,170,165.27,166.34,2747500
2020-06-23,167.12,167.78,165.35,165.53,1727400
2020-06-24,164,165.84,159.15,162.1,2054600
2020-06-25,162.24,164.89,160.76,164.72,1302600
2020-06-26,164.41,164.83,160.68,161.33,2750500
2020-06-29,163.19,163.49,160.67,162.3,1402700
2020-06-30,162.94,167.99,162.84,167.35,2003100
2020-07-01,167.93,173.09,167.21,171.89,1780600
2020-07-02,173.72,174,169.69,170.72,2253800
2020-07-06,178.61,180,172.37,174.3,3263000
2020-07-07,171.96,173.95,171.2,171.51,1705000
2020-07-08,172.1,173.52,169.68,171.41,2282800
2020-07-09,170.89,172.25,168.98,171.65,1435300
2020-07-10,171.97,172.96,169.86,171.5,2070000
2020-07-13,171.28,171.88,166.04,166.91,2245400
2020-07-14,168,169.84,165.68,169.35,2534200
2020-07-15,171.14,171.62,167.34,168,1797100
2020-07-16,166.96,168.02,164.6,165.74,1623900
2020-07-17,166.74,170.15,165.64,168.96,1403400
2020-07-20,177.28,177.28,170.09,170.16,3817800
2020-07-21,171.5,171.5,166.68,167.53,2411100
2020-07-22,166.92,169.51,166.51,168.06,1368300
2020-07-23,167.54,168.79,164.72,166.76,1730700
2020-07-24,166.41,167.83,165.73,166.7,1498100
2020-07-27,167,169.19,166.34,168.44,1603200
2020-07-28,168.12,172.92,168.1,171.78,2070300
2020-07-29,172.93,175.15,172.1,173.87,2469800
2020-07-30,168.95,170.7,167.1,170.21,2780900
2020-07-31,170.21,170.21,170.21,170.21,0
2020-08-03,165.93,166.05,162,164.1,2799700
2020-08-04,164.4,167.77,164.15,165.88,2300200
2020-08-05,166.37,166.57,163.73,164.52,1713500
2020-08-06,164.01,165.29,163.43,163.87,1513600
2020-08-07,163.91,169.36,163.8,168.19,1633400
2020-08-10,168.06,168.23,164.92,166.18,2287500
2020-08-11,167.17,167.3,161.4,161.79,1865200
2020-08-12,162.99,166.16,162.62,165.2,1098600
2020-08-13,164.7,165.39,163.6,164.36,1309700
2020-08-14,164.34,165.88,163.63,164.63,1435300
2020-08-17,164.76,166.32,164.41,166.06,1182100
2020-08-18,165.73,168.21,165.34,166,1071200
2020-08-19,167.13,167.41,162.28,162.64,1486900
2020-08-20,160,163.75,160,162.88,1261400
2020-08-21,163.5,163.62,161.43,163.17,1077600
2020-08-24,163.1,163.1,159,161.01,1144700
2020-08-25,161.06,161.6,159.69,160.69,1443600
2020-08-26,160,161.42,158.89,160.97,1828100
2020-08-27,161.5,163.61,161.38,163.42,1858900
2020-08-28,163.3,164.04,161.7,163.79,1781200
2020-08-31,163.11,164.03,162.53,163.25,1386400
2020-09-01,162.51,163.04,160.36,162.1,1148600
2020-09-02,161.16,166.72,160.51,166.28,2362600
2020-09-03,166.36,166.82,160.58,161.71,1749100
2020-09-04,161.28,162.27,157,160.59,1943200
2020-09-08,159.81,161.44,157.62,158.5,2921300
2020-09-09,159.91,163.53,159.74,161.29,1743100
2020-09-10,160.67,161.09,158.65,158.76,1892000
2020-09-11,159.38,160.3,157.76,158.59,1267100
2020-09-14,158.24,160.86,158.22,160.16,1390100
2020-09-15,160.51,165.1,160.31,163.46,2093600
2020-09-16,164.94,167.79,164.16,166.17,1598600
2020-09-17,164.51,165.55,161.39,162.65,1819900
2020-09-18,162.23,162.62,158.92,159.68,3016300
2020-09-21,159.01,159.5,156.07,157.58,2017400
2020-09-22,157.1,160.89,157.05,159.98,2203100
2020-09-23,158.6,158.99,155.01,155.62,2495500
2020-09-24,156.53,159.26,155.65,157.4,2292200
2020-09-25,156.4,161.86,156.12,161.71,1827100
2020-09-28,163.89,164.75,161.83,163.59,1843900
2020-09-29,163.21,164.5,162.38,164.18,1552600
2020-09-30,164.8,167,164.35,166.5,2341600
2020-10-01,166.75,168.3,164.93,168.01,1693200
2020-10-02,166.91,169.3,166.1,168.62,2275700
2020-10-05,168.62,169,165.28,168.66,1450200
2020-10-06,168.75,168.75,164.44,165.09,2010000
2020-10-07,166.2,166.5,164.18,164.92,1514400
2020-10-08,165.75,169.31,165.34,165.78,1329000
2020-10-09,166.6,167.63,164.88,167.36,1010400
2020-10-12,168.23,168.5,166.52,168.23,1029700
