Date,Open,High,Low,Close,Volume
2021-01-04,136.89,138.31,133.51,135.76,2502000
2021-01-05,136.74,137.33,135,136.14,1634100
2021-01-06,132.34,133.41,129.91,130.64,2299200
2021-01-07,132.14,137.49,131.74,137.05,1639700
2021-01-08,136.95,138.54,134.1,136.19,2049400
2021-01-11,133.89,136.31,132.83,134.69,2332800
2021-01-12,135.05,135.05,132.63,133.72,1338600
2021-01-13,134.06,135.17,132.16,134.12,1155300
2021-01-14,134.38,136.02,133.82,135.4,1490800
2021-01-15,134.41,136.15,132.93,134.64,1126800
2021-01-19,135.83,137.98,134.85,137.62,947400
2021-01-20,138.29,142.11,138.29,140.1,1432900
2021-01-21,140.95,141.25,138.2,138.62,1196400
2021-01-22,139.08,140.4,137.04,137.42,1402500
2021-01-25,138.81,139.4,134.31,135.9,1229500
2021-01-26,135.77,135.97,133.53,133.83,960700
2021-01-27,132,133.96,127.56,128.43,2085200
2021-01-28,129.79,135.07,129.55,132.95,1549400
2021-01-29,132.51,133.15,130.04,130.39,1859500
2021-02-01,131.98,134.98,130.98,134.4,1430000
2021-02-02,135.33,136.46,134.82,135.72,1442100
2021-02-03,136,136.32,134.07,134.82,1538700
2021-02-04,135.22,137.25,134.87,137.1,1332300
2021-02-05,137.57,138.95,135.52,135.8,1802600
2021-02-08,137.17,138.43,136.66,137.58,1248400
2021-02-09,137.56,139.87,137.02,139.49,888200
2021-02-10,140.2,140.97,137.52,137.86,1116100
2021-02-11,139.53,144.06,138.81,143.97,1131800
2021-02-12,143.52,145.92,142.63,145.68,1152700
2021-02-16,148.37,149.08,145.66,145.99,1309500
2021-02-17,145.12,145.33,140.08,141.78,1123100
2021-02-18,140.2,140.91,137.67,139.53,1723300
2021-02-19,141.22,142.33,139.6,139.66,1579500
2021-02-22,138.92,138.93,132.92,133.16,2091600
2021-02-23,135.54,135.89,128.49,132.6,3075700
2021-02-24,131.6,140.2,129.81,139.42,3097300
2021-02-25,138.43,142.64,137.28,138.02,3037600
2021-02-26,139.06,143.32,137.74,141.09,2526000
2021-03-01,143.23,147.6,142.13,147.44,2043700
2021-03-02,147.66,147.98,141.08,142.15,2813600
2021-03-03,141.17,141.7,133.69,133.74,2497300
2021-03-04,133.96,134.81,127.27,128.81,2715200
2021-03-05,130.81,130.81,122.62,126.69,3755400
2021-03-08,125.07,125.86,119.65,119.68,3490400
2021-03-09,123.7,128.68,123.27,127.3,2365100
2021-03-10,128.97,130.54,126.69,126.88,2048300
2021-03-11,129.14,132.18,129.14,130.13,2582200
2021-03-12,127.05,127.15,124.61,125.74,1760600
2021-03-15,125.62,129.46,124.44,129.39,1240700
2021-03-16,130.31,132.61,129.09,129.39,1206000
2021-03-17,127.81,130.09,125.27,128.49,1473900
2021-03-18,125.46,126.94,123.42,124.03,1755400
2021-03-19,124.55,126.52,122.75,125.48,2593300
2021-03-22,126.3,129.9,126.3,127.97,1347900
2021-03-23,128.3,129.83,127.85,128.25,1517600
2021-03-24,128.98,129.29,126.08,126.97,1778300
2021-03-25,126.65,127.15,123.76,125.67,1735000
2021-03-26,126.08,132.74,126.06,132.58,2347400
2021-03-29,132.15,133.9,130.3,132.75,1956200
2021-03-30,131.65,132.43,128.37,130.87,1579700
2021-03-31,132.39,138.09,132.19,136.99,2619600
2021-04-01,138.46,142.78,138.41,141.49,1887800
2021-04-05,142,146.06,141.64,145.87,1828600
2021-04-06,144.23,145.47,142.4,143.46,1883000
2021-04-07,142.43,143.53,141.55,142.56,976100
2021-04-08,144.45,145.81,143.68,145.46,1190900
2021-04-09,144.98,146,144.12,145.35,1310900
2021-04-12,144.54,144.99,143.28,144.79,1120100
