Date,Open,High,Low,Close,Volume
2023-01-03,80.75,82.09,80.34,82.02,1566400
2023-01-04,82.08,83.07,81.75,82.79,1562200
2023-01-05,82.44,82.77,81.61,81.98,915300
2023-01-06,82.8,84,82.55,83.59,902700
2023-01-09,83.33,83.74,82.21,82.25,1626100
2023-01-10,82.34,82.72,81.04,81.29,1018000
2023-01-11,81.69,81.97,80.87,81.72,1054200
2023-01-12,81.85,81.96,80.9,81.39,1155500
2023-01-13,81.21,82,81.13,81.91,778200
2023-01-17,84.94,86.04,84.47,84.72,2686600
2023-01-18,84.38,84.67,82.05,82.06,1381000
2023-01-19,81.2,81.66,80.54,80.55,1283000
2023-01-20,80.43,83.26,79.55,83.2,1506500
2023-01-23,83.31,83.79,82.69,83.42,1009900
2023-01-24,83.41,83.96,82.27,82.72,1090300
2023-01-25,81.83,82.4,80.62,82.12,1134300
2023-01-26,81.91,82.23,80.84,81.29,845000
2023-01-27,80.74,81.08,78.63,79.55,2374100
2023-01-30,79.72,80.96,79.43,80.59,1599200
2023-01-31,80.78,81.06,80.15,80.86,2090800
2023-02-01,80.73,81.71,80.07,81.4,2051800
2023-02-02,80.77,80.95,79.34,79.81,1810000
2023-02-03,79.4,84.4,79.4,82.9,2290300
2023-02-06,84.51,84.85,82.47,83.29,2026800
2023-02-07,82.72,83.33,82.1,82.94,1590200
2023-02-08,82.63,83.9,82.4,83.24,1313300
2023-02-09,83.67,84.11,81.94,81.99,1256300
2023-02-10,82.08,83.22,81.79,82.89,1290700
2023-02-13,82.21,83.7,82.21,83.39,1529800
2023-02-14,83.85,83.85,82.27,82.79,692000
2023-02-15,82.69,83.72,82.26,83.46,841200
2023-02-16,82.69,83.02,81.92,82.79,1439500
2023-02-17,82.88,83.79,82.23,83.78,1816400
2023-02-21,83.44,84.33,83.24,83.99,1341000
2023-02-22,84.41,85.09,83.85,84.08,1421400
2023-02-23,83.93,84.34,83.25,84.02,1233500
2023-02-24,83.54,83.92,83.12,83.57,1445400
2023-02-27,83.86,84.27,83.58,83.88,1071800
2023-02-28,83.29,84,83.19,83.78,1439100
2023-03-01,83.47,83.53,82.41,83.13,1320100
2023-03-02,83.21,84.56,83.21,84.48,1046900
2023-03-03,84.67,84.79,83.86,84.22,1179500
2023-03-06,84,84.4,83.47,83.6,1496600
2023-03-07,83.58,84.14,83.08,83.67,1578800
2023-03-08,83.67,83.69,82.82,83.65,1393400
2023-03-09,84.07,84.58,83.25,83.63,1073600
2023-03-10,83.89,84.26,83.43,83.88,1727200
2023-03-13,84.07,85.79,84.02,84.41,1406200
2023-03-14,84.54,85.07,84,84.77,1014400
2023-03-15,84.68,86.43,84.46,86.19,1440700
2023-03-16,86.45,86.56,85.3,85.96,1276600
2023-03-17,86.12,86.5,85.03,85.46,2425400
2023-03-20,86.08,86.44,85.33,85.72,1424600
2023-03-21,85.56,85.89,83.98,84.54,1481200
2023-03-22,84.54,85.54,84.16,84.23,1502400
2023-03-23,84.17,85.41,84.1,84.32,1025800
2023-03-24,84.87,86.22,84.75,85.98,829200
2023-03-27,86.42,86.81,85.86,86.06,906200
2023-03-28,86.3,86.75,86.07,86.4,908600
2023-03-29,86.44,86.83,86.3,86.74,908300
2023-03-30,86.55,86.85,86.02,86.84,880400
2023-03-31,86.9,88.6,86.88,88.41,1362800
2023-04-03,88.02,89.12,87.88,88.87,1363200
2023-04-04,89.19,89.85,88.69,88.83,947300
2023-04-05,89.26,90.49,89.14,89.71,1671800
2023-04-06,90.09,90.67,89.71,90.61,1264700
2023-04-10,90.25,90.69,89.58,90.54,1070500
2023-04-11,90.63,90.98,90.44,90.59,705700
2023-04-12,90.2,90.75,89.71,89.76,1110600
2023-04-13,89.8,90.14,88.98,89.66,1269200
2023-04-14,89.13,89.46,88.4,88.54,1102600
2023-04-17,88.94,90.03,88.49,89.95,997200
2023-04-18,89.61,89.93,89.02,89.4,887600
2023-04-19,89.46,89.59,88.82,89.52,909800
2023-04-20,90.15,90.72,89.3,90.24,1020700
2023-04-21,91,91.62,90.78,91.61,1514400
2023-04-24,91.19,92.44,91.02,91.86,1318700
2023-04-25,92.36,93.3,91.67,92.48,1159700
2023-04-26,91.62,92.56,91.28,92,1446900
2023-04-27,93.93,98.22,93.91,97.3,2442700
2023-04-28,97.73,98.12,96.94,97.12,2458500
2023-05-01,96.77,97.25,95.93,96.66,2666900
2023-05-02,96.71,97.18,95.94,97.02,1834400
2023-05-03,97.15,98.33,97,97.43,1810500
2023-05-04,97.51,97.99,96.68,97.66,1591400
2023-05-05,97.12,98.18,97.11,97.53,1114700
2023-05-08,97.09,97.39,96.48,96.61,1402300
2023-05-09,96.95,96.95,95.89,95.94,1970500
2023-05-10,95.8,96.5,95.72,96.21,1517500
2023-05-11,96.44,96.79,95.98,96.38,1454700
2023-05-12,96.06,96.9,96.06,96.86,1162200
2023-05-15,97.25,97.48,95.91,96.12,1199900
2023-05-16,95.98,95.98,95.11,95.67,1725500
2023-05-17,95.76,95.89,94.3,94.79,1612300
2023-05-18,94.25,94.66,93.5,94.54,1665800
2023-05-19,94.83,95.22,94.48,95.03,1817900
2023-05-22,94.71,95.64,94.59,94.79,1652300
2023-05-23,94.28,94.72,93.74,93.92,1494100
2023-05-24,93.84,94.19,93.41,93.68,1059000
2023-05-25,93.5,93.86,92.95,93.49,1421400
2023-05-26,93.27,94.28,93.17,93.97,1774300
2023-05-30,93.12,93.69,91.67,91.72,1218100
2023-05-31,91.93,92.62,91.45,92.45,7182600
2023-06-01,92.67,93.2,92.05,92.75,1314700
2023-06-02,92.15,93.82,92.08,93.81,1084800
2023-06-05,93.79,94.87,93.79,94.65,869100
2023-06-06,94.93,95.19,92.44,92.9,950500
2023-06-07,92.4,92.78,91.81,92.51,1202300
2023-06-08,92.94,93.94,92.75,93.85,945200
2023-06-09,93.53,94.32,93.46,94.1,1105000
2023-06-12,94.47,94.54,93.42,94.19,1046400
2023-06-13,93.67,94.97,93.53,94.95,1548800
2023-06-14,95.06,95.65,94.76,95.37,902100
2023-06-15,95.89,96.1,95.27,95.84,1183700
2023-06-16,96.04,96.98,96,96.16,1903300
2023-06-20,96.29,96.63,94.41,94.43,1281500
2023-06-21,95.31,96.59,94.67,96.35,1570000
2023-06-22,96.92,97.83,96.88,97.55,1787700
2023-06-23,97.74,97.97,96.88,97.12,5221400
2023-06-26,97.01,97.65,95.93,97.42,2235900
2023-06-27,97.27,98.81,97.19,98.78,1389900
2023-06-28,98.26,98.89,97.61,98.47,2181500
2023-06-29,98.2,99.11,97.72,98.97,1454100
2023-06-30,99.17,100.39,99.17,100.23,1457400
2023-07-03,100.2,100.49,99.62,100.2,1187800
2023-07-05,100,100.38,99.55,99.92,1065900
2023-07-06,99.46,100.52,99.22,100.23,1315500
2023-07-07,99.99,100.04,98.66,98.97,1517300
2023-07-10,99.27,99.85,98.08,98.29,909200
2023-07-11,98.28,98.52,97.11,97.8,1061800
2023-07-12,97.7,98.47,97.44,98.25,770300
2023-07-13,97.95,98.45,97.45,98.02,728500
2023-07-14,98.04,98.94,97.62,98.82,693100
2023-07-17,98.73,98.96,98,98.39,700500
2023-07-18,98.38,99.26,97.83,98.18,1011400
2023-07-19,98.35,98.56,97.35,98.27,1716700
2023-07-20,97.98,98.05,96.03,97.24,1767100
2023-07-21,97.3,98.65,97.3,98.13,1306900
2023-07-24,98.07,98.34,97.65,98.08,976100
2023-07-25,98.37,98.37,97.19,97.97,1261700
2023-07-26,97.93,98.34,97.3,97.91,1268200
2023-07-27,97.88,98.23,95.84,95.95,2559000
2023-07-28,97.02,98.4,95.95,97.15,1787700
2023-07-31,97.37,97.5,94.69,95.67,3309000
2023-08-01,95.8,96.66,95.8,96.37,1177100
2023-08-02,96.55,97.56,95.92,96.78,1418600
2023-08-03,97.12,97.22,95.1,95.11,1576400
2023-08-04,94.93,95.35,94.38,94.63,1142800
2023-08-07,94.65,95.79,94.65,95.68,906800
2023-08-08,96.15,96.15,95.24,95.5,1392500
2023-08-09,95.51,96.75,95.45,96.05,1095700
2023-08-10,96.39,97.18,95.31,95.55,1338800
2023-08-11,95.83,96.43,95.47,95.99,1172400
2023-08-14,95.94,96.43,94.96,95.16,996300
2023-08-15,94.96,95.08,94.04,94.19,766500
2023-08-16,94.07,94.49,93.36,93.61,1099100
2023-08-17,93.8,93.92,92.13,92.17,1251100
2023-08-18,91.83,93.18,91.38,93.09,1312200
2023-08-21,92.72,93.04,91.93,92.45,928100
2023-08-22,92.23,93.18,91.88,92.71,913400
2023-08-23,93.01,93.48,91.99,92.49,773400
2023-08-24,92.49,93.77,92.38,92.84,773000
2023-08-25,93.24,93.55,92.88,93.3,701400
2023-08-28,94.61,94.85,93.96,94.44,957900
2023-08-29,94.42,95.55,93.84,95.44,1004500
2023-08-30,95.38,96.17,95.38,96.01,964400
2023-08-31,96.1,97.05,95.84,96.77,2718900
2023-09-01,96.91,97.32,96.03,96.26,1481100
2023-09-05,95.95,96.31,94.78,95.17,1144100
2023-09-06,95.27,95.78,93.92,94.12,1511700
2023-09-07,94.64,97.2,94.64,96.52,1629000
2023-09-08,96.25,96.8,95.46,95.67,971800
2023-09-11,96.93,96.93,95.82,96.32,778800
2023-09-12,96.48,96.61,95.02,95.3,747300
2023-09-13,95.32,95.85,94.95,95.7,1134800
2023-09-14,95.69,95.85,94.94,95.6,1242100
2023-09-15,95.57,96.54,95.06,95.22,2241300
2023-09-18,95.64,95.64,94.88,95.15,852500
2023-09-19,94.96,95.67,93.93,94.84,989100
2023-09-20,95.19,95.69,94.79,95.11,841100
2023-09-21,95.1,95.59,94.79,95.02,1133800
2023-09-22,94.88,95.47,94.46,94.69,837700
2023-09-25,94.6,94.73,93.51,93.84,685500
2023-09-26,93.91,93.91,93.04,93.08,1047300
2023-09-27,93.07,93.43,91.6,91.97,1099500
2023-09-28,92.28,92.38,91.56,91.89,1503100
2023-09-29,92.28,92.54,91.32,91.63,1158500
2023-10-02,91.47,91.99,91.18,91.65,1191300
2023-10-03,91.55,92.12,90.75,90.97,1174600
2023-10-04,91.12,92.1,90.52,92.05,1380500
2023-10-05,91.57,91.92,90.13,90.23,1503900
2023-10-06,90.07,90.12,85.73,85.99,4247000
2023-10-09,85.92,86.9,85.14,86.64,2178400
2023-10-10,87.32,88.47,86.83,88.15,1989600
2023-10-11,88.1,88.33,86.71,87.65,1687600
2023-10-12,87.64,87.69,85.75,86.09,1577900
2023-10-13,86.3,87.72,86.15,87.7,1341700
2023-10-16,88.3,89.68,87.68,88.94,1420800
2023-10-17,88.73,89.34,88.12,89.12,1102600
2023-10-18,89.66,90.84,89.39,90.25,1443500
2023-10-19,90.54,90.78,89.16,89.6,1082000
2023-10-20,89.9,90.56,89.41,90.12,1759600
2023-10-23,90.64,91.71,90.13,91.05,2175000
2023-10-24,91.03,92.14,90.89,91.58,1850700
2023-10-25,91.36,92.74,91.04,92.24,1729600
2023-10-26,92.2,93.13,91.81,92.22,1509600
2023-10-27,91.78,92.54,89.87,90.11,1274500
2023-10-30,90.73,91.12,89.73,90.76,1215000
2023-10-31,91.13,91.31,90.36,90.94,1842900
2023-11-01,91.37,91.37,90.03,90.27,1852600
2023-11-02,90.88,91.97,90.5,91.96,2378400
2023-11-03,85.3,86.86,82.25,86.8,4526200
2023-11-06,86.81,87.69,86.23,86.88,2165500
2023-11-07,86.67,88.91,86.41,88.71,2443400
2023-11-08,88.98,89.42,88.37,88.62,2049300
2023-11-09,88.89,89.88,88.46,89.65,1848300
2023-11-10,89.78,89.93,89.1,89.72,1372600
2023-11-13,89.51,91.16,89.05,90.93,1580500
2023-11-14,91.11,92.02,90.75,91.78,1736100
2023-11-15,91.83,92.67,91.51,91.65,1726900
2023-11-16,91.65,93.16,91.64,92.88,1539600
2023-11-17,93.08,93.08,92.02,92.4,1773600
2023-11-20,92.04,92.21,91.2,91.45,1709100
2023-11-21,91.82,93.36,91.3,92.82,1295500
2023-11-22,93.24,94.13,93.24,94.1,1270300
2023-11-24,94.02,94.84,93.43,94.83,695700
2023-11-27,94.47,95.28,94.37,95.25,1231800
2023-11-28,95.48,95.9,94.88,95.1,1837600
2023-11-29,95.2,95.45,94.5,94.66,1602300
2023-11-30,94.48,96.68,93.69,96.63,3966400
2023-12-01,96.54,96.88,95.07,95.37,1490500
2023-12-04,94.68,95.94,94.42,95.1,1308600
2023-12-05,94.86,94.92,93.16,93.49,1337600
2023-12-06,93.13,94.13,92.92,93.53,1630300
2023-12-07,93.61,94.33,92.98,94.15,915100
2023-12-08,93.91,93.91,92.56,92.94,963100
2023-12-11,93.28,93.56,92.63,93.36,971900
2023-12-12,93.64,94.46,93.27,94.46,1049100
2023-12-13,93.3,95.12,91.51,94.97,1620400
2023-12-14,94.61,94.77,91.3,91.36,2178900
2023-12-15,90.69,91.74,90.26,91.5,2904600
2023-12-18,92.3,93.05,91.44,92.93,951000
2023-12-19,92.84,93.37,92.34,92.72,1257100
2023-12-20,92.43,93.13,91.39,91.42,1153200
2023-12-21,91.87,92.23,90.69,91.79,1166900
2023-12-22,92.02,92.57,91.47,91.9,813700
2023-12-26,92,92.58,91.58,92.28,778600
2023-12-27,92.13,93,91.83,92.98,828900
2023-12-28,93.08,94.18,92.8,93.99,1046600
2023-12-29,94,94.64,93.97,94.56,1196600
