Date,Open,High,Low,Close,Volume
2005-01-03,25,25.42,24.47,24.85,3603900
2005-01-04,24.99,25.38,23.7,24.05,3696600
2005-01-05,24.02,24.7,24.02,24.18,2951400
2005-01-06,23.73,23.82,23.05,23.21,5604200
2005-01-07,22.86,23.49,22.25,23.28,5626600
2005-01-10,23.05,23.43,22.89,23.16,2854200
2005-01-11,22.88,23.16,22.52,22.89,2009000
2005-01-12,22.94,23.15,22.2,23.04,3445300
2005-01-13,22.85,23.04,22.37,22.39,2891000
2005-01-14,22.45,23.22,22.41,23.03,3511800
2005-01-18,23.32,23.55,22.85,22.97,5286500
2005-01-19,24,24.73,23.87,23.96,12116700
2005-01-20,24.01,24.42,23.79,23.85,4031500
2005-01-21,23.89,24.43,23.77,24.23,4148100
2005-01-24,24.26,24.5,23.93,23.96,2783400
2005-01-25,24.01,24.4,23.8,23.85,2589700
2005-01-26,23.91,24.41,23.91,24.22,2431700
2005-01-27,24.16,24.62,23.74,24.42,2493200
2005-01-28,24.43,24.82,23.55,23.89,2910800
2005-01-31,24.26,24.5,24.11,24.28,2505500
2005-02-01,24.05,24.48,24.05,24.2,2533300
2005-02-02,24.23,24.55,24.21,24.37,1676000
2005-02-03,24.52,24.88,24.37,24.75,2977600
2005-02-04,24.8,25.2,24.57,24.95,3957100
2005-02-07,25.27,25.31,24.03,24.92,5551100
2005-02-08,24.67,24.76,24.1,24.27,3185200
2005-02-09,24.4,24.59,23.64,23.77,4643800
2005-02-10,23.94,24.02,23.52,23.75,3274500
2005-02-11,23.75,24.3,23.5,23.9,2207400
2005-02-14,24.01,24.18,23.81,23.85,1689400
2005-02-15,23.86,23.9,22.9,23.15,4987800
2005-02-16,23.04,23.5,22.8,23.09,3563700
2005-02-17,23.15,23.16,22.5,22.57,2707500
2005-02-18,22.55,23.06,22.46,22.94,2739400
2005-02-22,22.78,23.17,22.29,22.38,2981700
2005-02-23,22.56,22.67,22.2,22.46,1736900
2005-02-24,22.15,22.62,22.1,22.53,2141300
2005-02-25,22.55,22.58,22.12,22.4,2080200
2005-02-28,22.51,22.65,21.65,22.13,3934700
2005-03-01,22.32,22.9,22.18,22.87,2344500
2005-03-02,22.69,22.8,22.22,22.46,2468000
2005-03-03,22.48,22.56,22.02,22.2,3042200
2005-03-04,22.37,22.49,22.07,22.1,2868400
2005-03-07,22.04,22.74,22.03,22.62,2943900
2005-03-08,22.62,22.7,22.15,22.43,2387200
2005-03-09,22.35,22.65,22.18,22.37,2222200
2005-03-10,22.32,22.5,22.02,22.35,2695400
2005-03-11,22.44,22.59,22.13,22.24,1512900
2005-03-14,22.2,22.35,21.74,21.95,2786400
2005-03-15,21.98,22.07,20.75,21.08,7622100
2005-03-16,20.8,21.41,20.76,21.18,2705600
2005-03-17,21.18,21.45,20.95,21.16,1740100
2005-03-18,21.17,21.35,20.91,21.1,1678600
2005-03-21,21.14,21.35,20.99,21.29,1520300
2005-03-22,21.39,21.43,20.71,20.8,1955100
2005-03-23,20.66,20.77,20.12,20.7,6006200
2005-03-24,20.87,21.08,20.7,20.79,2376700
2005-03-28,21.09,21.5,21.04,21.08,2491000
2005-03-29,21.03,21.79,21.03,21.48,3563200
2005-03-30,21.49,21.99,21.47,21.84,2480100
2005-03-31,21.88,22.02,21.68,21.74,2717900
2005-04-01,21.85,22.25,21.7,21.84,2101800
2005-04-04,21.82,22.1,21.47,21.98,1925400
2005-04-05,21.83,22.04,21.68,21.8,1411600
2005-04-06,21.94,22.28,21.84,21.9,1453800
2005-04-07,21.95,22.48,21.9,22.39,2566100
2005-04-08,22.37,22.58,22.05,22.09,1463300
2005-04-11,22.16,22.2,21.9,22.03,1427500
2005-04-12,22.45,23.29,22.32,23.02,4776000
2005-04-13,22.95,23.47,22.83,23.3,3202500
2005-04-14,23.28,23.38,22.37,22.7,3098600
2005-04-15,22.35,22.6,21.58,21.8,3606800
2005-04-18,20.87,21.72,20.11,21.37,6803700
2005-04-19,21.41,21.49,20.62,21.25,5354800
2005-04-20,21.31,21.34,20.46,20.71,3301400
2005-04-21,20.91,21.48,20.86,21.25,3101500
2005-04-22,21.1,21.25,20.82,20.9,2176100
2005-04-25,21.13,21.15,20.83,21.03,1647200
2005-04-26,20.65,21.3,20.61,20.95,2607200
2005-04-27,20.93,21.08,20.78,21.02,1406100
2005-04-28,20.86,20.92,20.44,20.51,1933700
2005-04-29,20.62,21.17,20.19,20.95,2473600
2005-05-02,21.1,21.3,21,21.2,1777500
2005-05-03,21.19,21.82,21.11,21.52,2448500
2005-05-04,21.52,22.13,21.51,22.03,2156000
2005-05-05,21.95,22.2,21.83,22.02,2204400
2005-05-06,22.07,22.17,21.64,22,2046500
2005-05-09,21.95,22.28,21.91,22.23,1569000
2005-05-10,22.17,22.29,22.04,22.17,1327100
2005-05-11,22.15,22.49,21.98,22.41,1468000
2005-05-12,22.39,22.48,21.93,22.04,2593400
2005-05-13,22,22.58,21.97,22.45,1700000
2005-05-16,22.41,22.48,22.15,22.48,758500
2005-05-17,22.27,22.62,22.12,22.62,894800
2005-05-18,22.56,23.01,22.56,22.95,2097500
2005-05-19,23,23,22.6,22.76,1953100
2005-05-20,22.73,22.92,22.57,22.86,1335700
2005-05-23,22.98,23.09,22.74,22.84,3004700
2005-05-24,22.83,23,22.5,22.95,1945500
2005-05-25,22.87,22.96,22.73,22.89,1350300
2005-05-26,22.99,23.05,22.68,22.79,2174800
2005-05-27,22.87,22.87,22.58,22.77,1284700
2005-05-31,22.97,22.97,22.44,22.72,2218000
2005-06-01,22.77,22.95,22.43,22.77,1760100
2005-06-02,22.61,22.77,22.42,22.77,1302700
2005-06-03,22.69,22.74,22.32,22.42,1362500
2005-06-06,22.36,22.44,21.96,22.31,1583000
2005-06-07,22.47,22.52,22.04,22.19,2419900
2005-06-08,22.2,22.35,21.9,22.06,1305800
2005-06-09,22.06,22.08,21.66,22,1867800
2005-06-10,21.95,21.95,21.07,21.24,4151400
2005-06-13,21.2,21.81,21.1,21.49,1888800
2005-06-14,21.62,21.62,21.12,21.19,1321600
2005-06-15,21.3,21.45,21.03,21.4,1517200
2005-06-16,21.46,21.82,21.39,21.74,1706800
2005-06-17,21.9,22.1,21.51,21.51,3794700
2005-06-20,21.26,21.45,21.11,21.19,2366900
2005-06-21,21.1,21.22,21.02,21.14,1294800
2005-06-22,21.15,21.35,20.77,20.9,2210800
2005-06-23,20.9,21.17,20.47,20.58,2905200
2005-06-24,20.5,20.64,19.97,20.07,2948800
2005-06-27,20.06,20.14,19.82,19.89,1933600
2005-06-28,19.84,20,19.8,19.93,2599300
2005-06-29,20,20.02,19.62,19.67,2395900
2005-06-30,19.72,20.22,19.57,19.83,3438400
2005-07-01,19.97,20.78,19.96,20.25,3061100
2005-07-05,20.29,20.65,20,20.31,2420900
2005-07-06,20.58,21.24,20.55,21.02,4018300
2005-07-07,20.84,21.1,20.75,21,1810700
2005-07-08,20.68,21.22,20.57,20.88,3999300
2005-07-11,21,21.68,20.96,21.64,2155400
2005-07-12,21.5,21.6,21.03,21.35,1908400
2005-07-13,21.45,21.45,20.85,21.39,2007100
2005-07-14,21.5,21.59,21.19,21.33,1124000
2005-07-15,21.67,21.67,21.16,21.4,1565900
2005-07-18,21.38,21.63,21.26,21.62,2361100
2005-07-19,22.78,23.95,22.76,23.04,12727900
2005-07-20,22.8,23.54,22.75,23.39,3555300
2005-07-21,23.47,23.54,23.05,23.23,2053200
2005-07-22,23.34,23.46,22.83,23.02,1343800
2005-07-25,22.93,23.25,22.69,22.95,1455200
2005-07-26,23.03,23.19,22.76,22.76,1628800
2005-07-27,22.77,22.91,22.51,22.7,1899600
2005-07-28,22.7,22.85,22.24,22.77,2388700
2005-07-29,22.91,23,22.5,22.53,1690600
2005-08-01,22.53,22.57,22.25,22.46,2032600
2005-08-02,22.37,22.65,22.33,22.5,1275800
2005-08-03,22.32,22.46,22.01,22.09,2171000
2005-08-04,22.14,22.24,21.91,22,2444400
2005-08-05,22.02,22.34,21.95,21.98,1465200
2005-08-08,22.01,22.13,21.85,21.98,1366400
2005-08-09,22.04,22.25,21.81,21.97,1117700
2005-08-10,21.9,22.08,21.75,21.82,1552300
2005-08-11,21.77,22.02,21.77,21.94,1827600
2005-08-12,21.86,22.31,21.77,22.24,1800000
2005-08-15,22.21,22.59,22.15,22.45,1771400
2005-08-16,22.41,22.59,22.2,22.3,2455600
2005-08-17,22.17,22.5,22.01,22.37,1276600
2005-08-18,22.24,22.82,22.24,22.75,2127000
2005-08-19,22.73,22.87,22.47,22.55,1696900
2005-08-22,22.56,22.68,22.44,22.56,1246300
2005-08-23,22.51,22.6,22.2,22.24,978900
2005-08-24,22.24,22.37,21.91,21.99,994300
2005-08-25,22.04,22.16,21.8,22.1,1148500
2005-08-26,22.16,22.19,21.85,21.97,732100
2005-08-29,21.93,22.49,21.9,22.36,1248500
2005-08-30,22.32,22.72,22.25,22.65,1808200
2005-08-31,22.61,22.77,22.34,22.56,1482700
2005-09-01,22.45,22.51,22.1,22.46,1092400
2005-09-02,22.42,22.69,22.2,22.34,965700
2005-09-06,22.25,22.96,22.12,22.89,2003800
2005-09-07,23,23.3,22.84,23.27,1435000
2005-09-08,23.15,23.35,22.93,23.15,1275300
2005-09-09,23.1,23.49,22.85,23.43,1377100
2005-09-12,23.41,24.01,23.28,23.58,2574700
2005-09-13,23.5,24.07,23.33,23.98,1579500
2005-09-14,24.04,24.04,23.43,23.52,1411900
2005-09-15,23.54,23.58,23.24,23.25,1606800
2005-09-16,23.15,23.43,22.93,23.43,1893400
2005-09-19,23.5,23.52,23.22,23.39,1544100
2005-09-20,23.35,23.71,23.22,23.48,2075000
2005-09-21,23.32,23.4,22.89,23.06,1836500
2005-09-22,23.01,23.52,22.83,23.13,1687700
2005-09-23,23.01,23.21,22.83,23.19,943500
2005-09-26,23.16,23.72,23.06,23.65,1405600
2005-09-27,23.7,23.7,22.95,23.19,2094300
2005-09-28,23.3,23.58,23.14,23.4,1069600
2005-09-29,23.38,23.5,23.01,23.5,1916700
