Date,Open,High,Low,Close,Volume
2006-01-03,20.79,21.7,20.37,21.35,1607957
2006-01-04,21.56,22.89,21.42,22.19,2919100
2006-01-05,22.26,22.96,22.05,22.05,1232714
2006-01-06,22.47,23.94,22.19,23.52,3278429
2006-01-09,23.73,24.22,23.38,23.87,1979200
2006-01-10,23.66,24.78,23.17,24.64,1742671
2006-01-11,24.64,26.04,24.57,24.99,4148671
2006-01-12,25.13,25.2,23.66,24.15,2144671
2006-01-13,23.87,24.5,23.24,24.15,1217400
2006-01-17,23.59,23.87,22.75,23.1,1416943
2006-01-18,22.19,24.01,21.77,23.94,1753614
2006-01-19,24.57,25.97,24.36,25.13,2767171
2006-01-20,24.92,25.27,24.15,24.5,1554200
2006-01-23,24.92,24.99,23.66,24.43,1465257
2006-01-24,24.29,25.83,24.22,25.83,1491071
2006-01-25,25.97,26.39,25.69,26.11,1521357
2006-01-26,26.46,27.86,26.25,27.79,2849543
2006-01-27,27.86,28.77,26.88,28,2886829
2006-01-30,27.51,27.65,26.67,26.95,2153314
2006-01-31,26.95,28.07,26.95,28,2096643
2006-02-01,28,28.7,27.65,28.28,1472643
2006-02-02,28.42,28.56,26.39,27.3,3953457
2006-02-03,26.74,27.37,26.04,27.3,1513814
2006-02-06,27.51,28.14,27.09,27.72,2707671
2006-02-07,27.65,27.79,26.67,26.74,1212814
2006-02-08,27.44,27.65,26.39,27.44,1047371
2006-02-09,27.51,29.4,27.09,28.49,2822214
2006-02-10,28.49,28.7,27.09,27.58,1672343
2006-02-13,27.51,27.79,27.16,27.3,950557
2006-02-14,26.67,27.79,26.67,27.79,909900
2006-02-15,27.37,28.07,27.37,27.65,815429
2006-02-16,27.65,29.12,27.58,28.63,1871986
2006-02-17,28.28,29.89,28.28,29.54,1939300
2006-02-21,29.68,31.01,29.4,30.31,2892057
2006-02-22,30.24,30.52,29.4,29.47,1419286
2006-02-23,30.45,31.43,29.54,29.82,1557043
2006-02-24,30.17,30.38,29.68,30.03,981857
2006-02-27,30.1,30.38,28.56,28.7,2107743
2006-02-28,28.77,29.47,27.65,28.14,1815486
2006-03-01,28.7,30.52,28.35,30.45,2714643
2006-03-02,28.84,32.76,28.49,32.48,7658486
2006-03-03,32.41,34.51,30.94,31.85,8229757
2006-03-06,32.55,35,31.64,32.48,4794443
2006-03-07,32.69,32.69,30.8,30.87,2209257
2006-03-08,30.45,32.13,30.24,31.71,2011643
2006-03-09,31.92,33.25,31.85,31.99,2465457
2006-03-10,32.27,33.25,32.13,33.04,1794814
2006-03-13,33.95,34.09,33.25,33.95,1663629
2006-03-14,34.16,34.58,33.95,34.16,1732829
2006-03-15,34.3,38.29,34.23,37.45,8066243
2006-03-16,36.4,37.66,35.35,35.63,7437800
2006-03-17,35.49,36.54,35.28,35.77,3020186
2006-03-20,36.4,36.4,35.21,35.56,1819471
2006-03-21,34.72,36.4,34.72,34.72,2359729
2006-03-22,34.72,35.49,33.95,34.23,2342143
2006-03-23,34.3,34.44,33.53,33.67,1961843
2006-03-24,33.74,36.26,33.74,36.05,3782757
2006-03-27,36.05,37.17,35.91,36.61,2113814
2006-03-28,37.31,39.34,37.1,37.87,4692586
2006-03-29,37.87,38.71,36.96,37.24,3586843
2006-03-30,37.87,38.22,36.68,36.82,2716771
2006-03-31,36.96,37.38,36.26,36.47,1692329
2006-04-03,37.24,37.66,36.33,36.54,2210971
2006-04-04,35,35.42,34.23,34.37,6909857
2006-04-05,34.37,34.86,33.46,33.95,8523171
2006-04-06,33.88,34.58,33.32,34.37,4485400
2006-04-07,34.51,34.86,33.6,33.67,3364471
2006-04-10,34.09,34.37,30.87,31.22,7336714
2006-04-11,31.43,31.64,28.21,29.4,12769629
2006-04-12,29.61,30.8,28.77,30.31,4497114
2006-04-13,30.17,30.87,29.89,30.24,2162071
2006-04-17,30.24,30.24,28.35,28.98,3179357
2006-04-18,29.19,31.57,28.84,31.15,7436629
2006-04-19,31.78,31.92,30.52,30.87,2722900
2006-04-20,31.78,31.78,29.68,30.31,3128886
2006-04-21,30.94,31.5,30.45,31.08,4887000
2006-04-24,30.94,31.43,30.45,30.59,1946757
2006-04-25,30.87,31.15,29.47,30.38,4560571
2006-04-26,30.52,30.8,29.61,29.75,1928786
2006-04-27,29.47,29.75,28.56,28.98,3926986
2006-04-28,28.77,29.05,28.28,28.63,3860029
2006-05-01,28.84,28.98,27.79,28.07,3453771
2006-05-02,28.14,29.47,28.14,29.26,3607614
2006-05-03,29.4,29.96,28.84,29.19,1589114
2006-05-04,29.19,29.75,28.98,29.33,1700686
2006-05-05,29.75,29.89,28.84,29.19,2227000
2006-05-08,29.19,30.31,29.12,30.1,2418371
2006-05-09,30.17,30.59,29.75,30.52,2164414
2006-05-10,30.59,30.59,29.82,29.96,2339814
2006-05-11,29.89,29.89,26.88,27.23,6133871
2006-05-12,26.95,27.58,26.18,27.44,3187543
2006-05-15,27.16,27.3,25.69,26.25,2738614
2006-05-16,26.32,27.72,26.18,26.95,2542443
2006-05-17,26.74,27.44,26.18,26.74,2263929
2006-05-18,26.95,28.14,26.74,26.81,2610757
2006-05-19,27.02,28.42,26.81,28.07,3485429
