Date,Open,High,Low,Close,Volume
2012-01-03,45.695,46.06,45.3,45.54,6347600
2012-01-04,45.5,45.54,45.065,45.3,4350200
2012-01-05,45.08,45.225,44.755,45.07,5232800
2012-01-06,45.205,45.225,44.695,44.9,3881000
2012-01-09,45.07,45.125,44.74,44.89,4152400
2012-01-10,45.005,45.075,44.625,44.725,5679200
2012-01-11,44.685,44.695,44.075,44.255,5438000
2012-01-12,44.375,44.525,44.115,44.275,15039200
2012-01-13,44.135,44.325,43.925,44.26,14450200
2012-01-17,44.515,44.94,44.515,44.865,14860200
2012-01-18,44.875,45.25,44.77,45.155,3905400
2012-01-19,44.99,45.24,44.795,44.985,5160600
2012-01-20,44.805,44.83,44.155,44.5,6467200
2012-01-23,44.29,44.475,44.08,44.185,4333600
2012-01-24,43.865,44.2,43.61,44.125,5123200
2012-01-25,43.96,44.795,43.96,44.72,4835000
2012-01-26,44.93,46.07,44.87,45.675,9754800
2012-01-27,45.39,45.45,45.02,45.2,5654600
2012-01-30,45.29,45.345,44.61,44.755,5652400
2012-01-31,44.89,45.465,44.885,45.36,5923200
2012-02-01,45.545,45.875,45.385,45.565,4334400
2012-02-02,45.84,45.935,45.39,45.445,3845000
2012-02-03,45.77,46.05,45.66,45.77,4805000
2012-02-06,45.635,45.885,45.475,45.62,3161200
2012-02-07,45.515,45.89,45.505,45.77,2961200
2012-02-08,45.92,45.92,45.455,45.735,3217400
2012-02-09,45.72,45.9,45.53,45.88,3353800
2012-02-10,45.655,45.79,45.455,45.585,3855200
2012-02-13,45.75,45.995,45.625,45.82,2681600
2012-02-14,45.745,45.955,45.625,45.95,2877400
2012-02-15,45.96,46.295,45.88,46.08,3347400
2012-02-16,46.19,46.71,46.19,46.66,3708600
2012-02-17,46.8,46.925,46.44,46.625,3483800
2012-02-21,46.785,46.905,46.47,46.685,3421600
2012-02-22,46.54,46.74,46.205,46.57,2930400
2012-02-23,46.425,46.95,46.325,46.665,4214200
2012-02-24,46.865,46.865,46.335,46.65,3677400
2012-02-27,46.495,46.605,46.105,46.195,4871200
2012-02-28,46.335,46.52,46.14,46.485,3728200
2012-02-29,46.49,46.745,46.31,46.59,4390000
2012-03-01,46.5,46.75,46.305,46.425,4123600
2012-03-02,46.405,46.64,46.365,46.6,2521600
2012-03-05,46.5,46.765,46.475,46.675,2335000
2012-03-06,46.715,46.905,46.425,46.67,5260200
2012-03-07,46.635,46.775,46.25,46.415,4056000
2012-03-08,46.7,46.985,46.64,46.97,2766400
2012-03-09,46.89,47.05,46.645,46.99,3145400
2012-03-12,47.165,47.31,46.995,47.24,2965800
2012-03-13,47.4,47.625,47.225,47.615,4342200
2012-03-14,47.575,47.87,47.535,47.575,3552000
2012-03-15,47.42,47.835,47.42,47.71,3156000
2012-03-16,47.74,47.83,47.28,47.395,6149200
2012-03-19,47.69,47.78,47.4,47.685,3946600
2012-03-20,47.44,48.035,47.44,47.825,2969200
2012-03-21,47.755,48.2,47.755,48.085,3887800
2012-03-22,47.91,48.19,47.87,48.14,2968400
2012-03-23,48.1,48.165,47.815,47.97,2988400
2012-03-26,48.115,48.42,48.045,48.405,3088800
2012-03-27,48.5,48.645,48.32,48.355,2962800
2012-03-28,48.225,48.27,47.925,48.025,4100000
2012-03-29,47.825,48.435,47.765,48.345,4815000
2012-03-30,48.5,48.965,48.465,48.89,6021800
2012-04-02,48.84,49.225,48.83,49.22,5235400
2012-04-03,49.245,49.38,48.995,49.115,4879600
2012-04-04,48.79,49.125,48.785,48.925,3540400
2012-04-05,48.9,49.14,48.64,49.08,4318800
2012-04-09,48.83,48.83,48.435,48.52,3772800
2012-04-10,48.385,48.405,47.935,48.085,4731600
2012-04-11,48.485,48.705,48.27,48.27,7085000
2012-04-12,48.215,48.815,48.19,48.72,14848400
2012-04-13,48.73,48.97,48.37,48.605,12762000
2012-04-16,48.765,49.1,48.685,48.835,13182200
2012-04-17,49.025,49.36,48.73,49.295,3506200
2012-04-18,49.11,49.385,48.955,49.25,2653000
2012-04-19,49.345,49.385,48.875,49.09,3531200
2012-04-20,48.91,49.5,48.9,49.44,4065200
2012-04-23,49.085,49.09,48.62,48.86,3243200
2012-04-24,49,49.265,48.86,49.215,2960400
2012-04-25,49.325,49.87,49.21,49.79,4974200
2012-04-26,49.78,49.92,49.26,49.735,3556400
2012-04-27,49.38,49.45,49.03,49.19,5788200
2012-04-30,49.075,49.47,49.025,49.47,4164400
2012-05-01,49.485,49.795,49.27,49.55,3598200
2012-05-02,49.595,50.175,49.545,50.175,3708000
2012-05-03,50.07,50.405,49.875,49.995,4760600
2012-05-04,50.08,50.08,49.55,49.565,3420400
2012-05-07,49.62,49.895,49.5,49.8,3400600
2012-05-08,49.65,49.73,49.415,49.59,3518000
2012-05-09,49.29,49.835,49.29,49.54,3820200
2012-05-10,49.765,49.995,49.565,49.825,4669400
2012-05-11,49.75,49.905,49.65,49.655,4174600
2012-05-14,49.38,49.675,49.38,49.505,3184600
2012-05-15,49.84,50.91,49.83,50.52,13296200
2012-05-16,50.575,50.97,50.505,50.66,4099400
2012-05-17,50.605,50.69,49.905,49.905,4256200
2012-05-18,50.06,50.115,49.26,49.395,6050600
2012-05-21,49.5,49.515,49,49.48,4970000
2012-05-22,49.565,50.055,49.48,49.595,4480600
2012-05-23,49.41,49.54,48.855,49.195,4600000
2012-05-24,49.22,49.82,49.22,49.565,3501000
2012-05-25,49.665,49.82,49.335,49.4,2481600
2012-05-29,49.58,49.75,49.375,49.68,2796200
2012-05-30,49.495,49.735,49.235,49.415,5429800
2012-05-31,49.505,49.505,49.02,49.15,4892400
2012-06-01,48.855,49.03,48.21,48.24,4616800
2012-06-04,48.245,48.65,48.105,48.585,3371400
2012-06-05,48.525,48.745,48.185,48.625,3095200
2012-06-06,48.735,49.165,48.545,49.165,4058000
2012-06-07,49.37,49.705,49.305,49.375,3901600
2012-06-08,49.4,50.15,49.375,50.085,3109600
2012-06-11,50.275,50.34,49.935,49.995,3559800
2012-06-12,49.995,50.095,49.645,50.025,3719600
2012-06-13,49.8,50.275,49.665,50.105,3333000
2012-06-14,50.235,50.725,50.135,50.66,3255200
2012-06-15,50.8,50.965,50.655,50.765,4105600
2012-06-18,50.7,50.875,50.445,50.835,3005600
2012-06-19,50.82,50.985,50.505,50.65,3321800
2012-06-20,50.085,50.365,49.81,50.365,5206000
2012-06-21,50.45,50.45,49.72,49.725,3446000
2012-06-22,49.96,50.25,49.9,49.95,6369000
2012-06-25,49.585,49.775,49.5,49.66,3051800
2012-06-26,49.83,50.275,49.74,50.05,3040600
2012-06-27,50.14,50.8,50.135,50.75,2985600
2012-06-28,50.56,51,50.465,50.995,2936000
2012-06-29,51.37,52.165,50.985,52.05,5399200
2012-07-02,51.705,51.915,51.5,51.86,3448000
2012-07-03,51.85,52.58,51.76,52.305,2071600
2012-07-05,52.21,52.5,51.96,52.325,2461200
2012-07-06,52.05,52.315,51.96,52.145,1952000
2012-07-09,52.285,52.305,51.89,52.13,2553800
2012-07-10,52.24,52.255,51.85,51.95,2585400
2012-07-11,52.08,52.08,51.685,51.915,3325400
2012-07-12,51.84,52.035,51.485,51.805,3586000
