Date,Open,High,Low,Close,Volume
2000-01-03,3.890625,3.921875,3.773438,3.773438,331200
2000-01-04,3.773438,3.820313,3.75,3.757813,351200
2000-01-05,3.75,3.765625,3.703125,3.703125,660000
2000-01-06,3.734375,3.882813,3.710938,3.875,344800
2000-01-07,3.742188,3.875,3.742188,3.828125,553600
2000-01-10,3.84375,3.84375,3.71875,3.75,623200
2000-01-11,3.75,3.773438,3.695313,3.695313,252000
2000-01-12,3.703125,3.804688,3.703125,3.710938,728000
2000-01-13,3.703125,3.789063,3.703125,3.757813,356000
2000-01-14,3.757813,3.796875,3.75,3.765625,385600
2000-01-18,3.765625,3.789063,3.75,3.75,236000
2000-01-19,3.75,3.75,3.6875,3.6875,707200
2000-01-20,3.6875,3.710938,3.664063,3.671875,538400
2000-01-21,3.65625,3.65625,3.484375,3.59375,304800
2000-01-24,3.59375,3.648438,3.578125,3.578125,209600
2000-01-25,3.570313,3.578125,3.507813,3.507813,400000
2000-01-26,3.515625,3.53125,3.5,3.523438,1496000
2000-01-27,3.539063,3.5625,3.5,3.515625,170400
2000-01-28,3.5,3.539063,3.5,3.523438,346400
2000-01-31,3.523438,3.523438,3.484375,3.492188,347200
2000-02-01,3.492188,3.492188,3.40625,3.421875,428000
2000-02-02,3.445313,3.445313,3.335938,3.34375,287200
2000-02-03,3.34375,3.359375,3.320313,3.328125,332800
2000-02-04,3.34375,3.414063,3.34375,3.40625,399200
2000-02-07,3.40625,3.445313,3.40625,3.4375,399200
2000-02-08,3.4375,3.453125,3.421875,3.4375,200800
2000-02-09,3.4375,3.445313,3.414063,3.414063,396000
2000-02-10,3.414063,3.453125,3.40625,3.445313,786400
2000-02-11,3.445313,3.484375,3.445313,3.476563,603200
2000-02-14,3.429688,3.429688,3.390625,3.390625,325600
2000-02-15,3.375,3.375,3.304688,3.304688,610400
2000-02-16,3.320313,3.351563,3.203125,3.21875,430400
2000-02-17,3.242188,3.257813,3.195313,3.21875,291200
2000-02-18,3.234375,3.234375,3.070313,3.148438,529600
2000-02-22,3.148438,3.15625,3.085938,3.109375,317600
