Date,Open,High,Low,Close,Volume
2002-01-02,9.65,9.75,9.5,9.7425,1349200
2002-01-03,9.7375,9.875,9.7375,9.8425,669600
2002-01-04,9.89,9.985,9.8625,9.9325,1086800
2002-01-07,9.995,9.9975,9.855,9.88,733600
2002-01-08,9.85,9.8875,9.6,9.69,776400
2002-01-09,9.6275,9.8775,9.6275,9.725,718000
2002-01-10,9.725,9.725,9.44,9.5525,1080000
2002-01-11,9.5,9.5,9.385,9.3875,1148800
2002-01-14,9.3375,9.425,9.2225,9.2325,872800
2002-01-15,8.875,9.06,8.75,8.9625,3765600
2002-01-16,8.9625,9.005,8.785,8.785,1756800
2002-01-17,8.7875,9,8.75,8.99,710800
2002-01-18,8.9275,8.945,8.725,8.79,1366800
2002-01-22,8.8,8.875,8.7125,8.75,928000
2002-01-23,8.4625,8.8575,8.37,8.8225,1569600
2002-01-24,8.8425,9.09,8.8125,9.005,2065600
2002-01-25,8.975,9.2625,8.9725,9.195,1237200
2002-01-28,9.2,9.3625,9.1875,9.3025,1375600
2002-01-29,9.3025,9.3575,9.0625,9.1,1179200
2002-01-30,9.05,9.1825,8.9175,9.1825,1110000
2002-01-31,9.245,9.4225,9.1725,9.4225,1168400
2002-02-01,9.38,9.4875,9.25,9.26,1154800
2002-02-04,9.305,9.3975,9.2125,9.3125,1707600
2002-02-05,9.2875,9.525,9.265,9.485,2938400
2002-02-06,9.475,9.59,9.4,9.4325,2072800
2002-02-07,9.455,9.56,9.45,9.4725,1888400
2002-02-08,9.45,9.625,9.35,9.615,1768800
2002-02-11,9.5875,9.905,9.3125,9.775,2260800
2002-02-12,9.7625,9.8325,9.7125,9.74,1106400
2002-02-13,9.7375,9.855,9.72,9.755,1247200
2002-02-14,9.7875,9.815,9.6925,9.725,777600
2002-02-15,9.7275,9.745,9.575,9.61,1698400
2002-02-19,9.61,9.6175,9.435,9.44,920400
2002-02-20,9.5125,9.5625,9.455,9.545,1674800
2002-02-21,9.625,10.175,9.5775,9.915,2960000
2002-02-22,9.875,10.0875,9.8125,10.0325,1710400
2002-02-25,10.0325,10.5,10.0325,10.4275,1806400
2002-02-26,10.43,10.85,10.43,10.6475,2171200
2002-02-27,10.6125,10.65,10.375,10.5225,1865200
2002-02-28,10.525,10.525,10.3125,10.395,3580800
2002-03-01,10.395,10.535,10.3075,10.535,2138000
2002-03-04,10.66,11.375,10.655,11.3175,3273600
2002-03-05,11.3175,11.3175,10.9625,10.9875,2747600
2002-03-06,10.9875,11.3375,10.9875,11.2825,1646400
2002-03-07,11.2325,11.35,10.9875,11.02,2239200
2002-03-08,11.0825,11.2225,10.95,11.035,1827200
2002-03-11,11.3125,11.8,11.3,11.7075,5092400
2002-03-12,11.525,11.7975,11.525,11.6325,2660000
2002-03-13,11.625,11.685,11.405,11.42,1436800
2002-03-14,11.42,11.6325,11.4,11.5875,2104400
2002-03-15,11.325,11.72,11.325,11.695,3002000
2002-03-18,11.695,11.7325,11.5875,11.6875,1307200
2002-03-19,11.65,11.995,11.65,11.99,1454000
2002-03-20,11.9625,11.965,11.8325,11.875,1783200
2002-03-21,11.8625,11.865,11.3575,11.3625,3979200
2002-03-22,11.3375,11.625,11.275,11.44,2000400
2002-03-25,11.3775,11.4875,11.2275,11.25,2316400
2002-03-26,11.15,11.425,11.15,11.425,1501600
2002-03-27,11.41,11.6175,11.405,11.5925,2009200
2002-03-28,11.5925,11.865,11.59,11.8075,1522800
2002-04-01,11.7625,11.7775,11.51,11.7475,1157600
2002-04-02,11.7125,11.725,11.5,11.5,1992000
2002-04-03,11.5,11.625,11.3375,11.405,2590800
2002-04-04,11.405,11.755,11.39,11.75,2353600
2002-04-05,11.8,12,11.7,11.84,2160800
2002-04-08,11.815,11.99,11.7,11.95,1152800
2002-04-09,12.125,12.18,12.055,12.155,1622400
2002-04-10,12.375,12.5725,12.2525,12.5475,2766000
2002-04-11,12.5,12.505,12.15,12.1825,2455200
2002-04-12,12.185,12.24,12.02,12.22,1359200
2002-04-15,12.22,12.275,12,12.035,1819200
2002-04-16,12.0625,12.4925,12.0625,12.4575,2219200
2002-04-17,12.4575,12.4575,11.83,11.89,4243600
2002-04-18,11.925,11.9375,11.6975,11.725,2838400
2002-04-19,11.75,11.7625,11.5125,11.55,2762800
2002-04-22,11.375,11.435,10.815,11.035,6030000
2002-04-23,11,11.0075,10.725,10.84,7310000
2002-04-24,10.975,11.125,10.8225,10.85,3727600
2002-04-25,10.7,10.95,10.3825,10.8475,3307600
2002-04-26,10.8975,11.0225,10.78,10.865,1426400
2002-04-29,10.865,10.865,10.4225,10.4625,2122000
2002-04-30,10.4875,10.8475,10.47,10.6375,3016800
2002-05-01,10.7125,10.7125,10.3425,10.39,3248800
2002-05-02,10.49,10.625,10.405,10.525,1941600
2002-05-03,10.525,10.5625,10.34,10.4525,2651200
2002-05-06,10.45,10.45,10.025,10.025,2424400
2002-05-07,10.0625,10.3125,10.03,10.27,3136400
2002-05-08,10.425,10.625,10.425,10.56,1557200
2002-05-09,10.4975,10.515,10.275,10.3025,1124800
2002-05-10,10.3375,10.3625,10.175,10.2075,711600
2002-05-13,10.145,10.2075,10.0275,10.0425,1472400
2002-05-14,10.2375,10.5225,10.23,10.4275,1301600
2002-05-15,10.425,10.87,10.35,10.7425,2966800
2002-05-16,10.6875,10.6875,10.505,10.5675,842400
2002-05-17,10.5675,10.695,10.485,10.5175,1459600
2002-05-20,10.5125,10.5125,10.37,10.3975,834400
2002-05-21,10.4,10.4925,10.0875,10.095,2099600
2002-05-22,10.095,10.195,9.975,10.09,2110400
2002-05-23,10.2,10.2125,9.925,10.1075,2268400
2002-05-24,10.125,10.2375,10.08,10.08,756400
2002-05-28,10.1375,10.2225,9.8925,9.925,970400
2002-05-29,9.81,9.885,9.25,9.4775,4436000
2002-05-30,9.4775,9.4775,9,9.16,4512000
2002-05-31,9.1175,9.305,9.1025,9.2025,3174800
2002-06-03,9.2025,9.245,8.8975,8.8975,2747600
2002-06-04,8.8975,8.8975,8.445,8.6525,4777600
2002-06-05,8.655,8.85,8.655,8.8,2524800
2002-06-06,8.8,8.8,8.495,8.495,1800400
2002-06-07,8.39,8.66,8.3,8.55,3710800
2002-06-10,8.55,8.6225,8.52,8.5425,1643600
2002-06-11,8.595,8.7625,8.455,8.455,2914800
2002-06-12,8.4575,8.47,8.2625,8.47,1571600
2002-06-13,8.4075,8.4075,8.215,8.3,1593600
2002-06-14,8.2375,8.24,7.9375,8.0975,2916400
2002-06-17,8.1,8.3,8.1,8.25,2164400
2002-06-18,8.225,8.37,8.1625,8.22,1869600
2002-06-19,8.1625,8.37,8.0775,8.0775,3078000
2002-06-20,8.08,8.1625,7.815,7.8625,2512800
2002-06-21,7.8125,7.875,7.6425,7.655,2569600
2002-06-24,7.655,7.8575,7.5875,7.765,2086400
2002-06-25,7.8125,8,7.8125,7.9875,4201200
2002-06-26,7.8625,8.0125,7.7825,7.9875,2983600
2002-06-27,8.0375,8.125,7.9,8.1125,2686800
2002-06-28,8.0625,8.35,8.0625,8.275,1802800
2002-07-01,8.275,8.275,8.09,8.1125,2596400
2002-07-02,8.1125,8.1175,7.8,7.9075,1707600
2002-07-03,7.91,7.975,7.6775,7.8625,1698800
2002-07-05,7.9025,8.2875,7.9025,8.285,964800
2002-07-08,8.2375,8.4,8.13,8.15,1573600
2002-07-09,8.125,8.2875,7.9375,7.94,1120800
2002-07-10,7.9425,7.955,7.6375,7.6725,1850400
2002-07-11,7.6375,7.6375,7.375,7.615,1954800
2002-07-12,7.625,7.725,7.42,7.4925,1241600
2002-07-15,7.4675,7.4875,7.1025,7.45,2902400
2002-07-16,7.425,7.425,7.065,7.15,3604400
2002-07-17,7.25,7.42,7.0875,7.335,2975200
2002-07-18,7.2875,7.3825,7.0975,7.145,1996000
2002-07-19,7.3,7.75,7.2125,7.24,5662000
2002-07-22,7.2775,7.425,7.0875,7.22,4578400
2002-07-23,7.22,7.29,6.9,6.985,2684000
2002-07-24,6.975,7.5,6.7975,7.5,2548800
2002-07-25,7.5,7.6375,7.1775,7.4825,2687600
2002-07-26,7.44,7.5625,7.3275,7.5425,1691200
2002-07-29,7.6875,8.2025,7.615,8.2025,2724400
2002-07-30,8.2025,8.2225,8.01,8.19,3523600
2002-07-31,8.15,8.22,7.915,8.075,1710800
2002-08-01,8.0125,8.105,7.7975,7.825,1797200
2002-08-02,7.8,7.825,7.35,7.4525,1448800
2002-08-05,7.3525,7.47,7.14,7.1425,1912400
2002-08-06,7.375,7.675,7.375,7.5625,1730800
2002-08-07,7.625,7.7,7.42,7.6875,1387200
2002-08-08,7.7,7.88,7.615,7.8575,1918000
2002-08-09,7.8225,7.93,7.6975,7.89,1007600
2002-08-12,7.765,7.84,7.6125,7.76,921200
2002-08-13,7.8125,7.8525,7.575,7.6025,1519600
2002-08-14,7.575,7.745,7.2875,7.74,2244800
2002-08-15,7.75,7.875,7.5925,7.7725,1234800
2002-08-16,7.5375,7.6425,7.4,7.6275,2140800
2002-08-19,7.63,7.8625,7.5375,7.835,1244400
2002-08-20,7.835,7.8725,7.5375,7.62,2399200
2002-08-21,7.6625,7.75,7.5625,7.745,1252800
2002-08-22,7.775,7.9,7.725,7.895,1116400
2002-08-23,7.895,7.895,7.6625,7.695,1065600
2002-08-26,7.7125,7.875,7.6475,7.8675,953600
2002-08-27,7.93,8.1025,7.8275,7.85,2137600
2002-08-28,7.775,7.8,7.5625,7.5775,1266000
2002-08-29,7.515,7.515,7.3825,7.4425,1894000
2002-08-30,7.445,7.555,7.42,7.4475,1464800
2002-09-03,7.25,7.25,7.0025,7.0425,2530000
2002-09-04,7.1,7.2,6.9425,7.165,1496800
2002-09-05,7.12,7.12,6.945,7.0425,1455200
2002-09-06,7.15,7.19,7.05,7.16,1030400
2002-09-09,7.125,7.3475,7.05,7.2975,929200
2002-09-10,7.3375,7.3625,7.2525,7.34,724400
2002-09-11,7.4025,7.4375,7.25,7.2675,1232800
2002-09-12,7.2375,7.275,7.1425,7.155,863200
2002-09-13,7.075,7.075,6.8625,6.9925,1540800
2002-09-16,7.0125,7.0125,6.875,6.92,1089200
2002-09-17,6.92,6.95,6.6775,6.6875,1720000
