Date,Open,High,Low,Close,Volume
2012-01-03,10.17,10.235,9.945,10.0025,1574800
2012-01-04,9.9175,9.96,9.8225,9.8375,974400
2012-01-05,9.815,10.3125,9.7425,10.275,1668000
2012-01-06,10.2525,10.6775,10.2,10.59,2710000
2012-01-09,10.6275,10.9075,10.59,10.9,3652000
2012-01-10,10.975,11.04,10.835,10.9,2146400
2012-01-11,10.855,11.0875,10.82,10.9725,1663200
2012-01-12,10.955,11.025,10.905,11.015,1642000
2012-01-13,10.8775,11.0075,10.8275,10.9675,1570800
2012-01-17,11.0225,11.1725,10.995,11.1225,2699600
2012-01-18,11.1425,11.22,11.03,11.1425,2338000
2012-01-19,11.1725,11.1825,11.04,11.09,1982800
2012-01-20,11.095,11.1475,10.8475,10.9675,1163600
2012-01-23,10.9425,10.9575,10.7275,10.8425,2683600
2012-01-24,10.825,11.015,10.7825,11.0075,2014000
2012-01-25,10.95,10.9975,10.6975,10.915,2263200
2012-01-26,10.9175,10.92,10.6875,10.7525,1509200
2012-01-27,10.725,11.125,10.705,11.07,1064400
2012-01-30,10.9775,10.99,10.8325,10.9375,798400
2012-01-31,11.025,11.3625,11,11.3,3313600
2012-02-01,11.385,11.78,11.3425,11.585,3014400
2012-02-02,11.5125,11.6675,11.4975,11.66,2731200
2012-02-03,11.8175,11.8475,11.4825,11.57,1928000
2012-02-06,11.4875,11.5975,11.3325,11.4,2480800
2012-02-07,11.305,11.575,11.04,11.4425,4580000
2012-02-08,11.475,11.915,11.4125,11.915,3525200
2012-02-09,11.905,12.0425,11.705,11.77,2296400
2012-02-10,11.6625,11.9925,11.57,11.83,1901600
2012-02-13,11.9225,12.3225,11.875,12.2675,2373600
2012-02-14,12.195,12.275,12.1125,12.1675,1544000
2012-02-15,12.4075,12.5,12.12,12.175,2652400
2012-02-16,12.17,12.45,12.1475,12.4375,1880000
2012-02-17,12.52,12.59,12.3825,12.435,1547600
2012-02-21,12.435,12.5375,12.33,12.4425,1611600
2012-02-22,12.4125,12.47,12.0975,12.1275,2715600
2012-02-23,12.1725,12.2825,12.0925,12.12,1893600
2012-02-24,12.1475,12.26,12.1475,12.225,1287200
2012-02-27,12.1675,12.275,12.0425,12.1475,1341200
2012-02-28,12.1875,12.385,12.1025,12.31,2513600
2012-02-29,12.3275,12.3475,12.1875,12.2,2650000
2012-03-01,12.24,12.3525,12.12,12.26,1663600
2012-03-02,12.255,12.2725,11.575,11.6475,5368400
2012-03-05,11.5925,11.725,11.565,11.64,2758000
2012-03-06,11.51,11.595,11.325,11.37,1840000
2012-03-07,11.425,11.545,11.38,11.4675,1044800
2012-03-08,11.5225,11.595,11.415,11.515,1720400
2012-03-09,11.5,11.7,11.4975,11.695,1834800
2012-03-12,11.685,11.6925,11.395,11.4025,1752800
2012-03-13,11.47,11.5225,11.32,11.4125,2759200
2012-03-14,11.365,11.4775,11.3075,11.37,2516800
2012-03-15,11.3925,11.7125,11.385,11.5725,2300000
2012-03-16,11.5575,11.63,11.345,11.365,2379200
2012-03-19,11.31,11.5325,11.2525,11.48,2690800
2012-03-20,11.4075,11.4425,11.17,11.19,2395600
2012-03-21,11.19,11.2125,11.03,11.175,2770000
2012-03-22,11.1025,11.17,10.98,11.1,3221600
2012-03-23,11.09,11.245,11.04,11.2225,3661200
