Date,Shares
2015-11-16,532045000
2016-03-03,527380000
2016-03-21,519071000
2016-03-24,519070000
2016-05-09,512100000
2016-08-01,507760000
2016-09-30,482300000
2016-11-10,482300000
2017-01-28,480200000
2017-03-02,480640000
2017-03-24,482710000
2017-05-06,482969984
2017-08-02,473660000
2018-11-13,473660000
2018-11-14,473660000
2018-11-16,473660000
2018-11-21,473660000
2018-11-22,473660000
2018-11-28,473660000
2018-12-05,473660000
2018-12-06,473660000
2018-12-07,473660000
2018-12-10,473660000
2018-12-11,473660000
2018-12-12,473660000
2018-12-14,473660000
2018-12-16,473660000
2018-12-17,473660000
2018-12-19,473660000
2018-12-30,473660000
2019-01-05,473660000
2019-01-09,473660000
2019-01-12,473660000
2019-01-14,473660000
2019-01-16,473660000
2019-01-17,473660000
2019-01-20,473660000
2019-01-22,473660000
2019-01-25,473660000
2019-01-30,467684000
2019-02-07,467684000
2019-02-10,467684000
2019-02-15,467684000
2019-02-17,467684000
2019-02-20,467684000
2019-02-28,467880992
2019-03-01,467880992
2019-03-07,467880992
2019-03-08,467880992
2019-03-10,467880992
2019-03-11,467880992
2019-03-14,467880992
2019-03-17,467880992
2019-03-26,467880992
2019-03-29,469340000
2019-04-01,469340000
2019-04-05,469340000
2019-04-09,469340000
2019-04-10,469340000
2019-04-14,469340000
2019-04-17,469340000
2019-04-21,469340000
2019-04-29,469600000
2019-04-30,469600000
2019-05-02,469600000
2019-05-05,469596992
2019-05-06,469596992
2019-05-09,469596992
2019-05-10,469596992
2019-05-12,469596992
2019-05-19,469596992
2019-05-22,469596992
2019-05-23,469596992
2019-05-28,469596992
2019-06-03,469596992
2019-06-04,469596992
2019-06-05,469596992
2019-06-06,469596992
2019-06-10,469596992
2019-06-11,469596992
2019-06-12,469596992
2019-06-17,469596992
2019-06-19,469596992
2019-06-21,469596992
2019-06-23,469596992
2019-06-24,469596992
2019-06-26,469596992
2019-07-03,464800992
2019-07-04,469596992
2019-07-05,460052000
2019-07-06,469596992
2019-07-11,458758016
2019-07-12,472460992
