Date,Open,High,Low,Close,Volume
2006-01-03,12.85,12.9125,12.6125,12.825,2196400
2006-01-04,12.775,13.21,12.725,13.205,3638400
2006-01-05,13.205,13.4625,13.19,13.3475,4833600
2006-01-06,13.3725,13.415,13.3,13.325,2996800
2006-01-09,13.45,13.715,13.35,13.51,6743200
2006-01-10,13.475,13.505,13.29,13.38,2683600
2006-01-11,13.375,13.5,13.375,13.475,2653600
2006-01-12,13.4625,13.4625,13.25,13.355,2300400
2006-01-13,13.4375,13.4525,13.1925,13.2075,3231600
2006-01-17,13.025,13.3075,12.975,13.22,3424800
2006-01-18,13.1875,13.4825,13.155,13.4475,2069600
2006-01-19,13.445,13.5625,13.3175,13.3625,1482000
2006-01-20,13.3,13.36,12.925,12.96,2459200
2006-01-23,13.3125,13.375,12.995,13.0175,3026000
2006-01-24,12.8375,13.34,12.75,13.2725,4410800
2006-01-25,13.2725,13.505,13.235,13.49,2816800
2006-01-26,13.6125,13.81,13.5275,13.715,2633200
2006-01-27,13.8,13.9875,13.69,13.925,2266000
2006-01-30,13.8875,13.8875,13.6825,13.73,2934000
2006-01-31,13.7275,14.01,13.7275,13.8575,3237200
2006-02-01,13.8575,13.885,13.665,13.675,2510000
2006-02-02,13.5375,13.6,13.4075,13.49,1719600
2006-02-03,13.45,13.4525,13.19,13.22,1801600
2006-02-06,13.2,13.245,13.1275,13.1725,1394800
2006-02-07,13.2,13.26,13.05,13.08,806000
2006-02-08,13.05,13.0875,12.955,13.0725,1488800
2006-02-09,13.25,13.425,13.09,13.3525,1770400
2006-02-10,13.3625,13.4375,13.2375,13.3375,1116800
2006-02-13,13.325,13.4375,13.13,13.2625,942000
2006-02-14,13.225,13.3175,13.165,13.245,1255200
2006-02-15,13.2125,13.5375,13.2125,13.505,1257600
2006-02-16,13.4875,13.6025,13.32,13.3875,1077600
2006-02-17,13.4,13.8375,13.3825,13.7475,1355600
2006-02-21,13.825,13.8375,13.61,13.7525,1736000
2006-02-22,13.7,13.775,13.65,13.71,1587200
2006-02-23,13.6375,13.7375,13.4675,13.55,2202800
2006-02-24,13.5425,13.8425,13.5025,13.77,2968400
2006-02-27,13.75,13.75,13.36,13.475,3544000
2006-02-28,13.4375,13.45,12.9475,13.1175,3555200
2006-03-01,13.2125,13.39,13.17,13.225,2924400
2006-03-02,13.2375,13.2375,12.7925,12.985,3900400
2006-03-03,12.925,13.05,12.905,13.025,1855200
2006-03-06,12.9625,13.2525,12.9325,13.1175,3132000
2006-03-07,13.1175,13.275,13.055,13.1925,2968000
2006-03-08,12.4725,12.7675,12.375,12.605,20035600
2006-03-09,12.605,12.8,12.5,12.5725,5709600
2006-03-10,12.5875,12.79,12.5875,12.7875,1804000
2006-03-13,12.875,13.1625,12.875,13.075,3803200
2006-03-14,13.0875,13.34,13.0675,13.3025,3242000
2006-03-15,13.3025,13.4125,13.275,13.4125,1826400
2006-03-16,13.41,13.575,13.305,13.3975,1533200
2006-03-17,13.4625,13.53,13.43,13.4975,1640800
2006-03-20,13.5875,13.6075,13.485,13.605,2690400
2006-03-21,13.6625,14,13.6625,13.7975,4058800
2006-03-22,13.825,14.2,13.8,14.1075,2977600
2006-03-23,14.095,14.1275,13.7875,14.075,1320800
2006-03-24,14.075,14.1125,13.805,13.885,1662400
2006-03-27,13.7375,13.875,13.65,13.735,1760800
2006-03-28,13.705,13.725,13.4525,13.52,1628000
2006-03-29,13.55,13.7775,13.515,13.57,1579600
2006-03-30,13.5875,13.735,13.5425,13.65,932800
2006-03-31,13.65,13.6525,13.3175,13.5075,2839200
2006-04-03,13.525,13.535,13.28,13.2975,1780400
2006-04-04,13.275,13.4075,13.2,13.25,1304800
2006-04-05,13.245,13.375,13.12,13.1925,2234000
2006-04-06,13.1975,13.3,13.1975,13.27,1266800
2006-04-07,13.3,13.48,13.275,13.295,1190000
2006-04-10,13.275,13.275,13.0425,13.1,832800
2006-04-11,13.25,13.3875,13.125,13.275,3956400
2006-04-12,13.2375,13.675,13.17,13.6025,3247600
2006-04-13,13.5625,13.6175,13.4,13.565,1764000
2006-04-17,13.54,13.59,13.435,13.525,2154000
2006-04-18,13.5125,13.66,13.3275,13.535,1156800
2006-04-19,13.5125,13.5675,13.26,13.315,1496800
2006-04-20,13.29,13.475,13.2525,13.43,1162800
2006-04-21,13.43,13.455,13.1325,13.225,1104800
2006-04-24,13.45,13.645,13.315,13.5225,1658000
2006-04-25,13.4975,13.4975,13.025,13.2425,2152800
2006-04-26,13.2675,13.5,13.2125,13.2625,1729600
2006-04-27,13.25,13.455,13.1925,13.4375,1238800
2006-04-28,13.4375,13.77,13.4375,13.705,1970400
2006-05-01,13.7175,13.755,13.53,13.6,1683600
2006-05-02,13.5925,13.5925,13.325,13.455,971600
2006-05-03,13.415,13.55,13.2725,13.285,2264000
2006-05-04,13.275,13.3625,13.065,13.2,2014000
2006-05-05,13.2025,13.48,13.2025,13.4125,1014800
2006-05-08,13.3875,13.65,13.3325,13.6075,1063200
2006-05-09,13.6075,13.725,13.56,13.6525,847600
2006-05-10,13.6125,13.6125,13.25,13.2775,1048400
2006-05-11,13.275,13.6375,13.2625,13.525,1980400
2006-05-12,13.4625,13.4625,13.0825,13.1575,1265600
2006-05-15,13.1,13.4625,12.975,13.1625,1562400
2006-05-16,13.1475,13.335,13.06,13.3275,1718800
2006-05-17,13.275,13.31,13.1175,13.14,1233200
2006-05-18,13.13,13.14,13.0375,13.1,1186800
2006-05-19,13.1,13.12,12.6775,12.9475,2354400
2006-05-22,12.9225,13.0425,12.785,13.01,1983600
2006-05-23,13.0175,13.1,12.9125,13.0925,2062800
2006-05-24,13.0975,13.1525,12.82,13.0825,1860400
2006-05-25,13.1075,13.1475,12.8875,12.945,1710000
2006-05-26,12.305,12.315,11.1875,11.895,22174400
2006-05-30,11.8125,12.1075,11.675,11.7375,4454000
2006-05-31,11.7425,11.8875,11.6075,11.8375,3399600
2006-06-01,11.8125,12.0975,11.765,12.05,2436000
2006-06-02,12.075,12.2325,12.03,12.15,2918800
2006-06-05,12.13,12.2175,12.005,12.1,3014000
2006-06-06,12.1,12.185,11.75,11.9225,2793600
2006-06-07,11.275,11.7375,11.25,11.57,7315600
2006-06-08,11.5425,11.785,11.425,11.77,3778400
2006-06-09,11.7875,12.28,11.74,11.755,3261600
2006-06-12,11.725,11.8075,11.6175,11.6375,1942400
2006-06-13,11.65,11.7875,11.3775,11.4275,2302400
2006-06-14,11.4025,11.445,10.9975,11.175,4207200
2006-06-15,11.2125,11.47,11.175,11.355,4555200
2006-06-16,11.3175,11.4125,11.2175,11.2325,2614800
2006-06-19,11.25,11.47,11.2425,11.265,2264000
2006-06-20,11.2975,11.2975,10.8625,11.0125,2065600
2006-06-21,11.0125,11.09,10.8625,10.9925,2308800
2006-06-22,10.95,10.95,10.735,10.9,2227600
2006-06-23,10.9,11.22,10.4625,11.0225,6546400
2006-06-26,10.9975,11.085,10.8275,10.9125,2063600
2006-06-27,10.925,11.145,10.8275,10.8725,2280800
2006-06-28,10.875,10.9275,10.8225,10.8875,1395200
2006-06-29,10.8925,11.25,10.8925,11.1975,2340400
2006-06-30,11.225,11.265,11.03,11.0725,1517600
2006-07-03,11.0975,11.22,10.9975,11.2075,586000
2006-07-05,11.125,11.1825,11,11.16,1286400
2006-07-06,11.135,11.1475,10.9075,10.9425,1049200
2006-07-07,10.9175,10.9625,10.7775,10.86,1727200
2006-07-10,10.9375,11.2125,10.9325,11.1625,1865600
2006-07-11,11.05,11.0925,10.9375,11.0125,1466800
2006-07-12,10.9875,11.1075,10.9075,10.9825,2230000
2006-07-13,10.95,11.08,10.8925,11.0225,2296000
2006-07-14,11.0125,11.0125,10.75,10.78,1508400
2006-07-17,10.755,10.9375,10.75,10.86,2246000
2006-07-18,10.8575,10.8925,10.775,10.8725,1048000
2006-07-19,10.8875,11.1125,10.8625,11.0175,1700400
2006-07-20,11,11.0125,10.77,10.8175,804000
2006-07-21,10.8,10.8075,10.6075,10.72,1877200
2006-07-24,10.75,10.75,10.645,10.7125,1300400
2006-07-25,10.7375,10.875,10.635,10.7875,1234400
2006-07-26,10.78,11.0675,10.77,11,1437200
2006-07-27,11.01,11.0125,10.6825,10.7175,923600
2006-07-28,10.715,11.0475,10.715,11.0225,942800
2006-07-31,11.0175,11.0875,10.92,11.05,1237600
2006-08-01,11.045,11.045,10.725,10.81,994000
2006-08-02,10.8125,10.9175,10.65,10.6675,1892800
2006-08-03,10.5425,10.6925,10.485,10.6425,2348400
2006-08-04,10.7875,10.83,10.6325,10.66,1239200
2006-08-07,10.635,10.71,10.63,10.655,894800
2006-08-08,11.15,11.545,11.15,11.4175,5405600
2006-08-09,11.4625,11.625,11.4525,11.4825,1896000
2006-08-10,11.7625,12.675,11.76,12,6609200
2006-08-11,12.0025,12.1,11.89,12.0275,2430000
2006-08-14,12.075,12.32,12.0725,12.2275,2373600
2006-08-15,12.3,12.365,12.02,12.235,1234800
2006-08-16,12.2875,12.4,12.14,12.175,2476800
2006-08-17,12.1125,12.2275,11.985,12.1175,2086000
2006-08-18,12.1075,12.1075,11.885,12.0025,2146000
2006-08-21,11.95,12.0225,11.9075,11.95,1662000
2006-08-22,11.95,11.975,11.8525,11.8725,784800
2006-08-23,11.89,11.935,11.6775,11.7225,839600
2006-08-24,11.7325,11.92,11.6825,11.845,1681600
2006-08-25,11.875,11.9475,11.875,11.93,660800
2006-08-28,11.945,12.1575,11.9325,12.11,1452400
2006-08-29,12.1375,12.305,11.9925,12.2775,1940400
2006-08-30,12.275,12.3825,12.2375,12.3425,1533200
2006-08-31,12.395,12.61,12.395,12.495,1583200
2006-09-01,12.4925,12.6625,12.475,12.6325,1635600
2006-09-05,12.6575,12.8275,12.6075,12.715,4006400
2006-09-06,12.6525,12.6575,12.3775,12.4075,2381600
2006-09-07,12.3125,12.4975,12.295,12.3725,2092400
2006-09-08,13.125,13.65,13.075,13.55,13020000
2006-09-11,13.4875,13.7625,13.3375,13.7375,5448400
2006-09-12,13.6875,13.975,13.6875,13.895,3649200
2006-09-13,13.925,14.195,13.8575,14.175,3169600
2006-09-14,14.075,14.09,13.875,13.985,1748000
2006-09-15,14,14.025,13.84,13.9875,2183200
2006-09-18,13.9375,13.965,13.7325,13.81,1702800
2006-09-19,13.9125,13.945,13.735,13.79,1372000
2006-09-20,13.8125,14.0425,13.7075,14.025,2178800
2006-09-21,14.02,14.02,13.7775,13.805,1899200
2006-09-22,13.75,13.8375,13.4925,13.54,1902800
2006-09-25,13.5,13.7,13.5,13.66,1138000
2006-09-26,13.595,13.63,13.4875,13.5275,1513600
2006-09-27,13.5,13.5075,13.31,13.3725,2494400
2006-09-28,13.365,13.5975,13.33,13.5525,2573600
2006-09-29,13.5375,13.5925,13.3725,13.375,1456800
2006-10-02,13.3775,13.4025,13.1575,13.25,1366400
2006-10-03,13.25,13.25,13.0225,13.08,1217200
2006-10-04,13.025,13.2075,12.955,13.2075,1341600
2006-10-05,13.1875,13.4375,13.1875,13.405,1061200
2006-10-06,13.3625,13.3625,13.125,13.2,626000
2006-10-09,13.2,13.27,13.175,13.215,667600
2006-10-10,13.2,13.25,13.075,13.115,954000
2006-10-11,13.125,13.525,13.1025,13.46,1860000
2006-10-12,13.475,13.9,13.475,13.8625,2873600
2006-10-13,13.8875,14.1225,13.73,14,2555200
2006-10-16,13.975,14.075,13.9375,14.0575,1534000
2006-10-17,13.9875,14.0325,13.915,14.005,1524800
2006-10-18,14.0625,14.175,14,14.0625,1184000
2006-10-19,14.05,14.49,14.025,14.44,2700800
2006-10-20,14.4375,14.595,14.3675,14.5625,3644400
2006-10-23,14.5625,14.735,14.5125,14.6375,1651600
2006-10-24,14.6375,14.68,14.425,14.4875,1512400
2006-10-25,14.47,14.675,14.4125,14.6375,1168800
2006-10-26,14.575,14.73,14.5125,14.6775,1207200
2006-10-27,14.6525,14.6525,14.4625,14.4625,744400
2006-10-30,14.4375,14.49,14.35,14.4525,1451200
2006-10-31,14.45,14.465,14.3625,14.4075,819600
2006-11-01,14.4,14.5675,14.3675,14.4075,2167600
2006-11-02,14.3825,14.3825,14.155,14.1975,3021200
2006-11-03,14.1625,14.1975,13.71,13.7725,3958800
2006-11-06,13.75,13.8775,13.3875,13.8375,1434800
2006-11-07,13.775,13.795,13.5875,13.6425,2244800
2006-11-08,13.6,13.675,13.46,13.4725,1974000
2006-11-09,13.45,13.595,13.3875,13.465,2116400
2006-11-10,13.4375,14.4175,13.28,13.355,3204000
2006-11-13,13.2875,13.425,13.225,13.4175,2249600
2006-11-14,13.445,13.5375,13.325,13.4625,1599200
2006-11-15,13.4575,13.495,13.415,13.455,1902800
2006-11-16,13.475,13.5225,13.4225,13.505,1099200
2006-11-17,13.4625,13.5,13.405,13.4125,1296800
2006-11-20,13.375,13.43,13.325,13.39,806000
2006-11-21,13.3775,13.4275,13.3575,13.395,851200
2006-11-22,13.4,13.525,13.395,13.495,653600
2006-11-24,13.45,13.5,13.4125,13.45,169600
2006-11-27,13.425,13.5,13.4,13.465,1432800
2006-11-28,13.4125,13.4625,13.295,13.4,1491200
2006-11-29,13.5,13.55,13.4375,13.4925,1052400
2006-11-30,13.495,13.535,13.4375,13.4925,1318000
2006-12-01,13.4925,13.5725,13.475,13.5325,1410800
2006-12-04,13.5325,13.615,13.5,13.5375,1322400
2006-12-05,13.5,13.5125,13.2725,13.2875,2867600
2006-12-06,13.25,13.53,13.2125,13.4325,2360800
2006-12-07,13.4125,13.6525,13.375,13.435,1589200
2006-12-08,13.4625,13.51,13.385,13.3975,2540400
2006-12-11,13.45,13.45,13.1325,13.1675,3423600
2006-12-12,12.7625,12.875,12.2375,12.3625,15281600
2006-12-13,10.775,11.225,10.6875,11.1475,34665200
2006-12-14,11.15,11.2075,11.0325,11.0475,6377200
2006-12-15,11.15,11.2325,11.1,11.21,4712800
2006-12-18,11.025,11.1425,10.985,11.005,6102800
2006-12-19,10.975,11.285,10.975,11.255,4774800
2006-12-20,11.265,11.4125,11.1875,11.375,3592000
2006-12-21,11.4,11.44,11.1975,11.365,3318400
2006-12-22,11.4075,11.41,11.19,11.2675,1733600
2006-12-26,11.28,11.4025,11.135,11.3575,1296400
2006-12-27,11.3175,11.3175,11.2125,11.25,1922000
2006-12-28,11.25,11.2525,11.12,11.1425,2076800
2006-12-29,11.1375,11.21,11.105,11.125,2018800
